,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CSRP2,2.6884444,2.0065002,2.9992588,-0.030026088,2.59289,2.237559,-0.0020134288,2.3780465,2.1049323,2.9128754,-0.018027447,-0.01864454,2.1082854,-0.021900324,2.201978,1.3902302
TEAD4,2.6450112,2.5712292,2.803902,-0.033894725,3.1790698,2.2913232,-0.005658005,2.8705983,2.2672398,3.4404523,-0.018670296,-0.018362455,2.621969,-0.026462378,1.9543282,1.9099231
SNORA68,8.788744,7.770862,8.652177,-0.119290166,11.415505,7.850423,-0.024884168,9.031158,9.104954,8.974038,-0.076433316,-0.07674074,6.8370814,-0.10780734,7.620137,6.109606
CELF3,8.788744,7.770862,8.652177,-0.119290166,11.415505,7.850423,-0.024884168,9.031158,9.104954,8.974038,-0.076433316,-0.07674074,6.8370814,-0.10780734,7.620137,6.109606
SMARCD1,3.7426765,3.5244534,3.8998156,-0.05053226,4.839037,3.302939,-0.0105080195,4.0596466,3.6164312,4.1869106,-0.029050568,-0.029323524,3.3738983,-0.040266655,3.0133286,2.6792927
CTSZ,3.7643154,3.5395308,3.9175098,-0.05085806,4.8705516,3.3243356,-0.010594781,4.0829077,3.6456378,4.196089,-0.0292227,-0.029556433,3.3808868,-0.040556155,3.0327473,2.6955252
RNF19A,2.547785,2.5392156,2.6312573,-0.03249938,2.8596365,2.1214647,-0.004080544,2.7678356,1.9950515,3.2867386,-0.016510729,-0.017848724,2.6009996,-0.025834095,1.8872646,1.7379193
HEXIM1,2.7905052,3.143815,2.8771374,-0.044947714,4.4948883,2.388165,-0.004740054,3.7864623,3.3369477,4.623639,-0.023040669,-0.026880845,2.7521834,-0.044885237,2.030853,2.1546345
MSANTD3,8.788744,7.770862,8.652177,-0.119290166,11.415505,7.850423,-0.024884168,9.031158,9.104954,8.974038,-0.076433316,-0.07674074,6.8370814,-0.10780734,7.620137,6.109606
HIST1H2AI,2.5816238,2.5121396,2.7433605,-0.032791734,3.0633817,2.2246592,-0.0052544116,2.7928152,2.1773121,3.4166758,-0.018061373,-0.01768325,2.5861576,-0.025691126,1.8773061,1.8546124
TMED9,2.6731315,2.5975485,2.8361812,-0.03416665,3.2062109,2.3092139,-0.0056970757,2.889371,2.283976,3.482573,-0.018833652,-0.01850123,2.6547189,-0.026700933,1.968526,1.9142694
MSC,2.5078099,2.5916486,2.945688,-0.034992572,3.212166,2.3292592,-0.0056877933,2.9491081,2.2946823,3.4712281,-0.018309457,-0.018291596,2.7940977,-0.02567378,1.7462586,2.0689108
GLIPR1,2.592602,2.5159566,2.7555833,-0.032989364,3.075557,2.2328534,-0.0053273337,2.8002095,2.1961865,3.395821,-0.01814953,-0.01792236,2.579887,-0.025864579,1.8946352,1.8561376
FOXJ3,2.5200725,2.480541,2.6956565,-0.03225638,3.0149722,2.195354,-0.0050514424,2.7583375,2.1248574,3.3988864,-0.01768045,-0.017263586,2.564828,-0.02513676,1.8285325,1.8395132
ZFP991,8.788744,7.770862,8.652177,-0.119290166,11.415505,7.850423,-0.024884168,9.031158,9.104954,8.974038,-0.076433316,-0.07674074,6.8370814,-0.10780734,7.620137,6.109606
ZFP275,3.7218678,3.5098922,3.8828857,-0.050216984,4.8083434,3.282243,-0.010422389,4.0369616,3.5881512,4.17815,-0.028883912,-0.02909978,3.3672295,-0.039988294,2.9945176,2.6633706
HMGA2,2.6285183,2.5552447,2.792135,-0.033635687,3.1483603,2.27379,-0.0055834954,2.8482947,2.2530477,3.4262345,-0.01854157,-0.01822379,2.6096797,-0.026259033,1.9349929,1.8933201
MEIS3,2.933473,2.8375719,3.0890384,-0.038387425,3.6447124,2.5601847,-0.0070758155,3.1987705,2.6280458,3.6332538,-0.021337979,-0.021173839,2.8302634,-0.029897813,2.2390692,2.127261
ZMYND11,2.6757064,2.6051838,2.8304038,-0.034223106,3.210279,2.3017683,-0.0057712435,2.9010992,2.2825215,3.502187,-0.01893122,-0.01848042,2.6657443,-0.026845979,1.9717412,1.9292402
GRIN1,2.6092665,2.5475874,2.7828686,-0.033562656,3.1422162,2.2772245,-0.005470473,2.8428106,2.2528913,3.4016325,-0.018454708,-0.018202307,2.5997357,-0.026082816,1.9246783,1.8960633
SNORA62,2.505356,2.4252586,2.657326,-0.03142106,2.9152353,2.147041,-0.004821838,2.680266,2.0817251,3.330129,-0.017316515,-0.016964478,2.5112934,-0.024775334,1.7961706,1.785703
SLC25A5,8.788744,7.770862,8.652177,-0.119290166,11.415505,7.850423,-0.024884168,9.031158,9.104954,8.974038,-0.076433316,-0.07674074,6.8370814,-0.10780734,7.620137,6.109606
LHX2,2.5458798,2.4845357,2.7178628,-0.03251474,3.0368872,2.2149227,-0.0051233196,2.763011,2.1743479,3.3578966,-0.017965034,-0.017638948,2.5571482,-0.025283901,1.8554553,1.8435887
AARS,2.6258905,2.595068,2.8125224,-0.033954322,3.196329,2.2891073,-0.0056383554,2.8875942,2.2449398,3.5009744,-0.018758874,-0.018191716,2.6682272,-0.026404198,1.935113,1.921171
