,TF,Target,Label
0,59,202,1
1,59,292,1
2,59,775,1
3,59,388,1
4,59,982,1
5,59,1082,1
6,59,38,1
7,59,57,1
8,59,1101,1
9,59,1015,1
10,59,949,1
11,59,265,1
12,59,271,1
13,59,830,1
14,59,220,1
15,59,1003,1
16,59,502,1
17,59,204,1
18,59,199,1
19,59,159,1
20,59,312,1
21,59,813,1
22,59,847,1
23,59,892,1
24,59,570,1
25,59,642,1
26,59,979,1
27,59,221,1
28,59,356,1
29,59,12,1
30,59,699,1
31,66,205,1
32,66,369,1
33,66,1069,1
34,66,689,1
35,66,1012,1
36,66,780,1
37,66,382,1
38,66,529,1
39,66,982,1
40,66,968,1
41,66,259,1
42,66,133,1
43,66,955,1
44,66,725,1
45,66,673,1
46,117,1075,1
47,117,615,1
48,117,332,1
49,117,155,1
50,117,639,1
51,117,760,1
52,117,568,1
53,117,995,1
54,117,176,1
55,117,438,1
56,117,1064,1
57,117,191,1
58,117,178,1
59,117,684,1
60,117,951,1
61,117,342,1
62,117,792,1
63,117,1062,1
64,117,356,1
65,117,804,1
66,117,818,1
67,117,602,1
68,117,652,1
69,117,358,1
70,117,870,1
71,117,618,1
72,117,173,1
73,117,834,1
74,117,1048,1
75,117,379,1
76,117,588,1
77,117,51,1
78,117,454,1
79,117,180,1
80,117,439,1
81,117,206,1
82,117,199,1
83,117,872,1
84,117,527,1
85,117,175,1
86,117,733,1
87,117,473,1
88,117,932,1
89,117,564,1
90,117,545,1
91,117,381,1
92,117,99,1
93,117,111,1
94,117,860,1
95,117,775,1
96,117,38,1
97,117,236,1
98,117,712,1
99,117,1033,1
100,117,1043,1
101,117,244,1
102,117,616,1
103,117,801,1
104,117,558,1
105,117,728,1
106,117,847,1
107,117,1088,1
108,117,1069,1
109,117,990,1
110,117,1112,1
111,117,633,1
112,117,1008,1
113,117,44,1
114,117,260,1
115,117,563,1
116,117,278,1
117,117,889,1
118,117,359,1
119,117,580,1
120,117,547,1
121,117,502,1
122,117,458,1
123,117,927,1
124,117,1011,1
125,117,741,1
126,117,699,1
127,117,742,1
128,117,1111,1
129,117,534,1
130,117,627,1
131,117,164,1
132,117,835,1
133,117,910,1
134,117,790,1
135,117,400,1
136,117,898,1
137,117,60,1
138,117,800,1
139,117,403,1
140,117,1082,1
141,117,366,1
142,117,972,1
143,117,799,1
144,117,66,1
145,117,468,1
146,117,796,1
147,117,1051,1
148,117,213,1
149,117,131,1
150,117,444,1
151,117,698,1
152,117,925,1
153,117,981,1
154,117,170,1
155,117,437,1
156,117,1078,1
157,117,845,1
158,117,770,1
159,117,434,1
160,117,112,1
161,117,177,1
162,117,84,1
163,117,549,1
164,117,703,1
165,117,519,1
166,117,302,1
167,117,1003,1
168,117,606,1
169,117,280,1
170,117,881,1
171,117,816,1
172,117,122,1
173,117,190,1
174,117,767,1
175,117,737,1
176,117,373,1
177,117,704,1
178,117,47,1
179,117,924,1
180,117,161,1
181,117,347,1
182,117,832,1
183,117,232,1
184,117,251,1
185,117,647,1
186,117,824,1
187,117,449,1
188,117,371,1
189,117,0,1
190,117,389,1
191,117,462,1
192,117,581,1
193,117,562,1
194,117,402,1
195,117,608,1
196,117,518,1
197,117,360,1
198,117,576,1
199,117,877,1
200,117,48,1
201,117,64,1
202,117,288,1
203,117,476,1
204,117,508,1
205,117,483,1
206,117,848,1
207,117,965,1
208,117,303,1
209,117,1039,1
210,117,570,1
211,117,962,1
212,117,839,1
213,117,1080,1
214,117,1107,1
215,117,275,1
216,117,761,1
217,117,1095,1
