,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
HOPX,-0.048404958,-0.054832514,-0.04997252,6.066606,-0.04080757,-0.081743695,-0.017069394,-0.07244345,-0.031254124,-0.03358425,2.9059565,5.4837413,-0.037585653,5.959962,-0.04948443,-0.044126872
NFXL1,-0.05993648,-0.058378935,-0.06154737,7.1329784,-0.057091706,-0.099291354,-0.014534461,-0.07540956,-0.04509162,-0.037061814,3.5722008,7.1517196,-0.048948485,8.027775,-0.06456733,-0.05718521
HDAC3,-0.06699919,-0.06446622,-0.0640939,7.358038,-0.05901588,-0.10973864,-0.016485035,-0.07719554,-0.04715647,-0.042122774,3.8475158,7.4954715,-0.051441595,8.731706,-0.06571183,-0.05760297
CDC5L,-0.05785994,-0.05624744,-0.0596232,6.923287,-0.055134997,-0.09569533,-0.014181944,-0.07318372,-0.04352117,-0.035426915,3.4594176,6.9160604,-0.047339976,7.7466836,-0.062659144,-0.055375885
SPP1,-0.05859926,-0.057154883,-0.060242202,6.9899335,-0.055924475,-0.09707468,-0.014301454,-0.07389946,-0.04405683,-0.03613843,3.4984186,7.0025406,-0.04795094,7.854874,-0.06325322,-0.055955034
SPOCK1,-0.06699919,-0.06446622,-0.0640939,7.358038,-0.05901588,-0.10973864,-0.016485035,-0.07719554,-0.04715647,-0.042122774,3.8475158,7.4954715,-0.051441595,8.731706,-0.06571183,-0.05760297
BACH2,-0.059344158,-0.057866443,-0.061004452,7.0687275,-0.056623843,-0.098366484,-0.014487533,-0.07480427,-0.044574134,-0.036605995,3.5419426,7.091589,-0.04851604,7.957646,-0.064014554,-0.056670718
TMED2,-0.049371675,-0.0537911,-0.05473508,6.224626,-0.05534566,-0.08387167,-0.01636911,-0.061871674,-0.03923326,-0.03461971,2.910058,6.67732,-0.044456642,7.1851754,-0.053817734,-0.051019825
DNMT1,-0.05957449,-0.060400914,-0.06565351,7.5870194,-0.062201314,-0.10065007,-0.018326055,-0.08260427,-0.044171263,-0.034801677,3.7748787,7.610183,-0.049138226,8.018355,-0.064700276,-0.060653254
TSPAN9,-0.06086439,-0.059434526,-0.06242971,7.2201905,-0.058002546,-0.1009548,-0.0147267245,-0.07638961,-0.0456749,-0.037776552,3.620986,7.2689962,-0.049725275,8.159625,-0.06532336,-0.057911877
TAF1A,-0.06699919,-0.06446622,-0.0640939,7.358038,-0.05901588,-0.10973864,-0.016485035,-0.07719554,-0.04715647,-0.042122774,3.8475158,7.4954715,-0.051441595,8.731706,-0.06571183,-0.05760297
GLMP,-0.06699919,-0.06446622,-0.0640939,7.358038,-0.05901588,-0.10973864,-0.016485035,-0.07719554,-0.04715647,-0.042122774,3.8475158,7.4954715,-0.051441595,8.731706,-0.06571183,-0.05760297
PITX2,-0.057224922,-0.055921752,-0.058907967,6.841609,-0.05479385,-0.09481891,-0.014108113,-0.07245448,-0.042954586,-0.03513869,3.4260879,6.847766,-0.04688902,7.6739783,-0.06200479,-0.054784868
ZBTB10,-0.06050468,-0.059170797,-0.06203217,7.18361,-0.057772953,-0.100488804,-0.014628993,-0.07611962,-0.04540961,-0.0375284,3.60894,7.223344,-0.04941416,8.114361,-0.06508929,-0.057694767
