,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ANKMY2,-0.071235225,8.83811,-0.01634682,-0.06537835,-0.0827009,-0.051613756,-0.042928718,5.5958843,-0.057796974,-0.06809144,-0.034796976,6.490045,7.7487836,-0.010753274,6.5214815,-0.052104704
ERCC-00004,-0.08866155,10.87055,-0.02017228,-0.07939204,-0.10168018,-0.059856515,-0.049604822,6.6546135,-0.06864518,-0.08459776,-0.043135107,7.807863,9.397663,-0.011789919,8.332783,-0.061894484
PKIG,-0.07033924,8.74721,-0.016033554,-0.064664975,-0.081929155,-0.05100501,-0.042249456,5.541664,-0.0572118,-0.067517325,-0.03440946,6.4237075,7.6552424,-0.010927351,6.439963,-0.05150915
RBMS3,-0.073232606,9.075224,-0.015165549,-0.064244196,-0.08866958,-0.050640516,-0.040868983,5.4642296,-0.057304457,-0.07040053,-0.03604854,6.8084803,7.6810403,-0.014142526,6.7064123,-0.052693453
RND3,-0.072903186,9.031318,-0.016628508,-0.067248315,-0.08504261,-0.05297253,-0.043539885,5.6778507,-0.05918873,-0.070372835,-0.035397585,6.644695,7.9286585,-0.011201059,6.69582,-0.053056605
TNFRSF21,-0.08866155,10.87055,-0.02017228,-0.07939204,-0.10168018,-0.059856515,-0.049604822,6.6546135,-0.06864518,-0.08459776,-0.043135107,7.807863,9.397663,-0.011789919,8.332783,-0.061894484
CTNNB1,-0.060985897,7.626982,-0.013761227,-0.05586267,-0.07111602,-0.04431692,-0.03671749,4.866046,-0.049600963,-0.058354482,-0.029970853,5.611413,6.669046,-0.009455763,5.503103,-0.0455425
GYPB,-0.074466854,9.23564,-0.017171409,-0.06851681,-0.086499795,-0.053895663,-0.044818863,5.78442,-0.06029765,-0.071524985,-0.03632527,6.781494,8.088495,-0.011157072,6.846153,-0.053970464
CITED2,-0.07067434,8.780056,-0.01626787,-0.064946525,-0.08207871,-0.05134493,-0.042720854,5.5642996,-0.05744129,-0.067581534,-0.03457204,6.4473777,7.702783,-0.010649336,6.468025,-0.051768925
MCM4,-0.07388443,9.198417,-0.01699168,-0.06793326,-0.08573282,-0.053044226,-0.044539455,5.7498903,-0.05976457,-0.07097752,-0.03607132,6.7225924,8.047304,-0.0110289175,6.8080416,-0.053622946
SCD5,-0.07323969,9.066911,-0.01677058,-0.06723326,-0.085209586,-0.05290762,-0.04398339,5.7367306,-0.05950027,-0.07019758,-0.035585478,6.661813,7.9490666,-0.011130337,6.72009,-0.05342705
ACBD6,-0.070239544,8.719768,-0.016101545,-0.06442646,-0.08154481,-0.050855294,-0.042409945,5.5339193,-0.057049412,-0.067061566,-0.034314234,6.400317,7.646172,-0.010650754,6.423284,-0.051518098
RAD50,-0.07013908,8.704429,-0.016055735,-0.064285144,-0.081350185,-0.050816935,-0.042265013,5.523407,-0.056876823,-0.06692944,-0.034269962,6.38524,7.6263404,-0.010587243,6.4058585,-0.051437095
MXRA5,-0.094394386,9.816144,-0.018100036,-0.0731837,-0.09092082,-0.057945978,-0.052068964,5.9686737,-0.065617785,-0.076176375,-0.038376372,7.136332,8.344978,-0.0023136528,7.8789644,-0.07037484
SEMA6A,-0.07374351,9.121904,-0.016772155,-0.06785216,-0.08574194,-0.053409133,-0.044085693,5.7530365,-0.059814934,-0.070862316,-0.035876855,6.708856,8.00984,-0.011275394,6.766002,-0.05370233
ANKRD26,-0.08866155,10.87055,-0.02017228,-0.07939204,-0.10168018,-0.059856515,-0.049604822,6.6546135,-0.06864518,-0.08459776,-0.043135107,7.807863,9.397663,-0.011789919,8.332783,-0.061894484
HDAC9,-0.07142901,8.868668,-0.016387733,-0.06559869,-0.082953855,-0.05178192,-0.043146208,5.6175375,-0.058119517,-0.06831753,-0.034889653,6.5178685,7.7792525,-0.010794056,6.5460587,-0.052255332
ZCCHC11,-0.07586769,9.4015,-0.017322255,-0.06997401,-0.08834584,-0.054817546,-0.045305904,5.8980885,-0.061490048,-0.07318702,-0.036854863,6.894096,8.261228,-0.011521365,7.0077376,-0.054918032
IL13RA1,-0.07012754,8.7031145,-0.01603257,-0.06432287,-0.08137353,-0.050767813,-0.042314157,5.522299,-0.056894217,-0.06696279,-0.034224834,6.382429,7.633347,-0.010637783,6.408268,-0.051484883
SEMA6D,-0.07016396,8.719452,-0.016120536,-0.064450756,-0.08147284,-0.05090762,-0.042413216,5.5313005,-0.057024587,-0.06706483,-0.03430539,6.3982787,7.6475797,-0.010623363,6.4191246,-0.05146778
CD9,-0.07647395,8.598067,-0.017589455,-0.06347966,-0.08829295,-0.049468476,-0.041961897,6.1227274,-0.062666245,-0.06691505,-0.0399137,6.8733916,7.54264,-0.00944572,6.3253083,-0.05775338
LPIN1,-0.08866155,10.87055,-0.02017228,-0.07939204,-0.10168018,-0.059856515,-0.049604822,6.6546135,-0.06864518,-0.08459776,-0.043135107,7.807863,9.397663,-0.011789919,8.332783,-0.061894484
NAT10,-0.068623245,9.899012,-0.01394424,-0.058105502,-0.085262805,-0.049860656,-0.049350858,5.7770348,-0.06361326,-0.06589954,-0.039896242,6.490633,7.959257,-0.00859053,6.11388,-0.04606448
ARRB1,-0.07405131,9.1619425,-0.017021975,-0.068077095,-0.08613368,-0.053611387,-0.044434205,5.7773924,-0.060159758,-0.071054175,-0.036025267,6.750723,8.046903,-0.011159094,6.810581,-0.053842492
FOXD3,-0.06346771,7.9370594,-0.014444187,-0.05806808,-0.07370055,-0.045902967,-0.038350992,5.0517073,-0.051470235,-0.060471304,-0.031261466,5.8130136,6.934962,-0.00976417,5.762896,-0.0471024
XRCC5,-0.069935724,8.703344,-0.016097568,-0.06424965,-0.081238605,-0.05076331,-0.042374715,5.5378513,-0.056950912,-0.066782705,-0.034256417,6.378646,7.638164,-0.010576019,6.4026904,-0.051353242
