,TF,Target,Label
0,4,120,1
1,4,218,1
2,4,894,1
3,4,35,1
4,4,437,1
5,4,6,1
6,4,623,1
7,4,682,1
8,14,391,1
9,14,757,1
10,14,632,1
11,14,521,1
12,14,536,1
13,14,86,1
14,14,360,1
15,14,683,1
16,14,229,1
17,14,309,1
18,14,526,1
19,14,343,1
20,14,67,1
21,14,206,1
22,14,609,1
23,14,348,1
24,16,46,1
25,19,228,1
26,19,682,1
27,19,741,1
28,19,467,1
29,20,795,1
30,21,24,1
31,21,276,1
32,21,245,1
33,24,898,1
34,24,282,1
35,24,609,1
36,24,788,1
37,24,100,1
38,27,223,1
39,27,121,1
40,27,125,1
41,27,330,1
42,27,498,1
43,27,177,1
44,31,213,1
45,31,698,1
46,31,223,1
47,31,413,1
48,31,206,1
49,31,730,1
50,31,816,1
51,31,39,1
52,31,336,1
53,31,856,1
54,31,330,1
55,31,528,1
56,31,33,1
57,31,828,1
58,31,162,1
59,31,507,1
60,31,97,1
61,31,699,1
62,31,487,1
63,31,665,1
64,34,258,1
65,35,336,1
66,35,301,1
67,35,606,1
68,35,125,1
69,35,384,1
70,35,513,1
71,35,452,1
72,35,199,1
73,35,335,1
74,35,512,1
75,35,651,1
76,35,282,1
77,35,190,1
78,35,541,1
79,35,164,1
80,35,53,1
81,35,678,1
82,35,516,1
83,38,494,1
84,38,621,1
85,40,95,1
86,40,365,1
87,40,848,1
88,40,618,1
89,40,881,1
90,40,575,1
91,40,38,1
92,40,651,1
93,40,406,1
94,41,266,1
95,41,125,1
96,42,891,1
97,45,884,1
98,52,868,1
99,52,862,1
100,57,270,1
101,69,384,1
102,69,603,1
103,69,526,1
104,69,330,1
105,69,705,1
106,69,60,1
107,69,794,1
108,69,751,1
109,69,152,1
110,69,366,1
111,69,317,1
112,69,130,1
113,69,254,1
114,69,3,1
115,69,723,1
116,69,450,1
117,69,153,1
118,69,507,1
119,69,223,1
120,69,117,1
121,69,206,1
122,69,908,1
123,69,735,1
124,69,724,1
125,69,121,1
126,74,353,1
127,74,340,1
128,74,515,1
129,74,879,1
130,74,330,1
131,74,123,1
132,74,366,1
133,74,794,1
134,74,331,1
135,75,52,1
136,77,481,1
137,77,455,1
138,77,906,1
139,77,835,1
140,77,579,1
141,77,896,1
142,77,340,1
143,77,334,1
144,77,331,1
145,77,726,1
146,77,384,1
147,77,377,1
148,77,737,1
149,77,385,1
150,77,241,1
151,77,80,1
152,77,901,1
153,77,841,1
154,77,879,1
155,77,75,1
156,77,664,1
157,77,521,1
158,77,853,1
159,77,596,1
160,77,56,1
161,77,264,1
162,77,270,1
163,77,765,1
164,77,76,1
165,77,816,1
166,77,655,1
167,77,135,1
168,77,757,1
169,77,500,1
170,77,496,1
171,77,582,1
172,77,27,1
173,77,863,1
174,77,286,1
175,77,74,1
176,77,801,1
177,77,705,1
178,80,145,1
179,81,326,1
180,81,483,1
181,85,300,1
182,85,23,1
183,85,750,1
184,85,526,1
185,85,121,1
186,85,417,1
187,85,776,1
188,85,830,1
189,85,669,1
190,85,350,1
191,85,330,1
192,85,770,1
193,85,483,1
194,85,115,1
195,85,141,1
196,85,190,1
197,85,12,1
198,85,628,1
199,85,775,1
200,85,859,1
201,85,730,1
202,85,627,1
203,85,71,1
204,85,827,1
205,85,737,1
206,85,753,1
207,85,262,1
208,85,450,1
209,85,623,1
210,85,522,1
211,85,276,1
212,85,709,1
213,85,885,1
214,85,448,1
215,85,698,1
216,85,489,1
217,85,403,1
218,85,581,1
219,85,618,1
220,85,552,1
221,85,823,1
222,85,772,1
223,85,325,1
224,85,220,1
225,85,742,1
226,85,273,1
227,85,670,1
228,85,529,1
229,85,372,1
230,85,41,1
231,85,446,1
232,85,337,1
233,85,47,1
234,85,365,1
235,85,239,1
236,85,673,1
237,85,662,1
238,85,517,1
239,85,749,1
240,85,114,1
241,85,40,1
242,85,795,1
243,85,205,1
244,85,377,1
245,85,358,1
246,85,425,1
247,85,135,1
248,85,271,1
249,85,97,1
250,85,471,1
251,85,279,1
252,85,282,1
253,85,80,1
254,85,500,1
255,85,721,1
256,85,717,1
257,85,65,1
258,85,596,1
259,85,244,1
260,85,398,1
261,85,438,1
262,85,77,1
263,85,212,1
264,85,549,1
265,85,665,1
266,85,594,1
267,85,149,1
268,85,150,1
269,85,384,1
270,85,788,1
271,85,221,1
272,85,432,1
273,85,513,1
274,85,286,1
275,85,854,1
276,85,530,1
277,85,656,1
278,85,290,1
279,85,600,1
280,85,463,1
281,85,308,1
282,85,789,1
283,85,658,1
284,85,585,1
285,85,380,1
286,85,174,1
287,85,64,1
288,85,583,1
289,85,896,1
290,85,634,1
291,85,343,1
292,85,773,1
293,85,20,1
294,85,504,1
295,85,865,1
296,85,22,1
297,85,613,1
298,85,336,1
299,85,565,1
300,85,216,1
301,85,829,1
302,85,857,1
303,85,102,1
304,85,889,1
305,85,31,1
306,85,171,1
307,85,192,1
308,85,861,1
309,85,402,1
310,85,794,1
311,85,69,1
312,85,695,1
313,85,408,1
314,85,342,1
315,85,37,1
316,85,111,1
317,85,589,1
318,85,561,1
319,85,453,1
320,85,385,1
321,87,381,1
322,87,290,1
323,87,548,1
324,87,806,1
325,87,528,1
326,87,541,1
327,87,575,1
328,87,282,1
329,87,560,1
330,87,31,1
331,87,720,1
332,87,125,1
333,87,135,1
334,87,330,1
335,87,906,1
336,87,795,1
337,87,392,1
338,87,75,1
339,87,85,1
340,87,190,1
341,87,896,1
342,87,682,1
343,87,613,1
344,87,27,1
345,87,145,1
346,87,374,1
347,87,384,1
348,87,81,1
349,87,494,1
350,87,866,1
351,87,39,1
352,87,800,1
353,87,228,1
354,87,698,1
355,87,599,1
356,87,35,1
357,87,408,1
358,87,275,1
359,87,901,1
360,87,343,1
361,87,141,1
362,87,366,1
363,87,53,1
364,87,4,1
365,87,652,1
366,87,158,1
367,91,706,1
368,95,330,1
369,95,40,1
370,100,24,1
371,102,866,1
372,102,732,1
373,102,795,1
374,102,415,1
375,102,695,1
376,102,330,1
377,102,846,1
378,102,325,1
379,103,369,1
380,107,582,1
381,108,871,1
382,110,330,1
383,110,828,1
384,110,906,1
385,110,102,1
386,110,356,1
387,110,509,1
388,110,97,1
389,110,437,1
390,110,488,1
391,110,408,1
392,110,231,1
393,110,542,1
394,110,41,1
395,110,150,1
396,110,276,1
397,110,857,1
398,117,330,1
399,117,121,1
400,119,517,1
401,121,889,1
402,121,355,1
403,121,891,1
404,121,674,1
405,121,125,1
406,121,651,1
407,121,280,1
408,121,539,1
409,121,377,1
410,121,531,1
411,121,590,1
412,121,566,1
413,121,117,1
414,121,384,1
415,121,772,1
416,121,262,1
417,121,696,1
418,121,893,1
419,121,903,1
420,121,4,1
421,121,536,1
422,121,494,1
423,121,87,1
424,121,877,1
425,121,141,1
426,121,308,1
427,121,24,1
428,121,135,1
429,121,20,1
430,121,609,1
431,121,796,1
432,121,27,1
433,121,158,1
434,121,74,1
435,121,425,1
436,121,326,1
437,121,817,1
438,121,791,1
439,121,788,1
440,121,662,1
441,121,699,1
442,121,235,1
443,121,514,1
444,121,627,1
445,123,550,1
446,123,843,1
447,123,210,1
448,123,420,1
449,123,450,1
450,123,37,1
451,123,365,1
452,123,501,1
453,123,889,1
454,123,207,1
455,123,391,1
456,123,814,1
457,123,829,1
458,123,738,1
459,123,24,1
460,123,255,1
461,123,89,1
462,123,102,1
463,123,796,1
464,123,587,1
465,123,861,1
466,123,185,1
467,123,497,1
468,123,477,1
469,123,65,1
470,123,895,1
471,123,526,1
472,123,307,1
473,123,353,1
474,123,614,1
475,123,336,1
476,123,698,1
477,123,187,1
478,123,46,1
479,123,655,1
480,123,128,1
481,123,634,1
482,123,346,1
