,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
SLC39A11,6.043606,-0.06782082,-0.015223523,3.904942,5.556806,4.9072614,2.6452618,-0.042621057,3.2765217,5.1156807,4.5740113,-0.094032355,-0.04557072,0.6335276,-0.054610055,5.970759
C4orf46,7.7703233,-0.08528493,-0.019614274,5.053691,6.8982096,6.008553,3.4183898,-0.055170897,4.1381974,6.084875,5.698784,-0.115946494,-0.056287363,0.85788345,-0.070092484,7.4228935
ZNF83,7.7703233,-0.08528493,-0.019614274,5.053691,6.8982096,6.008553,3.4183898,-0.055170897,4.1381974,6.084875,5.698784,-0.115946494,-0.056287363,0.85788345,-0.070092484,7.4228935
FAM46A,5.971547,-0.067108735,-0.015058954,3.8616395,5.5031214,4.860862,2.614076,-0.042100176,3.252154,5.061908,4.5336094,-0.09312308,-0.045121472,0.62085426,-0.054040067,5.9129725
NKX3-1,5.9507375,-0.06691225,-0.014975321,3.8467607,5.486695,4.840637,2.6020029,-0.04199563,3.2440674,5.045815,4.5177765,-0.09287378,-0.045016486,0.623109,-0.05383408,5.895645
ERCC-00022,7.7703233,-0.08528493,-0.019614274,5.053691,6.8982096,6.008553,3.4183898,-0.055170897,4.1381974,6.084875,5.698784,-0.115946494,-0.056287363,0.85788345,-0.070092484,7.4228935
PIP4K2A,5.6456256,-0.06578391,-0.0126128215,3.874778,5.3810525,4.873025,2.1374621,-0.042459715,2.9947407,4.997443,4.64237,-0.09438714,-0.04138091,0.5221515,-0.05582766,6.148075
ARHGAP28,7.7703233,-0.08528493,-0.019614274,5.053691,6.8982096,6.008553,3.4183898,-0.055170897,4.1381974,6.084875,5.698784,-0.115946494,-0.056287363,0.85788345,-0.070092484,7.4228935
ZBTB2,7.3181458,-0.08531654,-0.015951654,4.9012456,6.623052,5.7299743,3.0525763,-0.054843247,3.8061156,6.129384,5.77707,-0.11916165,-0.052343592,0.5683911,-0.06631963,7.41667
FAM89A,5.953723,-0.06703742,-0.014978043,3.8614502,5.489745,4.8518205,2.5993712,-0.04207375,3.2487926,5.0533686,4.5251365,-0.09300363,-0.045056056,0.61588097,-0.05390706,5.9059525
PENK,5.8652825,-0.06608171,-0.0148262875,3.7991254,5.4182553,4.787261,2.5752635,-0.041481774,3.204108,4.9977784,4.466576,-0.09181837,-0.04450951,0.61185515,-0.053171296,5.823663
COBLL1,5.9087973,-0.06654443,-0.014879109,3.8324797,5.454414,4.8148518,2.579734,-0.04177017,3.229637,5.020589,4.496499,-0.09239224,-0.044778045,0.60948527,-0.053533114,5.8646526
GABRB3,6.063528,-0.06797325,-0.015265712,3.9233162,5.573931,4.913906,2.6476128,-0.042781327,3.2935565,5.117711,4.5905237,-0.09427879,-0.04571345,0.62969,-0.054807834,5.982749
DDHD2,5.912775,-0.066558056,-0.014897237,3.835182,5.4565773,4.8163233,2.5816467,-0.041787494,3.229872,5.0247517,4.5007405,-0.09244621,-0.04477995,0.60991013,-0.053573217,5.867851
PBX1,6.233241,-0.071116365,-0.0066219573,3.2668602,5.1895113,5.1778812,1.5294894,-0.038415864,2.1224825,4.2554865,4.1694374,-0.0822454,-0.034508675,0.8177543,-0.04861696,6.471007
CHL1,5.8997273,-0.0664445,-0.014856575,3.8235998,5.446624,4.807293,2.57829,-0.041697256,3.225043,5.0128717,4.4879723,-0.09224563,-0.04472241,0.61004853,-0.053435553,5.8546114
ZNF202,6.139292,-0.06880644,-0.015458198,3.9597087,5.622826,4.9836392,2.6767817,-0.043196872,3.315895,5.1672077,4.633427,-0.09518294,-0.046022452,0.64219,-0.055451907,6.0578814
TDRD7,7.7703233,-0.08528493,-0.019614274,5.053691,6.8982096,6.008553,3.4183898,-0.055170897,4.1381974,6.084875,5.698784,-0.115946494,-0.056287363,0.85788345,-0.070092484,7.4228935
GRHL2,5.7111626,-0.067345135,-0.012494915,3.4959068,5.2489376,4.672766,2.675501,-0.039742712,3.004496,5.163548,4.1562634,-0.09097616,-0.046534356,0.40059724,-0.05056746,5.5858593
WWP1,5.646795,-0.06319923,-0.0129736755,3.3138058,5.093599,4.8048043,2.4147165,-0.031962514,2.8832867,4.048499,4.761453,-0.084103785,-0.04119552,0.4006244,-0.053884737,5.161236
BTG2,6.008502,-0.06740667,-0.015139148,3.8841398,5.530734,4.8719773,2.625641,-0.042369213,3.2702334,5.0784836,4.552087,-0.09351963,-0.04536157,0.62578684,-0.054263577,5.932728
RXRG,5.9589486,-0.066979185,-0.0149730295,3.845449,5.490015,4.8480754,2.604688,-0.042008255,3.2409506,5.051502,4.516917,-0.092914544,-0.04500956,0.6249385,-0.053834498,5.900539
