,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BMPR1A,-0.06296169,-0.073109746,-0.09401892,-0.066235974,-0.05694617,2.9819179,-0.05350803,-0.06980344,-0.006148995,1.586167,-0.012792038,-0.07630274,3.9579031,-0.062687084,5.645828,6.92978
P4HA2,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
HNRNPUL1,-0.067586794,-0.07790584,-0.0996069,-0.07059395,-0.060643695,3.1956224,-0.056672215,-0.07434492,-0.006636015,1.7088108,-0.013396123,-0.081049785,4.2101517,-0.066880375,6.000696,7.386672
BBS9,-0.060772054,-0.07061217,-0.09110069,-0.06431319,-0.055217724,2.9027414,-0.051588733,-0.067516856,-0.0059756385,1.5511785,-0.012489699,-0.07412867,3.8152785,-0.060488876,5.502985,6.667274
BIRC5,-0.061682377,-0.07160513,-0.092157096,-0.06517205,-0.05593653,2.9467244,-0.052270878,-0.068355374,-0.0059529818,1.5809654,-0.012535851,-0.075075455,3.8646708,-0.061377645,5.5736194,6.771861
ESYT1,-0.064493224,-0.07455599,-0.095613256,-0.0676531,-0.058125317,3.060965,-0.05428872,-0.0711451,-0.006325161,1.6441152,-0.012969909,-0.07774423,4.0202937,-0.06391099,5.763399,7.059547
ZNF101,-0.07130024,-0.07864723,-0.09505494,-0.07444557,-0.07167438,3.9385815,-0.05016997,-0.07339928,-0.013556694,1.8699763,-0.022542149,-0.08676977,4.6053905,-0.067282125,5.7148137,7.7463894
ACOX2,-0.057252366,-0.06042076,-0.08402891,-0.060808584,-0.055703554,2.008649,-0.040006004,-0.06236607,-0.008502824,1.7883272,-0.004961227,-0.06628528,3.7456446,-0.06114146,5.815524,5.680781
B4GALT3,-0.064648576,-0.07482961,-0.096014656,-0.06792436,-0.05828977,3.0680668,-0.054575752,-0.07139406,-0.006237439,1.6469921,-0.013017677,-0.0780892,4.0427046,-0.064047225,5.791361,7.0819573
BRCA2,-0.06264044,-0.072625235,-0.093321025,-0.065979,-0.05671294,2.9817033,-0.053015154,-0.069283,-0.0061135474,1.6024568,-0.012672635,-0.07598957,3.915641,-0.062280286,5.637275,6.8686585
GPN3,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
SLC39A10,-0.06714837,-0.077559136,-0.098833814,-0.070046954,-0.060318854,3.1767566,-0.05652781,-0.073696494,-0.0065701753,1.7029271,-0.013239227,-0.08062193,4.17427,-0.066577755,5.952123,7.3445845
NREP,-0.06014555,-0.07000651,-0.090238795,-0.06356971,-0.054658566,2.8728216,-0.05117083,-0.06682011,-0.005947335,1.5348623,-0.012352391,-0.07337042,3.7663517,-0.059998613,5.4305506,6.60566
EIF3J,-0.053801507,-0.066426724,-0.085554875,-0.064792715,-0.050567344,2.8124864,-0.05420614,-0.060227435,-0.001791875,1.953575,-0.011894024,-0.07138973,3.3396852,-0.05842776,5.6737237,7.3796077
CPSF6,-0.05948815,-0.072477885,-0.08892162,-0.062393706,-0.057000697,2.8443341,-0.051935486,-0.0649255,-0.0045728823,1.8041921,-0.013249658,-0.074589215,3.5845566,-0.062496223,5.4692664,6.851179
RUVBL1,-0.06323567,-0.07339542,-0.094217524,-0.066636115,-0.057250552,3.0027473,-0.053554866,-0.07004046,-0.0062612826,1.607005,-0.012856801,-0.07676133,3.9611323,-0.062977575,5.6786346,6.9496875
DDX39A,-0.06368642,-0.0737004,-0.09466207,-0.06695654,-0.057445068,3.0227916,-0.05369197,-0.07044577,-0.00634858,1.6149192,-0.0128527,-0.07699382,3.980744,-0.06330551,5.711033,6.9703317
LGALS2,-0.065026075,-0.07532952,-0.0960511,-0.067950025,-0.05865889,3.0850022,-0.054909356,-0.07146699,-0.0063132867,1.6534398,-0.013041858,-0.07834475,4.050258,-0.06455134,5.7796154,7.1299543
ANPEP,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
PHF11,-0.06089141,-0.07876374,-0.102764316,-0.07653308,-0.058404285,3.2550116,-0.05208058,-0.07668073,-0.0031221053,2.0194337,-0.022291316,-0.08697143,3.6433308,-0.060419314,6.9741683,6.9761057
DDB2,-0.06349251,-0.073545985,-0.09449992,-0.06682317,-0.057357926,3.0179987,-0.053682037,-0.070224196,-0.0061315047,1.6146946,-0.012790664,-0.07689373,3.9793608,-0.06301471,5.7035756,6.960194
GPATCH4,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
MEST,-0.06590313,-0.0761938,-0.09729362,-0.06888659,-0.05928258,3.1218848,-0.05549785,-0.07247856,-0.006427985,1.677917,-0.01311405,-0.07926583,4.096465,-0.065318875,5.8594112,7.2096686
FLAD1,-0.05579643,-0.06764877,-0.08711554,-0.06449262,-0.055995047,3.1489694,-0.051917646,-0.06483717,-0.010027468,1.4943871,-0.00966491,-0.080073595,3.190901,-0.06703037,5.5568347,6.1356983
WFDC2,-0.061271798,-0.07124806,-0.09201678,-0.06506605,-0.055580314,2.9218822,-0.052155394,-0.06821625,-0.0058739814,1.5767694,-0.012519505,-0.0749247,3.845861,-0.060846213,5.579202,6.715732
CAPG,-0.059823368,-0.06966061,-0.089838475,-0.06329682,-0.05441654,2.861625,-0.050987855,-0.06648317,-0.0059313225,1.5282209,-0.012294642,-0.07312923,3.7493765,-0.059721496,5.4035764,6.5776167
KDM4C,-0.062055796,-0.07201814,-0.092699945,-0.06546131,-0.05617748,2.95566,-0.05257113,-0.06878517,-0.006067524,1.579824,-0.012613977,-0.075376,3.8892446,-0.0617011,5.588775,6.8062162
DDAH1,-0.0630683,-0.07306295,-0.09381154,-0.066382706,-0.05705635,3.002594,-0.05319161,-0.06971132,-0.006148677,1.6166291,-0.012765599,-0.076396465,3.9336865,-0.062665835,5.6711516,6.9093747
LAMA1,-0.07260255,-0.08416421,-0.1067833,-0.07528536,-0.06521226,3.369102,-0.061312035,-0.08003773,-0.0075798715,1.7736105,-0.014603236,-0.08699453,4.5062385,-0.072643474,6.3587093,7.967641
FASTKD2,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
PLA2G16,-0.07260531,-0.08417404,-0.10678828,-0.07524459,-0.06518588,3.3666215,-0.06128482,-0.08005004,-0.0075822435,1.7716856,-0.014584542,-0.08699454,4.5013227,-0.07268372,6.3565893,7.964567
BCOR,-0.06379781,-0.07389283,-0.09479898,-0.06702144,-0.057611976,3.0330663,-0.05386631,-0.07045747,-0.0062597194,1.6271216,-0.012874433,-0.0771353,3.9804099,-0.06335065,5.7118816,6.9900074
LRRC1,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
CETN3,-0.059201058,-0.06879595,-0.08877049,-0.06255456,-0.05418955,2.8466408,-0.05004304,-0.0656773,-0.0061178715,1.5139825,-0.012264286,-0.07238534,3.690882,-0.059533533,5.3685365,6.494332
ISY1,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
PNPT1,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
POLR2D,-0.06927481,-0.07978872,-0.102004305,-0.07220526,-0.06201024,3.2586446,-0.057947505,-0.07629556,-0.006819323,1.7384338,-0.013718802,-0.082802854,4.313188,-0.06857005,6.1238484,7.576698
TBCB,-0.060134724,-0.069976196,-0.09026955,-0.06357417,-0.054754056,2.8695798,-0.051201485,-0.06684492,-0.00600462,1.5375473,-0.012401664,-0.07342196,3.7644756,-0.060035013,5.4390187,6.605962
ACTL6A,-0.06280548,-0.07296483,-0.09364479,-0.06612777,-0.056788057,2.9803498,-0.053287975,-0.06955336,-0.0061110966,1.5995421,-0.012660316,-0.076188184,3.9303896,-0.062547944,5.636813,6.9015093
TATDN3,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
SERTAD3,-0.064132944,-0.07428271,-0.0952396,-0.0672285,-0.05789038,3.041964,-0.054131906,-0.07081279,-0.006364682,1.6251948,-0.012980757,-0.07742228,3.9982872,-0.0637135,5.7213917,7.0206666
POLD3,-0.065382965,-0.07551314,-0.09671413,-0.06840364,-0.058834538,3.1000679,-0.05493199,-0.07202575,-0.006475849,1.6606485,-0.013093188,-0.07861881,4.0662017,-0.06482243,5.820123,7.1505265
CTSV,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
NCOA6,-0.06118145,-0.071203046,-0.091463506,-0.06457185,-0.0556508,2.9135664,-0.052064184,-0.067776114,-0.006147707,1.5664154,-0.012523984,-0.07457785,3.8198507,-0.061194096,5.520391,6.7274475
ZNHIT3,-0.064427555,-0.07456605,-0.0956276,-0.06758911,-0.058110125,3.0596921,-0.054403458,-0.071120195,-0.0062018693,1.6398613,-0.012945146,-0.0777995,4.023077,-0.0638617,5.765356,7.054332
MUSTN1,-0.061774977,-0.07170714,-0.092093244,-0.065105736,-0.0559259,2.945821,-0.05224572,-0.068348065,-0.0059437654,1.5862732,-0.01251475,-0.074997306,3.855559,-0.06136762,5.563257,6.7668986
CFAP20,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
RUVBL2,-0.056440055,-0.059677355,-0.083368555,-0.06024254,-0.05494259,1.9759554,-0.039614294,-0.061803665,-0.008431903,1.7620049,-0.0049525374,-0.065606,3.7034276,-0.06035195,5.7618446,5.6087356
IRF1,-0.06039622,-0.07031619,-0.09050301,-0.06381392,-0.05504072,2.8846052,-0.05136896,-0.06703333,-0.006133863,1.5410994,-0.012456427,-0.07377224,3.772094,-0.060500834,5.4586844,6.6370034
UGP2,-0.0612784,-0.07116164,-0.09163704,-0.06465066,-0.05556228,2.9228268,-0.05184837,-0.06799543,-0.0059304857,1.5586598,-0.012470046,-0.074548185,3.8341978,-0.061073456,5.5293684,6.719983
ACAA1,-0.070751615,-0.086076096,-0.10377991,-0.07263231,-0.06724725,3.2820787,-0.06153691,-0.07660986,-0.006065191,2.0606425,-0.015583469,-0.087248266,4.218986,-0.07489156,6.289213,8.159605
MYL6B,-0.064821355,-0.075000115,-0.09596342,-0.06789089,-0.05838625,3.0743322,-0.05461125,-0.0714285,-0.0063113593,1.6555595,-0.012994333,-0.078106,4.0299087,-0.064231165,5.780655,7.0913224
GTF2I,-0.06277368,-0.07277291,-0.093367785,-0.066061646,-0.056772854,2.9885368,-0.053092036,-0.069344535,-0.0060772095,1.6116056,-0.012636364,-0.07605812,3.918954,-0.062352728,5.63852,6.8828664
SRSF2,-0.06259496,-0.07262062,-0.09325141,-0.06587413,-0.056674056,2.9797633,-0.052955136,-0.06925603,-0.0063224137,1.5834513,-0.012750859,-0.075838685,3.915095,-0.062287696,5.6286693,6.863948
BZW2,-0.06304051,-0.073078275,-0.09374993,-0.06634594,-0.05695042,2.9998302,-0.053214025,-0.06966231,-0.0060500274,1.615428,-0.012711027,-0.07634798,3.9348273,-0.06253459,5.6650276,6.901777
SYTL2,-0.06253649,-0.07256613,-0.09331557,-0.065835185,-0.05654841,2.974143,-0.052938648,-0.069270596,-0.0060456446,1.5948606,-0.012690704,-0.075816944,3.9094288,-0.062109236,5.6187615,6.8543477
A1CF,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
NCOA1,-0.061273918,-0.071285166,-0.09154107,-0.06462845,-0.05566987,2.921227,-0.05204203,-0.06786845,-0.0060549923,1.5671774,-0.012515743,-0.07462294,3.8279512,-0.061188255,5.5230584,6.7323465
TMEM97,-0.064010866,-0.074104354,-0.09499223,-0.06721403,-0.057763137,3.041021,-0.054080606,-0.07061174,-0.0062189866,1.6337358,-0.01285098,-0.07733595,3.997165,-0.06347671,5.7276707,7.013442
ACAD11,-0.060795516,-0.070783935,-0.091157414,-0.064237446,-0.055163402,2.8985267,-0.051689308,-0.06755178,-0.005932321,1.5510993,-0.0124161225,-0.07406521,3.8077304,-0.06062139,5.483726,6.676525
PTMA,-0.055142697,-0.07618862,-0.09648535,-0.063596874,-0.0470921,2.5096946,-0.057364576,-0.0692842,-0.0044313073,0.5830515,-0.018211646,-0.07666133,4.0245748,-0.053194545,4.7526245,6.1962957
POU5F1,-0.060153913,-0.07421108,-0.08572018,-0.05608002,-0.05523917,2.649636,-0.053246483,-0.06862794,-0.00045850954,1.696523,-0.014850738,-0.07069853,2.9243147,-0.060210783,4.693792,7.042554
HMMR,-0.06714837,-0.077559136,-0.098833814,-0.070046954,-0.060318854,3.1767566,-0.05652781,-0.073696494,-0.0065701753,1.7029271,-0.013239227,-0.08062193,4.17427,-0.066577755,5.952123,7.3445845
PROSER1,-0.06251581,-0.072537675,-0.09321906,-0.065826654,-0.056637987,2.9775152,-0.052894965,-0.069223754,-0.006152875,1.5958853,-0.012706874,-0.075866975,3.9011483,-0.062284417,5.619251,6.8599625
ATIC,-0.067144476,-0.07755551,-0.098828495,-0.07005693,-0.060312975,3.1749868,-0.056533813,-0.073691115,-0.006561341,1.7022777,-0.013231332,-0.08062298,4.175557,-0.06656394,5.9530406,7.3449726
MED21,-0.06265832,-0.07261367,-0.09347088,-0.066024594,-0.056651816,2.9862008,-0.053025592,-0.06939743,-0.006071182,1.5992513,-0.012756818,-0.07601011,3.9290817,-0.06215781,5.6370873,6.8686547
EMC2,-0.065699235,-0.06714904,-0.08334733,-0.05634008,-0.058862668,3.395224,-0.045122284,-0.060454443,-0.0046600304,1.4978509,-0.013908785,-0.06397824,4.125549,-0.056775115,5.0357537,6.45274
MPC1,-0.06464397,-0.07829596,-0.099485464,-0.073482916,-0.06428329,3.552228,-0.06001724,-0.0748115,-0.012111695,1.6481925,-0.011193756,-0.09153686,3.6771939,-0.07794158,6.264231,7.1152725
SORBS2,-0.06656871,-0.06802161,-0.0843257,-0.056967214,-0.059559524,3.4318743,-0.045642536,-0.06126334,-0.004767019,1.5120437,-0.014062322,-0.064712346,4.1711726,-0.05755169,5.090343,6.529151
TRIAP1,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
VTN,-0.062769964,-0.07280714,-0.09349814,-0.06603951,-0.05680344,2.9886956,-0.053176574,-0.06941356,-0.0061275517,1.6039441,-0.012698863,-0.076108016,3.9199624,-0.06240089,5.6338305,6.8834033
MRPL2,-0.072605334,-0.08416681,-0.106787115,-0.07527821,-0.065216474,3.3703709,-0.06130773,-0.08004158,-0.007586206,1.7740762,-0.014608896,-0.086993776,4.505316,-0.072653376,6.3580513,7.9673624
