,TF,Target,Label
0,1,184,1
1,1,169,1
2,6,943,1
3,6,393,1
4,6,763,1
5,6,360,1
6,6,75,1
7,6,229,1
8,10,796,1
9,10,492,1
10,20,817,1
11,20,104,1
12,20,602,1
13,26,410,1
14,37,380,1
15,38,924,1
16,38,319,1
17,38,352,1
18,38,360,1
19,38,470,1
20,38,793,1
21,38,518,1
22,38,202,1
23,38,393,1
24,38,817,1
25,38,799,1
26,38,811,1
27,44,761,1
28,48,741,1
29,48,393,1
30,53,276,1
31,54,828,1
32,54,722,1
33,54,319,1
34,55,485,1
35,60,837,1
36,60,794,1
37,60,721,1
38,66,943,1
39,66,519,1
40,67,674,1
41,67,644,1
42,68,708,1
43,68,772,1
44,68,179,1
45,68,182,1
46,68,703,1
47,68,870,1
48,68,625,1
49,68,668,1
50,68,395,1
51,68,692,1
52,68,368,1
53,68,150,1
54,68,447,1
55,68,461,1
56,68,512,1
57,68,84,1
58,68,477,1
59,68,199,1
60,68,226,1
61,68,338,1
62,68,72,1
63,68,81,1
64,68,212,1
65,68,152,1
66,68,539,1
67,68,639,1
68,68,269,1
69,68,484,1
70,68,44,1
71,68,373,1
72,68,623,1
73,68,79,1
74,68,537,1
75,68,33,1
76,68,774,1
77,68,321,1
78,68,331,1
79,68,48,1
80,68,17,1
81,68,189,1
82,68,209,1
83,68,504,1
84,68,714,1
85,68,890,1
86,68,807,1
87,68,252,1
88,68,300,1
89,68,308,1
90,68,249,1
91,68,358,1
92,68,947,1
93,68,582,1
94,68,138,1
95,68,574,1
96,68,656,1
97,68,149,1
98,68,289,1
99,68,258,1
100,68,255,1
101,68,389,1
102,68,430,1
103,68,384,1
104,68,345,1
105,68,834,1
106,68,840,1
107,68,832,1
108,68,678,1
109,68,637,1
110,68,349,1
111,68,329,1
112,68,141,1
113,68,719,1
114,68,332,1
115,68,707,1
116,68,894,1
117,68,236,1
118,68,566,1
119,68,412,1
120,68,335,1
121,68,797,1
122,68,393,1
123,68,746,1
124,68,224,1
125,68,114,1
126,68,218,1
127,68,634,1
128,68,371,1
129,68,372,1
130,68,423,1
131,68,287,1
132,68,593,1
133,68,826,1
134,68,375,1
135,68,399,1
136,68,664,1
137,68,728,1
138,68,829,1
139,68,296,1
140,68,297,1
141,68,61,1
142,68,360,1
143,68,281,1
144,68,913,1
145,68,363,1
146,68,311,1
147,68,845,1
148,68,115,1
149,68,414,1
150,69,281,1
151,69,767,1
152,71,676,1
153,75,817,1
154,75,6,1
155,75,671,1
156,75,825,1
157,78,281,1
158,81,229,1
159,81,328,1
160,85,585,1
161,85,868,1
162,86,147,1
163,86,18,1
164,86,172,1
165,86,640,1
166,86,138,1
167,86,292,1
168,86,143,1
169,86,588,1
170,86,236,1
171,86,427,1
172,86,832,1
173,86,306,1
174,86,274,1
175,92,643,1
176,93,682,1
177,93,503,1
178,101,817,1
179,101,930,1
180,102,652,1
181,104,602,1
182,104,614,1
183,104,474,1
184,104,20,1
185,104,529,1
186,109,905,1
187,113,902,1
188,113,940,1
189,113,501,1
190,113,915,1
191,113,518,1
192,113,924,1
193,119,6,1
194,119,693,1
195,119,139,1
196,119,138,1
197,119,328,1
198,119,491,1
199,119,780,1
200,119,34,1
201,119,656,1
202,119,861,1
203,119,40,1
204,119,189,1
205,119,878,1
206,119,722,1
207,119,811,1
208,119,389,1
209,119,223,1
210,119,837,1
211,119,614,1
212,119,271,1
213,119,586,1
