,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MTAP,5.85427,6.170595,9.1012535,2.8970788,4.309732,-0.019275656,8.92715,3.3886466,-0.0463106,-0.03022801,-0.021568276,5.7992687,-0.09081716,5.6309423,-0.07340277,-0.037237216
TAF7,5.713088,5.9502974,8.789096,2.775878,4.1634765,-0.018498419,8.636038,3.2920256,-0.044720702,-0.028906606,-0.020458834,5.647566,-0.08774582,5.406999,-0.070877485,-0.036053322
P4HA2,5.5866976,5.8077784,8.587359,2.692133,4.073587,-0.017897535,8.428432,3.2070348,-0.04362088,-0.02818195,-0.019780798,5.521164,-0.08570634,5.2707396,-0.06901792,-0.035158668
EYA3,5.6333346,5.8761973,8.671392,2.7308805,4.1049986,-0.018159205,8.519179,3.24565,-0.044095162,-0.028428778,-0.020120177,5.5783567,-0.08652294,5.3231,-0.069842964,-0.035470787
ZNF202,6.004237,6.511267,9.565982,3.0604563,4.4547763,-0.021115657,9.357641,3.5690677,-0.048522227,-0.03202186,-0.023140738,6.0599093,-0.095053114,5.97806,-0.07691338,-0.03862465
PPIL1,5.857555,6.1731195,9.105143,2.8891318,4.31704,-0.019257307,8.933425,3.3851285,-0.046306167,-0.030197611,-0.021513518,5.796803,-0.09082704,5.625904,-0.073424295,-0.03717011
HIPK2,5.649762,5.877317,8.67942,2.7383718,4.1117067,-0.018283779,8.534544,3.2477782,-0.04423458,-0.028509242,-0.020106923,5.5834684,-0.08662466,5.326855,-0.06999741,-0.035569932
TFRC,5.696719,5.931408,8.762979,2.7675383,4.153013,-0.018444132,8.608836,3.2805705,-0.04464177,-0.028828975,-0.020396132,5.628458,-0.087493576,5.3869014,-0.07064013,-0.03595117
NUDT15,5.733169,5.9809775,8.828396,2.7926192,4.181873,-0.01862526,8.67386,3.3033116,-0.044972207,-0.0291112,-0.020635601,5.6618605,-0.08814929,5.434572,-0.07119562,-0.03618533
SMOX,6.004237,6.511267,9.565982,3.0604563,4.4547763,-0.021115657,9.357641,3.5690677,-0.048522227,-0.03202186,-0.023140738,6.0599093,-0.095053114,5.97806,-0.07691338,-0.03862465
TCEB2,5.668544,5.9186454,8.737703,2.756417,4.1406345,-0.018412124,8.579782,3.260333,-0.044532444,-0.028694361,-0.020329775,5.612513,-0.087175526,5.3686347,-0.07032181,-0.035779044
SCN7A,6.004237,6.511267,9.565982,3.0604563,4.4547763,-0.021115657,9.357641,3.5690677,-0.048522227,-0.03202186,-0.023140738,6.0599093,-0.095053114,5.97806,-0.07691338,-0.03862465
