,TF,Target,Label
0,0,228,1
1,0,652,1
2,0,567,1
3,0,551,1
4,0,208,1
5,0,174,1
6,0,679,1
7,0,146,1
8,0,200,1
9,0,151,1
10,0,816,1
11,0,782,1
12,3,139,1
13,5,86,1
14,5,495,1
15,5,350,1
16,5,727,1
17,6,610,1
18,14,240,1
19,14,553,1
20,14,104,1
21,14,366,1
22,14,765,1
23,14,411,1
24,14,320,1
25,14,603,1
26,14,729,1
27,14,319,1
28,14,451,1
29,14,402,1
30,14,397,1
31,14,559,1
32,14,156,1
33,14,357,1
34,14,618,1
35,14,290,1
36,14,65,1
37,14,554,1
38,14,277,1
39,14,40,1
40,15,393,1
41,16,43,1
42,19,496,1
43,24,811,1
44,24,455,1
45,24,752,1
46,24,717,1
47,26,641,1
48,26,530,1
49,26,353,1
50,26,30,1
51,26,340,1
52,26,424,1
53,26,397,1
54,26,603,1
55,26,681,1
56,26,320,1
57,26,241,1
58,26,765,1
59,26,154,1
60,26,253,1
61,26,579,1
62,26,119,1
63,26,268,1
64,26,198,1
65,29,610,1
66,32,811,1
67,32,366,1
68,32,451,1
69,32,618,1
70,32,163,1
71,32,553,1
72,32,603,1
73,32,554,1
74,32,109,1
75,32,559,1
76,32,319,1
77,32,357,1
78,32,765,1
79,32,40,1
80,32,115,1
81,34,436,1
82,34,544,1
83,34,98,1
84,34,447,1
85,34,184,1
86,34,463,1
87,34,601,1
88,34,385,1
89,34,600,1
90,34,80,1
91,34,644,1
92,42,185,1
93,42,189,1
94,42,167,1
95,42,777,1
96,42,496,1
97,42,300,1
98,42,778,1
99,42,511,1
100,42,330,1
101,42,669,1
102,42,752,1
103,42,323,1
104,42,244,1
105,42,160,1
106,42,313,1
107,42,464,1
108,43,529,1
109,43,322,1
110,43,401,1
111,43,729,1
112,43,210,1
113,43,548,1
114,43,98,1
115,43,769,1
116,43,353,1
117,43,605,1
118,43,95,1
119,43,142,1
120,43,198,1
121,43,350,1
122,44,311,1
123,44,160,1
124,61,777,1
125,61,320,1
126,68,228,1
127,68,464,1
128,68,446,1
129,68,567,1
130,71,171,1
131,71,259,1
132,71,561,1
133,71,79,1
134,71,616,1
135,71,287,1
136,76,333,1
137,79,727,1
138,79,616,1
139,79,171,1
140,79,139,1
141,80,32,1
142,80,551,1
143,80,604,1
144,80,721,1
145,80,720,1
146,80,304,1
147,80,149,1
148,80,10,1
149,80,318,1
150,80,564,1
151,80,717,1
152,80,707,1
153,80,377,1
154,80,26,1
155,80,58,1
156,80,221,1
157,80,725,1
158,80,250,1
159,80,309,1
160,80,305,1
161,80,301,1
162,80,193,1
163,80,135,1
164,80,200,1
165,80,421,1
166,80,65,1
167,80,118,1
168,80,522,1
169,80,650,1
170,80,698,1
171,80,361,1
172,80,164,1
173,80,736,1
174,80,763,1
175,80,348,1
176,80,679,1
177,80,662,1
178,80,46,1
179,80,486,1
180,80,619,1
181,80,548,1
182,80,576,1
183,80,439,1
184,80,205,1
185,80,597,1
186,80,419,1
187,80,533,1
188,80,241,1
189,80,266,1
190,80,624,1
191,80,465,1
192,80,127,1
193,80,352,1
194,80,84,1
195,80,566,1
196,80,21,1
197,80,257,1
198,80,138,1
199,80,440,1
200,80,489,1
201,80,380,1
202,80,801,1
203,80,274,1
204,80,580,1
205,80,384,1
206,80,23,1
207,80,609,1
208,80,96,1
209,80,405,1
210,80,261,1
211,80,479,1
212,80,434,1
213,80,740,1
214,80,496,1
215,80,702,1
216,80,366,1
217,80,258,1
218,80,340,1
219,80,615,1
220,80,238,1
221,80,532,1
222,80,802,1
223,80,412,1
224,80,790,1
225,80,804,1
226,80,160,1
227,80,358,1
228,80,360,1
229,80,691,1
230,80,596,1
231,80,506,1
232,80,45,1
233,80,327,1
234,80,157,1
235,80,594,1
236,83,353,1
237,83,529,1
238,83,303,1
239,83,275,1
240,83,459,1
241,83,777,1
242,83,564,1
243,83,675,1
244,83,570,1
245,83,350,1
246,83,77,1
247,83,391,1
248,83,678,1
249,83,669,1
250,83,86,1
251,83,142,1
252,83,755,1
253,83,751,1
254,83,641,1
255,83,223,1
256,83,456,1
257,83,717,1
258,83,666,1
259,83,116,1
260,83,48,1
261,83,330,1
262,83,11,1
263,83,557,1
264,83,712,1
265,83,729,1
266,83,774,1
267,83,207,1
268,83,362,1
269,83,301,1
270,83,263,1
271,83,589,1
272,83,745,1
273,86,113,1
274,86,717,1
275,86,44,1
276,86,139,1
277,86,727,1
278,86,424,1
279,86,26,1
280,86,432,1
281,86,653,1
282,86,577,1
283,86,787,1
284,86,176,1
285,86,594,1
286,86,635,1
287,86,39,1
288,86,495,1
289,86,647,1
290,86,654,1
291,86,205,1
292,86,529,1
293,86,725,1
294,86,681,1
295,86,557,1
296,86,538,1
297,86,350,1
298,86,374,1
299,86,353,1
300,86,519,1
301,86,751,1
302,86,83,1
303,86,301,1
304,86,702,1
305,86,483,1
306,86,788,1
307,86,207,1
308,86,453,1
309,91,479,1
310,96,249,1
311,96,108,1
312,96,75,1
313,96,485,1
314,96,736,1
315,96,358,1
316,96,740,1
317,96,22,1
318,96,583,1
319,96,351,1
320,98,675,1
321,98,275,1
322,98,729,1
323,98,301,1
324,119,557,1
325,119,702,1
326,119,86,1
327,119,26,1
328,132,631,1
329,134,174,1
330,134,273,1
331,134,344,1
332,134,228,1
333,134,551,1
334,134,265,1
335,134,464,1
336,134,179,1
337,134,713,1
338,134,151,1
339,134,587,1
340,135,166,1
341,135,755,1
342,136,503,1
343,136,643,1
344,136,137,1
345,136,251,1
346,136,470,1
347,136,589,1
348,136,337,1
349,136,143,1
350,136,562,1
351,136,766,1
352,136,730,1
353,136,525,1
354,139,493,1
355,139,97,1
356,139,79,1
357,139,233,1
358,139,785,1
359,139,353,1
360,139,212,1
361,139,105,1
362,139,648,1
363,139,3,1
364,139,777,1
365,139,268,1
366,139,577,1
367,142,301,1
368,142,675,1
369,143,330,1
370,146,464,1
371,146,151,1
372,146,652,1
373,146,228,1
374,146,0,1
375,146,782,1
376,146,200,1
377,146,551,1
378,146,667,1
379,146,567,1
380,151,146,1
381,151,329,1
382,151,179,1
383,151,567,1
384,151,652,1
385,151,716,1
386,151,586,1
387,151,247,1
388,151,134,1
389,151,782,1
390,151,464,1
391,151,446,1
392,151,200,1
393,151,587,1
394,151,273,1
395,151,228,1
396,151,0,1
397,151,672,1
398,153,277,1
399,153,301,1
400,157,287,1
401,157,455,1
402,157,631,1
403,157,130,1
404,158,351,1
405,158,148,1
406,158,613,1
407,158,736,1
408,158,371,1
409,158,141,1
410,158,25,1
411,158,740,1
412,158,112,1
413,158,664,1
414,158,485,1
415,158,249,1
416,163,610,1
417,171,287,1
418,171,561,1
419,171,71,1
420,171,616,1
421,171,729,1
422,171,692,1
423,174,247,1
424,174,587,1
425,174,816,1
426,174,265,1
427,174,0,1
428,174,184,1
429,174,713,1
430,174,464,1
431,174,329,1
432,174,151,1
433,174,645,1
434,174,146,1
435,174,672,1
436,174,567,1
437,174,586,1
438,174,191,1
439,174,652,1
440,176,557,1
441,176,333,1
442,176,285,1
443,176,803,1
444,176,360,1
445,176,574,1
446,176,471,1
447,176,758,1
448,176,795,1
449,176,85,1
450,176,260,1
451,176,86,1
452,176,90,1
453,176,785,1
454,176,491,1
455,176,318,1
456,176,304,1
457,176,446,1
458,176,154,1
459,176,515,1
460,176,381,1
461,176,678,1
462,176,300,1
463,176,460,1
464,176,689,1
465,176,313,1
466,176,466,1
467,176,349,1
468,176,603,1
469,176,245,1
470,176,343,1
471,176,641,1
472,176,508,1
473,176,11,1
474,176,502,1
475,176,60,1
476,176,692,1
477,176,510,1
478,176,640,1
479,176,226,1
480,176,722,1
481,176,683,1
482,176,303,1
483,176,184,1
484,176,181,1
485,176,104,1
486,176,474,1
487,176,131,1
488,176,625,1
489,176,320,1
490,176,531,1
491,176,160,1
492,176,29,1
493,176,755,1
494,179,247,1
495,179,567,1
496,179,228,1
497,179,174,1
498,179,151,1
499,179,464,1
500,179,332,1
501,179,265,1
502,179,134,1
503,179,551,1
504,179,782,1
505,181,769,1
506,184,586,1
507,184,174,1
508,184,816,1
509,184,200,1
510,184,146,1
511,184,0,1
512,184,567,1
513,184,782,1
514,184,652,1
515,184,551,1
516,187,441,1
517,189,42,1
518,191,567,1
519,191,174,1
520,191,813,1
521,191,329,1
522,191,716,1
523,191,228,1
524,191,301,1
525,191,586,1
526,191,672,1
527,191,464,1
528,191,614,1
529,191,551,1
530,192,300,1
531,198,210,1
532,198,393,1
533,198,275,1
534,198,136,1
535,198,809,1
536,198,320,1
537,198,43,1
538,198,86,1
539,198,18,1
540,198,577,1
541,198,2,1
542,198,373,1
543,198,741,1
544,198,439,1
545,198,397,1
546,198,769,1
547,198,144,1
548,198,260,1
549,198,654,1
550,198,495,1
551,198,525,1
552,198,716,1
553,198,729,1
554,198,712,1
555,198,456,1
556,199,798,1
557,201,135,1
558,203,441,1
559,203,564,1
560,204,300,1
561,208,0,1
562,210,198,1
563,210,139,1
564,210,577,1
565,210,43,1
566,210,353,1
567,215,441,1
568,215,759,1
569,221,446,1
570,228,247,1
571,228,179,1
572,228,816,1
573,228,184,1
574,228,146,1
575,228,273,1
576,228,191,1
577,228,265,1
578,228,645,1
579,228,667,1
580,228,174,1
581,228,567,1
582,228,68,1
583,228,672,1
584,228,587,1
585,228,200,1
586,228,586,1
587,228,134,1
588,228,716,1
589,237,446,1
590,238,419,1
591,238,742,1
592,238,166,1
593,238,215,1
594,240,287,1
595,240,14,1
596,240,446,1
597,240,99,1
598,242,268,1
599,244,319,1
600,244,98,1
601,245,441,1
602,247,151,1
603,247,551,1
604,247,587,1
605,247,179,1
606,247,265,1
607,247,816,1
608,247,228,1
609,247,713,1
610,247,174,1
611,247,586,1
612,253,244,1
613,259,729,1
614,259,509,1
615,259,616,1
616,259,86,1
617,259,727,1
618,259,350,1
619,259,301,1
620,259,561,1
621,259,631,1
622,259,160,1
623,263,455,1
624,263,752,1
625,263,659,1
626,263,811,1
627,263,24,1
628,265,525,1
629,265,782,1
630,265,174,1
631,265,228,1
632,265,247,1
633,265,134,1
634,265,464,1
635,265,567,1
636,265,4,1
637,265,713,1
638,265,551,1
639,265,480,1
640,268,441,1
641,268,577,1
642,268,729,1
643,268,270,1
644,268,26,1
