,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
SRSF1,-0.03286438,-0.02445816,0.038266525,4.4912868,-0.040826358,-0.06305548,2.7585783,-0.015041207,-0.055578437,3.2521954,1.1623344,-0.058241967,-0.032816697,-0.016212983,-0.019540992,-0.04790738
DYNC1LI1,-0.04740335,-0.034269102,-0.0011159066,6.1939926,-0.060362123,-0.0897753,4.107574,-0.016229454,-0.08189856,4.4455647,1.0235921,-0.081982516,-0.04642245,-0.025087543,-0.027257795,-0.069538005
ALDOA,-0.037027672,-0.027766468,-0.0001450497,5.1030684,-0.04723391,-0.07192409,3.1883848,-0.015630178,-0.06418418,3.658016,1.1373156,-0.06627231,-0.036971573,-0.018765427,-0.022275865,-0.054710787
TAX1BP3,-0.03202169,-0.028021643,0.30355006,4.622902,-0.04828308,-0.06408216,3.3664093,-0.011425439,-0.061268825,3.1630695,1.2760652,-0.059141506,-0.031080421,-0.013325961,-0.027056403,-0.051223654
NEDD8,-0.033258144,-0.024920791,0.0067908615,4.579173,-0.04172973,-0.06431635,2.8322866,-0.015316625,-0.056787048,3.3106523,1.1413398,-0.059195478,-0.03334633,-0.016308574,-0.019962069,-0.048610654
APEX1,-0.02376618,-0.02439123,-0.0036023718,4.6030893,-0.03725296,-0.05934392,2.235274,-0.007422135,-0.056584902,2.6711574,0.35947883,-0.0677264,-0.028616628,-0.025302628,-0.017115062,-0.049815647
CNOT6,-0.036762867,-0.02755648,-0.0002921152,5.105955,-0.04692167,-0.07180035,3.1697123,-0.01565615,-0.064042374,3.654118,1.1133223,-0.0661111,-0.0368845,-0.018708805,-0.022209987,-0.054477923
MS4A6D,-0.04740335,-0.034269102,-0.0011159066,6.1939926,-0.060362123,-0.0897753,4.107574,-0.016229454,-0.08189856,4.4455647,1.0235921,-0.081982516,-0.04642245,-0.025087543,-0.027257795,-0.069538005
H1F0,-0.04116554,-0.03477247,0.2913007,5.563824,-0.061792146,-0.07972002,4.3454385,-0.01086021,-0.07816173,3.8046832,1.2154505,-0.07296654,-0.038978413,-0.01825166,-0.03331043,-0.06517176
NDUFA6,-0.04740335,-0.034269102,-0.0011159066,6.1939926,-0.060362123,-0.0897753,4.107574,-0.016229454,-0.08189856,4.4455647,1.0235921,-0.081982516,-0.04642245,-0.025087543,-0.027257795,-0.069538005
RPL5,-0.050319687,-0.035934743,-0.0014893316,6.4451427,-0.06405182,-0.09408335,4.3824983,-0.016428562,-0.086437,4.6287475,1.0289782,-0.08550477,-0.048849367,-0.02637136,-0.028708914,-0.0735001
VIM,-0.037009686,-0.02770673,-0.00022023245,5.1011515,-0.047084108,-0.071732864,3.1751325,-0.015729707,-0.06410747,3.6688492,1.1319348,-0.06607803,-0.036900964,-0.018657304,-0.022098677,-0.054592244
SGK1,-0.03993184,-0.027486231,0.6381429,4.093522,-0.041739676,-0.06149808,2.9782913,-0.020690903,-0.04996417,2.950138,1.5169088,-0.05721943,-0.02821621,-0.015194861,-0.012044796,-0.04177566
FUBP3,-0.046374448,-0.03342285,-0.0010508996,6.0589037,-0.05854669,-0.08744449,4.0066986,-0.016357927,-0.07984126,4.318258,1.1231515,-0.08005446,-0.04558923,-0.024151692,-0.026951494,-0.06758477
IRF1,-0.035891403,-0.027027654,-4.524961e-05,4.9886875,-0.04567503,-0.06990239,3.0815241,-0.015657041,-0.062087893,3.563356,1.1351624,-0.06448308,-0.03585405,-0.018127471,-0.021575749,-0.052801374
NCOR2,-0.03560893,-0.026769854,-0.00026973247,4.9585257,-0.04530444,-0.069688484,3.062377,-0.015667299,-0.061839886,3.5567174,1.1114141,-0.06419063,-0.035825547,-0.018040411,-0.021427942,-0.05269303
SKI,-0.036844444,-0.027797105,-0.0003649421,5.091207,-0.046917964,-0.07141434,3.1761456,-0.015790783,-0.06372082,3.6210494,1.1735114,-0.06567805,-0.03689461,-0.018683083,-0.02214763,-0.054148965
