,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
SRSF1,6.711172,2.2480206,-0.024417454,-0.055493325,6.7618175,8.127559,-0.058244575,-0.0017862917,11.292402,-0.07580682,-0.021209236,8.000408,-0.024451334,1.8017616,5.204342,6.722968
DYNC1LI1,8.174897,2.7232802,-0.029017419,-0.067975864,8.34069,10.19193,-0.070224255,-0.0024327994,13.8543215,-0.09558269,-0.026422305,9.86179,-0.029619306,2.2736793,6.5333786,8.194589
ALDOA,7.2940516,2.4342387,-0.026488733,-0.060186815,7.378485,8.951828,-0.062813945,-0.0016270545,12.380152,-0.084018074,-0.023823196,8.785781,-0.026702048,1.9939135,5.779968,7.3582087
TAX1BP3,7.307637,2.4432533,-0.026650863,-0.060509477,7.3924623,8.9686985,-0.062997505,-0.0018556465,12.3869705,-0.0839587,-0.023857445,8.79534,-0.026933247,1.973498,5.776451,7.3770657
NEDD8,6.7997518,2.2735815,-0.024878247,-0.056230202,6.8591504,8.256975,-0.05895579,-0.0018433694,11.452126,-0.0769844,-0.02159795,8.120908,-0.024858661,1.8165301,5.3000374,6.8225975
APEX1,7.0336733,2.352434,-0.025627885,-0.05808214,7.099725,8.602292,-0.06074936,-0.0017364323,11.901664,-0.08038079,-0.022718221,8.4281225,-0.025841853,1.8974619,5.5347447,7.0800977
CNOT6,7.2541285,2.423123,-0.026542723,-0.059921455,7.364922,8.908967,-0.062593706,-0.001734588,12.315941,-0.08342601,-0.023572123,8.735529,-0.026562843,1.9420844,5.740736,7.3296285
MS4A6D,8.174897,2.7232802,-0.029017419,-0.067975864,8.34069,10.19193,-0.070224255,-0.0024327994,13.8543215,-0.09558269,-0.026422305,9.86179,-0.029619306,2.2736793,6.5333786,8.194589
H1F0,8.174897,2.7232802,-0.029017419,-0.067975864,8.34069,10.19193,-0.070224255,-0.0024327994,13.8543215,-0.09558269,-0.026422305,9.86179,-0.029619306,2.2736793,6.5333786,8.194589
NDUFA6,7.602889,2.73515,-0.029841231,-0.055161238,7.639027,9.630621,-0.06682854,0.74211556,12.967285,-0.085487954,-0.028888118,9.079164,-0.035732135,2.8528702,5.7208147,8.023111
RPL5,8.490995,2.7770658,-0.02960604,-0.070670314,8.631955,10.619057,-0.07226365,-0.0026572433,14.345624,-0.09928921,-0.02723974,10.1689415,-0.030847797,2.3825376,6.765966,8.474338
VIM,7.3175836,2.4301262,-0.026520737,-0.060470533,7.3941026,8.954104,-0.0629893,-0.0017604561,12.384295,-0.08404852,-0.023879584,8.793618,-0.026810626,1.987353,5.766907,7.3693724
SGK1,7.0857096,2.3809478,-0.025845615,-0.0584926,7.1626387,8.688119,-0.061247196,-0.0018597863,11.980805,-0.080950804,-0.022805642,8.492594,-0.026111273,1.8969451,5.58006,7.1292696
FUBP3,8.2223,2.716097,-0.02897398,-0.068209864,8.338815,10.209657,-0.06995107,-0.0023197539,13.92265,-0.09577242,-0.026780583,9.871559,-0.030066645,2.2765265,6.5214095,8.248104
IRF1,7.1060486,2.3856735,-0.026129339,-0.058787327,7.201385,8.737151,-0.061671514,-0.0018594784,12.064536,-0.081672065,-0.023056103,8.567639,-0.02603858,1.9132992,5.62869,7.1700444
NCOR2,7.1066923,2.3661735,-0.02610339,-0.05863638,7.191501,8.700001,-0.06143199,-0.001775005,12.0666485,-0.081595704,-0.023098078,8.5419445,-0.026018998,1.9025759,5.624088,7.161218
SKI,7.3050065,2.440163,-0.026293034,-0.060075786,7.371665,8.971437,-0.06280499,-0.0018819722,12.3263,-0.08372171,-0.023602096,8.754932,-0.026765846,1.9814359,5.74521,7.31803
RPS5,8.354818,2.7469642,-0.029327637,-0.06940623,8.470481,10.384366,-0.0709481,-0.0024557686,14.136636,-0.09736593,-0.027171262,10.017599,-0.030531894,2.3145103,6.6209188,8.373997
