,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BRWD1,6.1601624,3.6778555,6.8008747,-0.06631457,7.2143235,5.2811966,3.9244204,6.7152205,6.064431,4.3591504,-0.009884096,-0.06255778,6.407104,-0.06557556,2.7255914,-0.014047955
CNOT6,6.1683593,3.687636,6.8157654,-0.06644492,7.228496,5.2909474,3.9341934,6.733694,6.081329,4.3645344,-0.009925478,-0.06270793,6.4199696,-0.06570266,2.732273,-0.014096454
CHD4,6.1542034,3.6786387,6.795729,-0.06623031,7.209527,5.274425,3.9227183,6.715618,6.0602527,4.352375,-0.009883757,-0.06250006,6.4054384,-0.06555454,2.7214859,-0.014040441
SUN1,8.0660715,4.634562,8.583202,-0.08472876,9.110839,6.7014074,4.9108434,8.314922,7.6545343,5.5239205,-0.010613166,-0.08022247,8.011366,-0.084862046,3.667394,-0.018700693
SGK1,6.1600504,3.6779933,6.7961535,-0.066290215,7.21386,5.2753496,3.9223287,6.7157183,6.0643573,4.354001,-0.009859694,-0.06254222,6.4042287,-0.06558403,2.7250853,-0.01406929
TUBB4B,6.157911,3.6761093,6.793068,-0.06625557,7.2105618,5.2722774,3.9207578,6.714715,6.059742,4.3528147,-0.009852764,-0.0625024,6.402569,-0.0655812,2.7222462,-0.014048702
CELF3,6.1712694,3.6895707,6.81307,-0.066422954,7.2255797,5.2860703,3.9286642,6.736917,6.0715637,4.3635664,-0.009870519,-0.06263089,6.4173913,-0.065757014,2.7311604,-0.014021418
MFSD1,8.0660715,4.634562,8.583202,-0.08472876,9.110839,6.7014074,4.9108434,8.314922,7.6545343,5.5239205,-0.010613166,-0.08022247,8.011366,-0.084862046,3.667394,-0.018700693
TSG101,6.2913823,3.7544854,6.9458685,-0.06775802,7.3531446,5.3838177,3.9938157,6.8443575,6.18931,4.4536424,-0.010033553,-0.0638177,6.5335555,-0.06694,2.7972562,-0.014366375
CTCF,6.189708,3.702475,6.8310857,-0.06660272,7.257944,5.3108287,3.9523518,6.7534766,6.105305,4.377677,-0.0100012375,-0.06295836,6.446035,-0.06596436,2.737818,-0.014156906
TGFB1I1,6.1596427,3.681046,6.798373,-0.06628246,7.2116556,5.2762675,3.9227011,6.720683,6.061626,4.3574123,-0.009878045,-0.0625064,6.4060273,-0.06560857,2.7269604,-0.014030249
