,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BRWD1,-0.057303462,-0.0571675,-0.060256213,6.25372,-0.045999702,-0.09877206,-0.05109336,-0.07449005,-0.03839166,-0.038414113,-0.010801241,6.9649673,-0.054189563,8.086677,-0.038697872,-0.008432927
CNOT6,-0.057368297,-0.057161,-0.06026304,6.256495,-0.045980964,-0.09880531,-0.051062055,-0.074427776,-0.03846648,-0.038430646,-0.010817743,6.9688945,-0.05420448,8.096945,-0.038738105,-0.008472695
CHD4,-0.057259407,-0.057129934,-0.060242698,6.2501183,-0.045944985,-0.0987102,-0.051041692,-0.07445296,-0.03836929,-0.038381055,-0.0107899215,6.961458,-0.054173928,8.084504,-0.038655527,-0.008438253
SUN1,-0.06698684,-0.06502585,-0.06904228,7.354305,-0.0519757,-0.11361876,-0.060116272,-0.08524585,-0.044992667,-0.04556797,-0.013922181,8.0592165,-0.061710835,9.467527,-0.04518159,-0.010724074
SGK1,-0.05730553,-0.05712927,-0.06025133,6.252771,-0.045982886,-0.09875223,-0.051085543,-0.074462935,-0.03839182,-0.03840731,-0.010800555,6.963157,-0.054188184,8.087692,-0.03869963,-0.008431026
TUBB4B,-0.05578633,-0.061338287,-0.058116302,6.185659,-0.0408281,-0.09733,-0.053515624,-0.08032422,-0.034046073,-0.041311722,-0.0128296325,6.578467,-0.051812343,7.5077796,-0.03425025,-0.0063051153
CELF3,-0.05743357,-0.057194117,-0.0603878,6.265634,-0.045999695,-0.09888027,-0.05113522,-0.074551,-0.0384989,-0.03845457,-0.01086601,6.9819345,-0.05428764,8.106464,-0.03877842,-0.008521855
MFSD1,-0.06698684,-0.06502585,-0.06904228,7.354305,-0.0519757,-0.11361876,-0.060116272,-0.08524585,-0.044992667,-0.04556797,-0.013922181,8.0592165,-0.061710835,9.467527,-0.04518159,-0.010724074
TSG101,-0.05811085,-0.05780193,-0.060979154,6.341309,-0.046458974,-0.10005536,-0.051696423,-0.075242564,-0.038968716,-0.038959518,-0.0109347105,7.053022,-0.054914296,8.204149,-0.039265424,-0.008555583
CTCF,-0.057261694,-0.057111297,-0.060150973,6.2479787,-0.045913927,-0.09869443,-0.050970785,-0.07432361,-0.038466368,-0.038299177,-0.010729982,6.9585896,-0.054136235,8.0850315,-0.038723517,-0.008461475
TGFB1I1,-0.05732883,-0.05713423,-0.06028567,6.254305,-0.045963183,-0.09875008,-0.051071186,-0.07447176,-0.038409207,-0.03840242,-0.010821278,6.9676237,-0.054202795,8.088564,-0.038706373,-0.008462723
GM14519,-0.06530363,-0.06670448,-0.06666042,7.0512877,-0.046159938,-0.11054397,-0.06214069,-0.08732735,-0.04073538,-0.044277377,-0.014089356,7.657243,-0.061797313,8.490531,-0.043423474,-0.008132755
SPNS2,-0.05727506,-0.05716115,-0.060231857,6.25199,-0.045953277,-0.09873594,-0.051055413,-0.0744643,-0.03836017,-0.03839954,-0.010781179,6.960589,-0.05419101,8.084858,-0.038666382,-0.008413279
HIST1H2BN,-0.05714587,-0.056994636,-0.060132872,6.238629,-0.04586361,-0.09849657,-0.050942972,-0.07431442,-0.038306832,-0.038261652,-0.010743006,6.9482136,-0.054064557,8.065033,-0.03862491,-0.008430813
PRPS2,-0.05731976,-0.05717292,-0.06025236,6.2521076,-0.045961946,-0.098767556,-0.05110876,-0.07448889,-0.03837257,-0.03839736,-0.010791805,6.967178,-0.054172043,8.085584,-0.038702216,-0.008417764
COL27A1,-0.0574262,-0.05723858,-0.0603559,6.2649565,-0.046024684,-0.09892334,-0.051140107,-0.07457481,-0.038490146,-0.038505025,-0.010839143,6.9770136,-0.054269742,8.102179,-0.038750622,-0.008458188
RFX5,-0.057984572,-0.057708662,-0.060845926,6.322883,-0.046324085,-0.09982886,-0.051524512,-0.0750793,-0.03894612,-0.03882787,-0.010932682,7.0385456,-0.054699473,8.189867,-0.039164353,-0.008646529
ORC2,-0.057072237,-0.05702883,-0.060064387,6.2264423,-0.045850053,-0.098435745,-0.05086169,-0.074251324,-0.03825941,-0.03824711,-0.010754332,6.9426136,-0.054013167,8.052757,-0.03850803,-0.008417092
NR5A2,-0.057173833,-0.057025876,-0.06017598,6.2412205,-0.045891557,-0.09854714,-0.050989825,-0.07437612,-0.038304504,-0.038302805,-0.010768469,6.951172,-0.05410795,8.069996,-0.038612023,-0.008418052
ARHGEF40,-0.06698684,-0.06502585,-0.06904228,7.354305,-0.0519757,-0.11361876,-0.060116272,-0.08524585,-0.044992667,-0.04556797,-0.013922181,8.0592165,-0.061710835,9.467527,-0.04518159,-0.010724074
PLXNA1,-0.067016274,-0.064968765,-0.06899103,7.346039,-0.051931944,-0.11354991,-0.06011234,-0.085153855,-0.04498223,-0.04554003,-0.013892029,8.051761,-0.06162056,9.468572,-0.04513573,-0.010728321
EGR1,-0.05713663,-0.056950495,-0.06007035,6.2326713,-0.045830455,-0.098451525,-0.05084075,-0.0741674,-0.038337253,-0.03824307,-0.01073558,6.94339,-0.0540283,8.064919,-0.038604707,-0.008437056
UBE2C,-0.056973193,-0.056902654,-0.059996434,6.2150908,-0.045806665,-0.09826851,-0.050828908,-0.07417348,-0.038153503,-0.038163986,-0.01071538,6.93019,-0.053927973,8.034929,-0.038458303,-0.008378565
GM21962,-0.06698684,-0.06502585,-0.06904228,7.354305,-0.0519757,-0.11361876,-0.060116272,-0.08524585,-0.044992667,-0.04556797,-0.013922181,8.0592165,-0.061710835,9.467527,-0.04518159,-0.010724074
RAB3IL1,-0.05718429,-0.057045877,-0.060162485,6.242134,-0.045883443,-0.098555,-0.05097265,-0.074357554,-0.038298503,-0.03832156,-0.010776174,6.9509068,-0.054106463,8.070247,-0.038615428,-0.008416384
GM22455,-0.06697692,-0.065019295,-0.06903188,7.3553343,-0.05198264,-0.1136255,-0.060111884,-0.08523481,-0.0449926,-0.04557246,-0.01392953,8.058477,-0.06170496,9.467742,-0.045194004,-0.010724465
MIR6928,-0.06698684,-0.06502585,-0.06904228,7.354305,-0.0519757,-0.11361876,-0.060116272,-0.08524585,-0.044992667,-0.04556797,-0.013922181,8.0592165,-0.061710835,9.467527,-0.04518159,-0.010724074
