,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CDK19,10.483498,-0.08421714,7.459154,7.3790894,-0.08341747,1.279753,-0.11881888,-0.13106863,-0.04486704,6.281466,6.2415295,-0.056298636,11.716938,5.152177,-0.13249291,-0.03821099
NXPE2,10.483744,-0.08421585,7.459244,7.378986,-0.08342039,1.2799218,-0.11882288,-0.13106734,-0.044864584,6.281508,6.2417364,-0.056298416,11.717197,5.152391,-0.13249065,-0.03821289
CNOT7,7.541191,-0.061050884,5.320278,5.493823,-0.059250787,0.5981464,-0.08602981,-0.097600125,-0.03453849,4.5524836,4.737325,-0.04208231,8.681134,3.6802797,-0.10093774,-0.025358882
EMILIN1,6.423715,-0.0525025,4.5178213,4.750299,-0.0501803,0.39571816,-0.07387872,-0.08425488,-0.029421521,3.803685,4.1056476,-0.037110604,7.4990263,3.1747425,-0.0888708,-0.020525327
ORC6,6.518802,-0.05322412,4.584759,4.8142796,-0.05085581,0.4100774,-0.07481604,-0.085342444,-0.029810114,3.8631942,4.166359,-0.0375146,7.5930357,3.2172391,-0.08979999,-0.020919085
ETF1,10.483744,-0.08421585,7.459244,7.378986,-0.08342039,1.2799218,-0.11882288,-0.13106734,-0.044864584,6.281508,6.2417364,-0.056298416,11.717197,5.152391,-0.13249065,-0.03821289
NGLY1,10.483744,-0.08421585,7.459244,7.378986,-0.08342039,1.2799218,-0.11882288,-0.13106734,-0.044864584,6.281508,6.2417364,-0.056298416,11.717197,5.152391,-0.13249065,-0.03821289
MCM3,6.5543737,-0.05335485,4.605154,4.835866,-0.05115871,0.41296762,-0.074954785,-0.08559044,-0.02984416,3.8894725,4.1958747,-0.037605226,7.6039824,3.2246299,-0.089865685,-0.021140628
ZFP655,10.483744,-0.08421585,7.459244,7.378986,-0.08342039,1.2799218,-0.11882288,-0.13106734,-0.044864584,6.281508,6.2417364,-0.056298416,11.717197,5.152391,-0.13249065,-0.03821289
CCNB1,6.4143367,-0.052335314,4.5115733,4.745378,-0.05005902,0.39736068,-0.073644,-0.08397914,-0.029336473,3.795956,4.108838,-0.036978602,7.475188,3.1573143,-0.08857531,-0.020527886
ZKSCAN6,5.74883,-0.044640616,4.931334,4.2953734,-0.050221946,0.89722925,-0.08381735,-0.07508724,-0.02194041,3.984171,3.3590767,-0.028624954,7.850614,3.431433,-0.08876641,-0.022994075
SP100,10.483744,-0.08421585,7.459244,7.378986,-0.08342039,1.2799218,-0.11882288,-0.13106734,-0.044864584,6.281508,6.2417364,-0.056298416,11.717197,5.152391,-0.13249065,-0.03821289
