,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CDK19,-0.04268749,3.9679713,-0.043017827,-0.06695717,7.66677,-0.026333088,7.15782,7.9415236,5.0919476,-0.07213201,-0.044674303,6.3403344,-0.061502144,-0.043389995,8.577597,-0.04119212
NXPE2,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
CNOT7,-0.03570605,3.464777,-0.036984332,-0.058300603,6.5621004,-0.021469206,6.1446095,6.787452,4.3308153,-0.06083588,-0.037834693,5.4075913,-0.050930947,-0.038994107,7.1973667,-0.03575031
EMILIN1,-0.03227852,3.1954389,-0.03347589,-0.052836552,5.930833,-0.01906834,5.5482183,6.0763946,3.8715699,-0.05447269,-0.03383185,4.8194375,-0.045628365,-0.036276683,6.451663,-0.032540854
ORC6,-0.032519046,3.2115917,-0.033696976,-0.053314827,5.977123,-0.019164288,5.5981503,6.1325474,3.8983138,-0.05496921,-0.034101114,4.862542,-0.045925457,-0.0365156,6.5116205,-0.03279054
ETF1,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
NGLY1,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
MCM3,-0.03245624,3.1997213,-0.03357258,-0.053140886,5.9647183,-0.019134017,5.5880594,6.1222095,3.8854964,-0.05485254,-0.03405527,4.8522024,-0.045851287,-0.03638182,6.503485,-0.03267116
ZFP655,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
CCNB1,-0.032057002,3.170539,-0.033183705,-0.05263941,5.8996506,-0.018882887,5.530527,6.0514164,3.8452172,-0.054206375,-0.03369213,4.7980127,-0.045304608,-0.036050044,6.4240146,-0.032349247
ZKSCAN6,-0.033632964,3.2977328,-0.034806173,-0.054929312,6.1857758,-0.019998249,5.773914,6.3571587,4.046886,-0.05692166,-0.03535424,5.041788,-0.047679987,-0.037501134,6.745912,-0.03375878
SP100,-0.041258972,2.9301882,-0.035146046,-0.06860124,7.095211,-0.025345737,6.9127765,8.200515,4.2320094,-0.06738408,-0.05005465,6.7598834,-0.054834545,-0.040032014,9.018898,-0.033420477
ZBTB20,-0.03397714,3.3324018,-0.035222437,-0.05547095,6.2506685,-0.020241816,5.833088,6.4267936,4.090836,-0.057550263,-0.035830554,5.103171,-0.04815666,-0.03784946,6.826144,-0.03413172
ARHGAP15,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
ZKSCAN17,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
H2-DMB1,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
ERLIN2,-0.035914823,4.134173,-0.048098434,-0.066723734,7.3398,-0.017326478,7.3433685,8.01362,4.5932794,-0.07071866,-0.04414863,6.534897,-0.05154217,-0.03412952,7.9399457,-0.040232554
AFF4,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
ABL1,-0.033695925,3.3092542,-0.034952782,-0.055081427,6.191507,-0.02000035,5.786702,6.3640494,4.050204,-0.057060175,-0.035414934,5.050522,-0.047676213,-0.037566036,6.7599325,-0.033896137
DDX58,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
E2F4,-0.033142574,3.2561102,-0.034332946,-0.054167125,6.0893264,-0.019621626,5.6952624,6.257183,3.973728,-0.056036863,-0.034767915,4.962839,-0.046864122,-0.037038695,6.6453013,-0.033334218
CD93,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
MCM7,-0.031044045,3.358398,-0.031663995,-0.042720128,5.768077,-0.020813007,4.66307,5.5840206,3.074942,-0.048099082,-0.03539804,3.8697839,-0.03736628,-0.04224471,6.931083,-0.03279678
INKA1,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
ZFP945,-0.03589115,4.1353884,-0.048099283,-0.066728674,7.342128,-0.017312521,7.3448057,8.014429,4.592047,-0.07071321,-0.044146374,6.5353317,-0.05156386,-0.034147862,7.9401402,-0.04023234
WDR4,-0.03367825,3.3059254,-0.03490853,-0.05502285,6.1844788,-0.019991402,5.780235,6.354622,4.0458913,-0.056999512,-0.03533572,5.0406218,-0.047651257,-0.037533905,6.7518682,-0.033870023
MFNG,-0.032671083,3.226841,-0.033888455,-0.053452924,5.9993467,-0.01930434,5.611398,6.1524034,3.9171398,-0.05515639,-0.034219168,4.8802085,-0.04616176,-0.0366539,6.5331244,-0.03291491
NSMAF,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
ITSN1,-0.03378602,3.309072,-0.03506335,-0.05525526,6.2217784,-0.020121787,5.815301,6.3991203,4.0706797,-0.057323866,-0.035614938,5.080914,-0.047955845,-0.037597697,6.7918644,-0.033966992
PCYT1A,-0.032797683,3.2186894,-0.033832584,-0.05348105,6.024083,-0.019430649,5.627394,6.181736,3.9232433,-0.05534239,-0.03441125,4.8976665,-0.046391647,-0.03667604,6.5706024,-0.032867715
UMPS,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
PSTPIP1,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
MNDAL,-0.04261457,3.9632983,-0.04307184,-0.067047834,7.6709237,-0.0264177,7.1648498,7.9502754,5.093691,-0.07217994,-0.04469653,6.3412766,-0.0615412,-0.04344209,8.573693,-0.041167688
GM8995,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
USP4,-0.04265155,3.963233,-0.043059263,-0.067007095,7.668028,-0.026374206,7.1663733,7.9494753,5.0940747,-0.072157,-0.044680037,6.342244,-0.061535213,-0.043398794,8.574112,-0.0412096
TRIM30A,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
STEAP3,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
CKAP5,-0.033743918,3.3161654,-0.035041977,-0.055189192,6.2047086,-0.020032356,5.799647,6.37164,4.060311,-0.057196807,-0.03546971,5.0595593,-0.047766082,-0.037617836,6.772806,-0.034011964
INCENP,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
STARD7,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
NFATC1,-0.032962404,3.2452216,-0.034097653,-0.05385646,6.0541496,-0.019487156,5.661802,6.21562,3.948928,-0.055671867,-0.034605846,4.9290156,-0.04660868,-0.036868494,6.600474,-0.033090446
CHAMP1,-0.034952536,2.7902184,-0.052681502,-0.050358705,5.9131994,-0.02341218,6.5179005,6.1258307,4.188835,-0.06233754,-0.029968867,6.5562882,-0.055521328,-0.027140064,8.510729,-0.052510403
VAV1,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
IFT140,-0.032890104,3.2382216,-0.034130834,-0.05374533,6.0559144,-0.01943457,5.652264,6.2084985,3.9419692,-0.055610593,-0.034517862,4.9181094,-0.046524,-0.036813453,6.5973015,-0.03310541
SNRNP200,-0.033789326,3.3158817,-0.035019055,-0.055146974,6.1986876,-0.020076143,5.7909174,6.372404,4.056862,-0.057134323,-0.035472695,5.0573225,-0.04779396,-0.03762721,6.768257,-0.03391318
PRKAA1,-0.033659793,3.303175,-0.034960087,-0.0550644,6.195067,-0.020038629,5.7860193,6.3642497,4.055824,-0.057056326,-0.035406098,5.051335,-0.047736518,-0.03756336,6.756372,-0.03388374
SCARF1,-0.03227852,3.1954389,-0.03347589,-0.052836552,5.930833,-0.01906834,5.5482183,6.0763946,3.8715699,-0.05447269,-0.03383185,4.8194375,-0.045628365,-0.036276683,6.451663,-0.032540854
PLAC8,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
NCAPG,-0.032432828,3.1961412,-0.033480287,-0.05317617,5.959627,-0.019178784,5.58873,6.1189475,3.8909247,-0.054862473,-0.034131296,4.8508196,-0.045879953,-0.03625168,6.500571,-0.032625873
ABCD3,-0.042638376,3.9687986,-0.043063596,-0.06696017,7.6679783,-0.026367052,7.1581755,7.9514065,5.089412,-0.07213473,-0.04463164,6.3410997,-0.061558217,-0.043387316,8.570982,-0.04119871
TBCD,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
VPS33B,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
NUPR1,-0.033366688,3.2785687,-0.034567963,-0.05453715,6.128261,-0.019761916,5.7328672,6.295721,4.0039005,-0.056460008,-0.035012517,4.993669,-0.04719402,-0.037217885,6.6881504,-0.033552583
PNO1,-0.032875523,3.218769,-0.033925056,-0.053716134,6.052582,-0.019433973,5.665872,6.220141,3.9367745,-0.055668082,-0.034589525,4.9289646,-0.04654779,-0.036682658,6.61065,-0.032997712
AP1G2,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
RARS,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
RHD,-0.042638376,3.9687986,-0.043063596,-0.06696017,7.6679783,-0.026367052,7.1581755,7.9514065,5.089412,-0.07213473,-0.04463164,6.3410997,-0.061558217,-0.043387316,8.570982,-0.04119871
VIM,-0.033252556,3.2694893,-0.03443694,-0.054314062,6.1068964,-0.019719468,5.709517,6.2724895,3.9927418,-0.05619367,-0.034895837,4.9773555,-0.04707991,-0.037142385,6.661475,-0.033422615
TTF2,-0.04263148,3.966879,-0.04304718,-0.06703496,7.668666,-0.0263967,7.1665816,7.949091,5.0899277,-0.07217417,-0.0446861,6.3401194,-0.06150985,-0.043439277,8.576638,-0.04117404
KRT18,-0.04264172,3.9674034,-0.04304444,-0.06703945,7.6694136,-0.026390098,7.165667,7.949053,5.0908794,-0.07217831,-0.044694345,6.3408585,-0.06151717,-0.043428816,8.577119,-0.04118662
APLP2,-0.033378787,3.2862382,-0.03460673,-0.05450213,6.119711,-0.019787505,5.724418,6.2840934,4.005825,-0.056391742,-0.034974314,4.9888687,-0.047218706,-0.03720474,6.6750145,-0.033550475
PHACTR2,-0.03415165,3.3433614,-0.035397634,-0.055803694,6.2812037,-0.020337608,5.8683076,6.4715695,4.1118674,-0.057893038,-0.036032513,5.139361,-0.04841333,-0.037919138,6.8673716,-0.03428125
VDR,-0.032944586,3.2488332,-0.03413694,-0.053864155,6.0477376,-0.019515315,5.6551776,6.2081065,3.953479,-0.055618685,-0.034588333,4.9279366,-0.046594117,-0.036874305,6.5906963,-0.03312054
