,TF,Target,Label
0,2,614,1
1,2,680,1
2,15,230,1
3,15,263,1
4,15,82,1
5,15,186,1
6,15,699,1
7,15,185,1
8,15,285,1
9,15,343,1
10,15,698,1
11,15,442,1
12,15,620,1
13,15,482,1
14,15,590,1
15,15,232,1
16,15,512,1
17,15,157,1
18,15,347,1
19,15,253,1
20,15,667,1
21,15,524,1
22,15,153,1
23,15,471,1
24,15,675,1
25,15,155,1
26,15,95,1
27,15,389,1
28,15,110,1
29,21,453,1
30,21,686,1
31,21,664,1
32,21,509,1
33,21,578,1
34,21,385,1
35,21,282,1
36,21,335,1
37,21,461,1
38,21,271,1
39,21,364,1
40,21,97,1
41,21,619,1
42,21,356,1
43,21,79,1
44,21,318,1
45,21,683,1
46,21,477,1
47,21,144,1
48,21,611,1
49,21,210,1
50,21,36,1
51,21,614,1
52,21,255,1
53,21,586,1
54,21,592,1
55,21,41,1
56,21,18,1
57,21,39,1
58,21,672,1
59,21,516,1
60,21,56,1
61,21,59,1
62,21,408,1
63,21,696,1
64,21,454,1
65,21,92,1
66,29,295,1
67,29,545,1
68,33,459,1
69,33,115,1
70,33,602,1
71,33,330,1
72,33,427,1
73,33,37,1
74,33,282,1
75,33,248,1
76,33,197,1
77,33,311,1
78,37,325,1
79,37,33,1
80,39,70,1
81,39,479,1
82,39,395,1
83,39,686,1
84,39,161,1
85,39,199,1
86,42,92,1
87,48,15,1
88,48,106,1
89,48,224,1
90,48,100,1
91,48,31,1
92,48,565,1
93,48,82,1
94,48,139,1
95,48,21,1
96,48,34,1
97,48,92,1
98,48,29,1
99,48,609,1
100,48,155,1
101,48,203,1
102,48,482,1
103,57,201,1
104,57,668,1
105,57,127,1
106,57,448,1
107,58,545,1
108,59,242,1
109,59,699,1
110,59,664,1
111,59,700,1
112,59,103,1
113,59,100,1
114,59,561,1
115,59,239,1
116,59,308,1
117,59,507,1
118,59,6,1
119,59,22,1
120,59,592,1
121,59,338,1
122,59,91,1
123,59,326,1
124,59,652,1
125,59,430,1
126,59,240,1
127,59,34,1
128,59,352,1
129,59,391,1
130,59,395,1
131,59,683,1
132,59,43,1
133,59,153,1
134,59,32,1
135,59,418,1
136,59,686,1
137,59,150,1
138,59,657,1
139,59,415,1
140,59,555,1
