,TF,Target,Label
0,46,1018,1
1,46,714,1
2,46,192,1
3,48,455,1
4,64,528,1
5,64,600,1
6,64,826,1
7,118,857,1
8,118,719,1
9,129,306,1
10,130,671,1
11,130,32,1
12,130,762,1
13,130,514,1
14,130,237,1
15,130,645,1
16,130,728,1
17,130,77,1
18,130,426,1
19,130,740,1
20,130,58,1
21,130,675,1
22,130,277,1
23,130,337,1
24,130,46,1
25,130,452,1
26,130,118,1
27,130,71,1
28,130,685,1
29,130,972,1
30,130,244,1
31,130,481,1
32,168,578,1
33,168,737,1
34,168,681,1
35,168,934,1
36,168,913,1
37,168,1075,1
38,168,638,1
39,168,965,1
40,168,192,1
41,168,584,1
42,168,987,1
43,168,110,1
44,168,983,1
45,168,460,1
46,168,1050,1
47,168,431,1
48,168,629,1
49,168,361,1
50,168,708,1
51,168,231,1
52,168,700,1
53,168,130,1
54,168,103,1
55,168,307,1
56,168,102,1
57,168,380,1
58,168,963,1
59,168,528,1
60,168,152,1
61,168,277,1
62,171,356,1
63,171,197,1
64,171,168,1
65,171,192,1
66,171,1037,1
67,171,883,1
68,171,231,1
69,171,912,1
70,171,389,1
71,176,1127,1
72,176,507,1
73,176,170,1
74,176,37,1
75,176,746,1
76,176,1074,1
77,176,745,1
78,176,543,1
79,176,375,1
80,176,78,1
81,176,676,1
82,176,666,1
83,176,744,1
84,176,639,1
85,176,187,1
86,176,199,1
87,176,578,1
88,176,936,1
89,176,714,1
90,176,848,1
91,176,289,1
92,176,979,1
93,176,1085,1
94,176,506,1
95,176,577,1
96,176,272,1
97,176,562,1
98,176,894,1
99,176,311,1
100,176,80,1
101,176,1022,1
102,176,984,1
103,176,183,1
104,176,857,1
105,176,202,1
106,176,212,1
107,176,1060,1
108,176,167,1
109,176,542,1
110,176,541,1
111,176,955,1
112,176,274,1
113,176,1073,1
114,176,407,1
115,179,299,1
116,184,1085,1
117,184,1073,1
118,184,714,1
119,184,642,1
120,184,170,1
121,184,344,1
122,184,351,1
123,184,745,1
124,184,831,1
125,184,684,1
126,184,202,1
127,184,957,1
128,184,288,1
129,184,506,1
130,184,78,1
131,184,848,1
132,184,936,1
133,184,541,1
134,184,41,1
135,184,625,1
136,184,463,1
137,184,165,1
138,184,984,1
139,184,577,1
140,184,1051,1
141,184,543,1
142,184,507,1
143,184,183,1
144,184,955,1
145,184,894,1
146,184,822,1
147,184,676,1
148,184,666,1
149,184,639,1
150,184,578,1
151,184,272,1
152,184,1060,1
153,184,81,1
154,184,444,1
155,184,345,1
156,184,37,1
157,184,754,1
158,184,542,1
159,184,311,1
160,184,407,1
161,192,383,1
162,192,460,1
163,192,584,1
164,192,476,1
165,192,881,1
166,192,1112,1
167,192,42,1
168,192,682,1
169,192,676,1
170,192,709,1
171,192,482,1
172,192,810,1
173,192,380,1
174,192,695,1
175,192,706,1
176,192,804,1
177,192,472,1
178,192,834,1
179,192,675,1
180,192,169,1
181,192,22,1
182,192,136,1
183,192,1024,1
184,192,583,1
185,192,462,1
186,192,828,1
187,192,900,1
188,192,693,1
189,192,687,1
190,192,886,1
191,192,369,1
192,192,209,1
193,192,724,1
194,192,980,1
195,192,640,1
196,192,909,1
197,192,203,1
198,192,1086,1
199,192,240,1
200,192,844,1
201,192,394,1
202,192,111,1
203,192,714,1
204,192,177,1
205,192,576,1
206,192,392,1
207,192,138,1
208,192,128,1
209,192,1053,1
210,192,621,1
211,192,801,1
212,192,937,1
213,192,403,1
214,192,276,1
215,192,717,1
216,192,634,1
217,192,723,1
218,192,77,1
219,192,301,1
220,192,196,1
221,192,109,1
222,192,197,1
223,192,652,1
224,192,857,1
225,192,519,1
226,192,1074,1
227,192,1040,1
228,192,49,1
229,192,662,1
230,192,46,1
231,192,273,1
232,192,427,1
233,192,304,1
234,192,524,1
235,192,749,1
236,192,775,1
237,192,458,1
238,192,102,1
239,192,832,1
240,192,674,1
241,192,870,1
242,192,1013,1
243,192,87,1
244,192,876,1
245,192,952,1
246,192,846,1
247,192,995,1
248,192,201,1
249,192,669,1
250,192,1064,1
251,192,181,1
252,192,422,1
253,192,231,1
254,200,510,1
255,200,834,1
256,203,822,1
257,209,616,1
258,209,768,1
259,209,1065,1
260,209,357,1
261,209,1009,1
262,209,931,1
263,209,739,1
264,244,714,1
265,246,99,1
