,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
TM7SF3,4.8256164,-0.032178067,-0.037812375,-0.087236695,-0.0019354438,8.321743,-0.08100886,6.746952,10.006258,-0.07987559,3.618872,8.655158,-0.0023466183,-0.09559841,5.087118,7.02957
CHCHD10,2.66048,-0.016076712,-0.021009438,-0.052837703,0.18894501,4.439828,-0.045796778,3.4215395,5.884487,-0.036202285,2.0206726,4.4970675,-0.0010775409,-0.051129952,2.5793362,3.6112683
CST7,4.8256164,-0.032178067,-0.037812375,-0.087236695,-0.0019354438,8.321743,-0.08100886,6.746952,10.006258,-0.07987559,3.618872,8.655158,-0.0023466183,-0.09559841,5.087118,7.02957
SLC26A2,2.7313452,-0.015291813,-0.019628957,-0.05423737,-0.00035621194,4.4723787,-0.046301086,3.5461655,5.885532,-0.03845961,1.9352621,4.563713,-0.00055019965,-0.05116971,2.423414,3.5031073
PSMD9,4.540094,-0.037225924,-0.037607484,-0.084649764,0.052140772,8.292572,-0.07553926,6.1628704,9.274865,-0.072376445,2.8501222,8.769795,-0.004674346,-0.09350203,4.683814,7.3316417
STT3A,3.3608785,-0.020928774,-0.025779631,-0.06570195,-0.0011733884,5.6998773,-0.05807988,4.5231757,7.2520146,-0.050958734,2.4526918,5.8936453,-0.00052783627,-0.06539037,3.2981243,4.6767993
NEURL3,4.8256164,-0.032178067,-0.037812375,-0.087236695,-0.0019354438,8.321743,-0.08100886,6.746952,10.006258,-0.07987559,3.618872,8.655158,-0.0023466183,-0.09559841,5.087118,7.02957
PPM1G,4.81292,-0.021969175,-0.042206325,-0.082418524,-0.0069807637,7.0872674,-0.08945746,6.062004,8.846559,-0.06938738,3.4489825,8.87322,0.16877227,-0.08733773,4.694576,6.3543224
COLGALT1,4.8256164,-0.032178067,-0.037812375,-0.087236695,-0.0019354438,8.321743,-0.08100886,6.746952,10.006258,-0.07987559,3.618872,8.655158,-0.0023466183,-0.09559841,5.087118,7.02957
CISH,2.2256196,-0.011454733,-0.015330794,-0.045530166,-0.00079626753,3.4644408,-0.037731193,2.6708379,4.733777,-0.028928345,1.4309549,3.5725045,-0.0003142448,-0.039469715,1.8787181,2.6578913
CASP12,4.825067,-0.032176778,-0.03780197,-0.087243974,-0.001923828,8.321437,-0.08099741,6.7462606,10.006948,-0.07987974,3.6186593,8.65461,-0.0023415699,-0.09559383,5.0867705,7.0302463
SGPP1,4.5622873,-0.015689168,-0.03625564,-0.08508595,0.8414469,6.5515676,-0.06938015,6.197049,9.28402,-0.058821373,3.0443232,8.11243,-0.0021831316,-0.07403565,4.8063803,5.783811
ITGAL,4.8256164,-0.032178067,-0.037812375,-0.087236695,-0.0019354438,8.321743,-0.08100886,6.746952,10.006258,-0.07987559,3.618872,8.655158,-0.0023466183,-0.09559841,5.087118,7.02957
SULT1A1,4.8256164,-0.032178067,-0.037812375,-0.087236695,-0.0019354438,8.321743,-0.08100886,6.746952,10.006258,-0.07987559,3.618872,8.655158,-0.0023466183,-0.09559841,5.087118,7.02957
LY86,4.8256164,-0.032178067,-0.037812375,-0.087236695,-0.0019354438,8.321743,-0.08100886,6.746952,10.006258,-0.07987559,3.618872,8.655158,-0.0023466183,-0.09559841,5.087118,7.02957
SLC25A38,4.8256164,-0.032178067,-0.037812375,-0.087236695,-0.0019354438,8.321743,-0.08100886,6.746952,10.006258,-0.07987559,3.618872,8.655158,-0.0023466183,-0.09559841,5.087118,7.02957
