,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
TM7SF3,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
CHCHD10,-0.08827652,-0.027970536,3.7728224,7.889064,-0.016811166,-0.109016225,10.196011,-0.07904965,-0.08546672,6.115374,-0.07827324,-0.044623036,-0.014372489,8.206603,-0.05027037,-0.09715078
CST7,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
SLC26A2,-0.08827652,-0.027970536,3.7728224,7.889064,-0.016811166,-0.109016225,10.196011,-0.07904965,-0.08546672,6.115374,-0.07827324,-0.044623036,-0.014372489,8.206603,-0.05027037,-0.09715078
PSMD9,-0.09490222,-0.03476368,3.0913062,8.666766,-0.03066024,-0.13730778,11.544439,-0.10159558,-0.113607734,7.46275,-0.08010658,-0.052653488,-0.018189898,9.165963,-0.05717,-0.10304625
STT3A,-0.08485951,-0.02062792,4.160255,7.557323,-0.025299039,-0.11286344,10.0018215,-0.08564201,-0.105024986,6.991905,-0.080614984,-0.052084252,-0.023101486,8.140265,-0.048287082,-0.09588192
NEURL3,-0.111202955,-0.03977333,3.9399905,9.082569,-0.012392922,-0.12535723,12.519857,-0.09841964,-0.099847585,6.8334184,-0.09623463,-0.040204834,-0.008661273,9.82049,-0.04643037,-0.11805468
PPM1G,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
COLGALT1,-0.10551675,-0.036059342,4.384828,9.646818,-0.021726105,-0.13521953,12.436724,-0.10130782,-0.11036098,7.3273168,-0.0924853,-0.04913645,-0.015584656,10.035193,-0.060329683,-0.112965934
CISH,-0.075017534,-0.022189442,3.2821689,6.686726,-0.014880125,-0.0929407,8.656973,-0.066935435,-0.07333248,5.275374,-0.06745234,-0.039531197,-0.012566317,6.8811827,-0.042387355,-0.083456546
CASP12,-0.10553504,-0.036105342,4.3783565,9.640294,-0.021751987,-0.13523974,12.435285,-0.10125928,-0.11032367,7.3341413,-0.09249704,-0.04913028,-0.015579425,10.03065,-0.060362417,-0.11298181
SGPP1,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
ITGAL,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
SULT1A1,-0.105548106,-0.036082644,4.38492,9.64871,-0.021721879,-0.1352187,12.435827,-0.10128123,-0.1103321,7.3294244,-0.092464514,-0.049159426,-0.0155900465,10.036872,-0.060352717,-0.11297675
LY86,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
SLC25A38,-0.09434349,-0.040410742,4.4320865,9.852959,-0.016462928,-0.124139756,11.184003,-0.08598729,-0.10231918,6.408172,-0.086103484,-0.052223656,-0.02669084,8.560983,-0.06856848,-0.11636269
FAM171A1,-0.09434349,-0.040410742,4.4320865,9.852959,-0.016462928,-0.124139756,11.184003,-0.08598729,-0.10231918,6.408172,-0.086103484,-0.052223656,-0.02669084,8.560983,-0.06856848,-0.11636269
NAP1L3,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
TOP3B,-0.09848881,-0.032932308,4.0548,9.004933,-0.020888932,-0.12732114,11.688301,-0.09659578,-0.10635237,6.9445143,-0.087016374,-0.045205645,-0.014065476,9.372365,-0.05531603,-0.10483335
RORA,-0.10553504,-0.036105342,4.3783565,9.640294,-0.021751987,-0.13523974,12.435285,-0.10125928,-0.11032367,7.3341413,-0.09249704,-0.04913028,-0.015579425,10.03065,-0.060362417,-0.11298181
ATP8B4,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
PGLYRP2,-0.09362256,-0.029959414,3.9766426,8.357974,-0.016964642,-0.1154418,10.845826,-0.08452804,-0.09024267,6.4497166,-0.08317434,-0.04595767,-0.01434152,8.731067,-0.052644107,-0.10198894
SPNS2,-0.07958926,-0.023957487,3.470273,7.118256,-0.015312644,-0.09862816,9.222469,-0.07106934,-0.07749491,5.571775,-0.071257696,-0.04158783,-0.013011884,7.337896,-0.045064434,-0.088209614
FTX,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
EBI3,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
ROBO4,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
TEAD2,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
ACAA2,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
PWP2,-0.077967435,-0.023420215,3.3998742,6.9554534,-0.015226727,-0.09644837,9.00309,-0.069468565,-0.07602351,5.4572306,-0.0698375,-0.04073614,-0.012934712,7.1727448,-0.044101123,-0.086561084
WDR4,-0.09559674,-0.025796035,3.7952573,8.907523,-0.02801559,-0.12853748,11.188266,-0.106268756,-0.10712867,7.8690886,-0.09896732,-0.05691049,-0.020141305,8.765531,-0.051099963,-0.11018149
SPC24,-0.07160979,-0.0219641,3.0214212,6.3440995,-0.014414941,-0.087913394,8.124761,-0.06311455,-0.06912057,4.926452,-0.06328878,-0.03707017,-0.011741176,6.534952,-0.041147318,-0.07938723
NFAM1,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
AFAP1L1,-0.08766158,-0.021594323,4.1725893,8.186942,-0.022101227,-0.10911144,10.186219,-0.09053729,-0.08397608,5.537561,-0.07178487,-0.0396323,-0.012955794,8.958937,-0.046791222,-0.092435494
UBR7,-0.10552159,-0.03606117,4.388901,9.642244,-0.021747315,-0.13527323,12.43573,-0.101341896,-0.11032902,7.3249145,-0.09250496,-0.049145468,-0.015638286,10.03742,-0.060319748,-0.112899765
FCGR2B,-0.09283984,-0.029552286,3.9420373,8.263985,-0.017123522,-0.11455186,10.735599,-0.08379415,-0.089719705,6.402505,-0.082396604,-0.04565753,-0.014319804,8.625563,-0.052011527,-0.10117241
CTC1,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
PTPN7,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
UBE2C,-0.07206903,-0.021221511,3.1333337,6.4235296,-0.014497882,-0.08893453,8.275674,-0.063780464,-0.06995589,5.04368,-0.06437882,-0.03827488,-0.011891575,6.585907,-0.041285243,-0.08034432
TOMM40,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
MAD2L1,-0.10552816,-0.036102496,4.3778205,9.640206,-0.021746133,-0.13523269,12.435624,-0.1012576,-0.11031817,7.333181,-0.09250001,-0.049128555,-0.015581413,10.0297165,-0.06036716,-0.11298209
PCMTD2,-0.1055364,-0.036063366,4.38563,9.644644,-0.021737637,-0.13520624,12.436846,-0.10127763,-0.11034306,7.326734,-0.092435755,-0.049128454,-0.015598584,10.034561,-0.060332593,-0.11293594
CENPA,-0.07293618,-0.0214136,3.20651,6.5076146,-0.014399499,-0.09029162,8.419162,-0.064709246,-0.07110103,5.118691,-0.06547584,-0.03878882,-0.012289281,6.6777883,-0.041558165,-0.08155296
GTF2H1,-0.082498044,-0.025217358,3.579316,7.379046,-0.01582758,-0.101971954,9.544163,-0.07367295,-0.08018543,5.7599916,-0.073644176,-0.042546537,-0.013406132,7.62546,-0.04678059,-0.09116394
GPD1L,-0.08827652,-0.027970536,3.7728224,7.889064,-0.016811166,-0.109016225,10.196011,-0.07904965,-0.08546672,6.115374,-0.07827324,-0.044623036,-0.014372489,8.206603,-0.05027037,-0.09715078
KIF13A,-0.09434349,-0.040410742,4.4320865,9.852959,-0.016462928,-0.124139756,11.184003,-0.08598729,-0.10231918,6.408172,-0.086103484,-0.052223656,-0.02669084,8.560983,-0.06856848,-0.11636269
IARS,-0.105530754,-0.036058247,4.387103,9.645222,-0.021719081,-0.13523442,12.438431,-0.101298034,-0.11034441,7.3293033,-0.09244995,-0.04916345,-0.015573374,10.038412,-0.060329184,-0.11295071
RELB,-0.07437264,-0.021913178,3.255474,6.6301217,-0.014750596,-0.09185522,8.5665,-0.066008575,-0.072328374,5.2146654,-0.066645734,-0.0393864,-0.012233633,6.8175797,-0.04216091,-0.08268509
NAA50,-0.08828082,-0.02796817,3.7738066,7.888142,-0.01682517,-0.10901695,10.196059,-0.079062134,-0.08545138,6.1135564,-0.07826306,-0.044636797,-0.014367638,8.2051325,-0.050281443,-0.09714819
PHF10,-0.09475895,-0.030359646,3.9810624,8.431864,-0.017579256,-0.1172094,10.948817,-0.085772105,-0.09235745,6.5986066,-0.08454464,-0.04673775,-0.014741801,8.788234,-0.053403344,-0.103472844
BYSL,-0.07697869,-0.022923406,3.367478,6.872168,-0.014993587,-0.09539122,8.904964,-0.068638615,-0.07510624,5.3993764,-0.069097325,-0.04047482,-0.012734173,7.073433,-0.043504357,-0.085532114
PADI4,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
ARID5A,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
GPRASP1,-0.105484724,-0.031402852,4.894522,8.953998,-0.028271748,-0.13383427,11.826605,-0.09315297,-0.10059106,7.31844,-0.08832619,-0.05535092,-0.018848069,9.520215,-0.065050066,-0.116622694
PCLAF,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
UMPS,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
TNPO1,-0.105523914,-0.036055584,4.3869815,9.64617,-0.021742608,-0.13521922,12.436768,-0.10127995,-0.110356346,7.3298135,-0.092449464,-0.049166445,-0.015598384,10.036321,-0.06033247,-0.11295661
RFC4,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
GIMAP8,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
ELP2,-0.09430886,-0.030218486,3.9826155,8.379471,-0.017412603,-0.116082095,10.87004,-0.08478328,-0.09122975,6.5058556,-0.083533466,-0.04615732,-0.014567435,8.754757,-0.05309333,-0.10274435
CSGALNACT1,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
DEF8,-0.105044246,-0.044379506,4.2611556,9.577124,-0.016694427,-0.110528134,10.964188,-0.08894019,-0.08378844,6.82149,-0.0738962,-0.034039266,-0.014102932,9.808105,-0.050711516,-0.09351569
PCMTD1,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
FCGR3,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
TTF2,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
ERCC8,-0.08894135,-0.02787201,3.8013659,7.928988,-0.01692515,-0.10940239,10.244032,-0.079457566,-0.08613785,6.1984816,-0.07908454,-0.044848632,-0.014128826,8.238394,-0.050408687,-0.09742193
ABITRAM,-0.08722317,-0.025967099,3.5095606,8.061148,-0.014838114,-0.14175124,11.262172,-0.105351,-0.09601573,5.6286855,-0.07844191,-0.030600173,-0.025235219,8.493334,-0.057112224,-0.11217108
CERK,-0.08179036,-0.024586506,3.5806706,7.3152165,-0.015883913,-0.10139993,9.483439,-0.07339432,-0.079666674,5.734206,-0.073219135,-0.04258487,-0.0134451585,7.5592346,-0.046163302,-0.09055639
ADO,-0.07534965,-0.017382758,3.761453,6.7032437,-0.023514349,-0.099192016,8.760434,-0.07407648,-0.092355564,6.2356467,-0.071227446,-0.048218317,-0.021892777,7.191134,-0.043376364,-0.08660858
KPNA3,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
CDC6,-0.07491883,-0.022057457,3.279504,6.679571,-0.014570667,-0.09297389,8.672475,-0.06690338,-0.07302798,5.2707553,-0.0675087,-0.03968598,-0.0124814175,6.8657737,-0.042269826,-0.08351159
PTTG1IP,-0.09867883,-0.026987733,4.6082835,9.433963,-0.026648652,-0.12778711,11.717071,-0.1070527,-0.10260606,6.276175,-0.07982534,-0.04212628,-0.013693028,10.271876,-0.05359265,-0.10206413
FBXW11,-0.09410651,-0.030121898,3.9639857,8.386745,-0.017483855,-0.11610104,10.862763,-0.085133836,-0.091243684,6.5269294,-0.08365522,-0.046234693,-0.014732754,8.739106,-0.053124767,-0.10266381
LZTS1,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
ITM2A,-0.10554325,-0.036075037,4.386743,9.646809,-0.021724263,-0.13519736,12.43592,-0.101313606,-0.11033035,7.32762,-0.092475824,-0.049138162,-0.015596729,10.039964,-0.06035424,-0.11293916
SHISA5,-0.08176958,-0.024592264,3.5788102,7.315849,-0.015880927,-0.101397954,9.483223,-0.073370926,-0.07965672,5.732879,-0.07323558,-0.04256921,-0.013437508,7.5579033,-0.046149008,-0.09056358
TXNIP,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
G6PDX,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
MYCT1,-0.082353294,-0.025148,3.5729282,7.3724155,-0.015756678,-0.10181269,9.530079,-0.07350781,-0.080085695,5.7540464,-0.07361407,-0.042523336,-0.013341888,7.605112,-0.04670634,-0.09104195
NCAPG,-0.06939806,-0.020385174,2.9910913,6.157237,-0.014194772,-0.08583465,7.937169,-0.061319515,-0.06752742,4.8590174,-0.06202642,-0.03708703,-0.0117312195,6.314904,-0.039944254,-0.07771445
DNAJC5,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
BUB1B,-0.07052136,-0.020568417,3.059965,6.2780876,-0.014217162,-0.08714541,8.097733,-0.062449023,-0.06845704,4.948564,-0.063179895,-0.037765853,-0.011646302,6.4280834,-0.0403788,-0.078713395
RRM2,-0.068556465,-0.019854195,2.965645,6.0864863,-0.01394005,-0.08487708,7.8598933,-0.060632415,-0.066718355,4.8230786,-0.061560947,-0.036987334,-0.011503956,6.2265058,-0.039354112,-0.07680497
NAPRT,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
ACOX3,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
NAMPT,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
H2-Q6,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
LAX1,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
GCLC,-0.081690535,-0.024792857,3.5575597,7.309057,-0.015722947,-0.1011523,9.463981,-0.07305332,-0.079448745,5.710362,-0.07299959,-0.04238844,-0.013352392,7.5495825,-0.046267837,-0.09041037
GM11346,-0.096083574,-0.021798253,4.707681,9.475875,-0.009035457,-0.12304255,12.709286,-0.09393813,-0.102267586,7.7357297,-0.09503279,-0.038822286,-0.0027510887,9.193293,-0.04905442,-0.09466454
GCNT2,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
ECT2,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
ALDOC,-0.105542235,-0.03606903,4.3861346,9.64674,-0.02173146,-0.13523059,12.437545,-0.10129838,-0.11034557,7.329787,-0.09246647,-0.049157385,-0.015585371,10.037771,-0.06033745,-0.1129566
