,TF,Target,Label
0,31,489,1
1,31,516,1
2,31,485,1
3,31,629,1
4,31,266,1
5,31,566,1
6,31,520,1
7,51,408,1
8,58,204,1
9,58,316,1
10,58,87,1
11,58,16,1
12,58,200,1
13,58,190,1
14,58,202,1
15,58,431,1
16,58,517,1
17,58,353,1
18,58,272,1
19,58,10,1
20,58,299,1
21,58,472,1
22,58,402,1
23,58,440,1
24,74,144,1
25,74,641,1
26,74,16,1
27,74,17,1
28,74,518,1
29,74,174,1
30,74,617,1
31,74,243,1
32,91,472,1
33,105,74,1
34,116,604,1
35,116,80,1
36,116,672,1
37,116,534,1
38,116,633,1
39,116,51,1
40,116,328,1
41,116,369,1
42,116,690,1
43,116,658,1
44,116,238,1
45,116,22,1
46,123,226,1
47,123,407,1
48,171,345,1
49,194,507,1
50,194,604,1
51,194,570,1
52,194,577,1
53,194,690,1
54,194,58,1
55,194,30,1
56,222,540,1
57,236,328,1
58,236,243,1
59,238,74,1
60,238,171,1
61,243,653,1
62,243,236,1
63,244,520,1
64,244,629,1
65,244,516,1
66,244,566,1
67,244,31,1
68,244,485,1
69,244,340,1
70,245,296,1
71,245,654,1
72,245,459,1
73,245,128,1
74,245,645,1
75,245,524,1
76,345,171,1
77,382,604,1
78,382,81,1
79,382,238,1
80,382,400,1
81,382,325,1
82,382,287,1
83,409,253,1
84,409,565,1
85,409,335,1
86,409,625,1
87,409,569,1
88,409,223,1
89,409,131,1
90,409,114,1
91,409,428,1
92,409,57,1
93,409,171,1
94,409,606,1
95,409,647,1
96,409,436,1
97,409,555,1
98,409,621,1
99,409,543,1
100,431,58,1
101,442,639,1
102,442,542,1
103,442,570,1
104,516,244,1
105,516,485,1
106,516,266,1
107,516,31,1
108,516,520,1
109,516,489,1
110,517,625,1
111,518,280,1
112,518,286,1
113,524,654,1
114,524,9,1
115,540,296,1
116,540,472,1
117,540,442,1
118,540,507,1
119,540,434,1
120,540,272,1
121,541,127,1
122,583,431,1
123,594,679,1
124,594,396,1
125,604,4,1
126,604,65,1
127,604,393,1
128,604,77,1
129,604,70,1
130,604,268,1
131,604,416,1
132,604,38,1
133,604,114,1
134,604,675,1
135,604,131,1
136,604,238,1
137,604,504,1
138,604,400,1
139,604,573,1
140,604,532,1
141,604,566,1
142,604,204,1
143,604,183,1
144,604,541,1
145,604,185,1
146,604,328,1
147,604,470,1
148,604,378,1
149,604,348,1
150,604,247,1
151,604,13,1
152,604,401,1
153,604,544,1
154,604,436,1
155,606,472,1
156,639,49,1
157,639,442,1
158,653,243,1
159,653,238,1
160,654,296,1
161,654,168,1
162,654,493,1
163,654,573,1
164,654,128,1
165,654,9,1
166,654,645,1
167,654,222,1
168,654,459,1
169,654,150,1
170,671,3,1
171,671,656,1
172,671,328,1
173,671,325,1
174,671,566,1
175,671,596,1
176,671,486,1
177,671,559,1
178,671,70,1
179,671,513,1
180,671,323,1
181,671,122,1
182,671,432,1
183,671,217,1
184,671,65,1
185,671,481,1
186,671,532,1
187,671,183,1
188,671,685,1
189,671,485,1
190,671,38,1
191,671,544,1
192,671,365,1
193,671,422,1
194,671,643,1
195,671,511,1
196,671,353,1
197,671,268,1
198,671,665,1
199,671,373,1
200,671,232,1
201,31,572,0
202,31,237,0
203,31,88,0
204,31,17,0
205,31,281,0
206,31,292,0
207,31,3,0
208,31,44,0
209,31,556,0
210,31,34,0
211,31,40,0
212,31,362,0
213,31,407,0
214,31,625,0
215,31,374,0
216,31,285,0
217,31,620,0
218,31,598,0
219,31,326,0
220,31,62,0
221,31,317,0
222,31,198,0
223,31,318,0
224,31,546,0
225,31,541,0
226,31,448,0
227,31,299,0
228,31,614,0
229,31,117,0
230,31,325,0
231,31,639,0
232,31,314,0
233,31,186,0
234,31,216,0
235,31,8,0
236,31,275,0
237,31,9,0
238,31,401,0
239,31,252,0
240,31,551,0
241,31,545,0
242,31,189,0
243,31,619,0
244,31,289,0
245,31,164,0
246,31,412,0
247,31,623,0
248,31,308,0
249,31,283,0
250,31,191,0
251,31,253,0
252,31,461,0
253,31,211,0
254,31,279,0
255,31,552,0
256,31,143,0
257,31,174,0
258,31,28,0
259,31,122,0
260,31,284,0
261,31,319,0
262,31,246,0
263,31,264,0
264,31,463,0
265,31,190,0
266,31,65,0
267,31,260,0
268,31,328,0
269,31,586,0
270,31,569,0
271,31,442,0
272,31,347,0
273,31,575,0
274,31,82,0
275,31,678,0
276,31,398,0
277,31,97,0
278,31,148,0
279,31,456,0
280,31,434,0
281,31,540,0
282,31,364,0
283,31,395,0
284,31,425,0
285,31,348,0
286,31,193,0
287,31,179,0
288,31,90,0
289,31,209,0
290,31,691,0
291,31,213,0
292,31,482,0
293,31,669,0
294,31,581,0
295,31,548,0
296,31,624,0
297,31,605,0
298,31,74,0
299,31,471,0
300,31,25,0
301,31,421,0
302,31,358,0
303,31,329,0
304,31,570,0
305,31,160,0
306,31,650,0
307,31,373,0
308,31,89,0
309,31,116,0
310,31,307,0
311,31,37,0
312,31,280,0
313,31,480,0
314,31,41,0
315,31,419,0
316,31,565,0
317,31,657,0
318,31,649,0
319,31,68,0
320,31,123,0
321,31,2,0
322,31,32,0
323,31,73,0
324,31,75,0
325,31,444,0
326,31,483,0
327,31,432,0
328,31,597,0
329,31,5,0
330,31,499,0
331,31,239,0
332,31,427,0
333,31,268,0
334,31,506,0
335,31,23,0
336,31,487,0
337,31,315,0
338,31,102,0
339,31,309,0
340,31,202,0
341,31,606,0
342,31,428,0
343,31,195,0
344,31,525,0
345,31,242,0
346,31,370,0
347,31,338,0
348,31,527,0
349,31,462,0
350,31,403,0
351,31,612,0
352,31,341,0
353,31,181,0
354,31,80,0
355,31,48,0
356,31,297,0
357,31,495,0
358,31,47,0
359,31,150,0
360,31,248,0
361,31,409,0
362,31,505,0
363,31,360,0
364,31,295,0
365,31,681,0
366,31,591,0
367,31,621,0
368,31,617,0
369,31,367,0
370,31,145,0
371,31,668,0
372,31,418,0
373,31,599,0
374,31,648,0
375,31,35,0
376,31,457,0
377,31,205,0
378,31,528,0
379,31,560,0
380,31,226,0
381,31,133,0
382,31,141,0
383,31,514,0
384,31,288,0
385,31,227,0
386,31,230,0
387,31,158,0
388,31,311,0
389,31,336,0
390,31,221,0
391,31,153,0
392,31,443,0
393,31,674,0
394,31,422,0
395,31,203,0
396,31,507,0
397,31,152,0
398,31,119,0
399,31,469,0
400,31,375,0
401,31,91,0
402,31,215,0
403,31,147,0
404,31,130,0
405,31,194,0
406,31,539,0
407,31,298,0
408,31,344,0
409,31,640,0
410,31,607,0
411,31,468,0
412,31,210,0
413,31,349,0
414,31,132,0
415,31,352,0
416,31,423,0
417,31,169,0
418,31,609,0
419,31,81,0
420,31,219,0
421,31,503,0
422,31,142,0
423,31,182,0
424,31,177,0
425,31,664,0
426,31,582,0
427,31,110,0
428,31,84,0
429,31,126,0
430,31,449,0
431,31,357,0
432,31,98,0
433,31,404,0
434,31,43,0
435,31,46,0
436,31,30,0
437,31,680,0
438,31,613,0
439,31,208,0
440,31,334,0
441,31,380,0
442,31,131,0
443,31,601,0
444,31,450,0
445,31,501,0
446,31,488,0
447,31,7,0
448,31,517,0
449,31,159,0
450,31,96,0
451,31,55,0
452,31,387,0
453,31,385,0
454,31,359,0
455,31,498,0
456,31,306,0
457,31,26,0
458,31,526,0
459,31,590,0
460,31,371,0
461,31,390,0
462,31,663,0
463,31,355,0
464,31,214,0
465,31,658,0
466,31,667,0
467,31,313,0
468,31,382,0
469,31,290,0
470,31,332,0
471,31,436,0
472,31,634,0
473,31,644,0
474,31,600,0
475,31,118,0
476,31,291,0
477,31,201,0
478,31,240,0
479,31,125,0
480,31,224,0
481,31,109,0
482,31,92,0
483,31,381,0
484,31,652,0
485,31,440,0
486,31,508,0
487,31,323,0
488,31,241,0
489,31,513,0
490,31,300,0
491,31,530,0
492,31,510,0
493,31,446,0
494,31,356,0
495,31,60,0
496,31,676,0
497,31,250,0
498,31,378,0
499,31,53,0
500,31,70,0
501,31,12,0
502,31,71,0
503,31,400,0
504,31,439,0
505,31,630,0
506,31,184,0
507,31,464,0
508,31,576,0
509,31,223,0
510,31,502,0
511,31,595,0
512,31,155,0
513,31,234,0
514,31,544,0
515,31,335,0
516,31,388,0
517,31,494,0
518,31,484,0
519,31,677,0
520,31,433,0
521,31,584,0
522,31,42,0
523,31,476,0
524,31,656,0
525,31,170,0
526,31,465,0
527,31,555,0
528,31,534,0
529,31,583,0
530,31,258,0
531,31,661,0
532,31,63,0
533,31,589,0
534,31,622,0
535,31,176,0
536,31,94,0
537,31,686,0
538,31,305,0
539,31,204,0
540,31,196,0
541,31,225,0
542,31,626,0
543,31,573,0
544,31,261,0
545,31,368,0
546,31,105,0
547,31,342,0
548,31,563,0
549,31,497,0
550,31,636,0
551,31,682,0
552,31,396,0
553,31,684,0
554,31,426,0
555,31,168,0
556,31,243,0
557,31,519,0
558,31,56,0
559,31,320,0
560,31,345,0
561,31,259,0
562,31,685,0
563,31,29,0
564,31,593,0
565,31,562,0
566,31,113,0
567,31,324,0
568,31,438,0
569,31,512,0
570,31,538,0
571,31,103,0
572,31,128,0
573,31,277,0
574,31,262,0
575,31,466,0
576,31,83,0
577,31,121,0
578,31,454,0
579,31,592,0
580,31,61,0
581,31,655,0
582,31,278,0
583,31,397,0
584,31,49,0
585,31,172,0
586,31,207,0
587,31,163,0
588,31,346,0
589,31,69,0
590,31,254,0
591,31,199,0
592,31,435,0
593,31,653,0
594,31,493,0
595,31,424,0
596,31,100,0
597,31,39,0
598,31,679,0
599,31,212,0
600,31,645,0
601,31,67,0
602,31,316,0
603,31,247,0
604,31,547,0
605,31,361,0
606,31,120,0
607,31,217,0
608,31,232,0
