,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LARS2,-0.06544487,0.70079046,7.503906,11.18337,5.7037873,-0.07259947,6.83008,9.205281,4.0071425,-0.073652014,4.138464,-0.0097187925,-0.06062188,4.5152926,-0.08792094,4.3994184
SLC35D3,-0.06721699,1.0194999,5.9107585,10.49465,6.2520638,-0.056633685,5.256786,8.298776,4.3100214,-0.059343733,3.1608407,-0.004081352,-0.063105814,3.7877507,-0.09239537,4.328019
PPCDC,-0.06544487,0.70079046,7.503906,11.18337,5.7037873,-0.07259947,6.83008,9.205281,4.0071425,-0.073652014,4.138464,-0.0097187925,-0.06062188,4.5152926,-0.08792094,4.3994184
NUDT19,-0.046003427,0.3085627,5.7341976,8.174952,4.292077,-0.054083094,5.4697585,6.6069603,2.95812,-0.050341632,2.8553221,-0.0071428916,-0.045106333,3.0581574,-0.059550516,2.9709218
UNC93B1,-0.045187138,0.27151924,5.67403,8.088911,4.244815,-0.053434074,5.420192,6.53442,2.8923194,-0.049906977,2.827319,-0.0071336487,-0.044499345,2.9842224,-0.058742974,2.944321
H2-Q6,-0.06544487,0.70079046,7.503906,11.18337,5.7037873,-0.07259947,6.83008,9.205281,4.0071425,-0.073652014,4.138464,-0.0097187925,-0.06062188,4.5152926,-0.08792094,4.3994184
PRUNE2,-0.06544487,0.70079046,7.503906,11.18337,5.7037873,-0.07259947,6.83008,9.205281,4.0071425,-0.073652014,4.138464,-0.0097187925,-0.06062188,4.5152926,-0.08792094,4.3994184
ABCG3,-0.06544487,0.70079046,7.503906,11.18337,5.7037873,-0.07259947,6.83008,9.205281,4.0071425,-0.073652014,4.138464,-0.0097187925,-0.06062188,4.5152926,-0.08792094,4.3994184
CCL9,-0.06544487,0.70079046,7.503906,11.18337,5.7037873,-0.07259947,6.83008,9.205281,4.0071425,-0.073652014,4.138464,-0.0097187925,-0.06062188,4.5152926,-0.08792094,4.3994184
PF4,-0.04281226,0.22851823,5.436362,7.7238364,4.08367,-0.051070374,5.209828,6.1986265,2.7512257,-0.047580138,2.6894956,-0.006864422,-0.042275097,2.7831059,-0.05590352,2.8485098
VAMP5,-0.04636016,0.29213944,5.803824,8.28721,4.3537807,-0.055105314,5.5537148,6.6772776,2.9888008,-0.051523797,2.9019904,-0.007296775,-0.045504797,3.054448,-0.060585484,3.0234566
