,TF,Target,Label
0,46,422,1
1,58,281,1
2,58,380,1
3,66,422,1
4,76,541,1
5,76,207,1
6,76,171,1
7,76,398,1
8,76,222,1
9,76,536,1
10,76,146,1
11,76,552,1
12,76,51,1
13,76,78,1
14,85,483,1
15,85,156,1
16,85,382,1
17,85,271,1
18,85,268,1
19,85,118,1
20,85,248,1
21,85,399,1
22,85,305,1
23,85,439,1
24,85,510,1
25,85,146,1
26,85,422,1
27,85,293,1
28,85,192,1
29,111,525,1
30,111,407,1
31,118,352,1
32,118,376,1
33,118,42,1
34,118,522,1
35,118,93,1
36,118,422,1
37,118,367,1
38,118,107,1
39,118,466,1
40,118,551,1
41,118,401,1
42,118,78,1
43,118,283,1
44,118,525,1
45,135,302,1
46,145,68,1
47,145,60,1
48,145,422,1
49,145,506,1
50,145,116,1
51,145,190,1
52,155,279,1
53,155,20,1
54,155,472,1
55,155,63,1
56,155,509,1
57,155,498,1
58,155,80,1
59,155,123,1
60,155,522,1
61,155,312,1
62,155,60,1
63,155,271,1
64,155,236,1
65,155,419,1
66,155,451,1
67,155,551,1
68,155,340,1
69,155,49,1
70,155,169,1
71,155,358,1
72,155,30,1
73,155,126,1
74,155,44,1
75,155,223,1
76,180,379,1
77,213,216,1
78,213,506,1
79,213,145,1
80,213,257,1
81,213,68,1
82,213,190,1
83,213,131,1
84,216,131,1
85,216,506,1
86,216,96,1
87,216,213,1
88,216,554,1
89,216,60,1
90,216,145,1
91,233,550,1
92,233,416,1
93,237,406,1
94,251,112,1
95,252,445,1
96,252,53,1
97,252,531,1
98,252,221,1
99,252,357,1
100,252,180,1
101,277,335,1
102,277,422,1
103,283,118,1
104,284,233,1
105,284,320,1
106,302,426,1
107,302,445,1
108,302,221,1
109,302,56,1
110,302,180,1
111,302,497,1
112,302,361,1
113,302,252,1
114,302,53,1
115,320,257,1
116,320,131,1
117,320,361,1
118,320,451,1
119,320,30,1
120,320,522,1
121,320,531,1
122,320,510,1
123,320,160,1
124,320,183,1
125,320,0,1
126,320,438,1
127,320,29,1
128,320,284,1
129,320,6,1
130,320,369,1
131,320,63,1
132,320,483,1
133,320,411,1
134,320,379,1
135,320,279,1
136,320,25,1
137,320,233,1
138,320,551,1
139,320,497,1
140,320,28,1
141,324,518,1
142,324,118,1
143,324,227,1
144,324,515,1
145,324,536,1
146,324,334,1
147,335,277,1
148,335,284,1
149,392,286,1
150,392,302,1
151,416,192,1
152,416,442,1
153,416,58,1
154,416,67,1
155,416,523,1
156,416,335,1
157,416,368,1
158,416,466,1
159,422,530,1
160,426,320,1
161,426,69,1
162,442,416,1
163,459,525,1
164,459,111,1
165,530,326,1
166,530,498,1
167,530,379,1
168,530,481,1
169,530,397,1
170,530,367,1
171,550,237,1
172,550,367,1
173,550,185,1
174,550,351,1
175,550,277,1
176,46,201,0
177,46,340,0
178,46,244,0
179,46,224,0
180,46,104,0
181,46,501,0
182,46,347,0
183,46,87,0
184,46,188,0
185,46,435,0
186,46,86,0
187,46,255,0
188,46,449,0
189,46,326,0
190,46,160,0
191,46,469,0
192,46,451,0
193,46,478,0
194,46,19,0
195,46,339,0
196,46,83,0
197,46,296,0
198,46,33,0
199,46,267,0
200,46,102,0
201,46,10,0
202,46,280,0
203,46,2,0
204,46,399,0
205,46,278,0
206,46,351,0
207,46,260,0
208,46,440,0
209,46,123,0
210,46,57,0
211,46,381,0
212,46,505,0
213,46,74,0
214,46,418,0
215,46,69,0
216,46,365,0
217,46,204,0
218,46,377,0
219,46,47,0
220,46,197,0
221,46,28,0
222,46,215,0
223,46,380,0
224,46,330,0
225,46,396,0
226,46,308,0
227,46,329,0
228,46,174,0
229,46,233,0
230,46,112,0
231,46,23,0
232,46,163,0
233,46,336,0
234,46,39,0
235,46,251,0
236,46,366,0
237,46,374,0
238,46,144,0
239,46,465,0
240,46,352,0
241,46,8,0
242,46,520,0
243,46,212,0
244,46,498,0
245,46,275,0
246,46,386,0
247,46,554,0
248,46,232,0
249,46,210,0
250,46,209,0
251,46,413,0
252,46,354,0
253,46,536,0
254,46,206,0
255,46,177,0
256,46,59,0
257,46,559,0
258,46,284,0
259,46,176,0
260,46,138,0
261,46,207,0
262,46,178,0
263,46,70,0
264,46,185,0
265,46,238,0
266,46,357,0
267,46,187,0
268,46,306,0
269,46,128,0
270,46,368,0
271,46,545,0
272,46,116,0
273,46,338,0
274,46,7,0
275,46,395,0
276,46,143,0
277,46,430,0
278,46,383,0
279,46,76,0
280,46,168,0
281,46,248,0
282,46,67,0
283,46,41,0
284,46,214,0
285,46,55,0
286,46,114,0
287,46,436,0
288,46,550,0
289,46,480,0
290,46,457,0
291,46,245,0
292,46,229,0
293,46,62,0
294,46,95,0
295,46,137,0
296,46,486,0
297,46,313,0
298,46,361,0
299,46,78,0
300,46,431,0
301,46,3,0
302,46,316,0
303,46,133,0
304,46,314,0
305,46,254,0
306,46,107,0
307,46,482,0
308,46,246,0
309,46,476,0
310,46,99,0
311,46,221,0
312,46,548,0
313,46,145,0
314,46,519,0
315,46,425,0
316,46,130,0
317,46,334,0
318,46,297,0
319,46,194,0
320,46,483,0
321,46,419,0
322,46,126,0
323,46,235,0
324,46,257,0
325,46,56,0
326,46,80,0
327,46,117,0
328,46,398,0
329,46,310,0
330,46,331,0
331,46,141,0
332,46,103,0
333,46,281,0
334,46,45,0
335,46,295,0
336,46,118,0
337,46,6,0
338,46,463,0
339,46,503,0
340,46,421,0
341,46,149,0
342,46,458,0
343,46,110,0
344,46,4,0
345,46,42,0
346,46,412,0
347,46,65,0
348,46,179,0
349,46,356,0
350,46,135,0
351,46,155,0
352,46,524,0
353,46,543,0
354,46,350,0
355,46,502,0
356,46,240,0
357,46,237,0
358,46,90,0
359,46,325,0
360,46,538,0
361,46,40,0
362,46,191,0
363,46,401,0
364,46,17,0
365,46,468,0
366,46,417,0
367,46,532,0
368,46,530,0
369,46,434,0
370,46,373,0
371,46,157,0
372,46,288,0
373,46,34,0
374,46,311,0
375,46,230,0
376,46,273,0
377,46,269,0
378,46,213,0
379,46,22,0
380,46,120,0
381,46,533,0
382,46,217,0
383,46,307,0
384,46,508,0
385,46,455,0
386,46,183,0
387,46,375,0
388,46,392,0
389,46,119,0
390,46,189,0
391,46,5,0
392,46,556,0
393,46,93,0
394,46,272,0
395,46,190,0
396,46,136,0
397,46,252,0
398,46,423,0
399,46,115,0
400,46,139,0
401,46,173,0
402,46,51,0
403,46,154,0
404,46,298,0
405,46,61,0
406,46,94,0
407,46,156,0
408,46,242,0
409,46,0,0
410,46,341,0
411,46,378,0
412,46,12,0
413,46,162,0
414,46,376,0
415,46,495,0
416,46,429,0
417,46,262,0
418,46,558,0
419,46,158,0
420,46,343,0
421,46,289,0
422,46,121,0
423,46,53,0
424,46,294,0
425,46,129,0
426,46,15,0
427,46,407,0
428,46,504,0
429,46,328,0
430,46,537,0
431,46,219,0
432,46,250,0
433,46,75,0
434,46,253,0
435,46,167,0
436,46,433,0
437,46,113,0
438,46,199,0
439,46,48,0
440,46,439,0
441,46,161,0
442,46,26,0
443,46,271,0
444,46,384,0
445,46,193,0
446,46,387,0
447,46,276,0
448,46,321,0
449,46,35,0
450,46,367,0
451,46,88,0
452,46,181,0
453,46,97,0
454,46,500,0
455,46,259,0
456,46,293,0
457,46,285,0
458,46,170,0
459,46,346,0
460,46,364,0
461,46,81,0
462,46,410,0
463,46,353,0
464,46,241,0
465,46,268,0
466,46,228,0
467,46,169,0
468,46,547,0
469,46,477,0
470,46,108,0
471,46,172,0
472,46,506,0
473,46,400,0
474,46,227,0
475,46,490,0
476,46,164,0
477,46,182,0
478,46,473,0
479,46,98,0
480,46,344,0
481,46,516,0
482,46,44,0
483,46,196,0
484,46,518,0
485,46,31,0
486,46,471,0
487,46,337,0
488,46,389,0
489,46,79,0
490,46,402,0
491,46,153,0
492,46,414,0
493,46,24,0
494,46,475,0
495,46,32,0
496,46,517,0
497,46,49,0
498,46,266,0
499,46,345,0
500,46,494,0
501,46,152,0
502,46,522,0
503,46,511,0
504,46,91,0
505,46,96,0
506,46,557,0
507,46,428,0
508,46,507,0
509,46,526,0
510,46,303,0
511,46,424,0
512,46,515,0
