,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DUSP1,1.863161,-0.012759206,-0.03416992,-0.05851025,-0.045894463,3.3093176,-0.021338252,-0.057983603,-0.0103638,5.132688,-0.024319971,3.3374944,0.160065,-0.020483395,4.374698,-0.041816693
TFEC,5.8232374,-0.03261459,-0.06736048,-0.11453247,-0.06780564,6.670575,-0.05246515,-0.088761,-0.019438483,7.538818,-0.026067568,6.3782578,0.6822412,-0.049097497,8.734048,-0.08794778
GIMAP8,4.9506197,-0.025432583,-0.07525085,-0.11771057,-0.08281765,7.3340507,-0.04823047,-0.12174084,-0.026741909,10.039323,-0.047608588,7.4537373,0.34076518,-0.05366789,9.559369,-0.09687444
F2R,4.9506197,-0.025432583,-0.07525085,-0.11771057,-0.08281765,7.3340507,-0.04823047,-0.12174084,-0.026741909,10.039323,-0.047608588,7.4537373,0.34076518,-0.05366789,9.559369,-0.09687444
PLXNC1,4.100293,-0.029312808,-0.06763832,-0.10850305,-0.0864872,6.593867,-0.049373277,-0.11823674,-0.03742448,9.810118,-0.036814574,6.687751,1.2924559,-0.04654352,8.676989,-0.087382264
ITGAM,4.9506197,-0.025432583,-0.07525085,-0.11771057,-0.08281765,7.3340507,-0.04823047,-0.12174084,-0.026741909,10.039323,-0.047608588,7.4537373,0.34076518,-0.05366789,9.559369,-0.09687444
SOCS2,2.3507295,-0.013338541,-0.029697625,-0.061403897,-0.038098045,2.640254,-0.025025249,-0.049486063,-0.012542766,4.4656777,-0.019414227,3.4068513,0.514043,-0.024898984,4.349902,-0.039646856
IGHV1-82,4.9506197,-0.025432583,-0.07525085,-0.11771057,-0.08281765,7.3340507,-0.04823047,-0.12174084,-0.026741909,10.039323,-0.047608588,7.4537373,0.34076518,-0.05366789,9.559369,-0.09687444
TINAGL1,4.9506197,-0.025432583,-0.07525085,-0.11771057,-0.08281765,7.3340507,-0.04823047,-0.12174084,-0.026741909,10.039323,-0.047608588,7.4537373,0.34076518,-0.05366789,9.559369,-0.09687444
EPSTI1,4.4273386,-0.02091082,-0.07697272,-0.10272315,-0.06797587,6.154408,-0.040544733,-0.107329644,-0.03205403,9.448335,-0.041781306,6.5349073,0.0041435957,-0.044521153,8.399265,-0.09908132
EBI3,4.276595,-0.030321946,-0.07213522,-0.11140071,-0.080161616,7.9058795,-0.0478351,-0.1206032,-0.032306246,10.401999,-0.045751162,7.1058846,0.76014423,-0.046348322,9.339076,-0.09175819
PSTPIP1,4.9506197,-0.025432583,-0.07525085,-0.11771057,-0.08281765,7.3340507,-0.04823047,-0.12174084,-0.026741909,10.039323,-0.047608588,7.4537373,0.34076518,-0.05366789,9.559369,-0.09687444
TTC39B,4.9506197,-0.025432583,-0.07525085,-0.11771057,-0.08281765,7.3340507,-0.04823047,-0.12174084,-0.026741909,10.039323,-0.047608588,7.4537373,0.34076518,-0.05366789,9.559369,-0.09687444
USP11,4.9506197,-0.025432583,-0.07525085,-0.11771057,-0.08281765,7.3340507,-0.04823047,-0.12174084,-0.026741909,10.039323,-0.047608588,7.4537373,0.34076518,-0.05366789,9.559369,-0.09687444
ITPR2,4.2758965,-0.030316316,-0.07214204,-0.111388154,-0.08014308,7.905331,-0.047839932,-0.12057121,-0.032303393,10.400624,-0.045753058,7.1050386,0.7612009,-0.046332326,9.342175,-0.091731034
