,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ETV1,-0.068831675,6.3602633,-0.010694595,-0.06074458,-0.061930392,1.8102316,-0.04947191,5.7829785,-0.064867154,-0.055162508,-0.044299994,4.3609715,6.121832,-0.056041233,5.75694,-0.02890635
ARMC4,-0.08709375,6.6726465,-0.026362037,-0.07338653,-0.07535278,1.3444011,-0.07254578,6.2560525,-0.09234126,-0.06161098,-0.043747593,5.4391522,8.657765,-0.055894174,7.1365805,-0.041407738
MIB1,-0.101324424,7.8481455,-0.015544455,-0.07281848,-0.08926103,2.8336174,-0.07156077,7.794928,-0.09412203,-0.06595899,-0.05109251,6.4630404,9.424532,-0.06844001,8.40414,-0.054445334
CAMK2D,-0.07382294,5.9491158,-0.010552969,-0.054493397,-0.06455644,2.0679553,-0.052760787,5.932055,-0.07047516,-0.048328783,-0.037674826,4.7897077,6.952147,-0.05307609,6.0934863,-0.04105786
P4HA1,-0.101324424,7.8481455,-0.015544455,-0.07281848,-0.08926103,2.8336174,-0.07156077,7.794928,-0.09412203,-0.06595899,-0.05109251,6.4630404,9.424532,-0.06844001,8.40414,-0.054445334
HNRNPD,-0.06808764,5.538747,-0.009585571,-0.050484486,-0.05967783,1.8983147,-0.048745345,5.517062,-0.065157674,-0.044872053,-0.034851644,4.424193,6.418724,-0.049523845,5.562032,-0.038303033
MLLT6,-0.101324424,7.8481455,-0.015544455,-0.07281848,-0.08926103,2.8336174,-0.07156077,7.794928,-0.09412203,-0.06595899,-0.05109251,6.4630404,9.424532,-0.06844001,8.40414,-0.054445334
SLA2,-0.0906683,6.922072,-0.016801491,-0.06581226,-0.07596507,1.8667803,-0.074013256,7.397827,-0.09148163,-0.053472612,-0.055021256,6.4055,8.680274,-0.06832322,7.5982285,-0.043588568
SART3,-0.101324424,7.8481455,-0.015544455,-0.07281848,-0.08926103,2.8336174,-0.07156077,7.794928,-0.09412203,-0.06595899,-0.05109251,6.4630404,9.424532,-0.06844001,8.40414,-0.054445334
C1orf9,-0.0937298,8.312825,-0.01751286,-0.07031226,-0.09004038,2.8975022,-0.073097564,7.62717,-0.087145984,-0.0698927,-0.042631343,6.7067914,8.660629,-0.07275653,7.5157347,-0.05641861
CD9,-0.101324424,7.8481455,-0.015544455,-0.07281848,-0.08926103,2.8336174,-0.07156077,7.794928,-0.09412203,-0.06595899,-0.05109251,6.4630404,9.424532,-0.06844001,8.40414,-0.054445334
CDCA7,-0.0673346,5.4730906,-0.009423725,-0.049907416,-0.058971353,1.8725508,-0.048039418,5.445648,-0.06432592,-0.044471815,-0.034413453,4.367997,6.334182,-0.048926055,5.4849486,-0.03794704
IMPAD1,-0.096834816,8.518188,-0.014437267,-0.07016243,-0.07817795,3.198795,-0.06918882,6.4362836,-0.07987743,-0.06994147,-0.055122603,5.2744317,8.236075,-0.062865764,8.002581,-0.044567373
MCCC1,-0.107352376,6.3559494,-0.009749382,-0.06061138,-0.08173847,3.0323284,-0.06453473,6.91344,-0.09006406,-0.05990697,-0.044223238,5.7116637,7.8207855,-0.06627772,8.50694,-0.06304424
COPS3,-0.06772704,5.5132422,-0.009506812,-0.050245132,-0.059339464,1.8871621,-0.048462484,5.490016,-0.06479511,-0.044653356,-0.034646213,4.3951964,6.3837705,-0.049288798,5.5223627,-0.03813923
GPSM2,-0.093707696,8.317327,-0.01755915,-0.07026043,-0.090017945,2.89818,-0.07311233,7.6315675,-0.0871369,-0.06993282,-0.042640675,6.7048,8.657286,-0.07280069,7.517455,-0.056404933
ZNF160,-0.099373795,7.8690295,-0.015242281,-0.07206784,-0.087328546,2.843404,-0.07152687,7.7127085,-0.09378982,-0.064549156,-0.050383333,6.457901,9.324951,-0.06898002,8.343682,-0.05360239
CDK6,-0.07052962,5.7259226,-0.010081952,-0.052177332,-0.061813552,1.971487,-0.05051859,5.6938195,-0.06741195,-0.046361193,-0.036072362,4.583976,6.6470246,-0.05086732,5.7845974,-0.039469354
CBFA2T2,-0.08684363,6.9647756,-0.012874335,-0.06350229,-0.07610138,2.513032,-0.06299467,6.8779335,-0.08288235,-0.05650277,-0.044040475,5.643051,8.235967,-0.061334547,7.292475,-0.047666658
EPCAM,-0.08613886,6.912654,-0.012981504,-0.06312238,-0.07569507,2.4423637,-0.062330145,6.825558,-0.08232419,-0.05631929,-0.04367742,5.6310906,8.125653,-0.061275005,7.2233167,-0.047059696
SHOX,-0.101324424,7.8481455,-0.015544455,-0.07281848,-0.08926103,2.8336174,-0.07156077,7.794928,-0.09412203,-0.06595899,-0.05109251,6.4630404,9.424532,-0.06844001,8.40414,-0.054445334
SLC36A4,-0.0937298,8.312825,-0.01751286,-0.07031226,-0.09004038,2.8975022,-0.073097564,7.62717,-0.087145984,-0.0698927,-0.042631343,6.7067914,8.660629,-0.07275653,7.5157347,-0.05641861
MGST2,-0.101324424,7.8481455,-0.015544455,-0.07281848,-0.08926103,2.8336174,-0.07156077,7.794928,-0.09412203,-0.06595899,-0.05109251,6.4630404,9.424532,-0.06844001,8.40414,-0.054445334
NFAT5,-0.101324424,7.8481455,-0.015544455,-0.07281848,-0.08926103,2.8336174,-0.07156077,7.794928,-0.09412203,-0.06595899,-0.05109251,6.4630404,9.424532,-0.06844001,8.40414,-0.054445334
LAP3,-0.101339735,7.8467817,-0.0155481845,-0.07281123,-0.08924822,2.83401,-0.071572796,7.7956986,-0.09413224,-0.06596339,-0.051100545,6.4624434,9.424571,-0.0684395,8.404479,-0.054449663
