,TF,Target,Label
0,0,674,1
1,0,885,1
2,0,198,1
3,7,465,1
4,13,196,1
5,13,236,1
6,13,369,1
7,13,641,1
8,13,768,1
9,13,453,1
10,13,632,1
11,13,534,1
12,13,842,1
13,13,658,1
14,24,31,1
15,24,128,1
16,24,857,1
17,24,717,1
18,25,799,1
19,25,319,1
20,25,220,1
21,25,885,1
22,25,154,1
23,25,460,1
24,25,257,1
25,25,126,1
26,29,882,1
27,29,116,1
28,30,761,1
29,30,355,1
30,30,658,1
31,30,637,1
32,30,254,1
33,30,198,1
34,30,304,1
35,30,803,1
36,30,824,1
37,30,853,1
38,30,848,1
39,30,759,1
40,30,725,1
41,30,53,1
42,30,793,1
43,30,811,1
44,30,248,1
45,30,411,1
46,30,335,1
47,30,677,1
48,30,885,1
49,30,119,1
50,30,207,1
51,30,233,1
52,31,857,1
53,31,127,1
54,31,70,1
55,31,618,1
56,31,805,1
57,31,355,1
58,31,492,1
59,31,198,1
60,31,10,1
61,31,24,1
62,31,268,1
63,31,755,1
64,31,341,1
65,31,562,1
66,32,847,1
67,32,16,1
68,34,792,1
69,35,275,1
70,35,695,1
71,35,518,1
72,35,54,1
73,35,87,1
74,35,248,1
75,35,871,1
76,35,606,1
77,35,751,1
78,35,607,1
79,35,498,1
80,35,384,1
81,35,682,1
82,35,901,1
83,35,273,1
84,35,10,1
85,35,492,1
86,35,161,1
87,35,2,1
88,35,889,1
89,35,65,1
90,35,753,1
91,35,660,1
92,35,546,1
93,35,421,1
94,40,780,1
95,40,803,1
96,40,509,1
97,40,335,1
98,40,254,1
99,40,223,1
100,45,152,1
101,45,278,1
102,45,295,1
103,45,283,1
104,45,450,1
105,45,372,1
106,45,427,1
107,46,848,1
108,46,461,1
109,50,10,1
110,50,889,1
111,50,562,1
112,50,275,1
113,52,752,1
114,52,624,1
115,52,201,1
116,52,311,1
117,52,302,1
118,52,898,1
119,52,667,1
120,52,322,1
121,52,336,1
122,52,74,1
123,52,204,1
124,52,844,1
125,52,152,1
126,52,286,1
127,52,351,1
128,52,321,1
129,52,239,1
130,52,307,1
131,54,384,1
132,54,492,1
133,54,674,1
134,54,35,1
135,54,682,1
136,54,198,1
137,54,562,1
138,54,889,1
139,54,695,1
140,54,655,1
141,54,708,1
142,54,491,1
143,54,623,1
144,54,305,1
145,54,553,1
146,54,571,1
147,54,351,1
148,54,645,1
149,54,753,1
150,54,607,1
151,54,345,1
152,55,195,1
153,55,906,1
154,62,152,1
155,62,427,1
156,62,169,1
157,62,241,1
158,63,468,1
159,63,411,1
160,63,687,1
161,63,211,1
162,74,103,1
163,74,752,1
164,74,204,1
165,74,282,1
166,74,383,1
167,74,239,1
168,74,152,1
169,74,241,1
170,74,155,1
171,74,52,1
172,74,667,1
173,74,578,1
174,75,368,1
175,75,259,1
176,75,250,1
177,75,355,1
178,77,839,1
179,80,856,1
180,80,391,1
181,80,885,1
182,80,642,1
183,80,282,1
184,80,34,1
185,81,815,1
186,82,138,1
187,82,43,1
188,82,281,1
189,82,397,1
190,82,316,1
191,82,768,1
192,82,214,1
193,82,355,1
194,82,294,1
195,82,453,1
196,82,390,1
197,82,671,1
198,83,687,1
199,83,468,1
200,85,622,1
201,85,792,1
202,89,187,1
203,93,885,1
204,93,281,1
205,98,898,1
206,98,201,1
207,103,898,1
208,103,642,1
209,103,578,1
210,103,383,1
211,103,204,1
212,103,282,1
213,103,74,1
214,103,541,1
215,103,809,1
216,103,201,1
217,105,725,1
218,116,29,1
219,116,282,1
220,116,103,1
221,116,170,1
222,116,342,1
223,116,578,1
224,116,190,1
225,116,752,1
226,116,383,1
227,116,204,1
228,119,787,1
229,119,693,1
230,119,30,1
231,119,803,1
232,120,869,1
233,124,800,1
234,124,468,1
235,124,699,1
236,124,200,1
237,124,298,1
238,124,909,1
239,126,25,1
240,128,664,1
241,128,885,1
242,128,670,1
243,128,24,1
244,133,278,1
245,133,262,1
246,139,885,1
247,140,885,1
248,140,182,1
249,140,453,1
250,140,762,1
251,140,25,1
252,140,622,1
253,140,595,1
254,140,701,1
255,145,451,1
256,145,40,1
257,146,650,1
258,151,242,1
259,151,417,1
260,152,351,1
261,152,687,1
262,152,646,1
263,152,201,1
264,152,570,1
265,152,450,1
266,152,74,1
267,152,572,1
268,152,270,1
269,152,750,1
270,152,360,1
271,152,624,1
272,152,809,1
273,152,787,1
274,152,421,1
275,152,283,1
276,152,803,1
277,152,311,1
278,152,295,1
279,152,571,1
280,152,736,1
281,152,642,1
282,152,892,1
283,152,252,1
284,152,372,1
285,152,752,1
286,152,336,1
287,152,729,1
288,152,838,1
289,152,241,1
290,152,540,1
291,152,650,1
292,152,219,1
293,152,195,1
294,152,906,1
295,152,302,1
296,152,496,1
297,152,471,1
298,152,239,1
299,152,709,1
300,152,335,1
301,152,162,1
302,152,307,1
303,158,722,1
304,158,462,1
305,158,139,1
306,158,244,1
307,158,109,1
308,158,279,1
309,158,377,1
310,158,280,1
311,162,383,1
312,162,295,1
313,162,195,1
314,162,361,1
315,162,372,1
316,162,667,1
317,162,568,1
318,162,152,1
319,163,128,1
320,163,140,1
321,163,732,1
322,163,856,1
323,163,892,1
324,163,464,1
325,163,659,1
326,163,891,1
327,164,591,1
328,164,351,1
329,164,584,1
330,164,242,1
331,164,360,1
332,164,858,1
333,164,244,1
334,165,488,1
335,169,459,1
336,169,427,1
337,169,239,1
338,169,241,1
339,170,342,1
340,170,29,1
341,170,116,1
342,170,268,1
343,173,704,1
344,173,892,1
345,175,355,1
346,175,885,1
347,178,622,1
348,178,584,1
349,179,361,1
350,179,439,1
351,181,205,1
352,187,460,1
353,187,341,1
354,187,732,1
355,187,89,1
356,187,885,1
357,187,755,1
358,187,622,1
359,187,309,1
360,187,654,1
361,190,885,1
362,190,16,1
363,190,765,1
364,190,673,1
365,190,845,1
366,190,644,1
367,190,431,1
368,190,557,1
369,190,499,1
370,190,870,1
371,195,211,1
372,195,286,1
373,195,540,1
374,195,162,1
375,195,55,1
376,195,450,1
377,195,750,1
378,195,531,1
379,195,336,1
380,195,239,1
381,198,808,1
382,198,755,1
383,198,140,1
384,198,457,1
385,198,54,1
386,198,591,1
387,198,265,1
388,198,772,1
389,198,355,1
390,198,259,1
391,198,650,1
392,198,31,1
393,198,30,1
394,198,792,1
395,198,850,1
396,198,328,1
397,198,220,1
398,198,242,1
399,198,461,1
400,198,803,1
401,198,10,1
402,198,550,1
403,198,760,1
404,198,909,1
405,198,595,1
406,198,885,1
407,198,453,1
408,199,259,1
409,199,10,1
410,199,485,1
411,199,212,1
412,199,360,1
413,199,402,1
414,199,361,1
415,199,763,1
416,199,751,1
417,199,620,1
418,199,508,1
419,199,464,1
420,200,286,1
421,200,800,1
422,200,909,1
423,200,203,1
424,201,322,1
425,201,152,1
426,201,311,1
427,201,286,1
428,201,624,1
429,201,752,1
430,201,239,1
431,201,307,1
432,201,898,1
433,201,789,1
434,201,252,1
435,201,650,1
436,201,809,1
437,201,74,1
438,201,838,1
439,201,361,1
440,201,282,1
441,201,351,1
442,201,646,1
443,201,52,1
444,201,336,1
445,201,479,1
446,201,204,1
447,203,200,1
448,204,557,1
449,204,201,1
450,204,103,1
451,204,116,1
452,204,752,1
453,204,302,1
454,204,74,1
455,204,253,1
456,204,252,1
457,204,524,1
458,204,383,1
459,204,742,1
460,205,574,1
461,205,815,1
462,205,508,1
463,205,465,1
464,205,16,1
465,205,15,1
466,205,355,1
467,205,715,1
468,205,461,1
469,205,181,1
470,205,850,1
471,205,637,1
472,205,327,1
473,205,512,1
474,205,808,1
475,205,768,1
476,205,207,1
477,205,402,1
478,206,270,1
479,206,317,1
480,207,30,1
481,207,390,1
482,207,715,1
483,207,671,1
484,207,303,1
485,208,74,1
486,211,471,1
487,211,787,1
488,211,367,1
489,211,496,1
490,211,605,1
491,211,468,1
492,211,351,1
493,211,677,1
494,211,63,1
495,211,892,1
496,211,286,1
497,211,571,1
498,211,336,1
499,211,195,1
500,212,571,1
501,212,623,1
502,212,491,1
503,212,562,1
504,212,485,1
505,212,762,1
506,212,384,1
507,212,199,1
508,212,275,1
509,216,262,1
510,216,577,1
511,219,241,1
512,219,239,1
513,219,427,1
514,219,584,1
515,223,40,1
516,223,233,1
517,223,803,1
518,223,298,1
519,229,43,1
520,229,622,1
521,229,337,1
522,233,335,1
523,233,124,1
524,233,860,1
525,233,30,1
526,233,699,1
527,233,223,1
528,233,747,1
529,233,595,1
530,238,461,1
531,239,624,1
532,239,838,1
533,239,386,1
534,239,898,1
535,239,342,1
536,239,892,1
537,239,468,1
538,239,809,1
539,239,211,1
540,239,162,1
541,239,336,1
542,239,906,1
543,239,321,1
544,239,572,1
545,239,750,1
546,239,241,1
547,239,736,1
548,239,307,1
549,239,219,1
550,239,677,1
551,239,74,1
552,239,496,1
553,239,152,1
554,239,568,1
555,239,650,1
556,239,427,1
557,239,311,1
558,239,52,1
559,239,642,1
560,239,372,1
561,239,335,1
562,239,283,1
563,239,421,1
564,239,531,1
565,239,729,1
566,239,687,1
567,239,571,1
568,239,195,1
569,239,169,1
570,239,411,1
571,239,605,1
572,239,252,1
573,239,459,1
574,242,535,1
575,242,757,1
576,242,858,1
577,242,591,1
578,242,572,1
579,242,198,1
580,242,298,1
581,242,164,1
582,243,668,1
583,244,853,1
584,244,462,1
585,244,109,1
586,244,584,1
587,244,351,1
588,244,424,1
589,244,129,1
590,244,858,1
591,244,279,1
592,244,654,1
593,244,158,1
594,244,760,1
595,248,472,1
596,248,715,1
597,248,885,1
598,248,765,1
599,248,35,1
600,248,772,1
601,248,591,1
602,248,853,1
603,248,262,1
604,248,870,1
605,248,461,1
606,248,660,1
607,248,803,1
608,248,498,1
609,248,335,1
610,248,30,1
611,248,571,1
612,250,632,1
613,250,670,1
614,250,457,1
615,250,30,1
616,252,361,1
617,252,750,1
618,252,282,1
619,252,204,1
620,252,152,1
621,252,307,1
622,252,752,1
623,252,646,1
624,252,838,1
625,252,302,1
626,252,667,1
627,252,286,1
628,252,351,1
629,252,642,1
630,252,239,1
631,252,521,1
632,252,336,1
633,252,809,1
634,252,898,1
635,252,162,1
636,254,335,1
637,254,30,1
638,254,69,1
639,259,725,1
640,259,815,1
641,259,508,1
642,259,175,1
643,259,199,1
644,259,850,1
645,259,205,1
646,259,759,1
647,259,198,1
648,259,496,1
649,259,664,1
650,259,435,1
651,259,637,1
652,259,75,1
653,259,464,1
654,259,509,1
655,261,885,1
656,262,248,1
657,262,133,1
658,262,849,1
659,262,885,1
660,268,755,1
661,268,419,1
662,268,182,1
663,268,768,1
664,268,562,1
665,268,880,1
666,268,170,1
667,268,39,1
668,268,764,1
669,268,824,1
670,268,493,1
671,268,506,1
672,268,671,1
673,268,88,1
674,270,667,1
675,270,595,1
676,270,886,1
677,270,241,1
678,270,336,1
679,270,152,1
680,270,206,1
681,270,427,1
682,270,788,1
683,270,459,1
684,270,286,1
685,270,351,1
686,278,848,1
687,278,849,1
688,278,883,1
689,278,521,1
690,278,15,1
691,278,499,1
692,278,45,1
693,278,760,1
694,278,765,1
695,278,457,1
696,278,869,1
697,281,288,1
698,281,82,1
699,281,885,1
700,281,564,1
701,282,423,1
702,282,103,1
703,282,578,1
704,282,15,1
705,282,252,1
706,282,204,1
707,282,650,1
708,282,351,1
709,282,152,1
710,282,752,1
711,282,750,1
712,282,336,1
713,282,646,1
714,282,742,1
715,282,307,1
716,282,622,1
717,282,541,1
718,282,383,1
719,282,809,1
720,282,80,1
721,282,885,1
722,282,116,1
723,282,321,1
724,286,531,1
725,286,295,1
726,286,886,1
727,286,201,1
728,286,892,1
729,286,624,1
730,286,803,1
731,286,335,1
732,286,677,1
733,286,667,1
734,286,52,1
735,286,307,1
736,286,450,1
737,286,468,1
738,286,152,1
739,286,321,1
740,286,282,1
741,286,646,1
742,286,788,1
743,286,80,1
744,286,570,1
745,286,571,1
746,286,729,1
747,286,360,1
748,286,650,1
749,286,809,1
750,286,471,1
751,286,765,1
752,286,687,1
753,286,898,1
754,286,838,1
755,286,459,1
756,286,642,1
757,286,200,1
758,286,787,1
759,286,302,1
760,286,496,1
761,286,736,1
762,288,845,1
763,288,595,1
764,288,715,1
765,288,885,1
766,288,909,1
767,290,319,1
768,290,355,1
769,290,869,1
770,290,765,1
771,295,897,1
772,295,447,1
773,295,155,1
774,295,102,1
775,295,189,1
776,295,846,1
777,295,286,1
778,295,740,1
779,295,45,1
780,295,78,1
781,295,667,1
782,295,372,1
783,295,568,1
784,295,336,1
785,295,829,1
786,295,162,1
787,298,641,1
788,298,587,1
789,298,356,1
790,298,335,1
791,298,549,1
792,298,658,1
793,298,787,1
794,298,860,1
795,298,699,1
796,298,124,1
797,298,759,1
798,298,595,1
799,298,233,1
800,298,242,1
801,298,768,1
802,302,321,1
803,302,750,1
804,302,131,1
805,302,898,1
806,302,809,1
807,302,667,1
808,302,624,1
809,302,752,1
810,302,282,1
811,302,239,1
812,302,642,1
813,302,311,1
814,302,361,1
815,302,351,1
816,302,201,1
817,302,646,1
818,302,795,1
819,302,52,1
820,302,116,1
821,304,30,1
822,304,595,1
823,304,335,1
824,304,233,1
825,304,340,1
826,307,650,1
827,307,286,1
828,307,282,1
829,307,844,1
830,307,642,1
831,307,252,1
832,307,624,1
833,307,336,1
834,307,577,1
835,307,322,1
836,307,321,1
837,307,667,1
838,307,646,1
839,307,311,1
840,307,439,1
841,307,752,1
842,307,838,1
843,311,302,1
844,311,844,1
845,311,282,1
846,311,642,1
847,311,608,1
848,311,286,1
849,311,52,1
850,311,624,1
851,311,809,1
852,311,336,1
853,311,252,1
854,311,351,1
855,311,307,1
856,311,787,1
857,311,201,1
858,311,322,1
859,311,898,1
860,311,667,1
861,318,708,1
862,318,498,1
863,319,298,1
864,319,25,1
865,319,595,1
866,319,290,1
867,319,808,1
868,319,701,1
869,319,356,1
870,321,750,1
871,321,302,1
872,321,52,1
873,321,252,1
874,321,282,1
875,321,624,1
876,321,898,1
877,321,311,1
878,321,152,1
879,321,646,1
880,321,578,1
881,321,351,1
882,321,642,1
883,321,752,1
884,321,667,1
885,321,336,1
886,327,615,1
887,327,595,1
888,328,273,1
889,328,772,1
890,328,623,1
891,328,461,1
892,328,198,1
893,328,275,1
894,328,562,1
895,328,889,1
896,328,465,1
897,328,10,1
898,335,602,1
899,335,351,1
900,335,710,1
901,335,538,1
902,335,457,1
903,335,658,1
904,335,750,1
905,335,248,1
906,335,671,1
907,335,761,1
908,335,286,1
909,335,853,1
910,335,577,1
911,335,856,1
912,335,254,1
913,335,885,1
914,335,233,1
915,335,30,1
916,335,667,1
917,335,239,1
918,335,811,1
919,335,411,1
920,335,803,1
921,335,355,1
922,336,709,1
923,336,270,1
924,336,838,1
925,336,750,1
926,336,321,1
927,336,642,1
928,336,687,1
929,336,211,1
930,336,372,1
931,336,540,1
932,336,677,1
933,336,650,1
934,336,195,1
935,336,282,1
936,336,886,1
937,336,898,1
938,336,427,1
939,336,605,1
940,336,803,1
941,336,411,1
942,336,302,1
943,336,809,1
944,336,729,1
945,336,752,1
946,336,295,1
947,336,736,1
948,336,906,1
949,336,342,1
950,336,351,1
951,336,787,1
952,336,571,1
953,336,252,1
954,336,286,1
955,336,471,1
956,336,531,1
957,336,421,1
958,340,304,1
959,340,223,1
960,341,187,1
961,341,31,1
962,341,805,1
963,342,116,1
964,342,152,1
965,342,667,1
966,342,286,1
967,342,336,1
968,342,351,1
969,349,671,1
970,351,211,1
971,351,372,1
972,351,450,1
973,351,540,1
974,351,496,1
975,351,471,1
976,351,201,1
977,351,152,1
978,351,336,1
979,351,54,1
980,351,709,1
981,351,270,1
982,351,886,1
983,351,803,1
984,351,164,1
985,351,838,1
986,351,788,1
987,351,906,1
988,351,677,1
989,351,468,1
990,351,360,1
991,351,650,1
992,351,239,1
993,351,286,1
994,351,605,1
995,351,252,1
996,351,642,1
997,351,311,1
998,351,411,1
999,351,421,1
1000,351,244,1
1001,351,787,1
1002,351,858,1
1003,351,342,1
1004,351,302,1
1005,351,687,1
1006,351,729,1
1007,351,335,1
1008,351,195,1
1009,351,307,1
1010,355,530,1
1011,355,453,1
1012,355,853,1
1013,355,857,1
1014,355,637,1
1015,355,259,1
1016,355,671,1
1017,355,760,1
1018,355,175,1
1019,355,198,1
1020,355,464,1
1021,355,65,1
1022,355,509,1
1023,355,220,1
1024,355,402,1
1025,355,701,1
1026,355,622,1
1027,355,850,1
1028,355,68,1
1029,355,205,1
1030,355,792,1
1031,355,82,1
1032,355,31,1
1033,355,75,1
1034,355,815,1
1035,355,831,1
1036,355,681,1
1037,355,199,1
1038,355,725,1
1039,355,254,1
1040,355,30,1
1041,355,457,1
1042,355,765,1
1043,355,885,1
1044,355,513,1
1045,356,319,1
1046,356,747,1
1047,356,734,1
1048,360,553,1
1049,360,336,1
1050,360,540,1
1051,360,674,1
1052,360,606,1
1053,360,750,1
1054,360,644,1
1055,360,531,1
1056,360,152,1
1057,360,351,1
1058,360,498,1
1059,360,667,1
1060,360,885,1
1061,361,201,1
1062,361,302,1
1063,361,179,1
1064,361,577,1
1065,361,479,1
1066,361,162,1
1067,363,548,1
1068,367,411,1
1069,367,211,1
1070,372,239,1
1071,372,283,1
1072,372,740,1
1073,372,152,1
1074,372,295,1
1075,372,459,1
1076,372,897,1
1077,372,427,1
1078,372,78,1
1079,372,162,1
1080,372,45,1
1081,372,351,1
1082,372,667,1
1083,372,691,1
1084,372,336,1
1085,372,829,1
1086,372,750,1
1087,372,846,1
1088,383,742,1
1089,383,116,1
1090,383,752,1
1091,383,642,1
1092,383,162,1
1093,383,282,1
1094,383,103,1
1095,383,204,1
1096,383,809,1
1097,383,311,1
1098,386,239,1
1099,386,459,1
1100,386,667,1
1101,386,460,1
1102,390,506,1
1103,390,671,1
1104,390,316,1
1105,390,207,1
1106,390,658,1
1107,390,723,1
1108,390,13,1
1109,396,562,1
1110,396,663,1
1111,396,671,1
1112,396,262,1
1113,397,82,1
1114,398,248,1
1115,398,677,1
1116,402,550,1
1117,402,199,1
1118,402,508,1
1119,402,808,1
1120,402,512,1
1121,402,265,1
1122,402,464,1
1123,402,355,1
1124,404,790,1
1125,404,777,1
1126,411,761,1
1127,411,55,1
1128,411,265,1
1129,411,780,1
1130,411,336,1
1131,411,496,1
1132,411,30,1
1133,411,892,1
1134,411,550,1
1135,411,335,1
1136,411,351,1
1137,411,367,1
1138,411,572,1
1139,411,63,1
1140,411,571,1
1141,411,677,1
1142,411,808,1
1143,411,605,1
1144,411,803,1
1145,411,671,1
1146,417,715,1
1147,417,151,1
1148,419,39,1
1149,419,493,1
1150,419,268,1
1151,419,764,1
1152,419,506,1
1153,419,603,1
1154,419,880,1
1155,419,832,1
1156,419,618,1
1157,423,282,1
1158,424,428,1
1159,424,853,1
1160,424,279,1
1161,424,244,1
1162,427,846,1
1163,427,62,1
1164,427,372,1
1165,427,286,1
1166,427,351,1
1167,427,750,1
1168,427,241,1
1169,427,219,1
1170,427,45,1
1171,427,336,1
1172,427,386,1
1173,427,447,1
1174,427,450,1
1175,427,667,1
1176,427,568,1
1177,427,74,1
1178,427,162,1
1179,427,295,1
1180,427,897,1
1181,428,158,1
1182,428,907,1
1183,428,460,1
1184,429,658,1
1185,434,903,1
1186,435,512,1
1187,435,259,1
1188,439,252,1
1189,439,307,1
1190,439,361,1
1191,450,239,1
1192,450,336,1
1193,450,540,1
1194,450,870,1
1195,450,351,1
1196,450,427,1
1197,450,195,1
1198,450,295,1
1199,450,667,1
1200,450,372,1
1201,450,286,1
1202,450,421,1
1203,453,82,1
1204,453,778,1
1205,453,220,1
1206,453,43,1
1207,453,811,1
1208,453,53,1
1209,453,198,1
1210,453,714,1
1211,453,355,1
1212,453,853,1
1213,453,792,1
1214,453,48,1
1215,453,637,1
1216,453,887,1
1217,453,760,1
1218,453,182,1
1219,453,884,1
1220,453,681,1
1221,453,140,1
1222,457,220,1
1223,457,824,1
1224,457,198,1
1225,457,760,1
1226,457,571,1
1227,457,278,1
1228,457,335,1
1229,457,259,1
1230,457,885,1
1231,457,637,1
1232,457,303,1
1233,457,632,1
1234,457,43,1
1235,457,787,1
1236,458,622,1
1237,458,460,1
1238,458,545,1
1239,458,853,1
1240,459,62,1
1241,459,74,1
1242,459,667,1
1243,459,239,1
1244,459,427,1
1245,459,152,1
1246,459,372,1
1247,459,286,1
1248,459,386,1
1249,459,788,1
1250,460,187,1
1251,460,853,1
1252,460,386,1
1253,460,25,1
1254,460,654,1
1255,460,885,1
1256,460,428,1
1257,460,622,1
1258,461,465,1
1259,461,571,1
1260,461,328,1
1261,461,772,1
1262,461,849,1
1263,461,755,1
1264,461,885,1
1265,461,550,1
1266,461,671,1
1267,461,693,1
1268,461,205,1
1269,461,15,1
1270,461,708,1
1271,461,127,1
1272,461,198,1
1273,461,645,1
1274,461,248,1
1275,461,265,1
1276,462,564,1
1277,462,377,1
1278,462,158,1
1279,462,279,1
1280,464,140,1
1281,464,815,1
1282,464,512,1
1283,464,850,1
1284,464,205,1
1285,464,595,1
1286,464,402,1
1287,464,259,1
1288,464,508,1
1289,465,7,1
1290,465,571,1
1291,465,328,1
1292,465,205,1
1293,465,461,1
1294,465,755,1
1295,465,671,1
1296,465,198,1
1297,467,479,1
1298,468,83,1
1299,468,211,1
1300,468,572,1
1301,468,63,1
1302,468,336,1
1303,468,239,1
1304,468,496,1
1305,468,667,1
1306,468,750,1
1307,468,677,1
1308,471,677,1
1309,471,286,1
1310,471,239,1
1311,471,572,1
1312,471,496,1
1313,471,667,1
1314,471,152,1
1315,471,605,1
1316,472,384,1
1317,472,35,1
1318,472,492,1
1319,472,273,1
1320,472,678,1
1321,472,623,1
1322,472,591,1
1323,472,562,1
1324,472,2,1
1325,472,793,1
1326,472,787,1
1327,472,606,1
1328,472,889,1
1329,472,275,1
1330,481,556,1
1331,482,591,1
1332,483,189,1
1333,483,78,1
1334,483,846,1
1335,483,691,1
1336,483,372,1
1337,483,568,1
1338,483,295,1
1339,483,740,1
1340,485,844,1
1341,485,557,1
1342,485,571,1
1343,485,328,1
1344,485,670,1
1345,485,199,1
1346,485,322,1
1347,485,885,1
1348,488,701,1
1349,489,248,1
1350,489,521,1
1351,489,793,1
1352,491,660,1
1353,491,678,1
1354,491,889,1
1355,491,498,1
1356,491,762,1
1357,491,562,1
1358,491,10,1
1359,491,275,1
1360,491,518,1
1361,491,384,1
1362,491,623,1
1363,491,553,1
1364,491,606,1
1365,491,305,1
1366,491,588,1
1367,491,492,1
1368,491,689,1
1369,491,54,1
1370,496,572,1
1371,496,687,1
1372,496,402,1
1373,496,677,1
1374,496,152,1
1375,496,398,1
1376,496,211,1
1377,496,667,1
1378,496,892,1
1379,496,464,1
1380,496,355,1
1381,496,478,1
1382,496,909,1
1383,496,286,1
1384,496,512,1
1385,496,205,1
1386,496,508,1
1387,496,259,1
1388,496,351,1
1389,496,571,1
1390,497,763,1
1391,497,199,1
1392,497,496,1
1393,497,680,1
1394,497,751,1
1395,497,404,1
1396,497,765,1
1397,498,753,1
1398,498,492,1
1399,498,248,1
1400,498,10,1
1401,498,360,1
1402,498,275,1
1403,498,87,1
1404,498,674,1
1405,498,35,1
1406,498,305,1
1407,498,695,1
1408,498,50,1
1409,498,2,1
1410,498,613,1
1411,498,660,1
1412,498,645,1
1413,498,54,1
1414,498,318,1
1415,498,708,1
1416,498,421,1
1417,498,562,1
1418,498,491,1
1419,499,278,1
1420,499,521,1
1421,499,571,1
1422,499,644,1
1423,508,512,1
1424,508,265,1
1425,508,870,1
1426,508,199,1
1427,508,205,1
1428,508,355,1
1429,508,464,1
1430,508,725,1
1431,508,815,1
1432,508,402,1
1433,508,808,1
1434,508,259,1
1435,512,831,1
1436,512,759,1
1437,512,496,1
1438,512,259,1
1439,512,872,1
1440,512,435,1
1441,512,402,1
1442,512,850,1
1443,512,205,1
1444,519,857,1
1445,520,786,1
1446,520,827,1
1447,521,575,1
1448,521,752,1
1449,521,671,1
1450,521,278,1
1451,521,499,1
1452,521,646,1
1453,521,248,1
1454,521,793,1
1455,521,252,1
1456,521,809,1
1457,529,416,1
1458,531,195,1
1459,531,450,1
1460,531,421,1
1461,531,152,1
1462,531,667,1
1463,531,540,1
1464,531,286,1
1465,531,239,1
1466,535,242,1
1467,535,858,1
1468,536,885,1
1469,536,262,1
1470,537,440,1
1471,537,453,1
1472,538,803,1
1473,538,30,1
1474,540,906,1
1475,540,667,1
1476,540,286,1
1477,540,152,1
1478,540,351,1
1479,540,531,1
1480,540,239,1
1481,540,750,1
1482,541,752,1
1483,541,650,1
1484,541,282,1
1485,541,116,1
1486,541,578,1
1487,541,204,1
1488,549,298,1
1489,550,588,1
1490,550,772,1
1491,550,402,1
1492,550,508,1
1493,550,869,1
1494,550,755,1
1495,550,198,1
1496,556,481,1
1497,556,615,1
1498,556,595,1
1499,557,885,1
1500,557,421,1
1501,557,485,1
1502,557,650,1
1503,557,765,1
1504,557,545,1
1505,557,870,1
1506,557,204,1
1507,564,844,1
1508,564,654,1
1509,564,377,1
1510,564,244,1
1511,564,109,1
1512,564,129,1
1513,564,281,1
1514,564,885,1
1515,564,462,1
1516,568,667,1
1517,568,372,1
1518,568,829,1
1519,568,189,1
1520,568,427,1
1521,568,740,1
1522,568,78,1
1523,568,447,1
1524,568,295,1
1525,568,162,1
1526,568,691,1
1527,570,788,1
1528,570,886,1
1529,570,239,1
1530,570,750,1
1531,570,459,1
1532,570,241,1
1533,570,286,1
1534,570,270,1
1535,570,152,1
1536,571,591,1
1537,571,793,1
1538,571,668,1
1539,571,772,1
1540,571,15,1
1541,571,489,1
1542,571,336,1
1543,571,849,1
1544,571,461,1
1545,571,457,1
1546,571,541,1
1547,571,750,1
1548,571,465,1
1549,571,496,1
1550,571,152,1
1551,571,889,1
1552,571,10,1
1553,571,574,1
1554,571,760,1
1555,571,411,1
1556,571,575,1
1557,571,645,1
1558,571,667,1
1559,571,883,1
1560,571,521,1
1561,571,687,1
1562,571,787,1
1563,571,199,1
1564,571,239,1
1565,571,211,1
1566,571,351,1
1567,571,677,1
1568,571,765,1
1569,571,572,1
1570,571,485,1
1571,571,278,1
1572,571,605,1
1573,572,211,1
