,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BTG2,4.1735816,-0.02503219,1.8115175,4.300312,2.030076,-0.007051982,2.7402194,-0.056055352,4.4832892,3.0568726,2.2046034,-0.060074866,-0.04935234,2.3314881,-0.047882084,-0.03959807
MIA3,6.9487543,-0.039445393,2.9821596,7.3905125,3.4257846,-0.015852667,4.779417,-0.09535811,7.051635,5.082534,3.4361446,-0.09929209,-0.07868959,4.2241163,-0.0808522,-0.06505456
GINS2,5.4279733,-0.031176494,2.3529618,5.6142044,2.6727915,-0.010834928,3.64078,-0.07279313,5.6479445,3.9706173,2.711405,-0.077889286,-0.062604666,3.1355197,-0.062406663,-0.05103296
GYPB,8.965951,-0.055928018,4.5190477,8.074359,3.6434674,-0.011624634,3.5928662,-0.108362265,6.13819,4.3030987,3.6086264,-0.097167775,-0.07162104,5.4737415,-0.08770124,-0.057077155
MAN1A1,6.566972,-0.03720951,2.8461816,6.9939146,3.2226048,-0.01504251,4.4742055,-0.08977132,6.725063,4.7905846,3.2516265,-0.0944042,-0.07482291,3.9445343,-0.0766999,-0.061696943
FOXP1,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
PRMT6,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
ETV3,4.1864142,-0.025077848,1.8293478,4.3310843,2.0445821,-0.0070901057,2.72839,-0.05600342,4.5276237,3.0516536,2.2188308,-0.060676735,-0.049521506,2.317613,-0.048090745,-0.039633404
RGPD2,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
PLOD2,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
CCNA2,3.824484,-0.023186604,1.654499,3.9602094,1.8559762,-0.0060827346,2.49106,-0.05171993,4.161296,2.8147302,2.0657818,-0.055156,-0.04568308,2.1346762,-0.044034496,-0.03654783
SLC19A2,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
UNC5D,6.8110347,-0.03786058,2.9236522,7.2342033,3.4113412,-0.01623186,4.813648,-0.09371564,6.97699,4.941162,3.3580568,-0.09655354,-0.077568576,4.227942,-0.08001079,-0.0660854
BMP2,4.2606354,-0.025559817,1.8494414,4.386796,2.077735,-0.007146323,2.7945716,-0.05690381,4.574689,3.1087472,2.233748,-0.061373718,-0.050185464,2.3659787,-0.04865706,-0.040221892
GATM,7.6684995,-0.05226263,2.8396049,8.834435,4.691603,-0.014763949,6.154476,-0.11843693,8.50981,5.913584,4.682578,-0.111473694,-0.09132758,5.446317,-0.09149147,-0.073121265
PHC1,3.8781843,-0.02346949,1.6733549,4.005725,1.8794926,-0.00613305,2.5277,-0.05225017,4.2112026,2.8446689,2.0853505,-0.0558437,-0.046184268,2.160901,-0.04452553,-0.036931373
RBBP8,4.267016,-0.021052398,1.8234137,3.9819853,2.4025009,-0.012297715,2.754749,-0.049298935,4.1388183,2.5011582,2.8311458,-0.056337293,-0.043651074,2.2795863,-0.049728908,-0.04120577
ZRANB2,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
KIAA1324L,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
WDFY1,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
NOL11,8.513439,-0.048416127,3.5359402,9.321911,4.168123,-0.019479055,5.849479,-0.11655099,8.517697,5.988979,4.372867,-0.119482435,-0.09318431,5.144697,-0.099479035,-0.07778535
GNG11,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
FAM69A,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
DNAJB14,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
HIF3A,5.2560163,-0.027777867,2.1737406,5.121827,2.8322957,-0.0128707765,3.227219,-0.063765064,5.126194,3.7596123,2.9738224,-0.07373338,-0.053254172,2.6712685,-0.05686411,-0.04212569
MAPK10,3.7183585,-0.027321905,1.6323051,4.1329083,2.051476,-0.004710607,2.7087288,-0.050175846,4.819088,2.5406446,2.0254238,-0.054586347,-0.048889782,1.7675278,-0.044672463,-0.035477135
NDUFC2-KCTD14,8.51136,-0.048409868,3.5388808,9.322273,4.167351,-0.019487593,5.8497267,-0.116573825,8.517667,5.9857616,4.3715196,-0.11947472,-0.09320007,5.142852,-0.09944706,-0.077785715
HOMER1,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
ZNF238,8.963651,-0.055880442,4.519809,8.07937,3.6399856,-0.011668922,3.600197,-0.10843399,6.1449227,4.30284,3.6106558,-0.097141534,-0.07167962,5.479759,-0.08772491,-0.057152383
MED16,8.1222,-0.04655917,3.4079547,8.857247,3.9587727,-0.01767548,5.5648203,-0.110655665,8.232848,5.6984468,4.1575994,-0.11412383,-0.089769855,4.8832536,-0.094926804,-0.07483367
POU5F1,3.907946,-0.023645408,1.6937616,4.042959,1.9007198,-0.0063122264,2.5499632,-0.05273129,4.236874,2.872467,2.0993166,-0.05638797,-0.046520844,2.1791558,-0.044937186,-0.037241586
PSMD9,4.4456344,-0.026484713,1.9342773,4.572091,2.1894493,-0.007784983,2.9316869,-0.059418816,4.7358036,3.2444544,2.3120472,-0.064023726,-0.052127592,2.4820924,-0.0508256,-0.041872285
PSIP1,5.47224,-0.0313591,2.3318465,5.7532997,2.5901158,-0.010156357,3.6543987,-0.07244798,5.8000293,3.896565,2.7841022,-0.07777773,-0.06344945,3.0400276,-0.06327292,-0.052326545
GLIPR2,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
ETV1,6.309871,-0.03622171,2.7190607,6.5986595,3.1407068,-0.013233478,4.327071,-0.08552381,6.484336,4.5997977,3.1305554,-0.090214394,-0.07217008,3.7494164,-0.07305233,-0.059186585
MCM2,3.8907747,-0.02367022,1.6909477,4.0365257,1.8983545,-0.0063466006,2.5344355,-0.05251163,4.218842,2.8575356,2.0969775,-0.056215234,-0.046257187,2.1673033,-0.044730667,-0.03701437
GYPE,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
SLC39A11,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
APOBEC3G,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
SH3RF1,5.2397738,-0.030200917,2.3002563,5.4342194,2.5721323,-0.0105322935,3.5097547,-0.07042443,5.5515823,3.8237832,2.6196282,-0.07601097,-0.061167903,3.0177214,-0.06047459,-0.049775075
OTX2,5.544041,-0.03170208,2.4092546,5.7506857,2.7253373,-0.011331456,3.7517283,-0.074592516,5.7824154,4.0547757,2.7528496,-0.07974425,-0.06414969,3.2296555,-0.064084165,-0.052509222
SEMA3E,8.514953,-0.048410397,3.5270586,9.316733,4.174409,-0.019432677,5.8445597,-0.116451554,8.522853,5.987376,4.365331,-0.11946779,-0.093136415,5.1419535,-0.09940321,-0.07783185
SNX18,8.334184,-0.047278117,3.4888892,9.140768,4.027798,-0.01943233,5.72946,-0.11420544,8.270629,5.925676,4.2256355,-0.11748054,-0.09063009,5.0770893,-0.09747772,-0.07585514
FN1,3.9156702,-0.023692984,1.6989355,4.0552044,1.905148,-0.006341507,2.5527215,-0.052850027,4.2454453,2.8799667,2.106369,-0.056548312,-0.046571005,2.1828985,-0.045064602,-0.037278812
TMEM131,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
UBTF,3.7388113,-0.022778133,1.6150082,3.8761635,1.8068666,-0.0058128303,2.4204962,-0.050482433,4.0740733,2.7426617,2.0330431,-0.053829182,-0.04466145,2.073304,-0.04303697,-0.035659075
YAF2,3.9402392,-0.023912942,1.7094538,4.0736465,1.9174312,-0.0063583003,2.565102,-0.053009193,4.267352,2.886412,2.113903,-0.05682368,-0.04679132,2.1907547,-0.045189396,-0.037376054
CALCOCO1,8.51383,-0.048418783,3.535884,9.322146,4.1678853,-0.019477341,5.849765,-0.11655043,8.517633,5.9890013,4.3729258,-0.11948022,-0.09318468,5.1448917,-0.09947899,-0.077785484
PLAU,5.9719434,-0.034127977,2.5792918,6.2509623,2.8603053,-0.012367726,4.049196,-0.080039576,6.207311,4.3379564,2.9473832,-0.08554525,-0.06869678,3.4768083,-0.0689089,-0.056496415
