,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MYBL2,-0.057539813,-0.053128112,-0.05332852,-0.05957314,0.751974,2.742314,3.7926364,-0.037148345,-0.045540184,3.4740233,-0.05906299,-0.043637652,4.9194984,3.439921,-0.046167903,-0.042052425
IQGAP2,-0.083574995,-0.07690915,-0.079823285,-0.08641612,1.4109991,3.7756882,5.4533105,-0.055763476,-0.06317863,5.214688,-0.08418003,-0.060985252,7.700606,5.6899567,-0.07090348,-0.06238545
GLI1,-0.057850976,-0.053268164,-0.053749528,-0.060003046,0.7762896,2.7647638,3.815045,-0.037482373,-0.045742,3.4988065,-0.059380155,-0.043877065,4.9496098,3.4700284,-0.046575118,-0.04224318
NFATC2,-0.057553034,-0.05303862,-0.053673275,-0.059768908,0.7675842,2.7546813,3.7887561,-0.03721444,-0.045435876,3.4942794,-0.05891036,-0.043860238,4.92039,3.4536247,-0.046336517,-0.042001884
MT1E,-0.083574995,-0.07690915,-0.079823285,-0.08641612,1.4109991,3.7756882,5.4533105,-0.055763476,-0.06317863,5.214688,-0.08418003,-0.060985252,7.700606,5.6899567,-0.07090348,-0.06238545
SNRPD1,-0.04941706,-0.045360167,-0.046644237,-0.051211793,0.57332915,2.3428829,3.200262,-0.032167256,-0.039868712,2.9458199,-0.050154317,-0.037955657,4.1229463,2.8654108,-0.03803476,-0.036616825
DPPA4,-0.05258021,-0.04846051,-0.04906237,-0.054481864,0.6442512,2.5082934,3.4391398,-0.034038305,-0.04204432,3.1592655,-0.05363063,-0.040157985,4.423299,3.0712066,-0.041264907,-0.03865837
TAF1B,-0.05014791,-0.046202414,-0.047120232,-0.052053265,0.5827068,2.3857448,3.2567654,-0.032458127,-0.040353887,2.9979777,-0.05103206,-0.0386345,4.198121,2.9166818,-0.038798206,-0.03705417
HSD17B2,-0.06453253,-0.063423514,-0.06361343,-0.08060329,1.6833367,3.5214453,4.1521807,-0.03701646,-0.04830312,6.010343,-0.07863576,-0.051684186,6.506415,5.759298,-0.06325131,-0.04052043
EEF1E1,-0.083574995,-0.07690915,-0.079823285,-0.08641612,1.4109991,3.7756882,5.4533105,-0.055763476,-0.06317863,5.214688,-0.08418003,-0.060985252,7.700606,5.6899567,-0.07090348,-0.06238545
