,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ZNF589,7.826688,10.565712,10.916124,6.5544596,-0.01148357,-0.04545625,-0.022983681,1.6277072,2.9364567,-0.07732813,5.740273,7.6888914,-0.098085865,-0.066604346,0.28018335,11.553935
MIS18BP1,5.7120156,7.6293054,8.057349,4.8421206,-0.007395736,-0.035965763,-0.016642641,1.3424855,1.9886353,-0.057703547,4.4060855,5.794552,-0.0718041,-0.048840158,0.024052735,8.564237
PITX1,6.4080615,8.570836,9.014837,5.367424,-0.008648914,-0.039138548,-0.01856236,1.4633558,2.2915974,-0.06421151,4.8722053,6.383651,-0.08049407,-0.054558787,0.08919791,9.587123
HAUS1,7.388315,10.0606985,10.384138,6.2315903,-0.011637417,-0.042529296,-0.02202783,1.5268186,2.7765567,-0.072896905,5.366284,7.3268433,-0.09280246,-0.06307615,0.35619769,11.019405
HNRNPD,4.6228824,6.3358226,6.590392,4.060684,-0.0064301416,-0.029551594,-0.014388117,1.180714,1.6147373,-0.048074927,3.6214025,4.8765364,-0.059216823,-0.040123995,0.014564123,7.0703177
ETV4,6.9163537,9.259031,9.610712,5.678879,-0.00905002,-0.041662697,-0.01911356,1.472167,2.450822,-0.06780581,5.2288637,6.829402,-0.08624458,-0.059042085,0.07842088,10.257003
TAGLN,5.808426,7.76015,8.304602,5.3326607,-0.017792728,-0.043435276,-0.026031684,2.191483,2.5913224,-0.056652486,5.298864,6.004271,-0.07133991,-0.05846296,0.75127894,10.113265
RSU1,7.835818,10.579562,10.918873,6.542408,-0.012063499,-0.045201767,-0.022894604,1.6290721,2.8958898,-0.07683336,5.7212534,7.6973066,-0.09819808,-0.06680131,0.3099045,11.601486
UTP18,7.081881,9.5119095,9.862691,5.8968816,-0.009813822,-0.042028103,-0.02028902,1.5350516,2.572775,-0.06980846,5.287034,6.9737325,-0.08843582,-0.060516275,0.14005648,10.530308
ANAPC7,5.7610407,7.695668,8.107279,4.867378,-0.007468196,-0.03621914,-0.016676936,1.3399707,2.0020266,-0.058049448,4.433977,5.8409834,-0.07228559,-0.049238212,0.015765883,8.628738
POLB,7.539895,10.267066,10.486656,6.317756,-0.011621839,-0.042208824,-0.022458205,1.5134469,2.874658,-0.074354686,5.3805237,7.4543743,-0.09439291,-0.063377075,0.37791952,11.074101
PAK1IP1,5.5403643,7.482501,7.852827,4.707844,-0.007360536,-0.035052862,-0.01609356,1.295498,1.9299769,-0.056337383,4.2939725,5.6691732,-0.0703979,-0.047577415,0.023384407,8.342171
CAPG,7.835818,10.579562,10.918873,6.542408,-0.012063499,-0.045201767,-0.022894604,1.6290721,2.8958898,-0.07683336,5.7212534,7.6973066,-0.09819808,-0.06680131,0.3099045,11.601486
FANCB,5.3695703,7.259474,7.6154976,4.586524,-0.007167134,-0.03403162,-0.015728626,1.2801771,1.8637623,-0.054737877,4.1737404,5.5153823,-0.06831488,-0.046137523,0.024256214,8.093443
TBL1X,6.6760173,8.908075,9.347076,5.6110616,-0.009222963,-0.04110047,-0.019132178,1.498546,2.3318512,-0.06647385,5.0729923,6.671311,-0.08386415,-0.05710866,0.060579494,9.964421
NRIP1,6.8074036,8.746182,8.828309,4.6807656,-0.0034225248,-0.037733357,-0.01183814,1.3120157,2.3022125,-0.060590796,4.967238,6.1156898,-0.07878564,-0.05763269,-0.0050461963,9.723947
CMC1,7.835818,10.579562,10.918873,6.542408,-0.012063499,-0.045201767,-0.022894604,1.6290721,2.8958898,-0.07683336,5.7212534,7.6973066,-0.09819808,-0.06680131,0.3099045,11.601486
PON2,7.835818,10.579562,10.918873,6.542408,-0.012063499,-0.045201767,-0.022894604,1.6290721,2.8958898,-0.07683336,5.7212534,7.6973066,-0.09819808,-0.06680131,0.3099045,11.601486
TIPIN,5.526249,7.455543,7.8453755,4.708049,-0.007362753,-0.034922894,-0.01615631,1.3059257,1.9283452,-0.056244515,4.286991,5.6494784,-0.0702547,-0.047409866,0.038396496,8.323841
ALG8,7.835818,10.579562,10.918873,6.542408,-0.012063499,-0.045201767,-0.022894604,1.6290721,2.8958898,-0.07683336,5.7212534,7.6973066,-0.09819808,-0.06680131,0.3099045,11.601486
ID2,6.579744,8.773643,9.250065,5.536057,-0.008948253,-0.040538196,-0.018762924,1.4919327,2.3049867,-0.06571793,4.977818,6.548837,-0.082696535,-0.05619595,0.06549155,9.812833
ACOX2,7.500443,10.463876,10.684974,6.2003784,-0.015652409,-0.039394516,-0.023328602,1.5681251,2.678718,-0.077036455,5.250517,7.6234064,-0.09719512,-0.06638645,0.26335827,11.653465
SMARCE1,5.3998504,7.2472005,7.626517,4.607791,-0.0070449775,-0.03425112,-0.01593893,1.2909237,1.8662797,-0.05475564,4.200212,5.538144,-0.068156,-0.04636501,0.02261421,8.13116
RAMP1,7.835818,10.579562,10.918873,6.542408,-0.012063499,-0.045201767,-0.022894604,1.6290721,2.8958898,-0.07683336,5.7212534,7.6973066,-0.09819808,-0.06680131,0.3099045,11.601486
