,TF,Target,Label
0,0,1179,1
1,0,732,1
2,0,470,1
3,0,1276,1
4,0,1055,1
5,0,1118,1
6,0,1221,1
7,0,936,1
8,0,755,1
9,0,1143,1
10,2,1263,1
11,2,25,1
12,2,781,1
13,2,62,1
14,2,533,1
15,2,956,1
16,2,481,1
17,2,965,1
18,2,114,1
19,2,180,1
20,2,907,1
21,2,1055,1
22,2,418,1
23,2,1204,1
24,2,694,1
25,2,607,1
26,2,4,1
27,2,1283,1
28,2,324,1
29,2,141,1
30,2,16,1
31,2,906,1
32,2,882,1
33,2,1020,1
34,2,531,1
35,2,328,1
36,2,570,1
37,2,560,1
38,2,604,1
39,2,1136,1
40,2,200,1
41,2,229,1
42,2,700,1
43,2,832,1
44,2,935,1
45,2,795,1
46,2,1312,1
47,2,1168,1
48,2,1046,1
49,2,336,1
50,2,413,1
51,2,952,1
52,2,469,1
53,2,233,1
54,8,62,1
55,8,813,1
56,8,124,1
57,8,935,1
58,8,313,1
59,8,489,1
60,8,1076,1
61,8,531,1
62,8,585,1
63,8,332,1
64,8,713,1
65,8,578,1
66,8,229,1
67,8,944,1
68,8,319,1
69,8,482,1
70,8,1158,1
71,8,700,1
72,8,1083,1
73,8,1312,1
74,8,1074,1
75,8,1263,1
76,8,142,1
77,8,827,1
78,8,233,1
79,8,522,1
80,8,888,1
81,8,809,1
82,8,81,1
83,8,347,1
84,8,239,1
85,8,748,1
86,8,716,1
87,8,1088,1
88,8,75,1
89,8,736,1
90,8,92,1
91,8,882,1
92,8,336,1
93,8,884,1
94,8,1283,1
95,8,956,1
96,11,1118,1
97,11,1057,1
98,11,312,1
99,11,732,1
100,11,1179,1
101,11,589,1
102,11,386,1
103,11,1055,1
104,11,187,1
105,14,1057,1
106,14,1172,1
107,14,848,1
108,14,1278,1
109,14,455,1
110,14,417,1
111,14,1089,1
112,14,658,1
113,14,499,1
114,14,597,1
115,14,842,1
116,14,311,1
117,14,1181,1
118,14,861,1
119,14,725,1
120,14,663,1
121,14,27,1
122,14,424,1
123,14,1015,1
124,14,470,1
125,14,1159,1
126,14,968,1
127,14,878,1
128,14,1031,1
129,14,767,1
130,14,1014,1
131,14,1238,1
132,14,1216,1
133,14,938,1
134,14,789,1
135,14,1167,1
136,14,304,1
137,14,728,1
138,14,681,1
139,14,442,1
140,14,1138,1
141,14,899,1
142,14,736,1
143,14,692,1
144,14,940,1
145,14,921,1
146,14,485,1
147,14,1118,1
148,14,413,1
149,14,0,1
150,14,732,1
151,14,927,1
152,14,213,1
153,14,907,1
154,14,1310,1
155,14,936,1
156,14,1261,1
157,14,724,1
158,14,81,1
159,14,951,1
160,14,1106,1
161,14,83,1
162,14,37,1
163,14,251,1
164,14,920,1
165,14,196,1
166,14,1026,1
167,14,636,1
168,14,605,1
169,14,556,1
170,14,1135,1
171,14,1179,1
172,14,462,1
173,14,26,1
174,14,1277,1
175,14,699,1
176,14,996,1
177,14,1298,1
178,14,1055,1
179,14,702,1
180,14,851,1
181,14,551,1
182,14,628,1
183,14,287,1
184,14,1133,1
185,14,986,1
186,14,932,1
187,14,533,1
188,14,1301,1
189,14,1290,1
190,15,1159,1
191,15,83,1
192,15,126,1
193,15,447,1
194,15,809,1
195,15,1244,1
196,15,568,1
197,15,245,1
198,15,921,1
199,15,736,1
200,15,1283,1
201,15,1305,1
202,15,1314,1
203,15,544,1
204,15,1040,1
205,15,251,1
206,15,1041,1
207,16,952,1
208,16,795,1
209,16,148,1
210,16,21,1
211,16,605,1
212,16,180,1
213,16,418,1
214,16,413,1
215,16,469,1
216,16,1019,1
217,16,533,1
218,20,251,1
219,20,1181,1
220,20,316,1
221,20,68,1
222,20,83,1
223,20,1193,1
224,20,921,1
225,20,736,1
226,20,915,1
227,20,14,1
228,21,907,1
229,21,2,1
230,21,418,1
231,21,25,1
232,21,952,1
233,21,413,1
234,21,148,1
235,21,469,1
236,21,1176,1
237,21,180,1
238,21,533,1
239,23,654,1
240,23,142,1
241,25,455,1
242,25,663,1
243,25,390,1
244,25,921,1
245,25,21,1
246,25,832,1
247,25,619,1
248,25,1311,1
249,25,481,1
250,25,161,1
251,25,126,1
252,25,681,1
253,25,339,1
254,25,311,1
255,25,907,1
256,25,551,1
257,25,413,1
258,25,1138,1
259,25,230,1
260,25,578,1
261,25,1167,1
262,25,16,1
263,25,1275,1
264,25,1030,1
265,25,83,1
266,25,605,1
267,25,829,1
268,25,148,1
269,25,848,1
270,25,142,1
271,25,1277,1
272,25,650,1
273,25,716,1
274,25,159,1
275,25,1238,1
276,25,705,1
277,25,1127,1
278,25,1015,1
279,25,355,1
280,25,205,1
281,25,180,1
282,25,2,1
283,25,356,1
284,25,692,1
285,25,472,1
286,25,187,1
287,25,533,1
288,25,878,1
289,25,196,1
290,25,804,1
291,25,1176,1
292,25,469,1
293,25,781,1
294,25,919,1
295,25,1283,1
296,25,418,1
297,25,795,1
298,25,851,1
299,31,921,1
300,31,14,1
301,32,813,1
302,32,173,1
303,32,1268,1
304,32,882,1
305,32,809,1
306,32,935,1
307,32,450,1
308,32,1288,1
309,33,1164,1
310,33,857,1
311,33,1151,1
312,33,1230,1
313,33,622,1
314,33,1093,1
315,40,1238,1
316,40,1127,1
317,40,1118,1
318,40,996,1
319,40,455,1
320,40,187,1
321,48,699,1
322,48,463,1
323,48,689,1
324,48,1164,1
325,48,728,1
326,48,99,1
327,68,20,1
328,68,506,1
329,68,251,1
330,68,921,1
331,70,1252,1
332,70,1231,1
333,74,356,1
334,74,339,1
335,74,396,1
336,74,533,1
337,74,159,1
338,74,25,1
339,74,413,1
340,74,605,1
341,74,829,1
342,74,1019,1
343,74,418,1
344,74,1284,1
345,74,885,1
346,74,907,1
347,74,919,1
348,74,148,1
349,74,878,1
350,74,240,1
351,82,1014,1
352,82,189,1
353,82,414,1
354,83,481,1
355,83,1120,1
356,83,1244,1
357,83,1135,1
358,83,774,1
359,83,832,1
360,83,442,1
361,83,126,1
362,83,1020,1
363,83,604,1
364,83,605,1
365,83,15,1
366,83,568,1
367,83,907,1
368,83,356,1
369,83,325,1
370,83,20,1
371,83,781,1
372,83,324,1
373,83,915,1
374,83,68,1
375,83,413,1
376,83,533,1
377,83,921,1
378,83,355,1
379,83,3,1
380,83,809,1
381,83,316,1
382,83,996,1
383,83,148,1
384,83,527,1
385,83,705,1
386,83,736,1
387,83,251,1
388,83,469,1
389,83,475,1
390,89,1127,1
391,89,25,1
392,89,619,1
393,89,1238,1
394,89,1089,1
395,89,455,1
396,89,1055,1
397,89,148,1
398,89,1015,1
399,89,681,1
400,89,187,1
401,89,1277,1
402,89,14,1
403,89,440,1
404,89,927,1
405,89,936,1
406,89,533,1
407,89,952,1
408,89,311,1
409,89,1167,1
410,89,899,1
411,89,1118,1
412,89,418,1
413,89,650,1
414,89,263,1
415,89,996,1
416,89,851,1
417,89,1019,1
418,91,291,1
419,91,357,1
420,91,527,1
421,91,736,1
422,91,271,1
423,91,919,1
424,91,447,1
425,91,809,1
426,91,437,1
427,91,544,1
428,91,294,1
429,91,810,1
430,91,1181,1
431,91,897,1
432,102,976,1
433,102,509,1
434,104,1045,1
435,109,469,1
436,109,227,1
437,109,809,1
438,139,1164,1
439,139,857,1
440,139,568,1
441,139,126,1
442,139,736,1
443,139,142,1
444,139,544,1
445,139,897,1
446,139,816,1
447,139,1314,1
448,139,801,1
449,142,25,1
450,142,173,1
451,142,578,1
452,142,340,1
453,142,544,1
454,142,716,1
455,142,268,1
456,142,148,1
457,142,809,1
458,142,413,1
459,142,568,1
460,142,816,1
461,142,781,1
462,142,33,1
463,142,897,1
464,142,1164,1
465,142,713,1
466,142,878,1
467,142,907,1
468,142,418,1
469,142,8,1
470,142,801,1
471,142,356,1
472,142,971,1
473,142,857,1
474,142,654,1
475,142,139,1
476,142,605,1
477,142,463,1
478,142,453,1
479,142,1135,1
480,142,275,1
481,142,533,1
482,142,802,1
483,142,1233,1
484,142,993,1
485,142,813,1
486,142,704,1
487,144,139,1
488,144,760,1
489,144,1102,1
490,144,689,1
491,144,728,1
492,144,463,1
493,144,668,1
494,148,1295,1
495,148,126,1
496,148,1284,1
497,148,1118,1
498,148,1311,1
499,148,921,1
500,148,413,1
501,148,196,1
502,148,795,1
503,148,83,1
504,148,238,1
505,148,1089,1
506,148,1138,1
507,148,885,1
508,148,1301,1
509,148,656,1
510,148,829,1
511,148,418,1
512,148,837,1
513,148,716,1
514,148,205,1
515,148,142,1
516,148,832,1
517,148,1030,1
518,148,568,1
519,148,311,1
520,148,605,1
521,148,692,1
522,148,481,1
523,148,25,1
524,148,89,1
525,148,936,1
526,148,1015,1
527,148,2,1
528,148,1135,1
529,148,851,1
530,148,1176,1
531,148,663,1
532,148,1238,1
533,148,804,1
534,148,578,1
535,148,679,1
536,148,1214,1
537,148,629,1
538,148,878,1
539,148,462,1
540,148,551,1
541,148,74,1
542,148,952,1
543,148,1277,1
544,148,21,1
545,148,187,1
546,148,1008,1
547,148,919,1
548,148,533,1
549,148,1275,1
550,148,159,1
551,148,1283,1
552,148,1244,1
553,158,410,1
554,158,736,1
555,158,809,1
556,158,716,1
557,159,605,1
558,159,952,1
559,159,161,1
560,159,148,1
561,159,418,1
562,159,74,1
563,159,413,1
564,159,781,1
565,159,1214,1
566,159,1176,1
567,159,533,1
568,159,663,1
569,159,919,1
570,159,804,1
571,161,829,1
572,161,781,1
573,161,907,1
574,161,663,1
575,161,919,1
576,161,159,1
577,161,795,1
578,161,1176,1
579,161,1019,1
580,161,533,1
581,161,339,1
582,161,878,1
583,161,804,1
584,161,25,1
585,161,885,1
586,161,692,1
587,161,605,1
588,161,413,1
589,165,409,1
590,168,302,1
591,168,25,1
592,168,413,1
593,168,185,1
594,168,1005,1
595,168,781,1
596,168,904,1
597,168,620,1
598,168,837,1
599,168,671,1
600,173,736,1
601,173,229,1
602,173,607,1
603,173,827,1
604,173,114,1
605,173,1263,1
606,173,336,1
607,173,882,1
608,173,682,1
609,173,200,1
610,173,268,1
611,173,32,1
612,173,81,1
613,173,531,1
614,173,570,1
615,173,700,1
616,173,1204,1
617,173,92,1
618,173,8,1
619,173,544,1
620,173,944,1
621,173,713,1
622,173,347,1
623,173,522,1
624,173,585,1
625,173,319,1
626,173,642,1
627,173,1029,1
628,173,1283,1
629,173,348,1
630,173,578,1
631,173,628,1
632,173,956,1
633,173,716,1
634,173,450,1
635,173,625,1
636,180,935,1
637,180,850,1
638,180,810,1
639,180,513,1
640,180,328,1
641,180,81,1
642,180,533,1
643,180,92,1
644,180,319,1
645,180,21,1
646,180,1168,1
647,180,884,1
648,180,945,1
649,180,694,1
650,180,469,1
651,180,956,1
652,180,442,1
653,180,795,1
654,180,570,1
655,180,481,1
656,180,16,1
657,180,585,1
658,180,605,1
659,180,418,1
660,180,25,1
661,180,1204,1
662,180,1020,1
663,180,336,1
664,180,489,1
665,180,965,1
666,180,148,1
667,180,475,1
668,180,413,1
669,180,1263,1
670,180,625,1
671,180,531,1
672,180,781,1
673,180,229,1
674,180,604,1
675,180,944,1
676,180,324,1
677,180,906,1
678,187,663,1
679,187,470,1
680,187,1068,1
681,187,1301,1
682,187,440,1
683,187,148,1
684,187,14,1
685,187,1118,1
686,187,25,1
687,187,1089,1
688,187,851,1
689,187,1055,1
690,187,927,1
691,187,1216,1
692,187,732,1
693,187,1019,1
694,187,455,1
695,187,619,1
696,187,533,1
697,187,11,1
698,187,936,1
699,187,1015,1
700,187,1167,1
701,187,196,1
702,187,781,1
703,187,1277,1
704,187,238,1
705,187,952,1
706,187,605,1
707,187,1138,1
708,187,899,1
709,187,89,1
710,187,861,1
711,187,878,1
712,190,544,1
713,191,1244,1
714,191,915,1
715,207,944,1
716,207,489,1
717,207,477,1
718,207,607,1
719,207,1168,1
720,207,81,1
721,207,328,1
722,207,233,1
723,207,200,1
724,207,578,1
725,207,114,1
726,207,126,1
727,207,1075,1
728,207,319,1
729,207,1064,1
730,207,529,1
731,207,585,1
732,207,827,1
733,207,1263,1
734,207,1283,1
735,207,62,1
736,207,229,1
737,207,935,1
738,207,884,1
739,207,625,1
740,207,531,1
741,212,1135,1
742,212,704,1
743,212,769,1
744,212,656,1
745,212,629,1
746,212,716,1
747,212,824,1
748,214,1209,1
749,214,703,1
750,214,1184,1
751,214,810,1
752,214,662,1
753,216,792,1
754,216,830,1
755,216,502,1
756,216,1138,1
757,216,142,1
758,216,1181,1
759,216,704,1
760,216,529,1
761,216,417,1
762,216,716,1
763,223,1166,1
764,225,753,1
765,227,809,1
766,227,109,1
767,230,781,1
768,230,795,1
769,230,25,1
770,230,284,1
771,230,605,1
772,230,533,1
773,230,161,1
774,230,679,1
775,230,413,1
776,230,885,1
777,230,1284,1
778,230,952,1
779,230,809,1
780,230,1079,1
781,230,829,1
782,238,1138,1
783,238,25,1
784,238,1019,1
785,238,413,1
786,238,650,1
787,238,1167,1
788,238,1118,1
789,238,1127,1
790,238,952,1
791,238,1015,1
792,238,263,1
793,238,692,1
794,238,907,1
795,238,996,1
796,238,1277,1
797,238,187,1
798,238,755,1
799,238,1089,1
800,238,936,1
801,238,205,1
802,238,544,1
803,238,1055,1
804,238,681,1
805,238,663,1
806,238,418,1
807,238,927,1
808,238,311,1
809,238,533,1
810,238,1238,1
811,238,455,1
812,238,89,1
813,238,14,1
814,242,1288,1
815,242,488,1
816,242,502,1
817,251,774,1
818,251,844,1
819,251,20,1
820,251,724,1
821,251,568,1
822,251,1049,1
823,251,1314,1
824,251,316,1
825,251,518,1
826,251,736,1
827,251,31,1
828,251,921,1
829,251,1311,1
830,251,83,1
831,251,1059,1
832,251,907,1
833,251,485,1
834,263,25,1
835,263,413,1
836,263,1127,1
837,263,952,1
838,263,619,1
839,263,440,1
840,263,936,1
841,263,533,1
842,263,89,1
843,263,311,1
844,263,650,1
845,263,927,1
846,263,781,1
847,263,681,1
848,263,1015,1
849,263,692,1
850,263,551,1
851,263,1167,1
852,263,418,1
853,263,1089,1
854,263,878,1
855,263,240,1
856,263,663,1
857,263,996,1
858,263,238,1
859,263,1055,1
860,263,907,1
861,263,605,1
862,263,455,1
863,263,851,1
864,266,507,1
865,271,897,1
866,271,956,1
867,271,544,1
868,271,428,1
869,271,447,1
870,271,682,1
871,271,857,1
872,271,736,1
873,271,578,1
874,271,809,1
875,271,1283,1
876,271,1135,1
877,271,1181,1
878,271,357,1
879,275,142,1
880,284,1146,1
881,284,952,1
882,284,855,1
883,284,1064,1
884,284,485,1
885,289,716,1
886,289,947,1
887,289,974,1
888,291,1025,1
889,291,489,1
890,291,889,1
891,291,809,1
892,291,1110,1
893,291,233,1
894,291,932,1
895,291,935,1
896,291,319,1
897,291,884,1
898,291,716,1
899,291,1104,1
900,291,200,1
901,291,734,1
902,291,1168,1
903,291,857,1
904,291,81,1
905,291,568,1
906,291,352,1
907,291,882,1
908,291,950,1
909,291,328,1
910,291,1314,1
911,291,736,1
912,291,229,1
913,291,142,1
914,291,531,1
915,291,214,1
916,291,956,1
917,291,1263,1
918,291,700,1
919,291,62,1
920,291,827,1
921,291,336,1
922,291,699,1
923,294,736,1
924,294,1085,1
925,294,1290,1
926,294,716,1
927,294,126,1
928,294,214,1
929,294,568,1
930,298,1263,1
931,298,1312,1
932,298,585,1
933,298,233,1
934,298,884,1
935,298,1088,1
936,298,882,1
937,298,531,1
938,298,1168,1
939,298,809,1
940,298,1283,1
941,298,114,1
942,298,336,1
943,298,450,1
944,298,319,1
945,298,748,1
946,298,81,1
947,298,935,1
948,298,229,1
949,298,1076,1
950,298,578,1
951,298,268,1
952,298,489,1
953,298,239,1
954,298,328,1
955,298,1041,1
956,298,827,1
957,304,1178,1
958,304,1096,1
959,304,307,1
960,304,1171,1
961,304,698,1
962,304,1292,1
963,304,1157,1
964,304,1115,1
965,304,1094,1
966,304,582,1
967,304,228,1
968,304,796,1
969,304,552,1
970,304,1306,1
971,304,404,1
972,304,500,1
973,304,934,1
974,304,517,1
975,304,367,1
976,304,402,1
977,304,407,1
978,304,583,1
979,304,806,1
980,304,86,1
981,304,213,1
982,304,794,1
983,304,1149,1
984,304,639,1
985,304,1265,1
986,304,626,1
987,304,419,1
988,304,771,1
989,304,185,1
990,304,467,1
991,304,628,1
992,304,924,1
993,304,578,1
994,308,485,1
995,308,1135,1
996,308,968,1
997,308,1040,1
998,308,658,1
999,308,825,1
1000,308,1213,1
1001,308,9,1
1002,308,1290,1
1003,308,14,1
1004,309,568,1
1005,311,413,1
1006,311,1068,1
1007,311,619,1
1008,311,1238,1
1009,311,89,1
1010,311,663,1
1011,311,533,1
1012,311,418,1
1013,311,25,1
1014,311,996,1
1015,311,455,1
1016,311,263,1
1017,311,196,1
1018,311,1118,1
1019,311,1015,1
1020,311,14,1
1021,311,440,1
1022,311,851,1
1023,311,781,1
1024,311,1089,1
1025,311,1019,1
1026,311,936,1
1027,311,1055,1
1028,311,899,1
1029,311,878,1
1030,311,1167,1
1031,311,238,1
1032,311,650,1
1033,311,462,1
1034,311,1127,1
1035,312,597,1
1036,312,1138,1
1037,316,1181,1
1038,316,1135,1
1039,316,506,1
1040,316,809,1
1041,316,251,1
1042,316,1193,1
1043,316,1064,1
1044,316,867,1
1045,316,83,1
1046,316,1305,1
1047,316,705,1
1048,325,394,1
1049,325,1290,1
1050,325,1120,1
1051,325,1010,1
1052,325,736,1
1053,325,1295,1
1054,325,985,1
1055,325,568,1
1056,325,1181,1
1057,325,126,1
1058,325,705,1
1059,325,948,1
1060,348,1088,1
1061,348,8,1
1062,348,173,1
1063,349,209,1
1064,351,469,1
1065,355,857,1
1066,355,142,1
1067,355,716,1
1068,355,816,1
1069,355,1087,1
1070,355,356,1
1071,355,25,1
1072,355,704,1
1073,355,212,1
1074,355,1019,1
1075,355,878,1
1076,355,656,1
1077,355,1135,1
1078,355,83,1
1079,355,781,1
1080,355,161,1
1081,355,605,1
1082,355,413,1
1083,355,148,1
1084,355,679,1
1085,355,1181,1
1086,355,769,1
1087,355,1314,1
1088,355,126,1
1089,356,25,1
1090,356,418,1
1091,356,716,1
1092,356,1019,1
1093,356,83,1
1094,356,705,1
1095,356,795,1
1096,356,952,1
1097,356,907,1
1098,356,533,1
1099,356,656,1
1100,356,605,1
1101,356,126,1
1102,356,704,1
1103,356,878,1
1104,356,74,1
1105,356,679,1
1106,356,161,1
1107,356,610,1
1108,356,628,1
1109,356,16,1
1110,356,1244,1
1111,356,1275,1
1112,356,142,1
1113,357,271,1
1114,357,91,1
1115,359,240,1
1116,359,1094,1
1117,359,448,1
1118,359,1071,1
1119,359,498,1
1120,359,941,1
1121,359,125,1
1122,359,986,1
1123,359,796,1
1124,359,969,1
1125,359,1196,1
1126,359,367,1
1127,359,332,1
1128,359,414,1
1129,359,961,1
1130,359,407,1
1131,359,1031,1
1132,359,737,1
1133,359,222,1
1134,359,1248,1
1135,359,112,1
1136,359,1115,1
1137,359,806,1
