,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
TARDBP,-0.023100311,-0.019314867,1.1691264,2.9761248,-0.027314126,-0.04671759,1.7700797,-0.0028249961,-0.037473157,2.3856208,2.0684497,-0.0416442,-0.023650965,1.45176,-0.015391802,-0.0332946
LASS5,-0.05230649,-0.045974996,1.7974672,7.651837,-0.07875185,-0.11036667,5.3861785,1.0476152,-0.09923752,4.733554,3.8319042,-0.096684575,-0.054595135,2.8785226,-0.043422583,-0.091350794
TCEB2,-0.023268107,-0.019386385,1.1783222,2.9896448,-0.02746837,-0.046974387,1.7801776,-0.0027684963,-0.037678942,2.396437,2.0707977,-0.041877415,-0.023745034,1.4619348,-0.01551065,-0.03346247
HAT1,-0.022699531,-0.018856926,1.1476086,2.9164739,-0.026711838,-0.045895427,1.732048,-0.0029484944,-0.03669867,2.3444433,2.0383806,-0.040766537,-0.023214867,1.4226745,-0.014952788,-0.032631516
UBE2D3,-0.022263348,-0.018559054,1.1275135,2.8652813,-0.026220335,-0.045088034,1.695438,-0.0030897304,-0.035993807,2.3067,2.0140352,-0.040089205,-0.022841126,1.395785,-0.014522667,-0.03198178
TTC35,-0.060731404,-0.050477967,2.4762394,7.138637,-0.0793357,-0.12059298,5.3176947,0.7743716,-0.101819314,5.3982115,3.828966,-0.10760373,-0.0630781,3.9695036,-0.04516807,-0.09276197
TRAPPC4,-0.06075148,-0.050498866,2.4768527,7.138044,-0.079337224,-0.12058234,5.3189893,0.7731917,-0.10184071,5.3994575,3.8314488,-0.10760699,-0.06309478,3.9723022,-0.045186304,-0.092761494
ATP5J,-0.06075148,-0.050498866,2.4768527,7.138044,-0.079337224,-0.12058234,5.3189893,0.7731917,-0.10184071,5.3994575,3.8314488,-0.10760699,-0.06309478,3.9723022,-0.045186304,-0.092761494
NFKB1,-0.023645286,-0.01994175,1.1988513,3.0587118,-0.028063586,-0.04784217,1.8145895,-0.0027566706,-0.038412765,2.444763,2.1046362,-0.04280545,-0.024219086,1.484543,-0.01583974,-0.03408438
ACTG1,-0.033082526,-0.028821371,1.6758174,4.3781633,-0.042195268,-0.0682246,2.6865873,0.050774947,-0.05602388,3.381138,2.6706114,-0.062356155,-0.03396059,2.1150208,-0.02482273,-0.05026072
ITGB2,-0.060752053,-0.050494034,2.4766147,7.13804,-0.07933726,-0.120586514,5.3182964,0.77269197,-0.10184867,5.398899,3.8304908,-0.10759995,-0.06308794,3.9732654,-0.045180205,-0.09275293
SSB,-0.02386657,-0.019956611,1.2038155,3.0661795,-0.02824179,-0.048112173,1.8306837,-0.0026499121,-0.03865111,2.4515612,2.1120229,-0.043032218,-0.02438474,1.4968207,-0.01608684,-0.034372788
TAPBP,-0.06075148,-0.050498866,2.4768527,7.138044,-0.079337224,-0.12058234,5.3189893,0.7731917,-0.10184071,5.3994575,3.8314488,-0.10760699,-0.06309478,3.9723022,-0.045186304,-0.092761494
EIF5A,-0.052283254,-0.04599377,1.7975953,7.654041,-0.07874522,-0.11038771,5.388301,1.0478147,-0.099217094,4.7348614,3.8302577,-0.09668984,-0.054610495,2.8770342,-0.043398548,-0.09132472
CDC5L,-0.022778265,-0.018999964,1.1526604,2.9329066,-0.026850233,-0.046106864,1.7414017,-0.0029471647,-0.036889363,2.3550365,2.04509,-0.041003726,-0.023324132,1.4297955,-0.015033255,-0.03277769
DNMT1,-0.023744952,-0.019891007,1.2003976,3.0579782,-0.028137207,-0.047946066,1.8220966,-0.002651962,-0.03851269,2.4433076,2.1013129,-0.042859316,-0.024228398,1.4907334,-0.015953979,-0.034205556
TCEB3,-0.020934893,-0.015176145,1.3084035,2.6298006,-0.02390575,-0.042397503,1.5467743,-0.005374191,-0.036164127,2.457297,2.033783,-0.037897423,-0.022181189,1.3934712,-0.01247318,-0.029051835
PIN4,-0.06075148,-0.050498866,2.4768527,7.138044,-0.079337224,-0.12058234,5.3189893,0.7731917,-0.10184071,5.3994575,3.8314488,-0.10760699,-0.06309478,3.9723022,-0.045186304,-0.092761494
SSR1,-0.06075148,-0.050498866,2.4768527,7.138044,-0.079337224,-0.12058234,5.3189893,0.7731917,-0.10184071,5.3994575,3.8314488,-0.10760699,-0.06309478,3.9723022,-0.045186304,-0.092761494
NDUFB6,-0.06075148,-0.050498866,2.4768527,7.138044,-0.079337224,-0.12058234,5.3189893,0.7731917,-0.10184071,5.3994575,3.8314488,-0.10760699,-0.06309478,3.9723022,-0.045186304,-0.092761494
GATAD2A,-0.023742521,-0.01999367,1.2039424,3.0668836,-0.02825074,-0.048024368,1.8261642,-0.0026577837,-0.03860915,2.4532552,2.1099153,-0.043005276,-0.024265481,1.4856331,-0.01598319,-0.034274593
AFF4,-0.022850415,-0.01897245,1.1557233,2.9332073,-0.0268905,-0.046172023,1.7434843,-0.0029098298,-0.036935527,2.3578904,2.0453546,-0.04103197,-0.023341486,1.4322705,-0.015079697,-0.032828316
TRIM30A,-0.06075148,-0.050498866,2.4768527,7.138044,-0.079337224,-0.12058234,5.3189893,0.7731917,-0.10184071,5.3994575,3.8314488,-0.10760699,-0.06309478,3.9723022,-0.045186304,-0.092761494
KLF6,-0.02195185,-0.018241804,1.1090993,2.8214653,-0.025748432,-0.044499326,1.67187,-0.003169325,-0.03542702,2.2745755,1.9934522,-0.039346967,-0.022541387,1.3718996,-0.014222376,-0.031506326
