,TF,Target,Label
0,3,615,1
1,3,34,1
2,3,632,1
3,3,379,1
4,4,656,1
5,4,717,1
6,4,202,1
7,4,502,1
8,4,549,1
9,4,0,1
10,4,169,1
11,4,325,1
12,4,709,1
13,4,144,1
14,10,379,1
15,10,800,1
16,10,632,1
17,10,340,1
18,10,218,1
19,12,290,1
20,12,546,1
21,12,770,1
22,12,704,1
23,12,141,1
24,12,153,1
25,12,762,1
26,12,247,1
27,12,696,1
28,12,116,1
29,12,540,1
30,12,120,1
31,12,732,1
32,12,468,1
33,12,412,1
34,12,168,1
35,12,48,1
36,12,713,1
37,12,358,1
38,12,56,1
39,12,15,1
40,14,228,1
41,14,172,1
42,14,447,1
43,14,285,1
44,14,522,1
45,14,446,1
46,14,179,1
47,14,629,1
48,14,711,1
49,14,585,1
50,14,666,1
51,14,613,1
52,14,368,1
53,14,479,1
54,14,161,1
55,14,302,1
56,14,327,1
57,14,661,1
58,14,650,1
59,14,669,1
60,14,356,1
61,14,86,1
62,14,312,1
63,14,236,1
64,14,346,1
65,14,323,1
66,14,36,1
67,14,123,1
68,14,230,1
69,14,39,1
70,14,70,1
71,14,184,1
72,14,420,1
73,14,687,1
74,14,565,1
75,15,654,1
76,15,713,1
77,15,202,1
78,15,247,1
79,15,546,1
80,15,158,1
81,15,696,1
82,15,290,1
83,15,120,1
84,15,310,1
85,15,139,1
86,15,755,1
87,15,760,1
88,15,350,1
89,19,648,1
90,19,412,1
91,25,456,1
92,25,685,1
93,25,120,1
94,25,810,1
95,25,672,1
96,25,342,1
97,25,488,1
98,25,791,1
99,25,316,1
100,25,79,1
101,27,289,1
102,27,96,1
103,27,540,1
104,27,399,1
105,27,141,1
106,27,642,1
107,27,358,1
108,27,546,1
109,27,704,1
110,27,12,1
111,27,290,1
112,27,332,1
113,27,762,1
114,27,48,1
115,30,48,1
116,30,358,1
117,30,290,1
118,30,770,1
119,30,642,1
120,30,762,1
121,30,229,1
122,30,546,1
123,34,775,1
124,34,336,1
125,34,729,1
126,34,541,1
127,34,755,1
128,34,158,1
129,34,402,1
130,34,254,1
131,34,685,1
132,34,120,1
133,34,740,1
134,34,493,1
135,34,570,1
136,34,276,1
137,34,412,1
138,34,307,1
139,34,105,1
140,34,247,1
141,34,476,1
142,34,79,1
143,34,221,1
144,34,502,1
145,34,557,1
146,34,43,1
147,34,85,1
148,34,439,1
149,34,625,1
150,34,626,1
151,34,202,1
152,34,647,1
153,34,726,1
154,34,362,1
155,34,586,1
156,34,342,1
157,41,752,1
158,41,124,1
159,42,417,1
160,42,327,1
161,42,476,1
162,42,53,1
163,42,657,1
164,42,117,1
165,42,702,1
166,43,358,1
167,43,196,1
168,43,555,1
169,43,557,1
170,43,56,1
171,43,332,1
172,43,402,1
173,43,153,1
174,43,290,1
175,43,85,1
176,43,295,1
177,43,508,1
178,43,362,1
179,43,755,1
180,43,48,1
181,43,139,1
182,43,307,1
183,43,468,1
184,43,546,1
185,43,529,1
186,43,576,1
187,43,79,1
188,43,111,1
189,43,578,1
190,43,451,1
191,43,105,1
192,43,120,1
193,43,586,1
194,43,112,1
195,43,178,1
196,43,775,1
197,48,483,1
198,48,615,1
199,48,686,1
200,48,264,1
201,48,600,1
202,48,96,1
203,48,775,1
204,48,120,1
205,48,174,1
206,48,247,1
207,48,514,1
208,48,124,1
209,48,231,1
210,48,776,1
211,48,141,1
212,48,379,1
213,48,756,1
214,48,358,1
215,48,770,1
216,48,340,1
217,48,524,1
218,48,105,1
219,48,373,1
220,48,111,1
221,48,642,1
222,48,139,1
223,48,78,1
224,48,597,1
225,48,56,1
226,48,114,1
227,48,628,1
228,48,772,1
229,48,67,1
230,48,435,1
231,48,704,1
232,48,446,1
233,48,27,1
234,48,116,1
235,48,632,1
236,48,386,1
237,48,426,1
238,48,511,1
239,48,696,1
240,48,709,1
241,48,762,1
242,48,332,1
243,48,689,1
244,48,112,1
245,56,576,1
246,56,770,1
247,56,413,1
248,56,358,1
249,56,96,1
250,56,27,1
251,56,546,1
252,56,114,1
253,56,772,1
