,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
IL1B,5.3766165,3.400903,-0.021963239,-0.04652032,5.61333,6.932238,-0.053155806,-0.033818204,8.844777,-0.056348566,3.046654,6.5731354,-0.022110088,1.8185415,4.3118725,5.669152
CLEC4E,8.626296,5.50281,-0.03484434,-0.072810546,9.353286,11.832577,-0.08527899,-0.055058718,14.679495,-0.099196546,4.903645,10.815441,-0.035790905,3.1559234,7.381932,9.145433
DBI,7.33747,3.6838129,-0.0247303,-0.0600853,8.150834,11.390384,-0.06652528,-0.05275574,11.896996,-0.08557306,4.7377076,9.71944,-0.028347353,2.226919,5.36626,8.869255
RBL2,5.4039664,3.419576,-0.02207821,-0.04671334,5.6448326,6.9707503,-0.053413555,-0.033978418,8.89282,-0.056673687,3.0618033,6.607467,-0.022230923,1.8268473,4.335637,5.699659
EGR1,5.457347,3.4580085,-0.02230694,-0.04710689,5.705619,7.0499997,-0.053905677,-0.03428527,8.989055,-0.05731673,3.0881126,6.67778,-0.0224935,1.8466675,4.382878,5.760656
CLEC4B1,8.626012,5.5039487,-0.034842856,-0.07280717,9.35372,11.833572,-0.08526676,-0.05505821,14.678625,-0.09918658,4.903224,10.81621,-0.035788417,3.1554086,7.382049,9.145373
SQSTM1,6.999173,4.446765,-0.028760744,-0.058721922,7.445704,9.288265,-0.06833347,-0.043174796,11.79361,-0.07713076,3.8690803,8.711855,-0.029429292,2.4609869,5.7977076,7.5111904
3110003A17RIK,8.626012,5.5039487,-0.034842856,-0.07280717,9.35372,11.833572,-0.08526676,-0.05505821,14.678625,-0.09918658,4.903224,10.81621,-0.035788417,3.1554086,7.382049,9.145373
SERTAD2,7.975583,4.818888,-0.034355782,-0.06368188,9.010346,12.090865,-0.076803,-0.04607284,15.007797,-0.09789951,5.356116,9.950319,-0.035739537,2.5353715,7.7260823,8.943805
GNG5,6.9364505,4.392876,-0.028414613,-0.057911526,7.360707,9.193798,-0.067751944,-0.042699568,11.670859,-0.07629893,3.843375,8.606186,-0.029075421,2.4329636,5.7320776,7.4442496
RLIM,5.3737698,3.3986723,-0.021955349,-0.046504956,5.610749,6.929158,-0.0531256,-0.033801064,8.841597,-0.056324396,3.0458732,6.5706506,-0.022095231,1.8170471,4.310042,5.666712
