,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
TFAP4,4.709586,3.3152149,3.9034817,-0.052831244,5.8310947,3.9635887,1.2186409,5.39185,5.395564,3.4618082,1.0600506,-0.0452425,3.8793693,-0.051748045,2.102659,1.0912746
SERPINB6C,9.3979025,7.227092,7.875607,-0.10261027,12.118589,6.695631,2.505874,11.96023,10.533337,6.3045793,2.4674795,-0.07675577,7.4383855,-0.11262904,4.5508833,2.2322469
TSPAN4,9.3979025,7.227092,7.875607,-0.10261027,12.118589,6.695631,2.505874,11.96023,10.533337,6.3045793,2.4674795,-0.07675577,7.4383855,-0.11262904,4.5508833,2.2322469
HTT,4.004508,4.190527,3.3973432,-0.04771967,6.306684,2.7020884,0.8134557,6.123077,4.809748,2.9877121,0.4332571,-0.032567702,4.087637,-0.055347852,1.8939931,2.1147475
TCEA3,4.6627855,4.0103188,4.1089005,-0.053309254,6.166274,3.642552,1.2055951,6.1359506,5.215183,3.8271403,0.9832981,-0.04092714,4.1880274,-0.058533695,2.2795603,1.7429031
SH3PXD2B,9.3979025,7.227092,7.875607,-0.10261027,12.118589,6.695631,2.505874,11.96023,10.533337,6.3045793,2.4674795,-0.07675577,7.4383855,-0.11262904,4.5508833,2.2322469
MCFD2,9.3979025,7.227092,7.875607,-0.10261027,12.118589,6.695631,2.505874,11.96023,10.533337,6.3045793,2.4674795,-0.07675577,7.4383855,-0.11262904,4.5508833,2.2322469
PDLIM1,9.3979025,7.227092,7.875607,-0.10261027,12.118589,6.695631,2.505874,11.96023,10.533337,6.3045793,2.4674795,-0.07675577,7.4383855,-0.11262904,4.5508833,2.2322469
ME1,9.3979025,7.227092,7.875607,-0.10261027,12.118589,6.695631,2.505874,11.96023,10.533337,6.3045793,2.4674795,-0.07675577,7.4383855,-0.11262904,4.5508833,2.2322469
SRRT,4.7345176,4.0738897,4.179222,-0.054255083,6.2741823,3.7009864,1.220582,6.2403173,5.305782,3.8795455,1.0143461,-0.0414472,4.2508316,-0.059421267,2.3245733,1.767088
ERLIN1,9.3979025,7.227092,7.875607,-0.10261027,12.118589,6.695631,2.505874,11.96023,10.533337,6.3045793,2.4674795,-0.07675577,7.4383855,-0.11262904,4.5508833,2.2322469
CNDP2,9.3979025,7.227092,7.875607,-0.10261027,12.118589,6.695631,2.505874,11.96023,10.533337,6.3045793,2.4674795,-0.07675577,7.4383855,-0.11262904,4.5508833,2.2322469
SCMH1,4.638869,4.158624,3.7857707,-0.049733065,6.123788,3.4316936,0.8725025,5.457072,4.956201,3.8680387,0.4169647,-0.04032427,3.857037,-0.061469965,2.6303484,1.564408
KRT17,9.3979025,7.227092,7.875607,-0.10261027,12.118589,6.695631,2.505874,11.96023,10.533337,6.3045793,2.4674795,-0.07675577,7.4383855,-0.11262904,4.5508833,2.2322469
SLC25A4,4.7012544,3.7189615,3.639337,-0.05208082,6.3875,3.5557384,0.924747,6.3836985,4.722491,4.1556606,1.3056651,-0.039949022,3.749644,-0.059942417,2.0936952,1.8353404
