,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
GM24451,-0.07785834,-0.08177038,-0.07487691,7.7497025,-0.07432092,-0.14032745,-0.05969334,-0.09338798,-0.056629676,-0.047887515,-0.019842561,8.852253,-0.076615706,10.937973,-0.07522995,-0.018947223
SRGN,-0.053225555,-0.058834236,-0.055015482,5.2820325,-0.052943118,-0.099281766,-0.03976937,-0.06880915,-0.038358044,-0.031154042,-0.01146341,6.114621,-0.054936197,7.347981,-0.05245779,-0.012598662
MAPK11,-0.054356117,-0.059922613,-0.055891063,5.3772492,-0.05395878,-0.10123079,-0.04053206,-0.06982009,-0.03920826,-0.03195799,-0.011697156,6.231502,-0.05583671,7.5047684,-0.05338853,-0.012870925
MIR669B,-0.07785834,-0.08177038,-0.07487691,7.7497025,-0.07432092,-0.14032745,-0.05969334,-0.09338798,-0.056629676,-0.047887515,-0.019842561,8.852253,-0.076615706,10.937973,-0.07522995,-0.018947223
NCOR1,-0.051735587,-0.057722714,-0.053900775,5.142898,-0.052204885,-0.09672227,-0.03902877,-0.06714265,-0.03742242,-0.030586673,-0.011185252,5.9976244,-0.05355563,7.1678867,-0.05086542,-0.012269469
ULK1,-0.07788347,-0.081782006,-0.07484219,7.7494183,-0.074321315,-0.14034975,-0.059698585,-0.09338638,-0.056643732,-0.04785172,-0.019820442,8.848629,-0.07661241,10.936619,-0.075205155,-0.018962909
TFEB,-0.074426815,-0.07789819,-0.07290468,7.302463,-0.07096324,-0.13401493,-0.055906057,-0.08963364,-0.053926364,-0.045938373,-0.018144216,8.434424,-0.072494835,10.297143,-0.070727,-0.018360147
PAPOLA,-0.05078786,-0.056381688,-0.052843682,5.0435987,-0.050804522,-0.094898574,-0.038121004,-0.06621366,-0.03654706,-0.02966469,-0.010927467,5.8456535,-0.052501224,6.999357,-0.050066765,-0.012003677
PDCD11,-0.053437117,-0.059009064,-0.055071224,5.2852983,-0.05323107,-0.099522114,-0.039999347,-0.06885564,-0.038441963,-0.031464394,-0.011653437,6.1319704,-0.05494104,7.374076,-0.05248366,-0.01263974
AMOT,-0.06357779,-0.06926088,-0.06473324,6.274613,-0.06268054,-0.117474504,-0.047451094,-0.0797738,-0.046397705,-0.03859301,-0.01464852,7.300624,-0.06457404,8.822275,-0.06187734,-0.015577918
TAF5,-0.051299628,-0.056897912,-0.053233303,5.086564,-0.05129452,-0.09581755,-0.038507733,-0.06674731,-0.036865108,-0.030043997,-0.0110645145,5.898848,-0.052926525,7.0707245,-0.050507043,-0.012096341
GRIN1,-0.054584756,-0.060113948,-0.05603735,5.4003034,-0.054137245,-0.1016509,-0.040713906,-0.07002311,-0.0393898,-0.03204351,-0.011713907,6.2591143,-0.056022014,7.5440693,-0.053613443,-0.012947417
