,TF,Target,Label
0,4,829,1
1,4,79,1
2,4,377,1
3,4,136,1
4,17,1174,1
5,17,806,1
6,17,659,1
7,17,180,1
8,17,1198,1
9,17,1172,1
10,17,714,1
11,17,671,1
12,17,723,1
13,17,793,1
14,17,79,1
15,17,307,1
16,17,1037,1
17,17,381,1
18,17,860,1
19,17,890,1
20,17,255,1
21,17,918,1
22,17,1142,1
23,17,430,1
24,17,747,1
25,17,467,1
26,23,192,1
27,23,1176,1
28,23,1070,1
29,27,582,1
30,27,1118,1
31,27,932,1
32,27,709,1
33,30,66,1
34,30,313,1
35,30,679,1
36,30,157,1
37,30,350,1
38,30,992,1
39,30,975,1
40,30,588,1
41,30,315,1
42,30,790,1
43,30,198,1
44,54,36,1
45,54,217,1
46,54,118,1
47,54,240,1
48,59,17,1
49,59,901,1
50,59,302,1
51,59,1031,1
52,59,630,1
53,59,990,1
54,59,416,1
55,59,240,1
56,59,935,1
57,59,410,1
58,59,1002,1
59,59,1061,1
60,59,430,1
61,59,918,1
62,59,747,1
63,59,199,1
64,59,1174,1
65,59,1018,1
66,59,671,1
67,59,1039,1
68,59,164,1
69,72,849,1
70,72,180,1
71,72,307,1
72,72,971,1
73,72,127,1
74,72,1037,1
75,72,559,1
76,72,951,1
77,72,806,1
78,78,335,1
79,78,577,1
80,78,215,1
81,79,180,1
82,79,1165,1
83,79,763,1
84,79,4,1
85,79,17,1
86,79,912,1
87,79,332,1
88,79,1182,1
89,79,454,1
90,79,1037,1
91,79,1148,1
92,79,714,1
93,79,573,1
94,79,555,1
95,79,1171,1
96,79,307,1
97,80,120,1
98,80,106,1
99,80,501,1
100,80,1091,1
101,80,403,1
102,80,1154,1
103,82,750,1
104,82,162,1
105,82,341,1
106,82,234,1
107,82,751,1
108,82,719,1
109,82,834,1
110,82,835,1
111,82,1100,1
112,82,899,1
113,82,133,1
114,82,993,1
115,82,877,1
116,82,440,1
117,95,180,1
118,95,239,1
119,95,1175,1
120,95,610,1
121,95,215,1
122,95,858,1
123,95,408,1
124,111,297,1
125,111,48,1
126,111,189,1
127,111,975,1
128,111,679,1
129,111,998,1
130,111,157,1
131,111,118,1
132,111,855,1
133,111,1083,1
134,111,444,1
135,111,350,1
136,111,102,1
137,111,748,1
138,111,732,1
139,111,886,1
140,111,244,1
141,111,440,1
142,111,234,1
143,111,813,1
144,111,1135,1
145,111,315,1
146,111,43,1
147,111,1073,1
148,111,237,1
149,111,1010,1
150,111,950,1
151,111,228,1
152,111,135,1
153,111,265,1
154,111,749,1
155,111,996,1
156,111,313,1
157,111,989,1
158,111,992,1
159,111,274,1
160,111,765,1
161,111,169,1
162,118,234,1
163,118,748,1
164,118,366,1
165,118,66,1
166,118,615,1
167,118,868,1
168,118,732,1
169,118,950,1
170,118,424,1
171,118,24,1
172,118,1135,1
173,118,588,1
174,118,1010,1
175,118,1004,1
176,118,1054,1
177,118,145,1
178,118,274,1
179,118,965,1
180,118,477,1
181,118,608,1
182,118,992,1
183,118,237,1
184,118,749,1
185,118,48,1
186,118,885,1
187,118,838,1
188,118,989,1
189,118,297,1
190,118,281,1
191,118,198,1
192,118,54,1
193,118,316,1
194,118,827,1
195,118,280,1
196,118,105,1
197,118,1063,1
198,118,53,1
199,118,434,1
200,118,265,1
201,118,350,1
202,118,1144,1
203,118,57,1
204,118,933,1
205,118,1095,1
206,118,43,1
207,118,169,1
208,118,1042,1
209,118,855,1
210,118,1047,1
211,118,537,1
212,118,975,1
213,118,440,1
214,125,750,1
215,141,1177,1
216,141,1098,1
217,141,96,1
218,141,540,1
219,141,651,1
220,141,1044,1
221,141,798,1
222,141,907,1
223,141,1074,1
224,141,221,1
225,141,597,1
226,141,847,1
227,141,434,1
228,141,1013,1
229,141,552,1
230,141,456,1
231,143,510,1
232,143,221,1
233,143,501,1
234,143,389,1
235,143,231,1
236,143,1013,1
237,143,1044,1
238,143,120,1
239,143,1165,1
240,143,779,1
241,143,540,1
242,143,550,1
243,143,434,1
244,143,456,1
245,143,552,1
246,143,295,1
247,143,597,1
248,143,847,1
249,143,798,1
250,143,907,1
251,143,651,1
252,151,449,1
253,151,786,1
254,151,417,1
255,151,394,1
256,151,658,1
257,151,128,1
258,151,582,1
259,155,821,1
260,155,926,1
261,161,480,1
262,161,819,1
263,162,1100,1
264,162,82,1
265,162,685,1
266,180,673,1
267,180,609,1
268,180,72,1
269,180,932,1
270,180,1091,1
271,180,714,1
272,180,709,1
273,180,79,1
274,180,191,1
275,180,17,1
276,191,180,1
277,192,23,1
278,192,133,1
279,192,772,1
280,192,1070,1
281,202,677,1
282,202,482,1
283,205,609,1
284,206,338,1
285,206,543,1
286,206,157,1
287,206,1063,1
288,206,968,1
289,206,583,1
290,206,963,1
291,206,315,1
292,206,690,1
293,206,793,1
294,206,48,1
295,206,301,1
296,206,466,1
297,206,145,1
298,206,189,1
299,206,914,1
300,206,861,1
301,206,1000,1
302,206,660,1
303,206,53,1
304,206,790,1
305,206,43,1
306,206,1122,1
307,215,849,1
308,215,332,1
309,215,233,1
310,215,1037,1
