,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MYO1G,-0.03768109,3.8689606,-0.03533216,-0.057357367,8.608218,-0.01690782,7.844677,7.4502616,4.3338456,-0.071895406,-0.04799411,6.704597,-0.061453618,-0.024955634,9.896054,-0.03127955
PIK3C3,-0.03768109,3.8689606,-0.03533216,-0.057357367,8.608218,-0.01690782,7.844677,7.4502616,4.3338456,-0.071895406,-0.04799411,6.704597,-0.061453618,-0.024955634,9.896054,-0.03127955
F11R,-0.03768109,3.8689606,-0.03533216,-0.057357367,8.608218,-0.01690782,7.844677,7.4502616,4.3338456,-0.071895406,-0.04799411,6.704597,-0.061453618,-0.024955634,9.896054,-0.03127955
LEPROT,-0.037688885,3.8674357,-0.035316683,-0.057353444,8.60736,-0.016889434,7.841762,7.451775,4.3350444,-0.071905114,-0.047998402,6.7027173,-0.06142979,-0.024934998,9.897776,-0.03125238
IRF1,-0.03708067,3.9254308,-0.034066834,-0.056239784,8.164469,-0.018264584,7.2834907,7.2004304,4.2649093,-0.067876585,-0.046994343,6.195756,-0.05770017,-0.027764972,9.39313,-0.030210594
CCNG1,-0.03768109,3.8689606,-0.03533216,-0.057357367,8.608218,-0.01690782,7.844677,7.4502616,4.3338456,-0.071895406,-0.04799411,6.704597,-0.061453618,-0.024955634,9.896054,-0.03127955
ANKRD27,-0.03768109,3.8689606,-0.03533216,-0.057357367,8.608218,-0.01690782,7.844677,7.4502616,4.3338456,-0.071895406,-0.04799411,6.704597,-0.061453618,-0.024955634,9.896054,-0.03127955
GIMAP1,-0.03768109,3.8689606,-0.03533216,-0.057357367,8.608218,-0.01690782,7.844677,7.4502616,4.3338456,-0.071895406,-0.04799411,6.704597,-0.061453618,-0.024955634,9.896054,-0.03127955
MFGE8,-0.03768109,3.8689606,-0.03533216,-0.057357367,8.608218,-0.01690782,7.844677,7.4502616,4.3338456,-0.071895406,-0.04799411,6.704597,-0.061453618,-0.024955634,9.896054,-0.03127955
SEH1L,-0.028987715,3.2095678,-0.026472142,-0.043889903,6.6226406,-0.012956773,5.9409757,5.873156,3.326341,-0.054517135,-0.03917832,4.867833,-0.044819847,-0.02315433,7.6193533,-0.023060365
