,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DRAM2,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
MKI67,6.670434,-0.052270934,-0.029919391,4.37897,-0.06286372,-0.0023421873,-0.099489674,-0.09946341,3.990553,5.612758,3.588096,-0.014421562,6.419892,3.4798386,-0.09809746,-0.055200968
TSHZ3,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
NUDT19,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
ASB8,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
VKORC1L1,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
SOX18,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
PDZK1IP1,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
PSMD9,6.886281,-0.05318555,-0.036688805,4.3110104,-0.07210214,-0.0064643514,-0.10437185,-0.10271955,3.4075055,6.5811367,3.4109552,-0.020681273,6.2821717,3.7887743,-0.10233753,-0.05227537
GRINA,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
SLC7A4,8.367231,-0.06684831,-0.040620774,5.326285,-0.084329344,-0.011097723,-0.120368995,-0.12872317,5.7183747,6.426759,4.38742,-0.02714005,7.8592396,3.3498795,-0.12343504,-0.06578981
AURKA,6.629937,-0.051832728,-0.029560516,4.3324437,-0.062681295,-0.0021973562,-0.09856893,-0.09837828,3.946734,5.5672135,3.5575721,-0.014356963,6.348637,3.4149148,-0.09716607,-0.05474431
SOX6,9.462074,-0.0698742,-0.037166562,5.8777857,-0.087047525,0.13463505,-0.13060533,-0.13008809,5.7605767,6.941429,4.377565,-0.017592562,8.78524,4.5712996,-0.13189308,-0.074084185
MAPK9,6.3603578,-0.050805368,-0.025310842,4.36178,-0.056656916,-0.00037817314,-0.09717771,-0.09809829,3.4869964,6.01136,3.3988411,-0.006989654,7.3733163,3.3463693,-0.101291455,-0.062613495
MCM7,6.401367,-0.050180264,-0.02862957,4.162359,-0.060894158,-0.0021806185,-0.095266476,-0.09501561,3.8156054,5.3670855,3.4313133,-0.013999327,6.1234593,3.2705536,-0.09409915,-0.05275756
BTAF1,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
KPNA3,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
JARID2,6.8472843,-0.052478265,-0.030982971,4.4858103,-0.064989924,-0.00039968526,-0.099787384,-0.100669764,4.374672,5.3094406,3.173464,-0.014439349,6.566682,3.7709093,-0.10118345,-0.053955678
MYH10,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
KEL,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
HNRNPAB,9.062192,-0.07265543,-0.040831912,5.677461,-0.0806402,-0.00013785719,-0.13223246,-0.1337174,5.223895,7.6811275,4.4864607,-0.01910492,8.382879,5.164365,-0.12586814,-0.07427352
MFGE8,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
TCP11L2,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
GPR171,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
UBE2G2,7.075678,-0.058289487,-0.038541656,3.867404,-0.06764947,0.17745431,-0.11702011,-0.10278416,3.5729787,5.7121134,3.5506115,-0.005440238,6.561475,3.0408142,-0.101356454,-0.05256115
DOK2,5.9750032,-0.043811202,-0.035118427,4.083988,-0.05234538,-0.010838851,-0.09191435,-0.09503103,4.564684,4.807249,4.3052998,-0.007104054,5.8874464,4.2232437,-0.09453155,-0.054760866
CD55,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
TMEM263,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
DUSP2,6.627848,-0.052450884,-0.031281892,4.5750966,-0.062189292,-0.0021091038,-0.099776246,-0.1005853,4.030144,5.693066,3.513101,-0.015288468,6.3905,3.8154824,-0.09732931,-0.0556891
AFAP1L1,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
TM7SF3,9.304173,-0.07104497,-0.03835039,6.110397,-0.0840641,-0.0008250885,-0.13278627,-0.13248742,5.437635,7.535942,4.931643,-0.018601548,8.664892,4.75868,-0.12876223,-0.07765477
HACD3,8.367231,-0.06684831,-0.040620774,5.326285,-0.084329344,-0.011097723,-0.120368995,-0.12872317,5.7183747,6.426759,4.38742,-0.02714005,7.8592396,3.3498795,-0.12343504,-0.06578981
CPT1A,8.757537,-0.06719474,-0.03821255,5.9456973,-0.07852842,-0.0012643291,-0.12690286,-0.12740594,5.209032,7.2523017,4.5678387,-0.017700842,8.189931,4.902089,-0.122341365,-0.07330259
