,TF,Target,Label
0,14,369,1
1,14,450,1
2,14,1014,1
3,14,412,1
4,14,935,1
5,14,529,1
6,14,321,1
7,14,660,1
8,14,577,1
9,35,596,1
10,35,467,1
11,35,1028,1
12,35,1075,1
13,35,460,1
14,35,661,1
15,35,85,1
16,35,75,1
17,35,763,1
18,35,706,1
19,38,1108,1
20,38,361,1
21,38,819,1
22,38,1110,1
23,38,1018,1
24,38,473,1
25,38,163,1
26,38,1115,1
27,38,564,1
28,38,312,1
29,38,863,1
30,59,791,1
31,75,1044,1
32,75,618,1
33,75,467,1
34,75,72,1
35,75,661,1
36,75,596,1
37,75,397,1
38,85,397,1
39,85,75,1
40,85,993,1
41,85,21,1
42,85,840,1
43,85,661,1
44,85,688,1
45,85,618,1
46,85,1028,1
47,107,818,1
48,108,1106,1
49,128,951,1
50,128,353,1
51,138,329,1
52,138,285,1
53,138,256,1
54,138,275,1
55,162,990,1
56,162,502,1
57,171,1106,1
58,175,163,1
59,175,39,1
60,175,583,1
61,175,758,1
62,175,895,1
63,175,444,1
64,175,574,1
65,175,819,1
66,175,361,1
67,175,192,1
68,175,113,1
69,175,952,1
70,175,166,1
71,175,408,1
72,175,1037,1
73,175,168,1
74,175,1032,1
75,175,863,1
76,175,924,1
77,175,1085,1
78,175,213,1
79,175,951,1
80,175,26,1
81,175,209,1
82,175,1096,1
83,253,275,1
84,253,339,1
85,257,957,1
86,257,1106,1
87,257,283,1
88,267,784,1
89,297,687,1
90,297,704,1
91,297,637,1
92,297,520,1
93,297,179,1
94,297,311,1
95,297,542,1
96,297,373,1
97,299,784,1
98,299,412,1
99,302,1047,1
100,302,412,1
101,311,361,1
102,311,113,1
103,311,163,1
104,311,39,1
105,311,213,1
106,311,564,1
107,311,991,1
108,311,145,1
109,311,1115,1
110,311,372,1
111,311,1108,1
112,311,1018,1
113,311,637,1
114,311,90,1
115,311,422,1
116,311,733,1
117,311,179,1
118,311,546,1
119,311,687,1
120,311,819,1
121,311,1110,1
122,311,181,1
123,311,895,1
124,311,994,1
125,311,992,1
126,311,742,1
127,311,309,1
128,311,863,1
129,311,516,1
130,311,356,1
131,311,585,1
132,311,328,1
133,311,103,1
134,311,828,1
135,311,716,1
136,311,1092,1
137,311,297,1
138,311,312,1
139,319,753,1
140,319,507,1
141,333,940,1
142,348,392,1
143,348,1115,1
144,356,465,1
145,356,680,1
146,356,1125,1
147,356,784,1
148,356,824,1
149,356,51,1
150,356,307,1
151,356,786,1
152,360,520,1
153,360,658,1
154,360,1044,1
155,360,704,1
156,360,963,1
157,360,507,1
158,360,637,1
159,360,890,1
160,360,616,1
161,360,687,1
162,360,181,1
163,387,354,1
164,387,231,1
165,387,271,1
166,387,617,1
167,387,1048,1
168,387,191,1
169,387,728,1
170,387,1086,1
171,387,164,1
172,387,93,1
173,387,530,1
174,387,77,1
175,387,106,1
176,387,352,1
177,387,889,1
178,387,212,1
179,387,435,1
180,387,950,1
181,387,926,1
182,387,498,1
183,387,450,1
184,387,573,1
185,387,870,1
186,387,221,1
187,387,4,1
188,387,1009,1
189,392,328,1
190,392,819,1
191,392,348,1
192,392,163,1
193,392,863,1
194,392,473,1
195,392,1115,1
196,392,26,1
197,406,92,1
198,406,719,1
199,406,935,1
200,406,7,1
201,406,577,1
202,412,800,1
203,412,529,1
204,412,556,1
205,412,81,1
206,412,962,1
207,412,450,1
208,412,750,1
209,412,862,1
210,412,1047,1
211,412,14,1
212,412,1021,1
213,412,764,1
214,422,309,1
215,422,137,1
216,422,372,1
217,422,564,1
218,422,583,1
219,422,1019,1
220,422,254,1
221,422,312,1
222,422,516,1
223,422,226,1
224,422,815,1
225,422,1017,1
226,422,22,1
227,422,994,1
228,422,396,1
229,422,1115,1
230,422,977,1
231,422,361,1
232,422,1110,1
233,422,469,1
234,422,618,1
235,422,781,1
236,422,602,1
237,422,817,1
238,422,825,1
239,422,520,1
240,422,716,1
241,422,992,1
242,422,828,1
243,422,408,1
244,422,122,1
245,422,10,1
246,422,235,1
247,422,270,1
248,422,758,1
249,422,839,1
250,422,637,1
251,422,531,1
252,422,863,1
253,422,350,1
254,422,612,1
255,422,179,1
256,422,1129,1
257,422,890,1
258,422,464,1
259,422,1096,1
260,422,181,1
261,422,924,1
262,422,27,1
263,422,904,1
264,422,1018,1
265,422,395,1
266,422,311,1
267,422,704,1
268,422,842,1
269,438,320,1
270,438,338,1
271,438,387,1
272,438,889,1
273,439,986,1
274,457,473,1
275,457,428,1
276,460,955,1
277,460,1075,1
278,460,35,1
279,460,622,1
280,465,356,1
281,465,792,1
282,465,1030,1
283,465,718,1
284,465,632,1
285,465,283,1
286,502,951,1
287,502,162,1
288,502,963,1
289,502,927,1
290,502,786,1
291,502,506,1
292,502,993,1
293,502,621,1
294,506,784,1
295,506,13,1
296,506,502,1
297,515,83,1
298,515,282,1
299,524,934,1
300,524,828,1
301,524,1096,1
302,524,786,1
303,524,1115,1
304,526,507,1
305,526,402,1
306,528,1096,1
307,532,412,1
308,532,691,1
309,572,796,1
310,572,9,1
311,572,995,1
312,572,136,1
313,572,329,1
314,572,1111,1
315,577,468,1
316,577,835,1
317,577,789,1
318,577,1025,1
319,577,662,1
320,577,975,1
321,577,378,1
322,577,541,1
323,577,406,1
324,577,318,1
325,577,301,1
326,585,952,1
327,585,564,1
328,585,444,1
329,585,991,1
330,585,583,1
331,585,395,1
332,585,90,1
333,585,145,1
334,585,992,1
335,585,469,1
336,585,312,1
337,585,226,1
338,585,1129,1
