,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MUC13,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
GOLT1B,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
PHF10,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
EBI3,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
TMEM97,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
NAP1L3,2.8903778,-0.037133206,-0.041084908,-0.07029758,1.5114965,8.12296,-0.07123614,6.815924,10.012892,-0.08165213,4.103695,6.492508,3.0911906,-0.08185228,5.390109,9.16877
CTSL,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
PRKCH,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
SLCO3A1,3.3120449,-0.0413026,-0.035133317,-0.0817773,1.9192017,8.843737,-0.07958415,6.8296413,10.997919,-0.07899409,4.3821244,7.8215446,3.2086914,-0.08842088,6.030177,8.9946375
FCER1G,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
AGPS,3.7603476,-0.03794849,-0.03641318,-0.08061349,0.91615236,8.733601,-0.086559325,5.915669,9.783067,-0.07581209,3.3634524,8.473884,2.3585086,-0.086945675,5.090349,7.6352625
RUNX1T1,2.0728934,-0.025612632,-0.019460222,-0.059711892,0.9612932,5.775412,-0.051075246,4.134125,7.3717885,-0.05028115,2.5276875,4.9214487,2.0284185,-0.05451209,3.4757123,5.8251376
GBP7,2.0735126,-0.024731645,-0.017510748,-0.056229208,0.6631172,5.487836,-0.04804302,3.980971,7.030517,-0.047948804,2.3970313,4.582552,1.9110856,-0.051621974,3.1117833,5.4140296
RNF4,1.5968939,-0.01993,-0.013451576,-0.050454292,0.6802068,4.630271,-0.040257815,3.1971579,6.0229044,-0.038669817,1.881841,3.8037333,1.6258566,-0.042200997,2.5120175,4.603813
INPP5B,3.772813,-0.036365636,-0.04530446,-0.07740618,1.9652566,8.099355,-0.073029794,6.165505,10.732416,-0.064743236,4.1577015,7.3686643,2.28268,-0.092199534,6.235301,8.588788
UNC93B1,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
RPRD1B,1.7085369,-0.02115914,-0.01481067,-0.05360486,0.7794571,4.9240384,-0.043290365,3.4771748,6.467075,-0.041902974,2.0887458,4.081945,1.7693506,-0.045264054,2.8205254,4.8973417
TM6SF1,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
ZFP367,3.2870908,-0.042725027,-0.035194524,-0.08155371,1.9829334,8.863943,-0.07855909,6.722726,10.825175,-0.07749033,4.224423,7.8827744,3.1321285,-0.088567436,5.9759808,9.110533
GIMAP6,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
MGAT5,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
RELB,2.4727151,-0.030651217,-0.023453781,-0.06594969,1.0507269,6.6060066,-0.05851982,4.986148,8.400258,-0.058493007,3.0535107,5.6676283,2.396648,-0.064750545,4.085058,6.6336102
CNRIP1,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
EYA2,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
HMGB2,1.3095415,-0.016202219,-0.0126251085,-0.047659177,0.8113384,4.2073293,-0.037529197,2.6626801,5.45732,-0.035205167,1.6726588,3.581138,1.4444059,-0.037494082,2.4196036,4.3404875
ANXA3,3.2808208,-0.042762045,-0.035281084,-0.08153003,1.9764018,8.856451,-0.07861355,6.7096004,10.814688,-0.077483594,4.2169585,7.879263,3.1377509,-0.0884885,5.9624243,9.104032
AURKB,1.0336903,-0.012501969,-0.009314259,-0.04099039,0.58364034,3.4278064,-0.03116963,2.0732777,4.502489,-0.027755717,1.2962241,2.8320057,1.1433392,-0.029791586,1.853478,3.4940948
EZR,3.2870908,-0.042725027,-0.035194524,-0.08155371,1.9829334,8.863943,-0.07855909,6.722726,10.825175,-0.07749033,4.224423,7.8827744,3.1321285,-0.088567436,5.9759808,9.110533
ZFP945,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
EPAS1,2.5105088,-0.031313017,-0.02378321,-0.06581671,1.0166191,6.6696157,-0.059137993,4.97614,8.329862,-0.059654456,3.0579433,5.7608733,2.3485029,-0.06565679,4.1189284,6.7172337
RTP4,2.2460372,-0.027763333,-0.019602116,-0.05949479,0.81091666,5.9503455,-0.052183274,4.453386,7.6113935,-0.052837394,2.6906915,4.983833,2.1506302,-0.056688704,3.5118248,5.9040217
WDR5,1.1078074,-0.014743942,-0.006812247,-0.052394893,0.9175365,4.2869797,-0.038935743,2.5556104,5.229717,-0.030646052,1.2875226,2.9396105,0.87861633,-0.032905493,2.3532138,4.1113567
TACC3,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
ACOX1,3.3028357,-0.0415215,-0.035012256,-0.08183445,1.9014795,8.852889,-0.07969912,6.8450384,10.98893,-0.0793615,4.3701277,7.8217583,3.1935914,-0.08865565,6.0644846,9.010875
XAF1,2.1360526,-0.027170194,-0.021292884,-0.05808419,1.1520965,5.7937865,-0.050657213,4.1916084,7.5191216,-0.048654582,2.7285628,4.819698,2.1142612,-0.055296473,3.663652,5.9315877
POLR2B,1.1601365,-0.014048952,-0.010473719,-0.044042937,0.6353413,3.7439897,-0.033790696,2.34042,4.9199796,-0.03044126,1.4639428,3.1041856,1.2959903,-0.03273849,2.0464058,3.7970066
1700017B05RIK,3.3060858,-0.04127881,-0.035211645,-0.08184403,1.9145045,8.832709,-0.079544686,6.8328853,10.988172,-0.07902155,4.370412,7.8224134,3.1995132,-0.088534564,6.0327063,8.99008
RORA,2.6771138,-0.033128362,-0.025456604,-0.06719164,1.038863,6.891095,-0.06161127,5.2858853,8.650427,-0.0613568,3.2500048,5.964142,2.4715629,-0.06866941,4.3526354,6.910074
MPO,1.8087643,-0.022438318,-0.01601058,-0.05503928,0.7963917,5.1452584,-0.04520666,3.6901386,6.753523,-0.044476967,2.20827,4.266605,1.8411877,-0.04790332,3.0126982,5.1569057
PROCR,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
CSAD,3.3077404,-0.041338343,-0.035114948,-0.081785865,1.9163022,8.841121,-0.07957444,6.8315706,10.998289,-0.07895265,4.3827624,7.8194275,3.2106774,-0.08844859,6.033058,8.999348
MCM7,0.9637278,-0.0058048586,-0.009038536,-0.041268673,1.0017024,2.7778656,-0.027060162,1.9327703,4.34738,-0.019973015,1.1093569,2.7055001,1.098381,-0.021709552,1.7934601,3.0743384
APLP2,2.9940104,-0.041691028,-0.030330803,-0.06313737,2.7292433,9.21413,-0.07170825,6.4094625,9.368424,-0.07452529,5.085606,7.24741,3.254855,-0.07856374,4.7630453,8.379064
ZNRF2,1.3244263,-0.019281337,-0.010637411,-0.05730874,1.4211187,4.946206,-0.04483833,3.0813267,6.0141697,-0.033722993,1.7038386,3.2886367,0.991979,-0.039513722,3.1268084,4.8896065
CDCA4,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
SLC44A2,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
SELL,1.8552387,-0.023055224,-0.016783135,-0.056513328,0.8592118,5.24934,-0.046271935,3.8091621,6.8832498,-0.045004554,2.2581725,4.38797,1.8891298,-0.049389813,3.100412,5.2399974
PECAM1,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
H2-AA,3.306432,-0.04128536,-0.035115555,-0.08176885,1.9210051,8.837717,-0.079608425,6.8321805,10.996707,-0.07894981,4.3789105,7.8198423,3.2103336,-0.088493444,6.032365,8.994134
NKG7,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
ATAD1,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
TES,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
TIPIN,1.0252733,-0.012253822,-0.009089596,-0.04057617,0.5675839,3.3802347,-0.03073147,2.0440834,4.4441786,-0.027328275,1.2757514,2.7920725,1.1267993,-0.029307794,1.8127304,3.4387727
PLEKHO2,3.3113172,-0.041315667,-0.035114642,-0.081810236,1.9171925,8.841141,-0.07960977,6.831512,11.000451,-0.07899172,4.383882,7.8217945,3.2083929,-0.08846284,6.0323534,8.997877
