,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MUC13,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
GOLT1B,-0.07575733,-0.0139573645,4.084556,7.69086,-0.045615137,-0.12395746,9.410141,-0.09961895,-0.094832875,6.460578,-0.071892545,-0.071429096,-0.08104114,5.7828574,-0.06408467,-0.10587391
PHF10,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
EBI3,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
TMEM97,-0.07913642,-0.0012935605,4.228679,7.2523584,-0.057029944,-0.1267153,9.8438,-0.12109777,-0.094310254,6.22722,-0.064147845,-0.061038323,-0.068985514,7.4372816,-0.04885119,-0.09120905
NAP1L3,-0.08634998,-0.009187599,4.046205,7.49919,-0.051119193,-0.13454951,10.609465,-0.11462928,-0.102398515,7.3306785,-0.07730842,-0.06850455,-0.075006686,7.201691,-0.05594503,-0.10279686
CTSL,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
PRKCH,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
SLCO3A1,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
FCER1G,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
AGPS,-0.08639717,-0.009154639,4.053846,7.494293,-0.05113612,-0.13454205,10.611772,-0.11474363,-0.102426566,7.3325863,-0.077293895,-0.068510175,-0.07503734,7.21032,-0.055980463,-0.10272401
RUNX1T1,-0.078213744,-0.0077428254,3.734237,6.7054915,-0.045218114,-0.12083795,9.450021,-0.09838006,-0.08730171,6.6336555,-0.07037968,-0.066578604,-0.069555394,6.4411187,-0.051973637,-0.09674009
GBP7,-0.076035544,-0.0076293442,3.587002,6.613791,-0.043403987,-0.116465606,9.131032,-0.09573856,-0.084345564,6.512737,-0.06884211,-0.063181296,-0.066746496,6.2469497,-0.0504099,-0.093354665
RNF4,-0.06906204,-0.006076484,3.3409698,6.0302052,-0.0396379,-0.105490185,8.326542,-0.08576693,-0.076712854,5.9477057,-0.062212013,-0.058592856,-0.060623307,5.67915,-0.045862418,-0.08530662
INPP5B,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
UNC93B1,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
RPRD1B,-0.0714103,-0.00611,3.4681036,6.211127,-0.041099925,-0.1094182,8.650922,-0.089402094,-0.07934548,6.1349144,-0.063862406,-0.060296968,-0.062616654,5.8902316,-0.047069304,-0.08754128
TM6SF1,-0.086201034,-0.017020999,3.8546975,7.439516,-0.04647356,-0.11199608,9.26374,-0.10346769,-0.07810729,6.8654156,-0.06077836,-0.05443497,-0.0693328,6.9906297,-0.047446597,-0.08490561
ZFP367,-0.07575733,-0.0139573645,4.084556,7.69086,-0.045615137,-0.12395746,9.410141,-0.09961895,-0.094832875,6.460578,-0.071892545,-0.071429096,-0.08104114,5.7828574,-0.06408467,-0.10587391
GIMAP6,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
MGAT5,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
RELB,-0.08449777,-0.006998082,4.160656,7.2586575,-0.046658266,-0.13241538,10.517226,-0.10857706,-0.095192514,7.216361,-0.076900855,-0.07123907,-0.07407502,6.9771485,-0.054593924,-0.103628755
CNRIP1,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
EYA2,-0.085928075,-0.0036587226,4.6282406,6.8088355,-0.054987565,-0.1337987,10.193425,-0.10667823,-0.094004296,7.310589,-0.07432367,-0.075349435,-0.07487394,6.698478,-0.05834973,-0.10541562
HMGB2,-0.059948333,-0.0053168554,2.85751,5.146757,-0.033866458,-0.090498015,7.170835,-0.073501974,-0.06584445,5.039746,-0.052472193,-0.049503125,-0.05141191,4.8817725,-0.03907953,-0.07292476
ANXA3,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
AURKB,-0.053903505,-0.0038167685,2.5982132,4.658243,-0.030222997,-0.08140289,6.4599223,-0.06598857,-0.059497178,4.6106806,-0.04816136,-0.04555119,-0.046612132,4.3486257,-0.03533013,-0.06637738
EZR,-0.08640606,-0.009150638,4.054999,7.4951906,-0.051124856,-0.13456924,10.61485,-0.11470834,-0.10243421,7.33383,-0.07729552,-0.06852306,-0.075019106,7.2080636,-0.05595317,-0.102757536
ZFP945,-0.08639292,-0.00914541,4.0528984,7.4940863,-0.051142327,-0.13458028,10.613931,-0.11472332,-0.1024469,7.3349767,-0.07728413,-0.068538845,-0.075029716,7.206936,-0.055963133,-0.102745906
EPAS1,-0.08450024,-0.008230165,4.006873,7.319218,-0.048042387,-0.13216077,10.391826,-0.10901343,-0.09638919,7.247003,-0.07664531,-0.06982702,-0.0747241,7.0073233,-0.055636507,-0.10352833
RTP4,-0.07892413,-0.008001849,3.736944,6.824114,-0.045495648,-0.12133433,9.4963665,-0.100904554,-0.087508686,6.6731176,-0.0711558,-0.06534997,-0.06948685,6.511232,-0.052076597,-0.09649052
WDR5,-0.066843525,-0.0059561203,3.2098932,5.793741,-0.03828,-0.10125061,8.011312,-0.08238858,-0.07375102,5.7098646,-0.05944866,-0.05614039,-0.057981014,5.4716496,-0.044034448,-0.08197783
TACC3,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
ACOX1,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
XAF1,-0.07809663,-0.0077784224,3.6973686,6.7352953,-0.04431948,-0.11965126,9.402369,-0.09917274,-0.08576765,6.5770774,-0.06996978,-0.06395871,-0.06800185,6.4303207,-0.05118277,-0.09519035
POLR2B,-0.05827853,-0.004421635,2.816511,5.033207,-0.032975476,-0.08789829,6.973553,-0.071414866,-0.063921936,4.9661307,-0.051879324,-0.049187806,-0.050198793,4.726406,-0.03812266,-0.071540706
1700017B05RIK,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
RORA,-0.08449848,-0.008332288,4.0324183,7.3745027,-0.04790143,-0.1324922,10.455986,-0.10948791,-0.097199135,7.273219,-0.07694352,-0.07010505,-0.07509222,7.0478506,-0.056017444,-0.10350788
MPO,-0.072799526,-0.007031218,3.4889026,6.2782474,-0.041729238,-0.111056805,8.774124,-0.09132085,-0.08004621,6.1383853,-0.064607084,-0.0606265,-0.06350059,5.99762,-0.04779133,-0.08890834
PROCR,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
CSAD,-0.069265425,-0.0008489868,3.1890168,6.009715,-0.043524887,-0.14063978,9.506365,-0.11872963,-0.08896666,5.7387133,-0.06460198,-0.051308416,-0.08039883,5.743299,-0.052878726,-0.101924315
MCM7,-0.05544796,-0.004035912,2.675243,4.793619,-0.031152224,-0.08369358,6.6424904,-0.06791111,-0.061096225,4.734103,-0.04944327,-0.046770256,-0.04784944,4.4807725,-0.036246043,-0.068152644
APLP2,-0.08639536,-0.009146895,4.053097,7.494087,-0.05114539,-0.13458334,10.6137295,-0.11472269,-0.10244977,7.3353605,-0.07728127,-0.06853974,-0.07502862,7.2073026,-0.055959318,-0.10274537
