,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
SLC22A3,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
CREG1,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
ENG,-0.06742717,0.14504875,5.7525253,10.575314,6.729952,-0.06518226,5.5619864,8.122669,4.766221,-0.053103287,1.2478892,3.1230276,-0.075423,3.6203048,-0.09811101,4.7973986
ACAP1,-0.06202538,-0.013350565,7.9624,11.365374,6.4453273,-0.069348745,6.920703,8.970719,3.5617318,-0.063547306,1.4742452,2.556525,-0.0637335,3.509395,-0.080043316,5.352139
VLDLR,-0.06636081,-0.005348066,7.40633,11.295582,6.180193,-0.08201525,7.1975694,9.067905,4.3707085,-0.06794829,2.1612256,2.6034787,-0.07266056,4.3985877,-0.09395191,4.884115
HAAO,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
C230085N15RIK,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
4833407H14RIK,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
XPC,-0.0547484,-0.0074505988,6.607472,9.702195,5.420402,-0.07158401,6.632276,7.6312256,3.751418,-0.058147825,1.7657539,2.0137637,-0.06343737,3.4983082,-0.07806009,3.9016452
CTNNAL1,-0.063227326,-0.008503858,7.142576,11.600764,6.0379534,-0.08694359,6.9716845,8.331922,3.6571515,-0.06920468,1.6494813,3.0015147,-0.0713177,3.77257,-0.09213326,4.299848
GM8203,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
COX6A2,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
GM5111,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
GPR171,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
ADGRG3,-0.06635442,-0.005357336,7.407959,11.292877,6.183799,-0.08202626,7.1968813,9.067459,4.3712096,-0.06793507,2.1596725,2.603586,-0.07267714,4.3973036,-0.09395743,4.8850245
ARRDC4,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
ERP29,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
AMIGO2,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
LSP1,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
IFITM1,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
ABCG3,-0.058157805,0.3932626,5.293295,9.329588,6.622029,-0.07069414,5.4561625,8.05194,3.7051497,-0.06114808,2.4275732,2.205558,-0.057050724,4.0822864,-0.0822224,4.890225
PBLD2,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
CD9,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
HID1,-0.052290715,0.15789771,7.757651,9.737377,5.656117,-0.0808704,6.950428,8.116458,4.3202415,-0.054483976,2.4719908,2.8185005,-0.068067566,3.0166183,-0.10064164,3.3698025
SP100,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
LY86,-0.044328537,-0.0066542807,5.459591,8.007917,4.485653,-0.057700157,5.3791976,6.1650705,2.8635168,-0.04701075,1.329526,1.641269,-0.05148657,2.6688554,-0.061378673,3.144127
IGLV1,-0.07102671,-0.002739489,7.280983,11.383366,5.662223,-0.079735115,6.7218947,8.336849,3.7646596,-0.064671636,2.5435193,2.862314,-0.06577839,4.7671347,-0.086189814,5.238605
NEO1,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
FCGRT,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
ANGPT1,-0.05228029,0.15878323,7.759003,9.7366085,5.6552863,-0.080878265,6.9495225,8.117216,4.3191156,-0.05449234,2.4714513,2.8174288,-0.068064526,3.0156193,-0.100656085,3.3705516
NCEH1,-0.06635664,-0.005360589,7.407626,11.293417,6.183067,-0.08203501,7.196081,9.067787,4.37059,-0.06794021,2.1596818,2.6043346,-0.07267534,4.398331,-0.093966186,4.885075
