,TF,Target,Label
0,5,98,1
1,7,547,1
2,7,10,1
3,7,88,1
4,10,7,1
5,24,313,1
6,57,440,1
7,63,439,1
8,63,530,1
9,63,230,1
10,63,556,1
11,63,292,1
12,63,219,1
13,63,518,1
14,63,403,1
15,65,98,1
16,65,88,1
17,77,0,1
18,77,182,1
19,82,77,1
20,98,65,1
21,98,431,1
22,98,365,1
23,98,88,1
24,98,5,1
25,98,387,1
26,98,117,1
27,98,242,1
28,131,422,1
29,138,554,1
30,138,540,1
31,140,523,1
32,140,480,1
33,182,86,1
34,182,2,1
35,182,508,1
36,182,77,1
37,182,480,1
38,240,7,1
39,242,65,1
40,275,532,1
41,292,274,1
42,292,530,1
43,292,439,1
44,292,363,1
45,292,403,1
46,292,558,1
47,292,219,1
48,292,554,1
49,313,24,1
50,316,191,1
51,316,506,1
52,316,140,1
53,316,27,1
54,349,556,1
55,349,480,1
56,376,538,1
57,422,547,1
58,422,7,1
59,480,140,1
60,480,556,1
61,480,349,1
62,480,186,1
63,508,523,1
64,508,10,1
65,518,292,1
66,518,172,1
67,518,219,1
68,518,439,1
69,518,403,1
70,518,363,1
71,518,530,1
72,518,556,1
73,522,403,1
74,523,86,1
75,523,140,1
76,523,480,1
77,523,508,1
78,532,275,1
79,547,240,1
80,547,422,1
81,5,43,0
82,5,434,0
83,5,433,0
84,5,533,0
85,5,247,0
86,5,134,0
87,5,324,0
88,5,426,0
89,5,362,0
90,5,112,0
91,5,290,0
92,5,468,0
93,5,412,0
94,5,140,0
95,5,100,0
96,5,350,0
97,5,499,0
98,5,543,0
99,5,329,0
100,5,170,0
101,5,338,0
102,5,378,0
103,5,475,0
104,5,518,0
105,5,250,0
106,5,152,0
107,5,36,0
108,5,399,0
109,5,435,0
110,5,497,0
111,5,325,0
112,5,396,0
113,5,509,0
114,5,373,0
115,5,119,0
116,5,353,0
117,5,65,0
118,5,376,0
119,5,11,0
120,5,489,0
121,5,118,0
122,5,176,0
123,5,256,0
124,5,386,0
125,5,372,0
126,5,498,0
127,5,15,0
128,5,441,0
129,5,218,0
130,5,4,0
131,5,278,0
