,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ADAM17,1.6008285,-0.017540416,-0.050938014,-0.073911205,-0.0544409,6.8022785,-0.041135587,-0.059134215,-0.03735371,6.2362833,-0.03519065,-0.048783157,3.4475822,-0.027483635,5.908355,-0.037881535
GM1966,3.6829493,-0.030219382,-0.070541196,-0.11505778,-0.08636925,11.2372055,-0.060991816,-0.116978794,-0.05321358,9.214953,-0.047471408,-0.07146848,4.6661224,-0.04347068,8.846304,-0.06921942
ANXA5,1.3534901,-0.013995811,-0.044163384,-0.06228007,-0.046382666,5.8277397,-0.034276392,-0.049726944,-0.031085005,5.281596,-0.030377796,-0.041605357,2.8245287,-0.022852574,4.9749074,-0.03187079
LDHB,2.677054,-0.028732402,-0.074475504,-0.12572287,-0.092211045,11.490201,-0.06455332,-0.10720143,-0.06285836,10.560877,-0.053048287,-0.07775879,5.439758,-0.050103948,9.911096,-0.06290486
PTPRE,2.991968,-0.033004917,-0.077981405,-0.12570168,-0.09260441,11.394557,-0.069862664,-0.110313855,-0.06494273,10.544889,-0.05549137,-0.08226443,5.96538,-0.05063149,10.018727,-0.06850055
RUNX1T1,0.91699374,-0.003966888,-0.044090025,-0.05506696,-0.04248053,4.7649655,-0.033144895,-0.04304757,-0.031549353,5.2165537,-0.032726668,-0.04265307,3.119764,-0.01797039,5.395787,-0.035890397
IGKC,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
MEIS1,1.4142039,-0.015247556,-0.046397276,-0.066566244,-0.049333356,6.1564584,-0.036652986,-0.053059928,-0.03323559,5.6371865,-0.032517303,-0.044419236,3.0549798,-0.024658365,5.352831,-0.034033127
GAA,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
RNF13,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
GFI1B,1.433334,-0.015246571,-0.04618381,-0.066253774,-0.04917571,6.1219945,-0.03666624,-0.05272654,-0.033143,5.615902,-0.032346874,-0.04415128,3.0648677,-0.024598243,5.3278394,-0.033904262
CST7,2.9907625,-0.033002444,-0.07799576,-0.12571551,-0.09262432,11.394386,-0.06986902,-0.11031862,-0.06492912,10.547014,-0.055495832,-0.08227939,5.966247,-0.05063794,10.019657,-0.068506025
PRKCH,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
SPNS2,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
APLP2,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
ITGB2,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
ERP29,2.9966526,-0.033036448,-0.07799793,-0.12573658,-0.09261266,11.392567,-0.06987459,-0.11031744,-0.064936444,10.543704,-0.05546524,-0.08225669,5.964206,-0.05066712,10.022045,-0.06851578
MAGED2,3.08309,-0.0385342,-0.07887496,-0.11748595,-0.09229388,11.933706,-0.06681653,-0.095155016,-0.051709592,9.382154,-0.0437734,-0.08466735,5.5312595,-0.03738524,9.297357,-0.06414223
SAT1,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
IGHV1-74,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
CBX7,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
DHRS3,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
CNN3,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
CD81,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
XRCC6,1.5356052,-0.01663267,-0.049449243,-0.07199591,-0.052637022,6.6274486,-0.03995703,-0.057219744,-0.036110695,6.091083,-0.0350382,-0.04755624,3.3371332,-0.026698066,5.7064333,-0.036302786
RGS2,2.9927692,-0.033007644,-0.077981584,-0.12569758,-0.09261694,11.39399,-0.06987087,-0.110319145,-0.0649324,10.545918,-0.055491313,-0.08226669,5.965945,-0.050640382,10.017978,-0.06850844
ADGRL4,2.9924827,-0.033012826,-0.0779789,-0.12570511,-0.09261337,11.393974,-0.06986999,-0.110318266,-0.06493922,10.545829,-0.055485684,-0.082264826,5.96601,-0.050639562,10.018826,-0.06850368
IL7R,1.6041967,-0.017679498,-0.05150048,-0.07543004,-0.05557015,6.9569654,-0.04210427,-0.060462106,-0.038328696,6.425738,-0.036247827,-0.049957603,3.5528662,-0.028246365,6.0059085,-0.03842026
