,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PDCD2,3.5421765,-0.039309178,-0.016083796,3.346711,4.3754425,0.082637586,1.0900108,-0.04700235,2.334231,4.1923127,2.9552546,-0.06615102,-0.03385236,2.1439893,-0.04560759,1.9033085
MBTD1,3.749739,-0.0414498,-0.01700402,3.532755,4.5728717,0.06461457,1.1580586,-0.049481716,2.4728541,4.3416667,3.087196,-0.069362,-0.035416882,2.2834597,-0.047906265,2.0084977
SMAD2,3.7212942,-0.0409735,-0.01685768,3.6429157,4.424406,-0.0014380576,1.2438962,-0.050829377,2.5579128,4.2615485,3.0943093,-0.06823781,-0.036616955,2.4811642,-0.047797613,1.8934928
ARID3B,3.762925,-0.041531816,-0.017048761,3.5402238,4.588396,0.062420793,1.1606684,-0.049642228,2.4759333,4.359703,3.0974991,-0.0695753,-0.035477415,2.2966793,-0.048046082,2.0122273
HOMER1,3.540322,-0.039313994,-0.016096085,3.348087,4.3727703,0.082091145,1.0894768,-0.046968378,2.340886,4.181962,2.9528675,-0.06610422,-0.03387347,2.1385329,-0.045584038,1.9011936
GYPE,9.486073,-0.097468,-0.03857564,9.308313,9.300269,-0.009610282,2.8250968,-0.121283926,6.0285583,8.021589,7.488666,-0.15096737,-0.074328914,6.214327,-0.1166702,4.9950695
ZBTB2,4.5312524,-0.04627188,-0.020886585,3.9558773,5.6701612,-0.0045659957,1.7198632,-0.06289554,3.0179126,5.027713,3.6071827,-0.08116409,-0.042769916,3.2501376,-0.055110455,2.081591
MRS2,9.486073,-0.097468,-0.03857564,9.308313,9.300269,-0.009610282,2.8250968,-0.121283926,6.0285583,8.021589,7.488666,-0.15096737,-0.074328914,6.214327,-0.1166702,4.9950695
ISCA1,3.3605695,-0.037499882,-0.015310808,3.1738317,4.1937494,0.088035606,1.0486075,-0.044732552,2.225153,4.040802,2.819383,-0.06317462,-0.032611996,2.0314105,-0.043346796,1.7912897
AMN1,3.4345725,-0.038235616,-0.015629536,3.2474906,4.273361,0.084893815,1.06242,-0.04572927,2.2712939,4.1070175,2.87952,-0.06446981,-0.033130944,2.0777524,-0.044354167,1.8408223
ITGA4,4.4347486,-0.043341234,-0.014963888,3.856954,4.673082,-0.0026157745,0.7365565,-0.052682444,2.746088,4.119438,2.7295372,-0.07091355,-0.040076382,2.3563237,-0.04691966,1.7358645
CYP1B1,3.882352,-0.04310366,-0.01777008,3.7084184,4.6681185,0.039674558,1.2076966,-0.051271245,2.6219966,4.391559,3.1695788,-0.07149278,-0.03669498,2.3562021,-0.049579892,2.069165
POLR2A,3.5932438,-0.039825097,-0.016305285,3.3921092,4.422616,0.08072891,1.1045885,-0.047585726,2.3687878,4.225926,2.9861386,-0.06691626,-0.034230575,2.1734488,-0.046164636,1.9301881
IGDCC4,4.165045,-0.045597963,-0.018751353,3.9142911,4.9596577,0.04391583,1.278828,-0.054448023,2.725416,4.657456,3.3698568,-0.07573408,-0.038367204,2.5453997,-0.052715387,2.2346804
AIF1L,9.486073,-0.097468,-0.03857564,9.308313,9.300269,-0.009610282,2.8250968,-0.121283926,6.0285583,8.021589,7.488666,-0.15096737,-0.074328914,6.214327,-0.1166702,4.9950695
NIPSNAP1,2.932988,-0.035897464,-0.012820296,3.2473269,4.009941,0.2865109,0.64104426,-0.044945326,1.9801209,4.086075,2.9662755,-0.06435732,-0.02955046,1.9622475,-0.04451596,2.0095556
VHL,3.232749,-0.034596786,-0.016389655,2.7511673,4.249694,-0.0014673421,1.295547,-0.043652676,2.2897823,4.06205,2.4742749,-0.061583977,-0.03364452,2.4992232,-0.040530067,1.7358704
KLHL6,9.499483,-0.090549774,-0.04365766,9.21282,8.111307,-0.009017317,3.4743993,-0.11194183,4.9495525,8.476156,7.4468007,-0.13971025,-0.06305516,5.656069,-0.11088303,4.3886213
NR3C1,3.5850308,-0.039634705,-0.016209785,3.3734128,4.4166555,0.0704414,1.106022,-0.047508534,2.3528318,4.229262,2.9814634,-0.06673615,-0.03417435,2.1796446,-0.04601934,1.9180425
SECISBP2L,3.5325058,-0.037588105,-0.015080895,3.1389148,4.463099,-0.0003523522,0.9634639,-0.042595368,2.0775812,4.129375,3.1334224,-0.06449694,-0.028992623,1.893883,-0.042858444,2.170481
SH3BP5,3.461439,-0.038477663,-0.015735349,3.2685297,4.296397,0.08675491,1.0677097,-0.04597907,2.2847369,4.123004,2.8955836,-0.06481903,-0.033270437,2.089568,-0.044613212,1.8559082
ARID3A,3.8935397,-0.043218996,-0.017762838,3.7222545,4.684773,0.05907189,1.1922758,-0.051341277,2.6149013,4.408495,3.1928089,-0.07159645,-0.03671323,2.3500948,-0.049790863,2.086195
ASNS,3.4497561,-0.038425773,-0.015734067,3.2650597,4.2872314,0.08686168,1.0656178,-0.04587302,2.2899573,4.1074524,2.8876355,-0.06470316,-0.03323764,2.0805216,-0.044520795,1.8513988
ARHGAP28,3.5508225,-0.039348755,-0.016112862,3.3462641,4.3859997,0.07753522,1.097481,-0.047097486,2.337249,4.200754,2.9573636,-0.066270836,-0.03391292,2.156204,-0.045642573,1.9040838
TJP2,3.5397992,-0.03482191,-0.011953939,3.0272644,3.9348679,-0.0014250763,0.5911491,-0.04234153,2.163382,3.5869765,2.2496414,-0.058376063,-0.033239856,1.8427069,-0.03776891,1.3672782
UCHL3,3.9720724,-0.044081047,-0.01811982,3.8098116,4.76705,0.038936265,1.2212002,-0.052576803,2.6812243,4.478954,3.2549078,-0.07305901,-0.03748055,2.4194143,-0.050869815,2.1262896
