,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
KIF21A,1.0269959,-0.020073468,4.0390325,3.7216682,10.199133,-0.04538697,-0.03586247,-0.04547851,3.72662,-0.047742147,4.308927,4.370825,-0.0014161305,-0.04059531,3.532135,-0.045415852
DPH2,1.0493681,-0.020020852,4.0488415,3.6976788,10.158325,-0.04520554,-0.03599071,-0.04514948,3.7001994,-0.047654245,4.3032794,4.364719,-0.0014227699,-0.040818136,3.5167985,-0.045165557
FUS,1.0890651,-0.02175919,4.363446,3.98775,10.939177,-0.048016228,-0.038464982,-0.049727544,4.0110126,-0.051501513,4.6475706,4.7903094,-0.0021761863,-0.044411294,3.7849987,-0.04827049
NKX3-1,1.0665684,-0.021180598,4.290482,3.915232,10.693283,-0.047372956,-0.037729435,-0.048693426,3.9263499,-0.050355878,4.576908,4.6290126,-0.0018953977,-0.043256283,3.7029703,-0.047430094
TRIM33,1.0800872,-0.020794319,4.204994,3.8412328,10.53927,-0.046600956,-0.037232116,-0.047215514,3.8470058,-0.04948457,4.4678507,4.563269,-0.0017491297,-0.04247761,3.6511977,-0.04671998
HOXB4,1.0035651,-0.022182362,3.8822663,3.7021012,10.069679,-0.04380489,-0.03301635,-0.046750613,3.8598933,-0.047483522,4.5024967,4.805013,-0.0024489455,-0.04203396,3.750347,-0.04380444
NONO,1.0299447,-0.020304605,4.0863543,3.7681856,10.325422,-0.045921348,-0.036278646,-0.046147753,3.7735262,-0.048389204,4.359594,4.427818,-0.0015050195,-0.04104556,3.567939,-0.045864996
PHLDB2,1.0364041,-0.020057213,4.0465245,3.726326,10.202571,-0.045341928,-0.0359266,-0.04544076,3.7205534,-0.04773714,4.3042545,4.3787065,-0.0013693832,-0.040683564,3.5355897,-0.04547538
SMARCD1,1.0721834,-0.020735715,4.192027,3.8308434,10.5273075,-0.04665219,-0.03725273,-0.047139574,3.845639,-0.04952637,4.4613066,4.553365,-0.0016929565,-0.042260222,3.6329408,-0.04656352
CHEK2,1.047231,-0.020354453,4.1079006,3.776845,10.3538065,-0.045925584,-0.03641559,-0.046262883,3.7848024,-0.048519053,4.3791447,4.4523354,-0.0014960234,-0.04133604,3.585669,-0.046042666
POU2AF1,1.0035651,-0.022182362,3.8822663,3.7021012,10.069679,-0.04380489,-0.03301635,-0.046750613,3.8598933,-0.047483522,4.5024967,4.805013,-0.0024489455,-0.04203396,3.750347,-0.04380444
DNMT3A,1.0482953,-0.020335514,4.1078777,3.7731037,10.341314,-0.045878686,-0.0364181,-0.04620845,3.7784162,-0.048476905,4.3759904,4.446754,-0.001517726,-0.041335233,3.5810058,-0.045985144
SSB,1.0482707,-0.020312207,4.1065617,3.765944,10.328366,-0.045866154,-0.036433958,-0.04610824,3.7702427,-0.048427094,4.371446,4.4366703,-0.0015584473,-0.04130257,3.5738652,-0.045898013
FREM1,1.0376437,-0.020223962,4.0756354,3.7504628,10.281966,-0.045637924,-0.036151383,-0.04591009,3.7586179,-0.048165474,4.347327,4.4162784,-0.0014734105,-0.041029442,3.5612297,-0.045742232
CD48,1.0044675,-0.02217048,3.8831947,3.7013893,10.068405,-0.04382038,-0.033022664,-0.04673641,3.8603778,-0.04749122,4.5006356,4.8059955,-0.0024566427,-0.042031527,3.7511995,-0.043808874
CHL1,1.040997,-0.020591842,4.168706,3.8264542,10.518427,-0.046694174,-0.036965024,-0.047341395,3.8686898,-0.049410034,4.473988,4.514449,-0.0017492931,-0.041841444,3.6303082,-0.046564683
CYP1B1,0.9795068,-0.019708995,3.978956,3.668253,10.0735655,-0.045047242,-0.035362948,-0.045250338,3.7095366,-0.04722647,4.2894635,4.275626,-0.0015491388,-0.039814215,3.4770262,-0.04477581
SERPINE2,1.0446568,-0.020443518,4.135208,3.8015523,10.413712,-0.046231892,-0.036610395,-0.046705235,3.8141744,-0.048877973,4.4154334,4.4710016,-0.0015632061,-0.041549973,3.6006448,-0.04624403
CDCA2,1.0444655,-0.020225279,4.081447,3.748852,10.260055,-0.045611147,-0.036210388,-0.04574851,3.739104,-0.04809924,4.338282,4.406008,-0.0014756218,-0.041050628,3.5532904,-0.04565803
PPT2,0.98174626,-0.023013594,4.001833,3.6594937,9.791939,-0.04214865,-0.033915605,-0.045382243,3.6198757,-0.049183402,4.4718356,4.608855,-0.005446404,-0.044971697,3.4905164,-0.04054394
WWTR1,0.9987753,-0.023355281,4.0716786,3.7222886,9.937285,-0.042823605,-0.03444482,-0.046232194,3.6743343,-0.04989626,4.543258,4.684471,-0.005438186,-0.045650125,3.5458467,-0.0411926
LZTS1,1.021858,-0.020388845,4.105817,3.7872388,10.39703,-0.04628355,-0.036457382,-0.046648555,3.818125,-0.04878908,4.406967,4.4492445,-0.0016153095,-0.04117912,3.5873344,-0.04606123
ZNF219,1.038733,-0.02017956,4.0627604,3.7365575,10.25508,-0.04562178,-0.036117133,-0.045680344,3.7441916,-0.047992013,4.3325453,4.404688,-0.0014781968,-0.040865675,3.5532808,-0.04558478
SLCO2A1,1.040997,-0.020591842,4.168706,3.8264542,10.518427,-0.046694174,-0.036965024,-0.047341395,3.8686898,-0.049410034,4.473988,4.514449,-0.0017492931,-0.041841444,3.6303082,-0.046564683
JMJD1C,1.047713,-0.020415725,4.1291533,3.791821,10.3974905,-0.046136126,-0.036590934,-0.046564978,3.8066633,-0.048787642,4.4080048,4.4671483,-0.0015783195,-0.04151826,3.5967686,-0.046171196
RBBP4,1.0358691,-0.020279545,4.0969286,3.7658193,10.321503,-0.04589869,-0.036336463,-0.046181772,3.7761576,-0.048422124,4.3739114,4.4236307,-0.0015489213,-0.041145734,3.5684667,-0.045850676
DRAM2,0.9097013,-0.0109776,2.8744152,2.0477486,8.433512,-0.033033665,-0.031664465,-0.038117893,4.5551763,-0.046402883,5.390403,3.6632073,-0.013531217,-0.027635584,2.9860446,-0.027729776
BHLHE40,1.040997,-0.020591842,4.168706,3.8264542,10.518427,-0.046694174,-0.036965024,-0.047341395,3.8686898,-0.049410034,4.473988,4.514449,-0.0017492931,-0.041841444,3.6303082,-0.046564683
DEPDC1B,1.0433245,-0.020084307,4.065509,3.7346334,10.243436,-0.045484833,-0.036117844,-0.04564056,3.7388892,-0.04792601,4.326412,4.397278,-0.0014250568,-0.040854596,3.5486133,-0.045636345
PARN,1.0540078,-0.020241195,4.098654,3.753661,10.281131,-0.045651913,-0.036343995,-0.045871362,3.7487667,-0.048225384,4.3557687,4.421065,-0.0015432893,-0.04124876,3.5620801,-0.04572461
TMEM64,1.0424154,-0.020305734,4.103731,3.7675004,10.321687,-0.045853533,-0.03640681,-0.046139438,3.769117,-0.04842631,4.369764,4.4309545,-0.0015643494,-0.04124711,3.569175,-0.04587004
