,TF,Target,Label
0,43,526,1
1,43,4,1
2,43,89,1
3,43,427,1
4,43,305,1
5,43,791,1
6,43,886,1
7,43,906,1
8,43,648,1
9,43,660,1
10,43,21,1
11,43,69,1
12,43,517,1
13,43,667,1
14,43,70,1
15,43,842,1
16,43,467,1
17,43,312,1
18,43,503,1
19,43,142,1
20,43,583,1
21,43,82,1
22,43,685,1
23,43,537,1
24,43,673,1
25,43,568,1
26,43,756,1
27,43,500,1
28,43,163,1
29,43,28,1
30,43,780,1
31,43,512,1
32,43,292,1
33,43,643,1
34,43,116,1
35,43,553,1
36,43,606,1
37,43,490,1
38,43,78,1
39,43,191,1
40,43,403,1
41,43,835,1
42,43,219,1
43,43,580,1
44,43,635,1
45,43,180,1
46,43,625,1
47,43,859,1
48,43,823,1
49,43,86,1
50,43,519,1
51,43,12,1
52,43,518,1
53,43,538,1
54,43,24,1
55,43,35,1
56,43,887,1
57,43,883,1
58,43,121,1
59,43,463,1
60,43,124,1
61,43,726,1
62,43,230,1
63,43,414,1
64,43,766,1
65,43,804,1
66,43,0,1
67,43,691,1
68,43,506,1
69,43,381,1
70,43,419,1
71,43,133,1
72,43,511,1
73,43,386,1
74,43,228,1
75,43,91,1
76,43,824,1
77,43,902,1
78,43,145,1
79,43,300,1
80,43,829,1
81,43,175,1
82,43,13,1
83,43,251,1
84,43,41,1
85,43,437,1
86,43,375,1
87,43,65,1
88,43,545,1
89,43,46,1
90,43,374,1
91,43,364,1
92,43,274,1
93,43,478,1
94,43,708,1
95,43,540,1
96,43,866,1
97,43,571,1
98,43,736,1
99,43,844,1
100,43,551,1
101,43,376,1
102,43,331,1
103,43,618,1
104,43,814,1
105,43,410,1
106,43,486,1
107,43,641,1
108,43,155,1
109,43,738,1
110,43,135,1
111,43,395,1
112,43,297,1
113,43,189,1
114,43,724,1
115,43,330,1
116,43,858,1
117,43,613,1
118,43,397,1
119,43,800,1
120,43,72,1
121,43,306,1
122,43,276,1
123,43,744,1
124,43,213,1
125,43,549,1
126,43,424,1
127,43,696,1
128,43,30,1
129,43,17,1
130,43,828,1
131,43,473,1
132,43,160,1
133,43,719,1
134,43,781,1
135,43,298,1
136,43,260,1
137,43,48,1
138,43,889,1
139,43,340,1
140,43,479,1
141,43,445,1
142,43,168,1
143,43,471,1
144,43,730,1
145,43,223,1
146,43,52,1
147,43,194,1
148,43,552,1
149,43,341,1
150,43,250,1
151,43,658,1
152,43,101,1
153,43,750,1
154,43,243,1
155,43,873,1
156,43,334,1
157,43,533,1
158,43,317,1
159,43,154,1
160,43,361,1
161,43,561,1
162,43,388,1
163,43,815,1
164,43,85,1
165,43,771,1
166,43,96,1
167,43,775,1
168,43,435,1
169,43,501,1
170,43,811,1
171,43,193,1
172,43,264,1
173,43,344,1
174,43,98,1
175,43,321,1
176,43,790,1
177,43,634,1
178,43,746,1
179,43,383,1
180,43,370,1
181,43,556,1
182,43,192,1
183,43,488,1
184,43,259,1
185,43,742,1
186,43,263,1
187,43,188,1
188,43,293,1
189,43,495,1
190,43,590,1
191,43,15,1
192,43,856,1
193,43,715,1
194,43,535,1
195,43,909,1
196,43,507,1
197,43,777,1
198,43,860,1
199,43,338,1
200,43,128,1
201,43,548,1
202,43,509,1
203,43,206,1
204,43,483,1
205,43,190,1
206,43,905,1
207,43,319,1
208,43,211,1
209,43,612,1
210,43,398,1
211,43,408,1
212,43,225,1
213,43,455,1
214,43,269,1
215,43,358,1
216,43,27,1
217,43,737,1
218,43,457,1
219,43,232,1
220,43,404,1
221,43,136,1
222,43,681,1
223,43,173,1
224,43,282,1
225,43,220,1
226,43,102,1
227,43,677,1
228,43,308,1
229,43,49,1
230,43,302,1
231,43,722,1
232,43,480,1
233,43,528,1
234,43,848,1
235,43,789,1
236,43,19,1
237,43,539,1
238,43,9,1
239,43,105,1
240,43,527,1
241,43,162,1
242,43,770,1
243,43,679,1
244,43,360,1
245,43,727,1
246,43,114,1
247,43,294,1
248,43,468,1
249,43,120,1
250,43,576,1
251,43,496,1
252,43,569,1
253,43,429,1
254,43,11,1
255,43,446,1
256,43,683,1
257,43,184,1
258,43,547,1
259,43,23,1
260,43,559,1
261,43,597,1
262,43,73,1
263,43,229,1
264,43,61,1
265,43,619,1
266,43,215,1
267,43,475,1
268,43,443,1
269,43,444,1
270,43,675,1
271,43,76,1
272,43,841,1
273,43,472,1
274,43,882,1
275,43,846,1
276,43,253,1
277,43,452,1
278,43,366,1
