,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
KIF21A,-0.06364353,7.997132,-0.0029651045,-0.063966155,-0.08555643,-0.0103815105,-0.04658921,6.393673,-0.07094923,-0.059926853,-0.025489973,6.3600407,7.099255,-0.07881821,6.33242,-0.039336734
DPH2,-0.06288498,7.903259,-0.0029285194,-0.063244835,-0.08446674,-0.010293973,-0.046021573,6.3374276,-0.07017816,-0.05922166,-0.025114292,6.2730885,7.020839,-0.0779515,6.25971,-0.039001737
FUS,-0.053309985,8.044124,0.35446203,-0.056916516,-0.08132563,-0.00038737073,-0.037418354,6.7360525,-0.06730943,-0.05411378,-0.02226253,5.284938,7.757018,-0.081715174,6.804809,-0.034937523
NKX3-1,-0.063356236,7.9449415,-0.0031100272,-0.06402097,-0.08517481,-0.010497838,-0.046490967,6.325405,-0.07065249,-0.05985971,-0.025392381,6.354842,7.076798,-0.07845578,6.292725,-0.03894978
TRIM33,-0.06469111,8.134398,-0.0030807368,-0.06520269,-0.087024674,-0.01054425,-0.047441874,6.5007553,-0.07216689,-0.061026137,-0.02602476,6.486414,7.224859,-0.08029533,6.4664836,-0.03973381
HOXB4,-0.066951334,8.240013,-0.0036678992,-0.066223495,-0.08926175,-0.01010311,-0.047756124,6.570088,-0.07224702,-0.0639385,-0.02950515,6.693921,7.0523844,-0.08258233,6.506306,-0.038983386
NONO,-0.06468704,8.135941,-0.0030585378,-0.06515283,-0.08717091,-0.010399154,-0.047432166,6.4854846,-0.07215113,-0.061036896,-0.026022673,6.5033054,7.225731,-0.080306664,6.469387,-0.039679624
PHLDB2,-0.06369302,8.003783,-0.0029160546,-0.06400069,-0.08570163,-0.010347072,-0.046584133,6.3981833,-0.07106176,-0.059981,-0.025431786,6.3739185,7.1017976,-0.07894659,6.3353715,-0.03936735
SMARCD1,-0.06652278,8.280702,-0.0033836602,-0.066341326,-0.090164386,-0.010791827,-0.04863275,6.6067977,-0.074005656,-0.06264053,-0.026667394,6.6990337,7.35172,-0.08163436,6.5779004,-0.040729903
CHEK2,-0.06503295,8.183664,-0.0030963807,-0.06558393,-0.08760597,-0.010504461,-0.04772555,6.513294,-0.07251145,-0.0614121,-0.026203685,6.5439796,7.267664,-0.08075152,6.5133576,-0.039755777
POU2AF1,-0.060286358,8.764505,-0.0009866992,-0.054790486,-0.08705609,-0.0075140554,-0.05169324,6.4828377,-0.074171714,-0.057271704,-0.03349774,6.3335686,6.806613,-0.076331,5.6466827,-0.031017639
DNMT3A,-0.064627185,8.117901,-0.0030881825,-0.065042086,-0.08702648,-0.010491883,-0.047359895,6.472294,-0.07203871,-0.0609407,-0.025958328,6.488243,7.2103434,-0.08005861,6.450035,-0.03966384
SSB,-0.06432383,8.089125,-0.003019297,-0.064745404,-0.08651635,-0.010514129,-0.04713726,6.460229,-0.071717545,-0.060660984,-0.025813863,6.437744,7.180027,-0.07973731,6.416696,-0.03959922
FREM1,-0.06390062,8.011026,-0.0030509823,-0.06417378,-0.085925326,-0.010282881,-0.04668921,6.381918,-0.071073204,-0.06012011,-0.025649313,6.4051027,7.111623,-0.07898784,6.352921,-0.039316766
CD48,-0.0654587,8.042393,-0.0043701343,-0.05882402,-0.08239291,-0.0018762846,-0.04283071,5.8409853,-0.06309597,-0.062315278,-0.036378384,5.878577,5.537468,-0.07483162,5.675564,-0.034783088
CHL1,-0.06410089,8.044668,-0.0031576443,-0.0648588,-0.08617715,-0.010559473,-0.04707361,6.401554,-0.07149377,-0.060575943,-0.025803456,6.4483175,7.1637807,-0.079523675,6.3894253,-0.03923585
CYP1B1,-0.06311237,7.922506,-0.0031195113,-0.06387214,-0.08485775,-0.010488701,-0.046383116,6.3015065,-0.07042391,-0.05967451,-0.025297798,6.33739,7.05632,-0.07821447,6.268056,-0.03880579
SERPINE2,-0.06602464,8.289482,-0.0032523184,-0.06669708,-0.088998705,-0.01065362,-0.04848845,6.594492,-0.07360232,-0.06239386,-0.026714234,6.671752,7.3733044,-0.081992455,6.623024,-0.04011098
CDCA2,-0.064242564,8.070259,-0.0030535476,-0.064680904,-0.08643276,-0.010432699,-0.04708257,6.445099,-0.071641155,-0.06054783,-0.025804352,6.441984,7.1716805,-0.0796497,6.410576,-0.03950802
PPT2,-0.063944824,8.031871,-0.0030002312,-0.0642747,-0.085996404,-0.01038153,-0.046810612,6.415686,-0.07126806,-0.060207188,-0.025649175,6.401354,7.13042,-0.07919778,6.367122,-0.03944069
WWTR1,-0.06457092,8.088052,-0.0030244668,-0.064778686,-0.08684967,-0.010456136,-0.047141902,6.469131,-0.071878396,-0.0607651,-0.025902964,6.46023,7.1850553,-0.079854436,6.4274993,-0.039764084
LZTS1,-0.06358,7.988853,-0.0030399843,-0.0641321,-0.085555494,-0.010377825,-0.046645053,6.3663864,-0.07093069,-0.05999574,-0.02551402,6.3803196,7.1042023,-0.07884869,6.327839,-0.039151676
ZNF219,-0.063921265,8.029509,-0.002982595,-0.0641909,-0.08599565,-0.010399866,-0.046789143,6.413153,-0.07123627,-0.060183797,-0.025607146,6.393301,7.125706,-0.07910791,6.35954,-0.03946083
SLCO2A1,-0.06410089,8.044669,-0.0031576443,-0.0648588,-0.08617715,-0.010559473,-0.04707361,6.4015546,-0.071493775,-0.060575943,-0.025803454,6.4483175,7.163781,-0.079523675,6.3894253,-0.03923585
JMJD1C,-0.06409049,8.034777,-0.0030186735,-0.0642415,-0.08628073,-0.010380421,-0.046838213,6.4058557,-0.07132428,-0.060303777,-0.0256668,6.4148474,7.129178,-0.07911871,6.3598795,-0.039516494
