,TF,Target,Label
0,51,1232,1
1,51,82,1
2,51,1113,1
3,51,357,1
4,51,978,1
5,51,363,1
6,51,59,1
7,51,204,1
8,51,152,1
9,51,856,1
10,51,1443,1
11,51,943,1
12,51,333,1
13,51,1336,1
14,51,1394,1
15,51,296,1
16,51,584,1
17,51,784,1
18,51,264,1
19,51,888,1
20,51,92,1
21,51,1259,1
22,51,556,1
23,51,55,1
24,51,1317,1
25,51,1364,1
26,51,372,1
27,51,1183,1
28,51,552,1
29,51,793,1
30,51,938,1
31,51,982,1
32,51,239,1
33,51,211,1
34,51,803,1
35,51,1006,1
36,51,190,1
37,51,1412,1
38,51,957,1
39,51,730,1
40,51,903,1
41,51,1240,1
42,51,511,1
43,51,28,1
44,51,1075,1
45,51,257,1
46,51,143,1
47,51,566,1
48,51,1069,1
49,51,1291,1
50,51,379,1
51,51,1295,1
52,51,238,1
53,51,319,1
54,51,348,1
55,51,563,1
56,51,696,1
57,51,732,1
58,51,876,1
59,51,160,1
60,51,140,1
61,51,198,1
62,51,261,1
63,51,1110,1
64,51,543,1
65,51,1410,1
66,51,497,1
67,51,1406,1
68,51,467,1
69,51,218,1
70,51,133,1
71,51,342,1
72,51,709,1
73,51,1009,1
74,51,1161,1
75,51,434,1
76,51,241,1
77,51,230,1
78,51,1030,1
79,51,920,1
80,51,1211,1
81,51,1302,1
82,51,1266,1
83,51,312,1
84,51,1414,1
85,51,253,1
86,51,373,1
87,51,327,1
88,51,171,1
89,51,959,1
90,51,288,1
91,51,156,1
92,51,518,1
93,51,1059,1
94,51,1324,1
95,51,687,1
96,51,313,1
97,51,1445,1
98,51,12,1
99,51,528,1
100,51,197,1
101,51,368,1
102,51,150,1
103,51,632,1
104,51,585,1
105,51,377,1
106,51,951,1
107,51,1306,1
108,51,1189,1
109,51,203,1
110,51,301,1
111,51,833,1
112,51,200,1
113,51,948,1
114,51,1365,1
115,51,350,1
116,51,30,1
117,51,1195,1
118,51,1224,1
119,51,479,1
120,51,995,1
121,51,886,1
122,51,142,1
123,51,889,1
124,51,25,1
125,51,155,1
126,51,763,1
127,51,796,1
128,51,984,1
129,51,36,1
130,51,354,1
131,51,721,1
132,51,1308,1
133,51,1361,1
134,51,245,1
135,51,7,1
136,51,123,1
137,51,1322,1
138,51,1057,1
139,51,1395,1
140,51,499,1
141,51,1330,1
142,51,548,1
143,51,71,1
144,51,786,1
145,51,1201,1
146,51,1216,1
147,51,439,1
148,51,1279,1
149,51,115,1
150,51,145,1
151,51,756,1
152,51,1037,1
153,51,705,1
154,51,983,1
155,51,829,1
156,51,250,1
157,51,464,1
158,51,738,1
159,51,113,1
160,51,1138,1
161,51,634,1
162,51,968,1
163,51,871,1
164,51,1284,1
165,51,764,1
166,51,338,1
167,51,470,1
168,51,748,1
169,51,567,1
170,51,1415,1
171,51,928,1
172,51,860,1
173,51,1115,1
174,51,914,1
175,51,1424,1
176,51,149,1
177,51,706,1
178,51,1116,1
179,51,981,1
180,51,1426,1
181,51,1387,1
182,51,272,1
183,51,1405,1
184,51,268,1
185,51,780,1
186,51,1089,1
187,51,1010,1
188,51,1300,1
189,51,1200,1
190,51,129,1
191,51,537,1
192,51,1008,1
193,51,443,1
194,51,481,1
195,51,1360,1
196,51,1413,1
197,51,450,1
198,51,1343,1
199,51,231,1
200,51,87,1
201,51,213,1
202,51,704,1
203,51,942,1
204,51,850,1
205,51,1203,1
206,51,772,1
207,51,460,1
208,51,1353,1
209,51,1114,1
210,51,766,1
211,51,845,1
212,51,89,1
213,51,1225,1
214,51,278,1
215,51,1042,1
216,51,244,1
217,51,1082,1
218,51,1238,1
219,51,173,1
220,51,430,1
221,51,1226,1
222,51,514,1
223,51,1263,1
224,51,676,1
225,51,73,1
226,51,104,1
227,51,781,1
228,51,1133,1
229,51,159,1
230,51,1074,1
231,51,126,1
232,51,31,1
233,51,836,1
234,51,1178,1
235,51,37,1
236,51,987,1
237,51,1282,1
238,51,707,1
239,51,551,1
240,51,485,1
241,51,1329,1
242,51,930,1
243,51,425,1
244,51,131,1
245,51,1375,1
246,51,1303,1
247,51,1321,1
248,51,1024,1
249,51,1441,1
250,51,568,1
251,51,1425,1
252,51,23,1
253,51,1185,1
254,51,60,1
255,51,209,1
256,51,175,1
