,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
EGR1,2.5125675,6.99283,7.2972355,5.984217,5.8483276,-0.039329246,8.175002,-0.022485051,-0.016174095,-0.036044445,-0.06518856,5.532959,-0.09940131,7.1717925,-0.053202197,-0.043915927
PPIL1,2.5167248,6.9913144,7.278413,5.9784503,5.8461246,-0.039347153,8.155371,-0.02232743,-0.01613119,-0.036018338,-0.0650158,5.5149984,-0.099227086,7.1424384,-0.053126317,-0.043771166
CXCR4,2.4869623,6.926921,7.206614,5.9096537,5.786296,-0.03902456,8.057302,-0.022071483,-0.016190533,-0.035754584,-0.06435001,5.4381657,-0.09810391,7.0423956,-0.052578058,-0.043243073
ZSWIM8,2.5228784,7.0022163,7.2926774,5.9897933,5.860406,-0.03935542,8.171243,-0.022425875,-0.016176628,-0.036030695,-0.0651036,5.5306063,-0.09942615,7.15865,-0.053176336,-0.043895625
ASXL1,2.5207403,6.983867,7.2748094,5.9808216,5.848883,-0.039295435,8.155887,-0.022350013,-0.016158545,-0.036013693,-0.06503764,5.5132465,-0.099248275,7.145171,-0.053122792,-0.043815125
GLUD1,2.507682,6.992479,7.2794228,5.971187,5.8392153,-0.039384108,8.154993,-0.022313759,-0.016117414,-0.03598124,-0.065002546,5.5153956,-0.09916807,7.1423345,-0.053122748,-0.04372451
PIM2,2.5250556,7.024945,7.32514,6.0101933,5.8802323,-0.03944917,8.208834,-0.022608673,-0.0161739,-0.036119256,-0.065364346,5.5651326,-0.09984998,7.202591,-0.053358473,-0.044108383
CHAF1A,2.5255916,7.0185695,7.3150935,6.0060854,5.875859,-0.03942149,8.200254,-0.02253096,-0.016114427,-0.036063608,-0.06525007,5.557177,-0.09975135,7.1924586,-0.053298235,-0.044019297
CD37,1.6304878,3.3841596,3.6582897,3.6948514,3.3747368,-0.004775536,3.8895218,-0.019441994,-0.017181091,-0.026206004,-0.042457953,2.980617,-0.058415383,3.884139,-0.024394605,-0.026910443
EHMT1,2.4933631,6.9778795,7.2537766,5.952167,5.819157,-0.03928051,8.119633,-0.02219862,-0.016043125,-0.035888575,-0.06477616,5.490422,-0.09878749,7.1100173,-0.052905135,-0.04350113
TIMM21,2.4951081,6.93987,7.2209663,5.927099,5.795162,-0.039117273,8.078799,-0.02207745,-0.016097814,-0.0358147,-0.06448735,5.454814,-0.09832091,7.06478,-0.052673563,-0.043360323
AATF,2.5073287,6.987761,7.2731967,5.9677124,5.8336935,-0.039333988,8.14407,-0.02227252,-0.016122686,-0.035974473,-0.064947955,5.5076256,-0.09906603,7.132226,-0.05305301,-0.04366925
ENO2,2.5259278,7.0059366,7.299126,6.000628,5.8679056,-0.039312337,8.181994,-0.02249572,-0.016145436,-0.03604077,-0.06517927,5.542124,-0.09958821,7.174678,-0.05322091,-0.04396102
EXOSC8,2.507072,6.979325,7.266479,5.9630394,5.8285623,-0.03929323,8.138571,-0.022284485,-0.016119108,-0.03595001,-0.06489004,5.502609,-0.099000834,7.1259527,-0.0530313,-0.043636143
LAMA1,2.4248006,6.035443,6.583541,5.513693,5.2549086,-0.02901684,7.1200857,-0.022951836,-0.016676757,-0.035081673,-0.059348535,5.0301585,-0.09008106,6.2501125,-0.046135876,-0.04071382
CCNB2,2.4991906,6.961155,7.2410736,5.952965,5.814493,-0.039121468,8.105846,-0.02222908,-0.016092423,-0.035861604,-0.064709455,5.483464,-0.09871284,7.1011043,-0.052810542,-0.043508552
SPP1,2.514582,7.013183,7.30222,5.9896607,5.8573527,-0.03940549,8.1781025,-0.022425622,-0.016089756,-0.036032338,-0.06513703,5.539006,-0.09946711,7.1666718,-0.053184327,-0.043850813
CFAP97,2.5004618,6.9802012,7.2609477,5.9553747,5.82755,-0.03937104,8.134446,-0.0222172,-0.016128395,-0.035959747,-0.06490639,5.4971533,-0.09891365,7.121823,-0.05304887,-0.043647513
RHNO1,1.6262379,3.3991258,3.668846,3.6957378,3.3839202,-0.0049427226,3.908908,-0.019367123,-0.01715609,-0.026314344,-0.04266319,2.974009,-0.058534186,3.8990536,-0.024549223,-0.026867803
CSRP2,2.4950743,6.9181333,7.2012124,5.9105105,5.770369,-0.039015003,8.063139,-0.021995118,-0.015991203,-0.035712354,-0.06439266,5.4384604,-0.0980745,7.051087,-0.052668743,-0.043162514
PAPOLA,2.4967089,6.9714246,7.250971,5.952109,5.8155355,-0.03924511,8.117755,-0.022208,-0.016095193,-0.035906486,-0.06478987,5.487539,-0.0987737,7.1078706,-0.052923314,-0.04350527
PLTP,2.503944,6.953559,7.2349553,5.9478855,5.813569,-0.039087396,8.092103,-0.022174388,-0.016149025,-0.03589381,-0.06462043,5.469714,-0.098585896,7.081939,-0.05274332,-0.043485783
CALML4,2.5137432,6.998307,7.2859693,5.9802046,5.84705,-0.039338723,8.158168,-0.022372382,-0.016132712,-0.036011722,-0.06500905,5.521039,-0.09927249,7.144136,-0.053121492,-0.043751016
PUS7L,2.505277,6.962268,7.245562,5.9532657,5.8218784,-0.03922871,8.118439,-0.022222634,-0.016139217,-0.035929285,-0.06480228,5.4833384,-0.098794945,7.107304,-0.052942313,-0.043595303
METTL18,2.507052,6.984855,7.2710557,5.9725127,5.8365965,-0.039262228,8.1441965,-0.022329738,-0.016089093,-0.035925515,-0.06493239,5.512532,-0.09911106,7.139073,-0.052997038,-0.043695
TCEA1,2.5438397,6.98373,7.3057036,6.0155725,5.8939543,-0.039245527,8.197678,-0.022636946,-0.016223442,-0.0359377,-0.06526154,5.552872,-0.099811465,7.206496,-0.05321772,-0.044180207
PTTG1,2.0701067,6.8945208,7.6144404,5.205954,6.203195,-0.031254545,7.74204,-0.028086722,-0.018094761,-0.03596988,-0.05445862,5.3776836,-0.09742884,6.65738,-0.04427512,-0.038327582
NFYB,2.4978123,6.973683,7.253186,5.9601035,5.8202147,-0.039222386,8.12533,-0.022273874,-0.016099209,-0.035922565,-0.064872585,5.4941087,-0.09889947,7.120468,-0.052981846,-0.04354661
TMEM150C,2.5584505,7.0438194,7.3506446,6.0472198,5.90668,-0.039423123,8.219762,-0.022662431,-0.016418952,-0.036472157,-0.06559698,5.5749383,-0.10020794,7.200862,-0.053571686,-0.044317238
SRSF3,2.51207,6.991327,7.2799745,5.9751196,5.8429337,-0.03940507,8.159713,-0.022319095,-0.016102647,-0.035985455,-0.065018624,5.517552,-0.099217765,7.1470585,-0.05314649,-0.043760724
SEC22C,2.5058556,6.9774327,7.263133,5.96572,5.829485,-0.039246686,8.136593,-0.022279203,-0.016092397,-0.03591839,-0.064902544,5.503454,-0.098998,7.1301,-0.052998193,-0.043654464
