,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CPSF3,-0.039980464,-0.035694987,-0.051195648,-0.04165725,-0.025481531,2.3707838,-0.020480914,-0.05226705,-0.017709678,-0.036240917,1.9549426,-0.04484531,2.71975,-0.046507742,2.1348536,2.7239225
LGALS3,-0.045673765,-0.036119793,-0.05524767,-0.045296047,-0.032936893,2.4789052,-0.027686456,-0.054283317,-0.023485662,-0.034482542,1.8766719,-0.048220683,2.887093,-0.04480115,2.6575541,2.749767
PPARA,-0.04456112,-0.03521593,-0.05405512,-0.04427124,-0.031975687,2.4214506,-0.027082743,-0.053077765,-0.022543004,-0.033932354,1.8268936,-0.04707132,2.8103752,-0.04372984,2.6747916,2.6787868
HMGA1,-0.044946473,-0.03546725,-0.054246224,-0.044572327,-0.0322077,2.4295692,-0.027152525,-0.053381156,-0.02280337,-0.03406061,1.8447516,-0.04727885,2.834691,-0.04408522,2.6775937,2.6888738
TAF5,-0.04486892,-0.035394132,-0.054040577,-0.044412717,-0.03217453,2.426402,-0.027001493,-0.05322135,-0.022821795,-0.034004435,1.8395327,-0.047063913,2.8230882,-0.04402118,2.6796896,2.677043
WFDC2,-0.06587405,-0.06495924,-0.08787568,-0.05732372,-0.061453927,4.547083,-0.05470384,-0.08070321,-0.03964413,-0.048043087,2.2214718,-0.088005096,4.515453,-0.068662144,0.11690337,6.81926
ZNF397,-0.044837236,-0.035369202,-0.054295097,-0.04449407,-0.032166548,2.431379,-0.027136581,-0.053380065,-0.02271948,-0.034076322,1.8402946,-0.047293633,2.8305101,-0.04397132,2.6756315,2.6925435
SMOX,-0.04488276,-0.03533927,-0.054267604,-0.04445996,-0.03217892,2.4290829,-0.027107487,-0.05340244,-0.02284555,-0.034072123,1.8410869,-0.04721529,2.8333015,-0.043982,2.6597903,2.6928298
CHD8,-0.044911485,-0.035467084,-0.054338224,-0.044574276,-0.032245014,2.4337885,-0.027171426,-0.053435434,-0.022754679,-0.034085236,1.8448179,-0.047361195,2.8323464,-0.04409542,2.681852,2.6949904
HIST1H1C,-0.044787508,-0.035319667,-0.05421808,-0.04446445,-0.03213208,2.4279742,-0.027080698,-0.05331508,-0.022693034,-0.034022134,1.8389304,-0.047239035,2.827105,-0.043927774,2.6779964,2.6852965
SMARCC1,-0.05766282,-0.055308003,-0.07617778,-0.04903088,-0.05440069,4.0999336,-0.04744636,-0.06943932,-0.034618683,-0.04069819,1.8957393,-0.07672025,3.980628,-0.058065828,-0.0005837213,5.9823666
PSAT1,-0.04540058,-0.035874646,-0.05482575,-0.044907775,-0.03263597,2.458209,-0.027466156,-0.053931873,-0.023091018,-0.034356326,1.8598102,-0.0477971,2.8599248,-0.04454833,2.6719084,2.737352
FOXA2,-0.053605225,-0.05420358,-0.069991894,-0.04561088,-0.049671162,4.007092,-0.0459819,-0.064126864,-0.032847557,-0.03657144,1.7067847,-0.066594176,3.4510927,-0.05476891,-0.00063800864,5.173165
NODAL,-0.04420795,-0.034718283,-0.053403895,-0.04392743,-0.031597342,2.3931468,-0.026557183,-0.05254834,-0.022386674,-0.033583306,1.8169191,-0.046511404,2.792252,-0.04331235,2.6740131,2.6185067
