,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
STAT1,-0.027209004,-0.014524286,1.8396103,1.6656299,-0.025584178,-0.03825505,1.6009895,-0.025723848,-0.029877365,2.5998082,1.8022734,-0.025033984,-0.020254647,1.2616534,-0.011495706,-0.024069287
CYBA,-0.07686685,-0.04179168,4.852518,3.9171116,-0.077584326,-0.10473266,5.3137407,-0.05716112,-0.09335924,7.0832334,4.293234,-0.06887986,-0.0625284,3.2641444,-0.036271803,-0.07666882
ATP5L,-0.02887662,-0.015861757,1.9023085,1.6927252,-0.026119422,-0.04183754,1.7273356,-0.026717376,-0.033683583,2.7749944,1.9193842,-0.025556676,-0.02310472,1.501473,-0.014191485,-0.026372543
RLIM,-0.07686685,-0.04179168,4.852518,3.9171116,-0.077584326,-0.10473266,5.3137407,-0.05716112,-0.09335924,7.0832334,4.293234,-0.06887986,-0.0625284,3.2641444,-0.036271803,-0.07666882
MYD88,-0.03025032,-0.017051468,2.0552273,1.8086126,-0.027910255,-0.044231653,1.8634769,-0.027640326,-0.036230195,2.902051,2.0197234,-0.027648682,-0.024223395,1.485287,-0.015567985,-0.028106248
GPR171,-0.07686685,-0.04179168,4.852518,3.9171116,-0.077584326,-0.10473266,5.3137407,-0.05716112,-0.09335924,7.0832334,4.293234,-0.06887986,-0.0625284,3.2641444,-0.036271803,-0.07666882
LYZ1,-0.07686685,-0.04179168,4.852518,3.9171116,-0.077584326,-0.10473266,5.3137407,-0.05716112,-0.09335924,7.0832334,4.293234,-0.06887986,-0.0625284,3.2641444,-0.036271803,-0.07666882
CD274,-0.030088086,-0.016615143,2.0478177,1.7943902,-0.027672209,-0.044324636,1.8467321,-0.027640985,-0.03583327,2.8942392,1.9928108,-0.02727833,-0.024110047,1.5589387,-0.015513684,-0.02822465
NHP2,-0.07686685,-0.04179168,4.852518,3.9171116,-0.077584326,-0.10473266,5.3137407,-0.05716112,-0.09335924,7.0832334,4.293234,-0.06887986,-0.0625284,3.2641444,-0.036271803,-0.07666882
SNX10,-0.02890704,-0.015815778,1.9600899,1.7101703,-0.026247554,-0.042523205,1.7542243,-0.026876764,-0.034028053,2.7789533,1.9217196,-0.025932206,-0.023199996,1.5321708,-0.014665788,-0.02684032
LASS2,-0.07686685,-0.04179168,4.852518,3.9171116,-0.077584326,-0.10473266,5.3137407,-0.05716112,-0.09335924,7.0832334,4.293234,-0.06887986,-0.0625284,3.2641444,-0.036271803,-0.07666882
GAS5,-0.077082925,-0.045089457,4.545107,3.904486,-0.07961508,-0.0996319,5.4469585,-0.059328906,-0.08990134,7.1615443,4.5639405,-0.06709857,-0.060253892,3.0260797,-0.036677666,-0.07666944
EVI2A,-0.07686685,-0.04179168,4.852518,3.9171116,-0.077584326,-0.10473266,5.3137407,-0.05716112,-0.09335924,7.0832334,4.293234,-0.06887986,-0.0625284,3.2641444,-0.036271803,-0.07666882
TCOF1,-0.07686685,-0.04179168,4.852518,3.9171116,-0.077584326,-0.10473266,5.3137407,-0.05716112,-0.09335924,7.0832334,4.293234,-0.06887986,-0.0625284,3.2641444,-0.036271803,-0.07666882
CALM2,-0.07686685,-0.04179168,4.852518,3.9171116,-0.077584326,-0.10473266,5.3137407,-0.05716112,-0.09335924,7.0832334,4.293234,-0.06887986,-0.0625284,3.2641444,-0.036271803,-0.07666882
