,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CLEC4E,6.7719502,3.7401927,-0.056748655,-0.057432227,6.7729115,8.31186,-0.056754734,3.4679253,10.560903,-0.07253995,-0.046997834,8.522827,-0.027512278,-0.052205052,5.777954,7.0779595
CTBP1,8.17774,4.6677136,-0.06707302,-0.06487754,8.064287,10.002257,-0.06815745,4.098199,12.170315,-0.09157593,-0.056865666,10.289034,-0.030669574,-0.057861414,7.2785845,8.027026
SSR4,8.582045,4.667647,-0.07115122,-0.06933217,8.590752,10.657153,-0.06885641,4.4962897,13.179464,-0.09252583,-0.058756083,10.763425,-0.034792803,-0.06527501,7.4604383,8.838798
GLIPR1,6.876659,3.8016417,-0.05764304,-0.058131326,6.88529,8.477998,-0.057501655,3.506167,10.669812,-0.07333541,-0.04741591,8.641181,-0.02808214,-0.05324991,5.8602724,7.1658783
PLEK,6.9291687,3.858739,-0.05806456,-0.058621243,6.917561,8.508135,-0.05803007,3.5462809,10.815213,-0.07432984,-0.048331723,8.718718,-0.02836112,-0.053202443,5.9395866,7.2405543
SRP14,8.17774,4.6677136,-0.06707302,-0.06487754,8.064287,10.002257,-0.06815745,4.098199,12.170315,-0.09157593,-0.056865666,10.289034,-0.030669574,-0.057861414,7.2785845,8.027026
PSMA5,8.17774,4.6677136,-0.06707302,-0.06487754,8.064287,10.002257,-0.06815745,4.098199,12.170315,-0.09157593,-0.056865666,10.289034,-0.030669574,-0.057861414,7.2785845,8.027026
PLAUR,7.616221,4.4699464,-0.07105471,-0.065896116,8.040834,9.970054,-0.07028389,3.9545357,12.055683,-0.08805783,-0.054103054,10.127889,-0.03132367,-0.060514025,7.210159,8.023259
HMG20B,7.361186,4.097278,-0.0613767,-0.061090216,7.3350716,9.048581,-0.06037174,3.840714,11.504167,-0.079857014,-0.05134096,9.316574,-0.029817078,-0.056222398,6.4262977,7.743874
RPS14,8.582062,4.6670847,-0.07115934,-0.06932744,8.59009,10.655746,-0.06884987,4.495664,13.180605,-0.0925326,-0.058753617,10.763056,-0.03480077,-0.065276995,7.4597793,8.837595
CHCHD2,6.803657,3.7949371,-0.056717712,-0.05731439,6.740933,8.330657,-0.056258157,3.5278337,10.638623,-0.07364746,-0.047469188,8.625343,-0.027469303,-0.051671002,5.93696,7.184897
ILK,8.179235,4.668003,-0.06706616,-0.06485864,8.065667,10.002707,-0.068155,4.0981584,12.171267,-0.09158311,-0.056843933,10.287989,-0.030663751,-0.057865255,7.278667,8.028073
ATP6V1E1,8.177916,4.6671305,-0.0670741,-0.06487934,8.064111,10.00178,-0.06816365,4.0983233,12.170782,-0.09158121,-0.056865286,10.28867,-0.030670833,-0.057859976,7.2785444,8.027094
BTF3,8.17774,4.6677136,-0.06707302,-0.06487754,8.064287,10.002257,-0.06815745,4.098199,12.170315,-0.09157593,-0.056865666,10.289034,-0.030669574,-0.057861414,7.2785845,8.027026
APRT,8.17774,4.6677136,-0.06707302,-0.06487754,8.064287,10.002257,-0.06815745,4.098199,12.170315,-0.09157593,-0.056865666,10.289034,-0.030669574,-0.057861414,7.2785845,8.027026
TCERG1,8.17774,4.6677136,-0.06707302,-0.06487754,8.064287,10.002257,-0.06815745,4.098199,12.170315,-0.09157593,-0.056865666,10.289034,-0.030669574,-0.057861414,7.2785845,8.027026
AKT1,8.582045,4.667647,-0.07115122,-0.06933217,8.590752,10.657153,-0.06885641,4.4962897,13.179464,-0.09252583,-0.058756083,10.763425,-0.034792803,-0.06527501,7.4604383,8.838798
EEF1A1,8.17774,4.6677136,-0.06707302,-0.06487754,8.064287,10.002257,-0.06815745,4.098199,12.170315,-0.09157593,-0.056865666,10.289034,-0.030669574,-0.057861414,7.2785845,8.027026
OST4,8.17774,4.6677136,-0.06707302,-0.06487754,8.064287,10.002257,-0.06815745,4.098199,12.170315,-0.09157593,-0.056865666,10.289034,-0.030669574,-0.057861414,7.2785845,8.027026
