,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
KRT8,-0.042608175,-0.034624405,-0.057864342,5.1664567,-0.052030638,-0.07614551,-0.045651816,-0.07039113,-0.025676327,-0.024840483,-0.040248275,5.6407404,-0.019154673,6.404304,-0.036206387,-0.03847437
APPBP2,-0.042676672,-0.034621306,-0.057849977,5.1698184,-0.052064184,-0.076202415,-0.045682058,-0.070378825,-0.025729604,-0.024933228,-0.040283106,5.641644,-0.019063758,6.4113503,-0.03623115,-0.03852862
GM24455,-0.010235313,-0.009655675,-0.014136304,1.5191517,-0.016147256,-0.023561269,-0.013620115,-0.021705767,-0.008712645,-0.014143737,-0.013285592,1.5162151,0.59441817,2.1576068,-0.0050436836,-0.011662855
GM26280,-0.0130916685,-0.009608921,-0.0114418445,1.7866546,-0.020269228,-0.027080437,-0.017927036,-0.021136966,-0.009186779,-0.016294919,-0.0140799815,1.4158119,0.7944565,2.5716498,-0.008944156,-0.0117318975
SOX2,-0.02230664,-0.013362073,-0.02130734,2.3405519,-0.026638372,-0.037588693,-0.023004957,-0.028968582,-0.01452963,-0.017236663,-0.017620327,2.3409605,0.371608,3.4372885,-0.017475318,-0.019682445
GM37746,-0.0130916685,-0.009608921,-0.0114418445,1.7866546,-0.020269228,-0.027080437,-0.017927036,-0.021136966,-0.009186779,-0.016294919,-0.0140799815,1.4158119,0.7944565,2.5716498,-0.008944156,-0.0117318975
LEFTY2,-0.04257615,-0.034298614,-0.057231557,5.119765,-0.052208785,-0.07597485,-0.04547879,-0.069706686,-0.025758406,-0.024988469,-0.039963122,5.589788,-0.018478405,6.4039083,-0.0363246,-0.038595617
SSBP4,-0.042698007,-0.03462442,-0.05780064,5.1655865,-0.052184444,-0.076284654,-0.045726985,-0.07038922,-0.025742635,-0.02496533,-0.040239025,5.6335416,-0.019010289,6.416376,-0.03624719,-0.03857014
APBB1,-0.042642944,-0.034610476,-0.057878736,5.166987,-0.052120462,-0.07620799,-0.0457012,-0.07041547,-0.025703562,-0.024898224,-0.040271502,5.640252,-0.019134112,6.4107056,-0.036239956,-0.038517926
SEMA4C,-0.0426607,-0.034609616,-0.05785467,5.1683435,-0.052081775,-0.07618942,-0.045680385,-0.070379786,-0.025736626,-0.02490246,-0.040280774,5.6412477,-0.019101387,6.4098907,-0.036252495,-0.03852992
QDPR,-0.04266267,-0.034627855,-0.057903938,5.1686153,-0.052067198,-0.0761898,-0.045663346,-0.07041116,-0.025719374,-0.02489964,-0.0402996,5.6439867,-0.01916037,6.407217,-0.03620887,-0.038501654
