,TF,Target,Label
0,46,77,1
1,46,473,1
2,46,982,1
3,46,199,1
4,46,2,1
5,46,28,1
6,46,1044,1
7,46,484,1
8,46,1118,1
9,46,758,1
10,46,236,1
11,46,663,1
12,46,536,1
13,46,81,1
14,46,1062,1
15,46,947,1
16,46,878,1
17,46,247,1
18,46,280,1
19,46,573,1
20,46,507,1
21,46,1101,1
22,46,232,1
23,46,119,1
24,46,793,1
25,46,1029,1
26,46,433,1
27,46,90,1
28,46,420,1
29,46,979,1
30,46,765,1
31,46,1108,1
32,46,289,1
33,46,926,1
34,46,702,1
35,46,750,1
36,46,295,1
37,46,687,1
38,46,183,1
39,46,302,1
40,46,658,1
41,46,165,1
42,46,706,1
43,46,78,1
44,46,752,1
45,46,685,1
46,46,127,1
47,46,163,1
48,46,597,1
49,46,440,1
50,46,101,1
51,46,886,1
52,46,804,1
53,46,622,1
54,46,340,1
55,46,478,1
56,46,1117,1
57,46,1052,1
58,46,575,1
59,46,147,1
60,46,976,1
61,46,990,1
62,46,929,1
63,46,69,1
64,46,729,1
65,46,867,1
66,46,121,1
67,46,418,1
68,46,547,1
69,46,1058,1
70,46,76,1
71,46,828,1
72,51,305,1
73,51,487,1
74,51,77,1
75,51,816,1
76,51,331,1
77,51,65,1
78,51,751,1
79,51,763,1
80,51,117,1
81,51,421,1
82,51,425,1
83,51,104,1
84,51,797,1
85,51,1092,1
86,51,61,1
87,51,648,1
88,51,1068,1
89,51,247,1
90,51,824,1
91,51,672,1
92,51,725,1
93,51,841,1
94,51,662,1
95,51,979,1
96,51,735,1
97,51,171,1
98,51,644,1
99,51,607,1
100,51,240,1
101,51,747,1
102,51,578,1
103,51,181,1
104,51,416,1
105,51,532,1
106,51,671,1
107,51,94,1
108,51,757,1
109,51,43,1
110,51,888,1
111,51,1066,1
112,51,509,1
113,51,657,1
114,51,225,1
115,51,300,1
116,51,942,1
117,51,1065,1
118,51,381,1
119,51,892,1
120,51,945,1
121,51,1063,1
122,51,354,1
123,51,325,1
124,51,462,1
125,51,69,1
126,51,740,1
127,51,981,1
128,51,506,1
129,51,744,1
130,51,588,1
131,51,766,1
132,51,951,1
133,51,62,1
134,51,64,1
135,51,517,1
136,51,451,1
137,51,1017,1
138,51,388,1
139,51,174,1
140,51,380,1
141,51,915,1
142,51,386,1
143,51,590,1
144,51,1031,1
145,51,1097,1
146,51,695,1
147,51,484,1
148,51,622,1
149,51,56,1
150,51,687,1
151,51,1044,1
152,51,989,1
153,51,258,1
154,51,436,1
155,51,605,1
156,51,432,1
157,51,946,1
158,51,697,1
159,51,994,1
160,51,26,1
161,51,1008,1
162,51,5,1
163,51,752,1
164,51,974,1
165,51,230,1
166,51,249,1
167,51,28,1
168,51,350,1
169,51,844,1
170,51,577,1
171,51,1062,1
172,51,161,1
173,51,267,1
174,51,29,1
175,51,769,1
176,51,668,1
177,51,969,1
178,51,860,1
179,51,516,1
180,51,625,1
181,51,73,1
182,51,82,1
183,51,259,1
184,51,163,1
185,51,365,1
186,51,471,1
187,51,477,1
188,51,141,1
189,51,1020,1
190,51,965,1
191,51,408,1
