,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BMI1,5.60622,2.6597853,6.2358828,-0.053658485,5.134529,4.8198686,1.6391312,4.600541,1.6128124,4.9186106,2.7325246,-0.04290123,6.088278,-0.05577095,0.36127797,2.4766674
ARNT2,6.4354496,1.9916364,7.540065,-0.059064325,5.4106865,6.0323653,2.258817,5.5355825,1.8169023,5.6319237,3.923598,-0.04657715,5.8513827,-0.06127133,-0.0047601447,2.3847227
BTG2,6.448841,1.995105,7.5562277,-0.059199464,5.420341,6.041264,2.262361,5.5455275,1.821629,5.6411085,3.9330528,-0.046623096,5.865798,-0.061373815,-0.0047768247,2.3896406
MED4,6.423841,1.9951625,7.5336776,-0.059002418,5.406954,6.022793,2.2505457,5.533772,1.812392,5.619767,3.919937,-0.046408996,5.846463,-0.061170362,-0.004744844,2.3907762
SOAT1,6.4192514,1.9935247,7.526482,-0.058939904,5.4030943,6.019759,2.250877,5.5299864,1.8085325,5.615135,3.9165108,-0.04639156,5.8423934,-0.061136845,-0.0047452305,2.389543
TLE1,6.424487,1.9942354,7.531379,-0.058984444,5.4061203,6.023238,2.2525587,5.53315,1.8110769,5.6187873,3.9202008,-0.046418138,5.84603,-0.061175592,-0.0047537955,2.3907967
NFATC2IP,5.644488,2.0521686,6.601983,-0.051376317,5.3334947,4.96577,1.7667158,5.256968,1.4124513,4.698842,3.1014822,-0.03706099,5.5185804,-0.05586447,-0.0076656984,2.7208042
GM13597,6.114086,1.5419956,7.1673594,-0.061360087,6.1153173,5.62472,2.8537543,5.9122496,2.8567607,5.923908,4.9977508,-0.05372061,5.5734873,-0.0628362,-0.012546986,0.42392838
SOX4,6.417859,1.996452,7.527618,-0.05893005,5.4030547,6.0213275,2.252064,5.5329685,1.8052142,5.61456,3.9199693,-0.046368312,5.843026,-0.061143886,-0.0047498844,2.3929925
YEATS2,6.4292927,1.9950107,7.5373783,-0.059016194,5.408914,6.028814,2.2552316,5.5364175,1.811502,5.626179,3.9218545,-0.046474956,5.852078,-0.061231606,-0.0047693583,2.3932617
TXNDC12,6.4086156,1.9906763,7.5165634,-0.058864925,5.3956914,6.013277,2.247838,5.522464,1.8036375,5.607905,3.9104135,-0.046330564,5.8331523,-0.061046343,-0.0047203233,2.3849132
ODC1,6.409921,1.9937971,7.5192738,-0.05886112,5.3962507,6.014197,2.2478483,5.5257235,1.8030673,5.6088963,3.9120061,-0.04631624,5.8367987,-0.06106277,-0.0047417744,2.390745
GM24044,7.0877047,2.2461753,8.221491,-0.067184106,6.2240653,6.520126,3.4080675,6.313221,2.854993,6.6465874,5.2124176,-0.063802704,6.1214485,-0.073441505,-0.004322043,0.730236
CRAMP1L,6.451283,1.9956421,7.55648,-0.059214525,5.422603,6.04044,2.261479,5.547323,1.8247991,5.63935,3.9326982,-0.046618804,5.866596,-0.061378382,-0.0047731195,2.390162
YAF2,6.438004,1.8799008,7.550162,-0.059474315,5.284775,6.0313478,2.1478,5.3878675,1.814742,5.665788,3.7958496,-0.045539275,5.848272,-0.059956554,-0.0047801086,2.4978607
SLC25A4,6.440665,1.9965379,7.5479693,-0.05912163,5.4167247,6.0339766,2.2571027,5.54282,1.8194207,5.6336226,3.9291039,-0.046531938,5.8602524,-0.06131454,-0.004789567,2.3951862
GM14303,7.111397,2.3024583,8.205219,-0.06721586,6.2380133,6.475591,3.399938,6.3070383,2.8349981,6.5908937,5.27532,-0.06416235,6.115988,-0.07395987,-0.004827258,0.80013674
KRBA1,6.4390883,1.9961828,7.545913,-0.059106674,5.4154716,6.031947,2.2564366,5.541641,1.8190432,5.6303596,3.925986,-0.046524175,5.8588977,-0.06128685,-0.004769393,2.3923965
MAGED1,5.941431,2.4270535,7.8810134,-0.053945255,4.5651364,5.209886,1.8840903,5.933399,2.436664,5.191704,3.4731247,-0.044939775,5.1127753,-0.05349229,-0.005176531,1.7219692
PDIA6,6.4067497,1.9938883,7.5169315,-0.058847487,5.396223,6.013441,2.246847,5.525231,1.801398,5.606925,3.9120376,-0.046288982,5.834088,-0.061050694,-0.004731654,2.391123
PHLDA3,6.4492693,1.9975048,7.5568485,-0.059200764,5.422246,6.0404873,2.2605207,5.5478506,1.8242066,5.6406546,3.9334462,-0.04661208,5.8657684,-0.06137928,-0.0047793156,2.3925912
DCXR,5.514275,2.4739668,7.6317744,-0.056839705,5.427103,6.2450047,1.6226089,5.387376,1.2367125,5.0500755,4.158279,-0.038120504,5.1214814,-0.052735243,0.12871273,2.9545388
COL27A1,6.451655,1.999054,7.558004,-0.059215974,5.425458,6.0414577,2.2615266,5.5505905,1.8235265,5.6404595,3.936026,-0.04661062,5.8696656,-0.06141072,-0.004796597,2.3964806
POLR2K,6.130123,1.6926051,7.3882794,-0.057383984,5.3343697,6.116817,2.3819609,5.332865,1.5893918,5.6965685,3.793421,-0.049377672,5.4646482,-0.05911007,-0.0040031923,2.1771457
FOXP1,5.924374,2.4231086,7.862475,-0.053766694,4.5530467,5.2049417,1.8845123,5.923526,2.4220915,5.181715,3.465089,-0.044877965,5.0979404,-0.053380013,-0.005170593,1.7209454
NOTCH1,6.4108977,1.9932972,7.518655,-0.05886559,5.398041,6.014393,2.2486665,5.5258555,1.8034707,5.609543,3.9118984,-0.04633178,5.838369,-0.061080124,-0.004747447,2.3903131
PHF14,6.4092593,1.9913079,7.5169196,-0.058861196,5.3957615,6.013424,2.2476654,5.523217,1.8036275,5.6079574,3.9101942,-0.046321828,5.834372,-0.061049454,-0.004727491,2.3871014
SOX15,6.419658,1.9915638,7.530943,-0.058968503,5.4054127,6.024368,2.2489977,5.5295434,1.8114076,5.623001,3.9151523,-0.046423525,5.843563,-0.06115718,-0.0047507924,2.3902683
PARVB,6.428233,1.9953359,7.5351405,-0.059015278,5.408883,6.025932,2.2564833,5.5363374,1.8117137,5.6223783,3.9235325,-0.046473607,5.8501015,-0.061218657,-0.0047576153,2.3881478
FOSL2,6.436207,1.9975263,7.543211,-0.0590914,5.4160767,6.029962,2.2558088,5.5421166,1.8181608,5.6270275,3.9268663,-0.046501048,5.8565736,-0.061275467,-0.0047632735,2.3920608
TAF6,6.411371,1.9927696,7.520314,-0.058878478,5.397975,6.0153594,2.2474473,5.5261297,1.8046882,5.6100097,3.911875,-0.04631819,5.837254,-0.06106829,-0.0047407234,2.3909295
PURA,6.4372144,1.9967515,7.545716,-0.059098713,5.4167175,6.032662,2.255648,5.5423737,1.8189621,5.6322613,3.927136,-0.046513937,5.858869,-0.0612989,-0.004788623,2.3952467
GJB3,6.4233932,1.9942136,7.534178,-0.058990054,5.4083347,6.0271573,2.2524393,5.5344286,1.8099359,5.6231256,3.9211228,-0.046428833,5.847578,-0.061194457,-0.004766727,2.3934548
SNORD43,6.2930136,1.4512905,8.157193,-0.058453202,5.3052344,6.792773,3.2695243,6.2401834,2.0794878,6.650625,4.477968,-0.05485218,6.0034075,-0.06527742,-0.01007334,1.4292713
HNRNPK,6.4452744,1.9941715,7.5521274,-0.059155747,5.4169564,6.0388308,2.260081,5.5428095,1.8200917,5.639682,3.9283648,-0.046599712,5.8637934,-0.061343826,-0.004789314,2.3925743
