,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MTFR1,0.6249854,-0.07625837,1.6010113,2.7741861,-0.051824562,1.1629854,-0.07674579,-0.09024836,-0.0336978,5.9713516,2.1725657,0.33604676,8.237826,1.2450054,-0.09073189,-0.06033874
CD93,1.0557405,-0.0812452,1.5990607,2.521098,-0.059196666,1.3546729,-0.07689125,-0.09563155,-0.034887895,6.1269226,2.713352,0.32318634,8.20192,1.4187086,-0.09238827,-0.06019123
WDR5,0.5633399,-0.06770064,1.3838584,2.1428893,-0.049068134,0.85607207,-0.07075461,-0.083336525,-0.028300187,5.6761656,2.1020331,0.74750173,7.0383315,1.1511767,-0.080435626,-0.057468425
JAK3,0.90731376,-0.0810682,1.5062524,2.7705462,-0.058441203,1.4061242,-0.07501992,-0.094678104,-0.034960106,6.1083155,2.5328393,-0.0005521998,7.9311023,1.121069,-0.09201482,-0.05950358
GSTM5,1.0796056,-0.081358686,1.6032043,2.4981866,-0.059365105,1.3576318,-0.07680469,-0.09565354,-0.03491627,6.103297,2.7122974,0.3365541,8.198587,1.4626245,-0.09216031,-0.060306285
MTHFD1,1.1026835,-0.08097136,1.6217027,2.435644,-0.059228256,1.3347684,-0.076852895,-0.095427684,-0.034910776,6.101303,2.7141485,0.4377482,8.212461,1.5031016,-0.091828614,-0.060257886
ZFP451,1.1136444,-0.0808654,1.6276125,2.4224844,-0.059172448,1.3277243,-0.07679596,-0.095283695,-0.03488567,6.0974045,2.7233324,0.45226312,8.210332,1.5031679,-0.09167137,-0.060047932
HMGB2,1.2464185,-0.07386231,1.5956037,1.7817239,-0.0550882,1.1707315,-0.0711751,-0.08737951,-0.032450773,5.4560356,2.771701,0.96994483,7.7991343,1.9159448,-0.08362012,-0.056321576
CASP1,1.2061025,-0.07766885,1.6352135,2.0684407,-0.05749495,1.2123054,-0.07493659,-0.09219964,-0.033675626,5.862013,2.761189,0.78704876,8.067771,1.7292292,-0.08808642,-0.05829303
JUN,0.45272842,-0.065469876,1.3207895,2.1516628,-0.04677526,0.7437096,-0.068698905,-0.08101373,-0.027382486,5.5649824,2.001552,0.7096173,6.783378,1.0210545,-0.07840049,-0.05606342
TLE2,0.97770107,-0.08136475,1.5427916,2.7357638,-0.0588438,1.4153543,-0.07507021,-0.09464659,-0.035089966,6.1017733,2.5677001,-0.00024372779,7.942816,1.1591065,-0.09161027,-0.059300013
ALDH9A1,1.2500188,-0.07374716,1.6071712,1.7760543,-0.054963775,1.167782,-0.071031675,-0.08713758,-0.03247628,5.442981,2.7614946,0.9781531,7.7800727,1.9269147,-0.08333435,-0.056318328
TLK1,0.897528,-0.08108882,1.503211,2.768661,-0.058455262,1.4073563,-0.07528699,-0.0948532,-0.03484932,6.11333,2.541957,-0.00040470957,7.9663157,1.1360085,-0.09224208,-0.059753787
ELP3,0.9515814,-0.07470103,2.1798174,2.4021993,-0.04697299,0.9917012,-0.06666927,-0.09269518,-0.036300447,5.2816963,2.9743836,0.75839466,7.4519615,1.5010109,-0.07956189,-0.048559587
UBA3,1.0692381,-0.0803294,1.7819039,2.2869916,-0.058496688,1.5168887,-0.07265891,-0.09053718,-0.03272222,5.6279383,2.5037713,0.31440037,7.980587,1.8820224,-0.087408684,-0.058089104
ELAC2,1.2274573,-0.076183535,1.6018916,1.9327928,-0.0566587,1.2140375,-0.07313238,-0.09030016,-0.0335292,5.6752014,2.749004,0.8911512,7.98577,1.8504186,-0.08646139,-0.057866346
TES,1.2082177,-0.079336464,1.6449012,2.1958456,-0.058655027,1.3161145,-0.075610116,-0.09342773,-0.034279037,5.911154,2.7816906,0.646623,8.147793,1.7245462,-0.08954671,-0.059425585
TOP2A,1.2267041,-0.07432227,1.5795256,1.8105768,-0.055522893,1.167656,-0.071530394,-0.08815974,-0.03273761,5.508114,2.7527542,0.9594358,7.842913,1.8912158,-0.08443966,-0.056601908
GM28875,0.024286382,-0.060107417,1.0326302,2.3414562,-0.042987503,0.73603,-0.062309764,-0.07383867,-0.026523676,5.2242613,1.5489831,0.24825852,5.911933,0.6064536,-0.070492506,-0.055499893
ZFP930,1.1689756,-0.07455704,1.4323678,2.6001468,-0.0477663,0.8702707,-0.06912279,-0.08439258,-0.04056241,6.0277786,2.9543517,0.3369233,7.56563,1.812289,-0.08392409,-0.062868506
RPA1,1.1655958,-0.077230535,1.6937741,2.0091257,-0.057290357,1.1759177,-0.076594025,-0.092563905,-0.034000143,5.972434,2.7439208,1.0693171,8.194371,1.8399818,-0.08843712,-0.06121087
DNM1L,1.1970775,-0.0792671,1.6621015,2.1642742,-0.058465824,1.292173,-0.07608759,-0.093746394,-0.034367286,5.9372053,2.7641845,0.7422418,8.216401,1.7505176,-0.08989508,-0.060078546
SMIM15,0.89905876,-0.0808831,1.6640837,2.5388687,-0.05844238,1.5139679,-0.07227484,-0.09136816,-0.03300435,5.7266855,2.368665,-2.0312666e-05,7.868907,1.5800939,-0.08884727,-0.05778311
VIM,1.0918955,-0.08065833,1.5783414,2.4409688,-0.059076447,1.3217218,-0.07585488,-0.094845496,-0.034772873,6.044631,2.7040317,0.3540309,8.120369,1.4515829,-0.091441065,-0.05916066
9030619P08RIK,0.36121652,-0.062421396,1.2389171,2.161713,-0.043656964,0.6156113,-0.065754555,-0.07718097,-0.026363455,5.384098,1.8363571,0.5966783,6.41003,0.81424284,-0.07507219,-0.053696755
