,TF,Target,Label
0,1,373,1
1,1,358,1
2,1,190,1
3,1,137,1
4,1,213,1
5,1,177,1
6,1,28,1
7,1,19,1
8,1,593,1
9,1,37,1
10,1,531,1
11,1,205,1
12,1,498,1
13,1,315,1
14,1,460,1
15,1,479,1
16,1,659,1
17,1,525,1
18,1,612,1
19,1,350,1
20,1,322,1
21,1,214,1
22,1,135,1
23,1,438,1
24,1,621,1
25,1,524,1
26,1,346,1
27,1,513,1
28,1,568,1
29,1,66,1
30,1,398,1
31,1,234,1
32,1,207,1
33,1,201,1
34,1,383,1
35,1,272,1
36,1,615,1
37,1,146,1
38,1,453,1
39,1,130,1
40,1,83,1
41,1,669,1
42,1,369,1
43,1,637,1
44,1,143,1
45,1,55,1
46,1,501,1
47,1,696,1
48,1,636,1
49,1,64,1
50,1,610,1
51,1,426,1
52,1,399,1
53,1,283,1
54,1,96,1
55,1,87,1
56,1,268,1
57,1,72,1
58,1,246,1
59,1,220,1
60,1,10,1
61,1,139,1
62,1,416,1
63,1,98,1
64,1,170,1
65,1,329,1
66,1,35,1
67,1,393,1
68,1,140,1
69,1,202,1
70,1,49,1
71,1,652,1
72,1,561,1
73,1,585,1
74,1,261,1
75,1,378,1
76,1,164,1
77,1,581,1
78,1,353,1
79,1,461,1
80,1,410,1
81,1,616,1
82,1,80,1
83,1,324,1
84,1,579,1
85,1,597,1
86,1,29,1
87,1,340,1
88,1,67,1
89,1,21,1
90,1,596,1
91,1,102,1
92,1,54,1
93,1,651,1
94,1,376,1
95,1,74,1
96,1,34,1
97,1,522,1
98,1,85,1
99,1,97,1
100,1,174,1
101,1,551,1
102,1,18,1
103,1,365,1
104,1,451,1
105,1,281,1
106,1,2,1
107,1,319,1
108,1,533,1
109,1,661,1
110,1,15,1
111,1,227,1
112,1,99,1
113,1,534,1
114,1,591,1
115,1,252,1
116,1,631,1
117,1,45,1
118,1,152,1
119,1,428,1
120,1,592,1
121,1,454,1
122,1,360,1
123,1,638,1
124,1,224,1
125,1,439,1
126,1,676,1
127,1,401,1
128,1,648,1
129,1,65,1
130,1,430,1
131,1,144,1
132,1,456,1
133,1,463,1
134,1,698,1
135,1,159,1
136,1,500,1
137,1,559,1
138,1,686,1
139,1,590,1
140,1,349,1
141,1,30,1
142,1,7,1
143,1,278,1
144,1,389,1
145,1,606,1
146,1,545,1
147,1,670,1
148,1,550,1
149,1,639,1
150,1,584,1
151,1,576,1
152,1,466,1
153,1,198,1
154,1,359,1
155,1,116,1
156,1,229,1
157,1,603,1
158,1,289,1
159,1,496,1
160,1,51,1
161,1,538,1
162,1,526,1
163,1,473,1
164,1,556,1
165,1,562,1
166,1,557,1
167,1,658,1
168,1,111,1
169,1,511,1
170,1,79,1
171,1,390,1
172,1,678,1
173,1,527,1
174,1,11,1
175,1,118,1
176,1,367,1
177,1,487,1
178,1,195,1
179,1,232,1
180,1,275,1
181,1,181,1
182,1,509,1
183,1,703,1
184,1,84,1
185,1,348,1
186,1,414,1
187,1,131,1
188,1,690,1
189,1,580,1
190,1,216,1
191,1,288,1
192,1,434,1
193,1,692,1
194,1,162,1
195,1,403,1
196,1,48,1
197,1,567,1
198,1,486,1
199,1,566,1
200,1,154,1
201,1,120,1
202,1,375,1
203,1,370,1
204,1,570,1
205,1,611,1
206,1,679,1
207,1,573,1
208,1,494,1
209,1,599,1
210,1,689,1
211,1,619,1
212,1,485,1
213,1,253,1
214,1,664,1
215,1,296,1
216,1,384,1
217,1,402,1
218,1,57,1
219,1,400,1
220,1,160,1
221,1,680,1
222,1,355,1
223,1,623,1
224,1,345,1
225,1,320,1
226,1,260,1
227,1,417,1
228,1,435,1
229,1,245,1
230,1,425,1
231,1,629,1
232,1,647,1
233,1,643,1
234,1,457,1
235,1,138,1
236,1,126,1
237,1,23,1
238,1,413,1
239,1,622,1
240,1,528,1
241,1,431,1
242,1,236,1
243,1,368,1
244,1,502,1
245,1,172,1
246,1,549,1
247,1,624,1
248,1,237,1
249,1,672,1
250,1,508,1
251,1,607,1
252,1,149,1
253,1,258,1
254,1,293,1
255,1,108,1
256,1,628,1
257,1,415,1
258,1,279,1
259,1,309,1
260,1,352,1
261,1,371,1
262,1,209,1
263,12,269,1
264,12,360,1
265,12,122,1
266,12,428,1
267,12,1,1
268,12,249,1
269,12,608,1
270,12,192,1
271,12,367,1
272,12,72,1
273,12,667,1
274,12,7,1
275,12,569,1
276,12,414,1
277,12,359,1
278,12,104,1
279,12,460,1
280,12,552,1
281,12,394,1
282,12,34,1
283,12,659,1
284,12,561,1
285,12,660,1
286,12,10,1
287,12,672,1
288,12,335,1
289,12,233,1
290,12,570,1
291,12,31,1
292,12,48,1
293,12,127,1
294,12,176,1
295,12,305,1
296,12,572,1
297,12,33,1
298,12,508,1
299,12,196,1
300,12,640,1
301,12,486,1
302,12,423,1
303,12,696,1
304,12,126,1
305,12,283,1
306,12,611,1
307,12,610,1
308,12,258,1
309,12,37,1
310,12,350,1
311,12,16,1
312,12,692,1
313,12,88,1
314,12,165,1
315,12,494,1
316,12,472,1
317,12,550,1
318,12,655,1
319,12,235,1
320,12,77,1
321,12,90,1
322,12,326,1
323,12,447,1
324,12,266,1
325,12,507,1
326,12,137,1
327,12,28,1
328,12,444,1
329,12,351,1
330,12,605,1
331,12,285,1
332,12,701,1
333,12,533,1
334,12,236,1
335,12,514,1
336,12,11,1
337,12,214,1
338,12,155,1
339,12,66,1
340,12,500,1
341,12,355,1
342,12,382,1
343,12,130,1
344,12,539,1
345,12,556,1
346,12,628,1
347,12,70,1
348,12,647,1
349,12,203,1
350,12,531,1
351,12,519,1
352,12,636,1
353,12,170,1
354,12,149,1
355,12,582,1
356,12,260,1
357,12,528,1
358,12,18,1
359,12,298,1
360,12,223,1
361,12,615,1
362,12,125,1
363,12,47,1
364,12,313,1
365,12,320,1
366,12,625,1
367,12,274,1
368,12,485,1
369,12,549,1
370,12,29,1
371,12,571,1
372,12,129,1
373,12,501,1
374,12,678,1
375,12,532,1
376,12,681,1
377,12,75,1
378,12,540,1
379,12,186,1
380,12,438,1
381,12,506,1
382,12,534,1
383,12,221,1
384,12,180,1
385,12,468,1
386,12,116,1
387,12,356,1
388,12,162,1
389,12,427,1
390,12,671,1
391,12,388,1
392,12,585,1
393,12,219,1
394,12,132,1
395,12,616,1
396,12,59,1
397,12,206,1
398,12,393,1
399,12,352,1
400,12,38,1
401,12,409,1
402,12,30,1
403,12,362,1
404,12,405,1
405,12,525,1
