,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
EPOR,-0.011893357,3.6625137,-0.023735033,3.431597,4.1151714,3.0434868,1.4429259,3.7864523,-0.006068677,2.8167577,-0.007529871,-6.109759e-05,-0.032461952,0.37182653,3.4743447,3.7542129
FOS,-0.010420654,2.4224825,-0.02111518,2.1226466,2.5455828,1.9207455,0.5041037,2.138293,-0.0066478704,2.2260458,-0.0001466652,0.16776243,-0.024466677,0.7873386,2.3180678,2.2413783
HAGH,-0.014524239,4.4360533,-0.023652991,4.28142,4.6807194,3.3078792,1.5229229,4.4305196,-0.009147973,3.5033383,-0.012720274,-0.0031264375,-0.03988596,-0.0003890626,4.1095467,4.642416
RASAL3,-0.014491119,4.4242043,-0.023659276,4.2687488,4.6703515,3.298545,1.5158316,4.4279003,-0.009065241,3.493448,-0.012643359,-0.00300534,-0.039790027,-0.0003600292,4.089611,4.624804
IFI204,-0.014452853,4.4006286,-0.02331182,4.242829,4.6323285,3.2816064,1.514077,4.3655744,-0.009222801,3.4753647,-0.012637423,-0.0033845499,-0.03952406,-0.0004993318,4.084362,4.6121054
PLXNC1,-0.014502036,4.418075,-0.023759449,4.2853227,4.662048,3.3115234,1.5099417,4.4006934,-0.009120083,3.5010507,-0.012511366,-0.0030104148,-0.039747857,-0.000112787035,4.108012,4.6167407
CHUK,-0.014555971,4.4420233,-0.023706704,4.2932377,4.6861763,3.3161302,1.5228201,4.4338365,-0.009148248,3.510424,-0.01271313,-0.0030997323,-0.03993896,-0.00032983616,4.1169963,4.6461067
RAB32,-0.014578044,4.435881,-0.02352514,4.268296,4.673464,3.299552,1.5189635,4.4208674,-0.009167529,3.4983668,-0.012757929,-0.0032070475,-0.03984235,-0.00054147496,4.0997887,4.6425576
TMEM176A,-0.009133973,3.9483364,-0.02203859,3.5789585,4.516909,2.6613104,1.6943151,4.6257133,-0.009786894,3.07168,-0.012530521,-0.0049720807,-0.038637467,-0.0024768242,3.6456695,4.41275
GPR171,-0.014469735,4.4191036,-0.023675637,4.2643466,4.6665664,3.2949514,1.5130206,4.4259715,-0.009063161,3.4906394,-0.012603467,-0.0029765477,-0.03977063,-0.0003291647,4.0839663,4.619705
BIRC5,-0.009322111,3.9680443,-0.021765253,3.5562036,4.5217986,2.6509044,1.694196,4.633417,-0.009817672,3.0671306,-0.012753036,-0.005137459,-0.03867185,-0.0029435414,3.6295197,4.435492
RNF4,-0.0145082325,4.4372373,-0.02356043,4.2791443,4.6779165,3.3063712,1.5276155,4.4261837,-0.00915877,3.5007193,-0.012785901,-0.0031774316,-0.03986214,-0.00044980718,4.107306,4.6416554
MYC,-0.0061442084,2.2568123,-0.019083427,2.2686636,2.2604818,2.1511912,1.1628975,1.784444,-0.005165673,1.9324752,0.056221254,-0.0032217023,-0.021783022,0.9321393,2.4442923,1.9317539
UBXN2B,-0.016862307,4.085079,-0.02566973,3.392798,4.3908153,2.7249703,0.68093956,4.1795187,-0.008268848,3.3189259,-0.008202018,0.21710137,-0.03901147,-0.000466661,3.275671,4.2022085
TES,-0.015934926,4.292267,-0.01962003,3.9446213,4.0408688,3.4210346,1.5846317,3.590798,-0.013988743,3.1306067,-0.009870827,-0.007321664,-0.03777244,-0.00055088085,3.4056852,4.57107
PRKAB1,-0.014502743,4.427254,-0.023542447,4.262094,4.6704693,3.2941535,1.5203927,4.4253716,-0.009124657,3.49162,-0.012728338,-0.0031467848,-0.03979642,-0.00049662666,4.090612,4.6340938
TEAD2,-0.014345427,4.3893914,-0.023763703,4.2674193,4.637868,3.2956884,1.5047938,4.3865714,-0.009029358,3.4816208,-0.012362,-0.0028855782,-0.039535556,0.00075800717,4.0824275,4.5828037
NR2C1,-0.014472404,4.4321117,-0.023570029,4.2669353,4.67795,3.2969398,1.52701,4.4390616,-0.009125035,3.493289,-0.0127552105,-0.003142733,-0.039859675,-0.00050574675,4.092385,4.6395593
TNFAIP2,-0.01451262,4.4297237,-0.02364899,4.2747183,4.6722083,3.3012202,1.517257,4.429148,-0.009108391,3.4981506,-0.0126640685,-0.0030567704,-0.03983788,-0.00040512934,4.0937505,4.63174
TARS,-0.01449585,4.4326997,-0.023655014,4.276438,4.679862,3.3029413,1.5222509,4.4371,-0.009105269,3.4994144,-0.012711719,-0.0030723745,-0.039872434,-0.00039669528,4.1000657,4.6374235
STAP1,-0.014562499,4.4365263,-0.023413762,4.2516403,4.6733418,3.2903547,1.5240979,4.426085,-0.009210782,3.4901104,-0.012817565,-0.0033034484,-0.03985152,-0.00070325594,4.0869517,4.648985
DCAF13,-0.014551793,4.438411,-0.023623588,4.271976,4.6840606,3.3052204,1.5228797,4.437135,-0.009133473,3.4998088,-0.012737611,-0.0031132626,-0.03989735,-0.0004491906,4.100025,4.6454177
HDAC7,-0.0146096675,4.4443154,-0.023442857,4.273002,4.675422,3.3029492,1.5247346,4.417067,-0.00924647,3.5020165,-0.012830191,-0.0033570651,-0.039890274,-0.0006476147,4.1081376,4.6543117
APEH,-0.014484276,4.4204516,-0.023657527,4.2659135,4.669344,3.297055,1.5168747,4.428495,-0.0090577705,3.4927266,-0.012630979,-0.0030089652,-0.039801754,-0.00034834995,4.0858207,4.623469
CLDN13,-0.014237689,4.373512,-0.023565928,4.23475,4.621238,3.271216,1.5089425,4.388534,-0.008998504,3.4575057,-0.012402276,-0.002926018,-0.039396495,-0.00019395395,4.045017,4.5700545
SACM1L,-0.014511476,4.417625,-0.023406949,4.243422,4.6530347,3.2816637,1.5146698,4.402675,-0.009161249,3.4813182,-0.012707823,-0.0032470305,-0.03968263,-0.0006126256,4.078259,4.624969
PHF10,-0.014476261,4.4180098,-0.02370464,4.2721906,4.6642137,3.3005216,1.5118407,4.4167504,-0.009064698,3.493894,-0.012571499,-0.0029758464,-0.03974748,-0.00025395496,4.092429,4.6165414
TFR2,-0.014557316,4.4294457,-0.02362604,4.2615023,4.6739464,3.29748,1.5134933,4.4311104,-0.009082162,3.493215,-0.012672144,-0.0030152213,-0.03981918,-0.0004314874,4.084037,4.6321616
PTDSS1,-0.014467338,4.4256735,-0.02358929,4.263398,4.6711087,3.2939878,1.5213504,4.4314737,-0.009100867,3.4906034,-0.012698587,-0.0030943411,-0.039806988,-0.00046107097,4.0878606,4.6302614
ME2,-0.014595043,4.443075,-0.023605006,4.279177,4.6827493,3.3072448,1.5203936,4.4315896,-0.009169875,3.5055451,-0.012757375,-0.0031623142,-0.039925966,-0.00048548862,4.106726,4.649081
NAMPT,-0.014548367,4.4366918,-0.023546495,4.2665033,4.678193,3.299439,1.5226123,4.4309373,-0.00916264,3.4967093,-0.012767802,-0.0031887358,-0.039872646,-0.0005408369,4.0970316,4.6448936
TAF1,-0.006052169,3.479307,-0.017478755,3.349899,4.133839,2.310491,1.8451023,4.7795196,-0.00486207,2.5916762,-0.015688907,-0.0022640892,-0.03219021,-0.0034800805,2.9945722,3.914527
TCP11L2,-0.014599304,4.433922,-0.023497578,4.2564507,4.6725698,3.2929142,1.5146831,4.42242,-0.009154073,3.494171,-0.0127620315,-0.0031836664,-0.039826076,-0.0005925782,4.089692,4.642131
TTLL12,-0.014479074,4.42356,-0.023793744,4.2918344,4.6725626,3.3139226,1.5153754,4.4173207,-0.009094929,3.5048792,-0.012565938,-0.0029852067,-0.039811075,-0.0001176475,4.1131186,4.623616
UBA3,-0.014484407,4.4232097,-0.023545235,4.2616825,4.6721864,3.2959464,1.520642,4.4385734,-0.009056411,3.486649,-0.012725526,-0.0031146973,-0.039800506,-0.00045741422,4.087255,4.6332417
VPS41,-0.014517223,4.4273496,-0.023524215,4.251801,4.672124,3.289235,1.5188391,4.431332,-0.009103343,3.4876873,-0.012739207,-0.003117586,-0.039794482,-0.00055284187,4.0812435,4.6347795
ZBTB20,-0.01453898,4.4208164,-0.02357244,4.2587914,4.6602464,3.2941778,1.5105172,4.4078226,-0.009131793,3.4902778,-0.012626701,-0.003106386,-0.039737396,-0.00041680856,4.0868177,4.6239266
STT3B,-0.014498436,4.4254913,-0.023585655,4.2613244,4.670522,3.294443,1.5183203,4.427277,-0.009102351,3.490951,-0.012691383,-0.0030887928,-0.039793074,-0.0004505275,4.08773,4.6305547
NCOA6,-0.014318897,4.389881,-0.023493374,4.2231617,4.636184,3.2636533,1.5103141,4.411195,-0.008983111,3.4598174,-0.012539342,-0.0029719537,-0.03950753,-0.0004946981,4.040833,4.588343
NUPR1,-0.014575528,4.431876,-0.02366636,4.272305,4.67737,3.3049998,1.5132039,4.4240623,-0.009112265,3.5009418,-0.012667469,-0.0030491315,-0.03983989,-0.000353028,4.1006603,4.6361938
GM8995,-0.004966018,1.9584324,-0.01806199,1.9721935,2.0257874,2.007972,1.1754992,1.532116,-0.004178714,1.7020513,0.19110924,-0.003405626,-0.019305991,0.928576,2.1823626,1.6277975
GYPA,-0.014411791,4.420826,-0.023569126,4.2647514,4.6661744,3.2914493,1.523978,4.4289317,-0.009102221,3.488112,-0.012696724,-0.0031156384,-0.0397766,-0.00045411542,4.086844,4.625451
