,TF,Target,Label
0,17,896,1
1,17,802,1
2,17,585,1
3,17,1051,1
4,17,668,1
5,17,1099,1
6,17,248,1
7,17,639,1
8,17,705,1
9,17,422,1
10,17,891,1
11,17,822,1
12,17,700,1
13,17,487,1
14,17,1018,1
15,17,222,1
16,17,475,1
17,17,581,1
18,17,62,1
19,17,526,1
20,17,221,1
21,17,226,1
22,17,190,1
23,17,783,1
24,17,374,1
25,17,594,1
26,17,434,1
27,17,850,1
28,17,562,1
29,17,829,1
30,17,473,1
31,17,338,1
32,17,790,1
33,17,94,1
34,17,671,1
35,17,906,1
36,17,588,1
37,17,157,1
38,17,213,1
39,17,469,1
40,17,544,1
41,17,912,1
42,17,108,1
43,17,125,1
44,17,613,1
45,17,287,1
46,17,960,1
47,17,332,1
48,17,510,1
49,17,319,1
50,17,365,1
51,17,551,1
52,17,721,1
53,17,1062,1
54,17,546,1
55,17,947,1
56,17,118,1
57,17,595,1
58,17,486,1
59,17,1039,1
60,17,741,1
61,17,516,1
62,17,269,1
63,17,54,1
64,17,708,1
65,17,439,1
66,17,650,1
67,17,606,1
68,17,625,1
69,17,449,1
70,17,1071,1
71,17,1081,1
72,17,92,1
73,17,203,1
74,17,25,1
75,17,1116,1
76,17,839,1
77,17,939,1
78,17,770,1
79,17,907,1
80,17,300,1
81,17,703,1
82,17,760,1
83,17,493,1
84,17,849,1
85,17,536,1
86,17,305,1
87,17,429,1
88,17,737,1
89,17,765,1
90,17,438,1
91,17,117,1
92,17,343,1
93,17,48,1
94,17,406,1
95,17,959,1
96,17,545,1
97,17,285,1
98,17,202,1
99,17,224,1
100,17,29,1
101,17,286,1
102,17,1121,1
103,17,837,1
104,17,679,1
105,17,1083,1
106,17,952,1
107,17,15,1
108,17,778,1
109,17,654,1
110,17,624,1
111,17,151,1
112,17,140,1
113,17,342,1
114,17,805,1
115,17,131,1
116,17,604,1
117,17,204,1
118,17,914,1
119,17,827,1
120,17,1058,1
121,17,205,1
122,17,608,1
123,17,416,1
124,17,263,1
125,17,258,1
126,17,902,1
127,17,382,1
128,17,807,1
129,17,470,1
130,17,246,1
131,17,791,1
132,17,571,1
133,17,663,1
134,17,1074,1
135,17,586,1
136,17,407,1
137,17,871,1
138,17,150,1
139,17,704,1
140,17,373,1
141,17,1123,1
142,17,565,1
143,17,541,1
