,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
TRIM47,6.4708047,1.8814478,-0.029602988,-0.08158116,5.9242277,5.882648,-0.075550236,5.242299,8.82313,-0.01105739,4.055728,2.2730088,-0.012623932,-0.07888222,4.179745,4.4225073
B230219D22RIK,7.0518527,2.6874917,-0.029313473,-0.08723732,6.5643535,6.1356354,-0.08032821,5.654707,9.374079,-0.009844305,4.321493,2.3803468,-0.011602251,-0.08399416,4.4173737,4.545909
NOLC1,6.4076953,2.104048,-0.028481947,-0.08750704,5.6895156,6.283276,-0.07295252,5.242667,9.085332,-0.012130697,4.229595,2.174689,-0.011971275,-0.07771586,4.174112,4.7644806
CCL9,6.9268312,2.4964795,-0.028872268,-0.087842055,6.5178866,6.1328506,-0.079027675,5.6252537,9.346988,-0.010780742,4.2927656,2.2033126,-0.010502394,-0.0821413,4.3648405,4.5091276
CFP,6.9548955,2.8192995,-0.02777924,-0.08532982,6.503465,5.946901,-0.07869415,5.578681,9.164203,-0.009022076,4.198605,2.3143091,-0.011219058,-0.081866555,4.324482,4.350709
MCPT8,6.7855954,2.3559859,-0.028488798,-0.086563416,6.3692875,6.034048,-0.07786644,5.5536737,9.237272,-0.010911964,4.2239213,2.1259048,-0.010489912,-0.07994335,4.3020563,4.41018
PLA2G12A,6.9329286,2.4720147,-0.029911425,-0.08826412,6.621662,6.282113,-0.079833135,5.6279707,9.460525,-0.011318911,4.396485,2.3902302,-0.011631627,-0.08374637,4.425137,4.707055
CUL3,7.0038633,2.656098,-0.029331354,-0.08623772,6.4963264,6.0988173,-0.08010948,5.630348,9.330302,-0.009670691,4.289873,2.4149418,-0.012009264,-0.083798915,4.396176,4.5326443
LONP1,7.0353584,2.5130496,-0.030172758,-0.08793205,6.5498943,6.2197056,-0.08044425,5.649458,9.437957,-0.010675334,4.365127,2.391,-0.011587241,-0.0842585,4.4365325,4.642644
HACD3,6.931342,2.3219876,-0.026432663,-0.07889364,6.664829,5.466538,-0.07330888,5.639406,8.734452,-0.007123737,3.9709637,2.3770058,-0.01609301,-0.08350044,4.050999,3.8116095
METTL27,6.527888,1.9495635,-0.029584987,-0.0847089,6.1126714,5.974425,-0.07620195,5.426402,9.02726,-0.011859079,4.1935925,2.1464288,-0.011022125,-0.07866531,4.2546725,4.4543285
RB1,6.994283,2.427535,-0.030274034,-0.0874824,6.5092936,6.207875,-0.07977918,5.6432705,9.3887005,-0.01093125,4.362875,2.387566,-0.01157759,-0.08344962,4.4162264,4.610056
GNS,7.043255,2.6358874,-0.029337687,-0.088341005,6.586139,6.167905,-0.08111037,5.6692123,9.451271,-0.010036789,4.31986,2.311507,-0.011432938,-0.084377155,4.471208,4.578885
CAMK2D,6.9861445,2.5032024,-0.029693829,-0.08770252,6.552474,6.166976,-0.07949736,5.6635494,9.37842,-0.010665672,4.347928,2.3281593,-0.010999007,-0.08289386,4.386937,4.554493
SPO11,5.8176265,1.206759,-0.028057227,-0.08200315,5.8963056,5.636615,-0.07457426,5.1318064,8.445587,-0.012988591,3.7389119,1.1289696,-0.0077710142,-0.073447436,4.1796837,4.0664845
HEXA,6.914743,2.7840748,-0.027809504,-0.08520058,6.4678965,5.9491305,-0.07849128,5.5163374,9.1480055,-0.009262478,4.1900287,2.2819977,-0.011069056,-0.08197431,4.291259,4.3961496
FGGY,6.8356457,2.2271028,-0.030816803,-0.08607677,6.3430023,6.156729,-0.0792737,5.404072,9.222334,-0.010926273,4.272085,2.3460886,-0.011759034,-0.0840641,4.345093,4.7088566
CBFB,6.063303,1.6904579,-0.027312905,-0.081365325,6.0859265,5.687013,-0.07456276,5.1762257,8.51832,-0.012271164,3.8641202,1.5264528,-0.009365927,-0.07421567,4.17532,4.089409
CD93,7.0048094,2.4914327,-0.030331708,-0.086344905,6.4727283,6.1468887,-0.08026086,5.7022486,9.399526,-0.011223543,4.412486,2.5622635,-0.013149523,-0.08469866,4.4804783,4.679681
GALNS,7.027941,2.6984632,-0.029003624,-0.08732378,6.561947,6.128391,-0.080026574,5.6290874,9.368187,-0.010004718,4.3066087,2.3371208,-0.011231031,-0.0838105,4.3905993,4.554002
IL27RA,6.9939847,2.4573045,-0.03020364,-0.0876286,6.498256,6.214504,-0.08045635,5.619253,9.421916,-0.010707975,4.3393497,2.3845417,-0.011866258,-0.08401997,4.4422026,4.6476364
ANKRD44,6.943577,2.5459657,-0.029622966,-0.08583481,6.436079,6.112593,-0.07931855,5.5571404,9.257587,-0.01019503,4.287687,2.4166985,-0.012197009,-0.08282445,4.360184,4.551487
ENPP5,6.7180862,2.0013824,-0.031638417,-0.08460203,6.204967,6.0910745,-0.07846288,5.356127,9.116478,-0.011053411,4.258181,2.359822,-0.011990054,-0.08354995,4.2717032,4.687711
USP37,6.9723606,2.6843343,-0.028603334,-0.08645144,6.547536,6.0569983,-0.07892976,5.6488886,9.280453,-0.010043205,4.2900434,2.3398647,-0.011141014,-0.082015246,4.351518,4.433217
TYROBP,7.0146823,2.4172218,-0.03100912,-0.08740272,6.522784,6.2220783,-0.08047629,5.6043615,9.392305,-0.010757643,4.373595,2.4463086,-0.011914403,-0.08523992,4.42965,4.7084637
