,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
TRIM47,-0.04103217,-0.0014940678,2.6531298,5.2212825,-0.039989132,-0.064565554,4.479837,-0.048932116,-0.049475674,1.0394163,-0.037195295,-0.009444398,-0.004592846,3.5222712,-0.032923542,-0.043009553
B230219D22RIK,-0.05354058,-0.010000292,2.9445333,6.2288265,-0.051207695,-0.07654156,5.1038995,-0.05800914,-0.05842043,1.0314398,-0.045153912,-0.0134380115,-0.010222967,4.5463676,-0.04304951,-0.05536289
NOLC1,-0.049078226,-0.0072733783,2.821221,5.8196526,-0.04795281,-0.07240295,4.8212237,-0.054867595,-0.05490334,0.9015434,-0.041332684,-0.012490588,-0.008743462,4.2143254,-0.039331518,-0.0514625
CCL9,-0.049402412,-0.008077448,2.6903634,5.8492656,-0.048552927,-0.074498184,4.88802,-0.05339587,-0.05593352,0.9956702,-0.041527633,-0.012690255,-0.008923755,4.0131273,-0.03889805,-0.052965567
CFP,-0.05255132,-0.009383668,2.9096093,6.1378455,-0.050518855,-0.07607662,5.0475216,-0.057631604,-0.05787454,1.0259727,-0.044738393,-0.0132978,-0.010131336,4.464945,-0.042105198,-0.05472163
MCPT8,-0.046683583,-0.00579127,2.6750164,5.6336236,-0.045663264,-0.070382945,4.6200643,-0.052475303,-0.05280049,0.85671043,-0.040167134,-0.009991242,-0.008849204,3.8934948,-0.037949257,-0.05024249
PLA2G12A,-0.05077626,-0.008257918,2.8583803,6.001392,-0.049104333,-0.07402105,4.924974,-0.05588588,-0.05620379,0.95289004,-0.042684797,-0.012022669,-0.009409704,4.285387,-0.041069496,-0.053091858
CUL3,-0.05197939,-0.009133018,2.9107535,6.097442,-0.05014956,-0.07517705,5.00442,-0.056952782,-0.057276238,0.99660265,-0.043565616,-0.012885826,-0.009703312,4.396627,-0.041806396,-0.054007377
LONP1,-0.052747216,-0.009592651,2.91416,6.154461,-0.05052274,-0.07560953,5.056416,-0.057295598,-0.057655618,0.99082184,-0.044236574,-0.013101451,-0.009911682,4.4794,-0.042587843,-0.05451898
HACD3,-0.05125777,-0.008664182,2.8905451,6.0285845,-0.049435217,-0.074800454,4.979436,-0.05658433,-0.05681048,0.98391116,-0.043136656,-0.012562903,-0.009548279,4.337027,-0.041294884,-0.053474084
METTL27,-0.04113697,-0.005159025,2.345825,5.1046114,-0.04318862,-0.062264893,3.9057736,-0.04695162,-0.046993688,0.66620255,-0.036976796,-0.010387793,-0.006960786,3.6883864,-0.032890055,-0.045330446
RB1,-0.05121045,-0.008576026,2.875876,6.01664,-0.049381662,-0.07435559,4.9660378,-0.056251943,-0.056488536,0.9453002,-0.043029483,-0.012563705,-0.009432132,4.3628683,-0.041300617,-0.053267922
GNS,-0.05240317,-0.009157839,2.9057083,6.133324,-0.050383754,-0.0755084,5.0253606,-0.05726922,-0.057853036,1.032331,-0.044427093,-0.01295931,-0.010042562,4.4108834,-0.042234838,-0.054527923
CAMK2D,-0.050747775,-0.008244735,2.831464,5.9712353,-0.048940804,-0.073908694,4.912521,-0.055738643,-0.055984177,0.9402406,-0.04296538,-0.012090225,-0.009535689,4.2942705,-0.040804274,-0.053140316
SPO11,-0.021208962,1.5147322,1.9087425,3.6332946,-0.028677808,-0.05206592,3.0818117,-0.038489044,-0.03719169,0.85679007,-0.028336894,-0.0024405734,-0.0035490042,1.90076,-0.0142081445,-0.03355314
HEXA,-0.054732956,-0.011238248,2.9115114,6.344471,-0.051847093,-0.07680261,5.1077294,-0.05826413,-0.058550876,1.0654306,-0.0460776,-0.013616617,-0.010774753,4.6376085,-0.044259485,-0.056110222
FGGY,-0.055501502,-0.011334292,2.956738,6.3694253,-0.052355237,-0.07706772,5.187007,-0.05877066,-0.05893882,1.0687746,-0.046478067,-0.014523145,-0.0104106385,4.794364,-0.04455518,-0.05617851
CBFB,-0.026348654,1.1114389,2.1144516,4.047859,-0.033060446,-0.05593784,3.3790197,-0.04145215,-0.04045397,0.8058703,-0.030916756,-0.0053429366,-0.0043198573,2.3457136,-0.018375413,-0.03678736
CD93,-0.04860354,-0.005277664,2.9352336,5.9920278,-0.045582592,-0.07139752,5.024514,-0.054278366,-0.05538813,1.2473028,-0.04373524,-0.0116899265,-0.0058215875,4.1865563,-0.03859543,-0.049316276
GALNS,-0.05424829,-0.010787147,2.9204526,6.2950907,-0.051517062,-0.07663199,5.111863,-0.058043014,-0.058444403,1.043847,-0.04555156,-0.013310214,-0.010548519,4.586918,-0.043911234,-0.055699494
IL27RA,-0.05171379,-0.00895472,2.8933058,6.072598,-0.04975546,-0.07468299,4.988961,-0.056573942,-0.056955647,0.9748156,-0.04326027,-0.012719837,-0.00961363,4.377526,-0.04190025,-0.053651933
ANKRD44,-0.052426014,-0.009561082,2.8975592,6.1347127,-0.050200596,-0.07517396,5.0092154,-0.057074487,-0.05717493,0.9910461,-0.043943245,-0.013040129,-0.0098086735,4.4592204,-0.042421818,-0.054367796
ENPP5,-0.05434301,-0.010699916,2.907086,6.2497993,-0.051641606,-0.07611641,5.1093407,-0.058010835,-0.05797526,1.0509486,-0.04563414,-0.014856648,-0.009995406,4.70382,-0.043448497,-0.05548917
USP37,-0.050904196,-0.011037082,2.684442,5.9539304,-0.05018668,-0.072071776,4.6460223,-0.054922327,-0.055113487,0.91125226,-0.044068675,-0.01375398,-0.009790577,4.4452124,-0.04091556,-0.05340936
TYROBP,-0.054323964,-0.010443082,2.9624047,6.2805414,-0.051831476,-0.07692298,5.1504993,-0.058516596,-0.058743227,1.0360875,-0.0457502,-0.0142959235,-0.01013506,4.673574,-0.0433702,-0.055871032
ZBTB16,-0.05328082,-0.01005094,2.874469,6.1817813,-0.050805893,-0.07524648,5.0321665,-0.057485852,-0.057150926,1.0220399,-0.044732694,-0.014321447,-0.009727523,4.6039443,-0.042829428,-0.054914296
DOK2,-0.045127615,-0.0028479164,2.8010924,5.6514482,-0.04723822,-0.06977037,4.502266,-0.055448025,-0.051741585,0.7120333,-0.03697647,-0.009520456,-0.00828234,4.055393,-0.036058586,-0.04761351
CSF1R,-0.049050484,-0.0076111564,2.7982275,5.783588,-0.047725216,-0.071997695,4.822573,-0.054747958,-0.054754257,0.93011785,-0.041218217,-0.0128470855,-0.008549734,4.243373,-0.039589275,-0.050931133
TNIP3,-0.053338572,-0.010035155,2.895072,6.1626577,-0.050850168,-0.07600565,5.082604,-0.057621464,-0.057883825,1.0024301,-0.045103915,-0.013638754,-0.010155156,4.5471153,-0.042592462,-0.055046245
WDHD1,-0.053488653,-0.010160549,2.9251118,6.2291765,-0.05107628,-0.07640095,5.090819,-0.057807535,-0.058141015,1.0236775,-0.044945437,-0.013246077,-0.01027923,4.5336027,-0.043133534,-0.055192884
PSAT1,-0.054923236,-0.010983374,2.9758399,6.3521185,-0.052185033,-0.07728415,5.1634803,-0.05870932,-0.059001554,1.0513777,-0.04601326,-0.014025991,-0.010407921,4.695635,-0.044087265,-0.056158915
ABCG2,-0.034474444,-0.003910478,2.3041425,4.455598,-0.03150364,-0.045227718,3.0203514,-0.036311876,-0.028926492,0.6432017,-0.020945221,-0.0018369078,-0.005217669,2.7510712,-0.023991076,-0.030383663
SIRPA,-0.055914592,-0.011429305,2.9891753,6.431624,-0.053005446,-0.07788462,5.210962,-0.05941056,-0.059791926,1.115745,-0.04723268,-0.014583076,-0.010786747,4.807902,-0.044797234,-0.056786746
EIF4ENIF1,-0.0553591,-0.011108019,2.9686096,6.3699527,-0.052474707,-0.077783614,5.196445,-0.05913053,-0.05959544,1.0958391,-0.047129527,-0.014489583,-0.010745161,4.7329283,-0.0442594,-0.056851942
E2F4,-0.048177075,-0.0051314197,2.435698,5.251479,-0.037872992,-0.06512536,4.6422653,-0.050356645,-0.046740968,0.796208,-0.041074205,-0.006603602,-0.0049164384,3.7216024,-0.02900806,-0.05217779
SRM,-0.04941578,-0.00749851,2.8297622,5.8782105,-0.047978394,-0.07314171,4.8571053,-0.05511672,-0.05530528,0.93160844,-0.041647747,-0.011438693,-0.009229907,4.164402,-0.04014428,-0.05190254
MCM3,-0.0544691,-0.0106267175,2.9782553,6.320846,-0.05187517,-0.07701394,5.156403,-0.058470443,-0.058817543,1.0386713,-0.04559463,-0.013819467,-0.010295878,4.6648684,-0.043899,-0.05575898
MS4A3,-0.036159594,0.32250038,2.150142,4.375968,-0.033051506,-0.057190914,3.8546333,-0.043975357,-0.041705396,0.78622365,-0.03473713,-0.0052190856,-0.003420115,2.8846016,-0.020961668,-0.043246374
CENPO,-0.054329276,-0.010570677,2.9468586,6.2828927,-0.05166538,-0.076872475,5.149442,-0.05834151,-0.058712356,1.0330336,-0.04571985,-0.013679718,-0.010332342,4.636019,-0.043675687,-0.055753987
KAT7,-0.048908625,-0.007369986,2.7683437,5.811845,-0.047332738,-0.07272963,4.809756,-0.054495443,-0.054727376,0.91877604,-0.041778717,-0.011198735,-0.0092632985,4.0902276,-0.039466966,-0.0518217
NMD3,-0.055242088,-0.011151544,2.9724743,6.373236,-0.052268848,-0.077417046,5.193989,-0.05883778,-0.05918426,1.0571728,-0.04640219,-0.014077615,-0.010548069,4.7351046,-0.044501446,-0.056350455
DDX20,-0.048832912,-0.010356321,3.1015851,5.3742733,-0.04313067,-0.070526674,5.2008634,-0.04894048,-0.051972773,0.39211217,-0.043009102,-0.018008936,-0.006386197,4.189327,-0.03475833,-0.0482256
ITIH5,-0.050252106,-0.007860056,2.8535397,5.933865,-0.04880127,-0.07360746,4.902909,-0.055626538,-0.055762723,0.91974163,-0.04236975,-0.01238663,-0.009077051,4.2953496,-0.040248044,-0.05262008
TOPORS,-0.045441404,-0.0049686623,2.7134492,5.510306,-0.044796016,-0.0695087,4.5983357,-0.05228142,-0.052125424,0.8390329,-0.03864739,-0.010193519,-0.00805806,3.8407223,-0.03689383,-0.048787754
DNM1L,-0.04993267,-0.0072598406,2.858498,5.911379,-0.04870871,-0.074224986,4.908237,-0.056207865,-0.05627375,0.96451616,-0.04290939,-0.012447329,-0.009231586,4.251033,-0.039728377,-0.053004183
VDR,-0.046754364,-0.006407429,2.661966,5.5475817,-0.04571281,-0.06954383,4.615137,-0.05312103,-0.05245359,0.8835937,-0.039856117,-0.012754412,-0.0081685865,4.034629,-0.03739918,-0.049643386
SGPP1,-0.050437033,-0.008267227,2.827118,5.922464,-0.048778646,-0.0731286,4.8866377,-0.055501245,-0.055773176,0.9511173,-0.04219541,-0.012828411,-0.009339747,4.30436,-0.040652975,-0.052040275
COLGALT1,-0.04690266,-0.006079924,2.7661572,5.599828,-0.04648318,-0.070757695,4.697631,-0.05358019,-0.05372558,0.9187082,-0.039635275,-0.01184721,-0.008317841,4.001608,-0.037395097,-0.049263448
PTCD3,-0.053991985,-0.010305759,2.9391768,6.23988,-0.051440414,-0.07615539,5.1174407,-0.058050267,-0.058163267,1.0393192,-0.04526311,-0.014367809,-0.009876234,4.6770473,-0.04320065,-0.055080865
PPID,-0.054196138,-0.010778534,2.9249425,6.2899613,-0.051475324,-0.07680564,5.1173363,-0.05820162,-0.058391385,1.0408356,-0.04568889,-0.013454963,-0.010520306,4.61375,-0.043736994,-0.05569203
PBX1,-0.051338058,-0.008530321,2.8992095,6.0375147,-0.049765766,-0.0745141,4.9716606,-0.056501616,-0.056839835,0.9651694,-0.043040827,-0.012941101,-0.009350826,4.377711,-0.04120066,-0.053406823
FBXO5,-0.047843102,-0.0062996363,2.7622702,5.7430005,-0.046959337,-0.071371175,4.71377,-0.053746626,-0.05376983,0.8813698,-0.04066526,-0.011012786,-0.00845795,4.0504937,-0.038375385,-0.051072486
CSF3R,-0.037465557,-0.004562242,1.6267953,3.7696261,-0.028245408,-0.050315116,3.9788766,-0.038787883,-0.033815525,0.3728921,-0.029942848,-0.00803853,-0.0025022572,3.8107588,-0.035027403,-0.036400165
MYCN,-0.052688736,-0.013307297,2.113068,5.1051435,-0.037853457,-0.06306132,5.058789,-0.048262067,-0.044306252,0.5485029,-0.040694356,-0.010691014,-0.005688795,5.1732564,-0.04906414,-0.048071895
NFATC2,-0.04915968,-0.0074112797,2.8113275,5.8280945,-0.047830895,-0.072757185,4.825111,-0.055056147,-0.054879587,0.90542114,-0.041566115,-0.011878096,-0.008888284,4.1871243,-0.039524317,-0.051963918
COL4A2,-0.04552002,-0.0056517846,2.6152434,5.456768,-0.044965185,-0.068228886,4.513342,-0.052127846,-0.051714618,0.8991443,-0.038844805,-0.012228009,-0.0077165463,3.891685,-0.03648462,-0.048618484
IGHM,-0.021208962,1.5147322,1.9087425,3.6332946,-0.028677808,-0.05206592,3.0818117,-0.038489044,-0.03719169,0.85679007,-0.028336894,-0.0024405734,-0.0035490042,1.90076,-0.0142081445,-0.03355314
AW112010,-0.021875104,1.4898195,1.8928115,3.7007513,-0.028651943,-0.05150404,2.9970279,-0.03767463,-0.03781606,0.866089,-0.028381292,-0.0027063256,-0.0029212546,1.8709527,-0.014494421,-0.032631587
GEMIN5,-0.050490778,-0.0114098685,3.1727605,5.525379,-0.044237044,-0.0715251,5.3222733,-0.049767666,-0.052938122,0.40961668,-0.043960832,-0.018445563,-0.0064700674,4.369619,-0.036235403,-0.049030326
ARCN1,-0.054458756,-0.0109506445,2.927213,6.304597,-0.051784616,-0.07698556,5.1249957,-0.058332965,-0.058636583,1.047843,-0.04592959,-0.013674601,-0.010557056,4.6264057,-0.043761075,-0.05601569
MTR,-0.05374017,-0.012316222,2.8183327,6.204954,-0.05232715,-0.07432381,4.8613424,-0.056886803,-0.057299137,0.98042953,-0.045957055,-0.015311531,-0.010199079,4.747259,-0.043030255,-0.055207223
TCIRG1,-0.047990873,-0.006056568,2.7977564,5.7448106,-0.04698718,-0.07240226,4.7879744,-0.054549564,-0.05477957,0.9337343,-0.04150767,-0.011175856,-0.008788696,4.0547156,-0.038417738,-0.051286884
PCMTD1,-0.053899057,-0.010436927,2.9174345,6.2512293,-0.051382806,-0.07663646,5.105429,-0.058033716,-0.058377016,1.0289836,-0.0454547,-0.01349129,-0.010404354,4.570697,-0.04328244,-0.055599935
ANXA5,-0.04641389,-0.008686193,3.034837,5.1651864,-0.04159057,-0.068329975,5.032175,-0.047595963,-0.050042722,0.33102018,-0.040702756,-0.01725799,-0.00541234,4.0271907,-0.03277012,-0.046450246
LGALS1,-0.035248645,0.007121645,2.2241018,4.417582,-0.036747385,-0.058290124,3.8333442,-0.044234693,-0.043099508,0.67965853,-0.031129833,-0.008848424,-0.0053640115,3.0661287,-0.027951488,-0.039499898
CD82,-0.046841826,-0.0057438007,2.7520764,5.6350837,-0.04603253,-0.071247436,4.697162,-0.05359808,-0.054022502,0.9407172,-0.040526006,-0.011355625,-0.008702364,3.924411,-0.03773371,-0.05032648
RFC4,-0.055835508,-0.011701784,2.9770715,6.437342,-0.052645624,-0.07768918,5.206984,-0.05906392,-0.059416316,1.0795509,-0.046832517,-0.014016391,-0.010813874,4.7786336,-0.04516338,-0.056695707
NAV1,-0.028709006,0.43827036,1.9834008,3.819107,-0.031300817,-0.051694892,3.37554,-0.038856283,-0.037921734,0.5569565,-0.026107918,-0.005309974,-0.0042190338,2.4767842,-0.023348672,-0.0338551
OSTM1,-0.05305541,-0.0093595,2.9011219,6.203706,-0.051059015,-0.076107904,5.0654573,-0.057892554,-0.05823213,1.0391271,-0.045339026,-0.013613512,-0.00990832,4.522799,-0.042426467,-0.05528335
TLR4,-0.04701191,-0.005935108,2.7286198,5.6583343,-0.046061434,-0.071108274,4.6813846,-0.05310525,-0.053175382,0.8524561,-0.04026601,-0.010170072,-0.008658806,3.9559538,-0.037918586,-0.050412163
ICAM1,-0.05345517,-0.010130874,2.9126465,6.232518,-0.051071465,-0.07608974,5.0532517,-0.057760715,-0.058209,1.0765567,-0.045356262,-0.013484889,-0.01045844,4.5304675,-0.043041706,-0.05510968
PDE4D,-0.021208962,1.5147322,1.9087425,3.6332946,-0.028677808,-0.05206592,3.0818117,-0.038489044,-0.03719169,0.85679007,-0.028336894,-0.0024405734,-0.0035490042,1.90076,-0.0142081445,-0.03355314
MTFR1,-0.05425498,-0.01062882,2.9261844,6.2582593,-0.051641177,-0.076740466,5.131255,-0.05822133,-0.058645915,1.0360913,-0.04584956,-0.013839477,-0.010396878,4.619221,-0.043411326,-0.05586013
SLC44A2,-0.054255914,-0.010772401,2.9312038,6.287558,-0.0516762,-0.07692701,5.1215143,-0.058263596,-0.05857255,1.0411443,-0.045726117,-0.013624078,-0.010471013,4.6100435,-0.043573458,-0.05586758
GUSB,-0.052645214,-0.009594558,2.8785217,6.1388016,-0.050319836,-0.07561935,5.029088,-0.057238307,-0.057647374,1.0210776,-0.044694357,-0.012886198,-0.010318732,4.436967,-0.042573586,-0.05463077
PADI4,-0.04062248,-0.0016091436,2.5252657,5.098893,-0.041373223,-0.06468314,4.241048,-0.048270464,-0.048076995,0.71185124,-0.035352886,-0.008351418,-0.006543952,3.4708242,-0.032602377,-0.044842284
ATG12,-0.055921495,-0.01189715,2.9516504,6.4422956,-0.052594602,-0.07743873,5.1854076,-0.058913272,-0.059268445,1.0856888,-0.04695183,-0.013905261,-0.010991175,4.766684,-0.045350935,-0.0567189
PIM2,-0.05253866,-0.00931469,2.905201,6.140244,-0.05092931,-0.07612689,5.0397964,-0.057820223,-0.057745002,1.0105822,-0.04455681,-0.014065807,-0.009889623,4.5301685,-0.0417411,-0.05468648
PHF11B,-0.041676715,-0.0019176524,2.6198497,5.174197,-0.042432196,-0.0661812,4.3558493,-0.049814537,-0.049973715,0.8231951,-0.03641314,-0.009705956,-0.006894157,3.5713468,-0.03324964,-0.045543637
