,TF,Target,Label
0,7,671,1
1,7,619,1
2,7,271,1
3,7,518,1
4,7,450,1
5,7,600,1
6,7,28,1
7,7,76,1
8,7,334,1
9,7,433,1
10,7,114,1
11,7,118,1
12,7,27,1
13,7,495,1
14,7,297,1
15,7,476,1
16,7,137,1
17,7,308,1
18,7,358,1
19,7,351,1
20,7,393,1
21,7,295,1
22,7,51,1
23,7,605,1
24,7,409,1
25,7,653,1
26,7,595,1
27,7,153,1
28,7,204,1
29,7,174,1
30,7,395,1
31,7,122,1
32,7,103,1
33,7,329,1
34,7,480,1
35,7,389,1
36,7,88,1
37,7,661,1
38,7,629,1
39,7,377,1
40,7,470,1
41,7,593,1
42,7,512,1
43,7,599,1
44,7,331,1
45,7,52,1
46,7,359,1
47,7,674,1
48,7,651,1
49,7,373,1
50,7,597,1
51,7,585,1
52,7,690,1
53,7,226,1
54,7,21,1
55,7,439,1
56,7,628,1
57,7,370,1
58,7,69,1
59,7,356,1
60,7,400,1
61,7,136,1
62,7,616,1
63,7,347,1
64,7,376,1
65,7,466,1
66,7,340,1
67,7,282,1
68,7,444,1
69,7,442,1
70,7,302,1
71,7,665,1
72,7,198,1
73,7,583,1
74,7,420,1
75,7,659,1
76,7,388,1
77,7,260,1
78,7,109,1
79,7,504,1
80,7,227,1
81,7,95,1
82,7,484,1
83,7,658,1
84,7,467,1
85,7,612,1
86,7,25,1
87,7,240,1
88,7,565,1
89,7,339,1
90,7,272,1
91,7,562,1
92,7,70,1
93,7,131,1
94,7,353,1
95,7,432,1
96,7,86,1
97,7,270,1
98,7,129,1
99,7,649,1
100,7,469,1
101,7,405,1
102,7,4,1
103,7,472,1
104,7,582,1
105,7,529,1
106,7,307,1
107,7,165,1
108,7,43,1
109,7,311,1
110,7,177,1
111,7,587,1
112,7,408,1
113,7,200,1
114,7,258,1
115,7,300,1
116,7,602,1
117,7,683,1
118,7,654,1
119,7,622,1
120,7,465,1
121,7,501,1
122,7,310,1
123,7,341,1
124,7,492,1
125,7,149,1
126,7,8,1
127,7,352,1
128,7,172,1
129,7,265,1
130,7,510,1
131,7,574,1
132,7,92,1
133,7,523,1
134,7,362,1
135,7,500,1
136,7,596,1
137,7,374,1
138,7,224,1
139,7,375,1
140,7,380,1
141,7,49,1
142,7,496,1
143,7,67,1
144,7,479,1
145,7,71,1
146,7,570,1
147,7,268,1
148,7,589,1
149,7,278,1
150,7,337,1
151,7,666,1
152,7,508,1
153,7,19,1
154,7,269,1
155,7,539,1
156,7,426,1
157,7,262,1
158,7,91,1
159,7,316,1
160,7,106,1
161,7,215,1
162,7,382,1
163,7,350,1
164,7,363,1
165,7,249,1
166,7,646,1
167,7,242,1
168,7,576,1
169,7,140,1
170,7,219,1
171,7,463,1
172,7,526,1
173,7,663,1
174,7,216,1
175,7,145,1
176,7,448,1
177,7,61,1
178,7,474,1
179,7,482,1
180,7,438,1
181,7,314,1
182,7,14,1
183,7,309,1
184,7,112,1
185,7,84,1
186,7,415,1
187,7,534,1
188,7,235,1
189,7,551,1
190,7,232,1
191,7,214,1
192,7,575,1
193,7,176,1
194,7,338,1
195,7,627,1
196,7,462,1
197,7,267,1
198,7,221,1
