,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NAV1,5.806421,-0.032811552,-0.058092307,-0.087706536,-0.06737974,-0.0058412026,-0.06970521,-0.099840134,-0.024411742,2.449797,-0.049988903,-0.0035002802,4.7260885,-0.028029412,7.4502926,-0.096674725
CD63,2.7245345,-0.02542319,-0.033207,-0.059288103,-0.05711585,-0.012039066,-0.047290616,-0.07349627,-0.018751448,2.344337,-0.0362492,-0.006907929,4.1309423,-0.011340385,5.3808374,-0.061671127
APP,5.3353868,-0.031226851,-0.05579371,-0.08272045,-0.06735367,-0.0044980994,-0.067587554,-0.09666497,-0.022848258,2.730562,-0.04866006,-0.003720484,4.5417204,-0.025290618,7.0822153,-0.09275872
DEPP1,6.1447253,-0.0349641,-0.061358962,-0.09260038,-0.07076679,-0.00464778,-0.07416374,-0.10611174,-0.02683232,2.6028178,-0.052018285,-0.0032241389,5.033459,-0.030033763,7.904628,-0.101730585
UBA7,4.246971,-0.024964506,-0.050454695,-0.071210384,-0.06530573,-0.003537732,-0.059145015,-0.08760275,-0.01731526,3.1653497,-0.044397924,-0.0022018226,3.6152682,-0.019175695,5.941531,-0.08014099
GP9,5.018235,-0.029676277,-0.055462856,-0.080456875,-0.06831443,-0.0036737635,-0.066207774,-0.09583505,-0.021299154,3.003872,-0.047883168,-0.0030255343,4.301999,-0.024447743,6.8298645,-0.09016048
MTUS1,4.0534363,-0.02341503,-0.047369428,-0.06691162,-0.06168286,-0.0038798305,-0.05567481,-0.08201126,-0.015753428,2.9279158,-0.042090356,-0.0024637806,3.432862,-0.018098926,5.622468,-0.07607082
RAG2,6.583163,-0.0317632,-0.04979876,-0.08175823,-0.051293068,-0.009416441,-0.061699808,-0.08445745,-0.021312084,0.26041695,-0.041336887,-0.003542184,4.765811,-0.03220826,7.4996634,-0.0899471
SSH2,4.520278,-0.026596695,-0.050446793,-0.07275866,-0.06367443,-0.0043640477,-0.060060747,-0.08722521,-0.018366251,2.8403428,-0.044445388,-0.003021483,3.85867,-0.020761937,6.1735764,-0.08248057
GM45837,6.0634737,-0.02914995,-0.049370497,-0.08748749,-0.044838626,-0.012251008,-0.06581849,-0.07943825,-0.02676821,0.15101564,-0.047810894,-0.009333028,4.9728584,-0.029674146,7.1049376,-0.08578096
